"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","recordNumber","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","typeStatus","class","relatedCatalogItem","individualCount","minimumDepthInMeters","maximumDepthInMeters","fieldNumber","infraspecificEpithet","sex"
"11","2021-04-05 14:25:24-03","UNESC","CRI","510","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Paulo Brack","1995","08","04","José Krás da Silva","1990","11","04","Brasil","Santa Catarina","Praia Grande",NA,"-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,"CRI003450","CRI003450",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-04-05 14:33:35-03","UNESC","CRI","1270","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Vanilde Citadini- Zanette",NA,NA,NA,"J. J. Zocche","1992","07","14","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","Habito: árvore","CRI003442","CRI003442",NA,"28","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-04-05 14:25:24-03","UNESC","CRI","10739","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.",NA,NA,NA,NA,"Robson dos Santos; Alecsandro S. Klein & Vanilde C. Zanete","2000","09","08","Brasil","Santa Catarina","Praia Grande","Aparados da Serra.","-49.950556","-29.197222","49º57'2''W","29º11'50''S",NA,"CRI003456","CRI003456",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-04-05 14:33:35-03","UNESC","CRI","9423","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","A. L. de Gasper","2010","04","20","S. Dreveck; F. E. Carneiro","2010","04","08","Brasil","Santa Catarina","Araquari","Canudo/ WEG Floresta.","-48.688889","-26.5525","48º41'20''W","26º33'9''S","Floresta Ombrófila Densa de Terras Baixas Habitat: interior do fragmento Habito: arvoreta","CRI003452","CRI003452","2055","14","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-04-05 14:25:24-03","UNESC","CRI","14573","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Edilaine Rocha","2007","08","23","Marcelo R. Pasetto","2007","08","23","Brasil","Santa Catarina","Nova Veneza",NA,"-49.498333","-28.636944","49º29'54''W","28º38'13''S","Fruto maduro com receptáculo vermelho. Habito: Arbóreo","CRI013878","CRI013878",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-04-05 14:33:35-03","UNESC","CRI","9460","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","T.J. Cadorin","2009","12","10","T. J. Cadorin; H. F. Uller & C. P. L. Oliveira","2009","12","10","Brasil","Santa Catarina","Joinville","Serra Dona Francisca.","-49.047778","-26.1925","49º2'52''W","26º11'33''S","Floresta Ombrófila Densa Habitat: interior de fragmento Habito: arbusto","CRI003437","CRI003437","943","576","576",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-04-05 14:25:24-03","UNESC","CRI","11084","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","L. A. Funez","2013","03","03","L.A. Funez; A.E. Zermiani & A. Kaessner Filho","2013","03","03","Brasil","Santa Catarina","Blumenau","Sede Parque Nacional da Serra do Itajaí.","-49.066389","-26.92","49º3'59''W","26º55'12''S","Floresta Ombrófila Densa Habitat: borda da mata Habito: arbustiva","CRI003522","CRI003522","1886","287","287",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-04-05 14:25:24-03","UNESC","CRI","8686","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.",NA,NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,"Brasil",NA,NA,NA,NA,NA,NA,"CRI003440","CRI003440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-04-05 14:33:35-03","UNESC","CRI","8381","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Vanilde Citadini- Zanette","2007",NA,NA,"Aline Costa Brum Figueiró Leandro; Rosimar Tertuliano da Silva","2007",NA,NA,"Brasil","Santa Catarina","Criciúma","Parque Ecológico Municipal José Milanese.","-49.431944","-28.69","49º25'55''W","28º41'24''S",NA,"CRI003447","CRI003447",NA,"46","46",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-05 14:33:35-03","UNESC","CRI","6497","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Vanilde Citadini- Zanette","1999","10","30","V. Citadini-Zanette; Roseli Zaremba","1999","10","30","Brasil","Santa Catarina","Ilhota","Parque Bot. do Morro do Baú.","-48.8275","-26.900278","48º49'39''W","26º54'1''S",NA,"CRI003449","CRI003449",NA,"11","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-04-05 14:25:24-03","UNESC","CRI","14858","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Alecsandro Shardosim Klein","2002","08","23","Alecsandro Shardosim Klein; Rafael Martins","2002","08","23","Brasil","Santa Catarina","Treviso","USITESC","-49.471389","-28.465","49º28'17''W","28º27'54''S","Frutos verdes. Habito: Arbóreo","CRI014192","CRI014192",NA,"237","237",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 14:33:35-03","UNESC","CRI","1516","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","J. B. Baitello",NA,NA,NA,"R. R. B. Negrelle; et al.","1992","08","25","Brasil","Santa Catarina","Itapoá","Reserva Volta Velha.","-48.616389","-26.1175","48º36'59''W","26º7'3''S","Habito: árvore","CRI003444","CRI003444","348","9","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-04-05 14:33:35-03","UNESC","CRI","8624","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Rafal Martins","2010","09","03","Clair Maria Martinello; Vanilde Citadini-Zanette","2001","04","20","Brasil","Santa Catarina","Garopaba",NA,"-48.618889","-28.027222","48º37'8''W","28º1'38''S",NA,"CRI003441","CRI003441",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-04-05 14:25:24-03","UNESC","CRI","9569","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","A. Stival-Santos","2010","06","02","A. Stival-Santos; E. Legal & S. Silveira","2010","06","02","Brasil","Santa Catarina","Palhoça","Pedra Branca.","-48.691667","-27.63","48º41'30''W","27º37'48''S","Floresta Ombrófila Densa Habitat: interior do fragmento Habito: arvoreta","CRI003448","CRI003448","2976","65","65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-04-05 14:33:35-03","UNESC","CRI","1272","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Marcos Sobral",NA,NA,NA,"Jairo José Zocche","1992","07","14","Brasil","Santa Catarina","Forquilhinha","Parque Ecológico.","-49.4725","-28.748056","49º28'21''W","28º44'53''S","Habito: árvore","CRI003445","CRI003445",NA,"28","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-04-05 14:25:24-03","UNESC","CRI","6541","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Vanilde Citadini- Zanette","1999","10","17","Dolores Bosa; Magali Romagna","1999","10","17","Brasil","Santa Catarina","Morro Grande","Nova Roma.","-49.721111","-28.801111","49º43'16''W","28º48'4''S","Habitat: Floresta Ombrófila Densa Habito: arvoreta","CRI003521","CRI003521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-04-05 14:33:35-03","UNESC","CRI","9651","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","T. J. Cadorin","2009","10","09","T.J. Cadorin; J.L. Schimitt & E. Caglioni","2009","10","03","Brasil","Santa Catarina","Taió","Passo Manso, Fazenda Tarumâ.","-50.129444","-27.052778","50º7'46''W","27º3'10''S","Ecótono Floresta Ombrófila Mista e Floresta Ombrófila Densa Habito: arbustiva","CRI003453","CRI003453","175","812","812",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-04-05 14:25:24-03","UNESC","CRI","14093","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","Amanda Matiola, Caleb Borges & Júlia Guissone","2018","10","30","Valdemar Boff & Vanilde Citadini","1998","01","28","Brasil","Santa Catarina","Araranguá","Morro dos Conventos","-49.486389","-28.935556","49º29'11''W","28º56'8''S","Habitat: Terrestre Habito: Arbórea","CRI012743",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-04-05 14:25:24-03","UNESC","CRI","9440","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","A. Korte","2009","10","15","A. Korte; A. Kniess","2009","10","15","Brasil","São Paulo","Presidente Prudente","Braço Thieme.","-51.380278","-22.120556","51º22'49''W","22º7'14''S","Floresta Ombrófila Densa Habito: arbórea","CRI003451","CRI003451","492","458","458",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-23 10:40:18-03","E","E","36088","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata",NA,NA,NA,NA,NA,"Steinbach, José","1925","10","02","BO",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00036088 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00036088",NA,"7264",NA,NA,"W. Tropical South America","herbarium specimen of unspecif","BGBASE:41473",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-09-23 10:40:18-03","E","E","259394","PreservedSpecimen","Plantae","Lauraceae","Goeppertia","hirsuta","Goeppertia hirsuta",NA,NA,NA,NA,NA,"Sellow, F.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259394 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259394",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:270026",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-09-23 10:40:18-03","E","E","259395","PreservedSpecimen","Plantae","Lauraceae","Goeppertia","hirsuta","Goeppertia hirsuta",NA,NA,NA,NA,NA,"Sellow, F.",NA,NA,NA,"BR",NA,NA,NA,NA,NA,NA,NA,"<a href=http://data.rbge.org.uk/herb/E00259395 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","E00259395",NA,NA,NA,NA,"E. Tropical South America","herbarium specimen of unspecif","BGBASE:270027",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","02687683","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.",NA,NA,NA,NA,"E. G. A. Martins","2011","10","29","Brazil","São Paulo","Cubatão","Parque Ecológico do Perequê. Trilha da Cachoeira, 150 m após a bica, margem esquerda. Borda da Floresta Atlântica.","-46.4445","-23.8275",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2966877' target='other'> <mi>dwc_moreinfo</mi></a>","NY02687683","NY02687683_01","260",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","459889","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","I. de Vattimo",NA,NA,NA,"G. G. Hatschbach","1965","09","17","Brazil","Paraná","Antonina","Estr. Cactu-Serra Negra, Rio Cachoeira","-48.7117","-25.4286",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131136' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459889","NY00459889_01","12796",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00917979","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","V. Koch",NA,NA,NA,"P. Clausen","1837",NA,NA,"Brazil","Minas Gerais",NA,"Brésil. Minas Geraes",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917979","NY00917979_01","17",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","459897","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","I. de Vattimo",NA,NA,NA,"R. M. Klein","1956","03","06","Brazil","Santa Catarina","Ibirama","Horto Florestal I. N. P.","-49.5178","-27.0569",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131148' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459897","NY00459897_01","1903","300","300","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","459921","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","J. G. Rohwer",NA,NA,NA,"L. Riedel",NA,NA,NA,"Brazil","Rio de Janeiro","Magé","Mandioca","-43.184668","-22.564777",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131156' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459921","NY00459921_01",NA,NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00917994","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","J. B. Baitello",NA,NA,NA,"FEEP","1993","06","19","Brazil","Minas Gerais","Uberlândia","Estação Ecológica do Panga, Uberlândia.","-48.2769","-18.9186",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=985311' target='other'> <mi>dwc_moreinfo</mi></a>","NY00917994","NY00917994_01","451",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","459942","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","H. H. van der Werff",NA,NA,NA,"M. H. Nee","1990","10","03","Bolivia","Santa Cruz","Ichilo","1km SW of center of Buena Vista","-63.67","-17.47",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131120' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459942",NA,"39040","360","360","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","459905","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.",NA,NA,NA,NA,"P. K. H. Dusén","1909","05","08","Brazil","Paraná","Paranaguá","Alexandra","-48.631716","-25.548936",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131168' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459905","NY00459905_01","8090",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","02681738","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.",NA,NA,NA,NA,"S. J. da Silva Neto","1999","02","11","Brazil","Rio de Janeiro","Duque de Caxias","Trilha paralela a cerca, em direção ao marco A (Vide mapa). Reserva da Petrobras","-43.266667","-22.55",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2942952' target='other'> <mi>dwc_moreinfo</mi></a>","NY02681738","NY02681738_01","1262",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","459868","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","H. H. van der Werff",NA,NA,NA,"G. G. Hatschbach","1985","03","13","Brazil","Paraná","Palotina","Perola Independente","-53.84","-24.2842",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131117' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459868","NY00459868_01","48978",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","592239","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","A. S. Chanderbali",NA,NA,NA,"W. W. Benson","1979","12","17","Brazil","São Paulo","Ubatuba","Baixado do Rio Escuro, Praia Dura","-45.0697","-23.4303",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131112' target='other'> <mi>dwc_moreinfo</mi></a>","NY00592239","NY00592239_01","10847",NA,NA,"South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","459902","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.",NA,NA,NA,NA,"R. Reitz","1956","01","19","Brazil","Santa Catarina","Palhoça","Piloes","-48.694057","-27.77489",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131180' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459902","NY00459902_01","2497","200","200","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","459896","PreservedSpecimen","Plantae","Lauraceae","Endlicheria","paniculata","Endlicheria paniculata","(Spreng.) J.F.Macbr.","I. de Vattimo",NA,NA,NA,"R. M. Klein","1956","02","20","Brazil","Santa Catarina","Itajaí","Morro da Ressacada","-48.6617","-26.9081",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=131147' target='other'> <mi>dwc_moreinfo</mi></a>","NY00459896","NY00459896_01","1873","150","150","South America","sheet",NA,"Magnoliophyta","Laurales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
