"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","recordNumber","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","typeStatus","individualCount","fieldNumber","sex"
"13","2021-03-15 16:37:00-03","NY","NYBG","561618","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","E. Pereira","1964","01","23","Brazil","Rio Grande do Sul","Ilópolis","-52.1242","-28.9269",NA,NA,"NY00561618","NY00561618_01",NA,NA,NA,"Ilópolis","8547","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86343' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","561605","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"L. B. Smith","1965","01","18","Brazil","Paraná","Jaguariaíva","-49.27","-24.13",NA,NA,"NY00561605","NY00561605_01",NA,NA,NA,"Barra do Rio das Mortes, Rio Jaguariaiva","14762","810","810","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86358' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","561603","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"M. V. Peron","1989","08","18","Brazil","Rio de Janeiro","Nova Friburgo","-42.05","-22",NA,NA,"NY00561603","NY00561603_01",NA,NA,NA,"Nova Friburgo, Reserva Ecológica Municipial de Macaé de Cima, Sítio Sophronites.","880","1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86361' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","561615","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","R. M. Klein","1953","10","26","Brazil","Santa Catarina","Ibirama","-49.534691","-27.013976",NA,NA,"NY00561615","NY00561615_01",NA,NA,NA,"Ibirama","694",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86342' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","557691","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","M. L. Kawasaki","S. A. Nicolau","1999","12","14","Brazil","São Paulo",NA,NA,NA,NA,NA,"NY00557691","NY00557691_01",NA,NA,NA,"Cajuru, sentido Barrosa","2042",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86339' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","561620","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","J. C. Lindeman","J. C. Lindeman","1967","03","10","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00561620","NY00561620_01",NA,NA,NA,"Fazenda Reserva, ca. 85 km SW of Guarapuava, wood island in campo N of Rio dos Torres.","4761","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86349' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","561596","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","M. Sobral","M. Sobral","1983","08",NA,"Brazil","Rio Grande do Sul","Nova Petrópolis","-51.1142","-29.3767",NA,NA,"NY00561596","NY00561596_01",NA,NA,NA,"Nove Colonias, Nova Petrópolis","2182",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86336' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2017-02-01 13:52:00-02","NY","NYBG","561601","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna",NA,"B. K. Holst","E. M. Zardini","1991","11","25","Paraguay","Paraguarí",NA,"-56.77","-26.07",NA,NA,"NY00561601",NA,NA,NA,NA,"National Park Ybycu'i, 6 km S of NW coner of park.","29072",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86351' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","561616","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"G. G. Hatschbach","1977","09","22","Brazil","Paraná","Tijucas do Sul","-49.1989","-25.9283",NA,NA,"NY00561616","NY00561616_01",NA,NA,NA,"Ambrosio","40182",NA,NA,"Xiloteca. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86356' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","561598","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","S. F. Smith","R. A. Wasum","1987","10","31","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.630384","-29.098608",NA,NA,"NY00561598","NY00561598_01",NA,NA,NA,"Sao Francisco de Paula - Lajeado Grande","s.n.","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86340' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","561609","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","S. M. Silva","R. M. Britez","1993","02","22","Brazil","Paraná","Três Barras do Paraná","-53.17","-25.42",NA,NA,"NY00561609","NY00561609_01",NA,NA,NA,"Rio Guaraní, à margem de rio.","s.n.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86350' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","561597","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","R. McVaugh","J. E. Leite","1941","01",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","-51.143791","-29.75136",NA,NA,"NY00561597","NY00561597_01",NA,NA,NA,"Vicinity of Sao Leopoldo","599",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86359' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","561617","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","G. G. Hatschbach","G. G. Hatschbach","1982","12","08","Brazil","Paraná","Guarapuava","-51.4581","-25.3956",NA,NA,"NY00561617","NY00561617_01",NA,NA,NA,"3 Capoes","45798",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86352' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","561599","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","B. K. Holst; M. L. Kawasaki","G. G. Hatschbach","1968","03","24","Brazil","Paraná","Jaguariaíva","-49.7056","-24.2511",NA,NA,"NY00561599","NY00561599_01",NA,NA,NA,"Barra Rio das Mortes","18945",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86337' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","561610","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"R. Reitz","1962","01","02","Brazil","Santa Catarina","Santa Cecília","-50.463595","-26.893209",NA,NA,"NY00561610","NY00561610_01",NA,NA,NA,"Santa Cecília","11347","1000","1000","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86355' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","561600","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"R. A. Wasum","1998","02","13","Brazil","Rio Grande do Sul","Bom Jesus","-50.4167","-28.6681",NA,NA,"NY00561600","NY00561600_01",NA,NA,NA,"Faz. do Boqueirao","s.n.","1100","1100","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86353' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-27 02:51:00-03","NY","NYBG","561602","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna",NA,"C. M. D. E. Legrand","C. M. D. E. Legrand","1945","05","07","Uruguay","Rivera",NA,NA,NA,NA,NA,"NY00561602",NA,NA,NA,NA,"Franqueras","s.n.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86348' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","561612","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","C. M. D. E. Legrand","R. Reitz","1965","12","14","Brazil","Paraná","Imbituva","-50.6042","-25.23",NA,NA,"NY00561612","NY00561612_01",NA,NA,NA,"Imbituva","17576",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86346' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","561607","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"R. Reitz","1953","02","05","Brazil","Santa Catarina","Palhoça","-48.6678","-27.6456",NA,NA,"NY00561607","NY00561607_01",NA,NA,NA,"Campo do Messisabú, Palhoça","5621","5","5","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=86360' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1145496","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.",NA,"D. S. Farias","1995","04","15","Brazil","Rio de Janeiro","Silva Jardim","-42.3917007446289","-22.6508007049561",NA,NA,"NY01145496","NY01145496_01",NA,NA,NA,"Reserva Biológica de Poço das Antas. Margens do Rio S?o João entre a BR 101 e a ponte da linha férrea. Área FP 010.","368",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1320076' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales","29995","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","561621","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna alpina","DC.","C. M. D. E. Legrand","L. B. Smith","1956","12","22","Brazil","Santa Catarina","Caçador","-51.0147","-26.7756",NA,NA,"NY00561621","NY00561621_01",NA,NA,NA,"Crest of Serra do Espigao, northeast of Caçador. 18 km.","9074","1250","1250","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=14799' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,"alpina",NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","778065","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna concinna","DC.","S. F. Smith","L. Scur","2000","03","25","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"NY00778065","NY00778065_01",NA,NA,NA,"Criúva","693","780","780","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=288230' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,"concinna",NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","561582","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","kleinii","Calyptranthes kleinii","D.Legrand","G. G. Hatschbach","G. G. Hatschbach","1979","11","22","Brazil","Paraná","Cerro Azul","-49.2608","-24.8236",NA,NA,"NY00561582","NY00561582_01",NA,NA,NA,"Rio Mato Preto. Margens rio Ribeira, proximo a corredeiras.","42579",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395011' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","561583","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","kleinii","Calyptranthes kleinii","D.Legrand","G. G. Hatschbach","G. G. Hatschbach","1977","05","04","Brazil","Paraná","Cerro Azul","-49.2608","-24.8236",NA,NA,"NY00561583","NY00561583_01",NA,NA,NA,"Barra do Turvo. Margens rio Ribeira.","39896",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395012' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","561584","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","kleinii","Calyptranthes kleinii","D.Legrand","L. R. Landrum","R. A. Wasum","1988","10","30","Brazil","Rio Grande do Sul","Caxias do Sul","-51.1792","-29.1683",NA,NA,"NY00561584","NY00561584_01",NA,NA,NA,"Caxias do Sul - Criuva - Ilhéus","s.n.","800","800","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=395013' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","561661","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","reitziana","Calyptranthes reitziana","D.Legrand","G. M. Barroso","B. D. Sucre","1971","12","16","Brazil","Rio de Janeiro","Rio de Janeiro","-43.2075","-22.9031",NA,NA,"NY00561661","NY00561661_01",NA,NA,NA,"Rio de Janeiro, Estrada Barra-Jacarepaguá (Av. Alvorada)","8111",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767300' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","561662","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","reitziana","Calyptranthes reitziana","D.Legrand","C. M. D. E. Legrand","G. G. Hatschbach","1967","12","07","Brazil","Paraná","Rio Branco do Sul","-49.426044","-24.915614",NA,NA,"NY00561662","NY00561662_01",NA,NA,NA,"Ribeirinha","18082",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=767301' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","561642","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","widgreniana","Calyptranthes widgreniana","O.Berg","C. M. D. E. Legrand","H. S. Irwin","1965","10","09","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"NY00561642","NY00561642_01",NA,NA,NA,"Confluence of Rio Torto with Lagôa Paranoá, Brasília.","9088","975","975","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739556' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","561641","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","widgreniana","Calyptranthes widgreniana","O.Berg","C. M. D. E. Legrand","R. Reitz","1956","09","07","Brazil","Santa Catarina","Palhoça","-48.694057","-27.77489",NA,NA,"NY00561641","NY00561641_01",NA,NA,NA,"Piloes, Palhoça","3659","250","250","Lenho na xiloteca. Vouchers for wood samples deposited at Syracuse University. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=739555' target='other'> <mi>dwc_moreinfo</mi></a>","South America","sheet",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","24848","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","Paschoal, M.E.S.","Paschoal, M.E.S.","2001","07","18","Brasil","São Paulo","Agudos",NA,NA,"9999","9999","BOTU024848",NA,"2001","07","18",NA,"2465",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","10475","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","Hatschbach, G.","Kummrow, R.","1983","02","01","Brasil","Paraná","Campo Largo",NA,NA,"9999","9999","BOTU010475",NA,"1983","03",NA,NA,"2210",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-18 09:30:14-03","UNESP-IBB","BOTU","26503","PreservedSpecimen","Plantae","Myrtaceae","Calyptranthes","concinna","Calyptranthes concinna","DC.","Silva, S.M.","Kersten, R.","1997","05","31","Brasil","São Paulo","Ribeirão Grande",NA,NA,"9999","9999","BOTU026503",NA,"1997","05",NA,NA,"62",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
