"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","barcode","geoFlag","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","locality","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","imagecode","dayIdentified","order","typeStatus","fieldNumber","preparationType","continentOcean","individualCount","class"
"11","2020-06-29 09:31:34-03","UFRRJ","RBR","38231","S","Plantae",NA,"Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","G.R. Souza","231","2002","09","27","Brasil","Rio de Janeiro","Volta Redonda","-44.1041984558105","-22.523099899292","16209","RBR00038231","auto","M.F.Santos","M.C. Souza","2015","11","ARIE Floresta da Cicuta, Floresta da Cicuta no Município de Volta Redonda, RJ. Médio Paraíba do Sul. Floresta semidecidual, Coordenadas 22°32#?#51,38#?##?#S 44°05#?#13,60#?##?# O. Coletada as margens do riacho água fria.",NA,NA,NA,NA,NA,"RBR00038231","27",NA,NA,NA,NA,NA,NA,NA
"12","2020-06-29 09:31:34-03","UFRRJ","RBR","44134","S","Plantae",NA,"Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","R.A. Coelho; M.C. Souza, J. Costa","16","2018","03","27","Brasil","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","-22.9027996063232","57442","RBR00044134","auto","M.F.Santos","M.C. Souza","2018","04","Campus Fiocruz Mata Atlântica. Parque Estadual da Pedra Branca",NA,NA,NA,NA,NA,NA,"05",NA,NA,NA,NA,NA,NA,NA
"13","2020-06-29 09:31:34-03","UFRRJ","RBR","38237","S","Plantae",NA,"Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","G.R. Souza; N.C.","487","2002","09","27","Brasil","Rio de Janeiro","Volta Redonda","-44.1041984558105","-22.523099899292","16209","RBR00038237","auto","M.F.Santos","M.C. Souza","2015","11","'Floresta da Cicuta,Médio Paraíba do Sul. Município de Volta Redonda, Rio de Janeiro, Brasil. Floresta semidecidual, coordenadas 22°32#?#51,28#?##?# S ,44°05#?#13,60#?##?# O.'",NA,NA,NA,NA,NA,"RBR00038237","27",NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 09:31:34-03","UFRRJ","RBR","44888","S","Plantae",NA,"Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","B.L. Tiellet","19","2019","01","02","Brasil","Rio de Janeiro","Paraty","-44.7131004333496","-23.2178001403809","34470","RBR00044888","auto","M.F.Santos","M.C. Souza","2019","01","Martim de Sá, Trilha do encontro do rio com o mar, na beira do rio.",NA,NA,NA,NA,NA,"RBR00044888","07",NA,NA,NA,NA,NA,NA,NA
"15","2019-11-01 15:33:06-03","PUC-RIO","FCAB","7754","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","J.M. Freire; R.R. Oliveira; B.L. Rosendo","121","2009","11","05","Brasil","Rio de Janeiro","Camorim","-75.0235","-66.381667",NA,"FCAB007754",NA,"M.F.Santos","M. Souza",NA,NA,"Maciço da Pedra Branca 4.2","-75.0235","-66.381667","180","180","Árvore com 6 mde altura, com 32 cm de CAP. Folhas grandes e duras, com cheiro de goiaba.",NA,NA,"Angiospermae",NA,NA,NA,NA,NA,NA
"16","2015-09-04 13:59:06-03","MNHN","RECOLNAT_MNHN_P","P00217937","PreservedSpecimen",NA,NA,"Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Glaziou, A.",NA,"1880","2","1","Brésil",NA,NA,NA,NA,NA,"P00217937",NA,"Kiaersk",NA,NA,NA,"Rio de Janeiro. Serra da Estrela.",NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00217937' target='other'> <mi>dwc_moreinfo</mi></a>","P00217937_01",NA,NA,"isotype","11998","hb",NA,NA,NA
"17","2020-12-11 11:39:26-03","UFMG","BHCB","128714","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","Marquete, R; Marquete, R; Faria, M","4193","2008","07","10","Brasil","Rio de Janeiro","Paraty","-44.639444","-23.330556",NA,"BHCB032747",NA,"M.F.Santos",NA,"2014",NA,"Trilha para a Praia do Sono, lado direito em direção ao Sono, próximo a Pedra Grande de onde se avista a enseada do Sono","-44.639444","-23.330556",NA,NA,"Árvore semi-heliófila com ca. 8m de altura. Tronco com casca lisa, com liquens, cor acinzentada. Folhas coriáceas, discolores verdes, opacas nas duas faces. Frutos imaturos verdes",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"18","2020-12-11 11:39:26-03","UFMG","BHCB","109591","PreservedSpecimen","Plantae","Dicotyledon","Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","Assis, AM de","83","1993","01","13","Brasil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265",NA,"auto","M.F.Santos",NA,"2014",NA,"Picinguaba, Trilha Praia Brava.",NA,NA,NA,NA,"Árvore 7m altura. Botões castanhos-acinzentados.",NA,NA,NA,NA,NA,NA,"Southern America",NA,NA
"19","2012-03-28 15:50:00-03","MO","MOBOT","311332","PreservedSpecimen","Plantae",NA,"Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Ariane L. Peixoto|et al.","Peixoto 4177","1987","1","22","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"Kiaersk.","K. Matsumoto",NA,NA,"Jacarepagua, represa de Camorin. Floresta Atlantica de encosta. Transect 10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"87-12",NA,"South America","2",NA
"20","2020-06-17 15:25:19-03","UNESP-RC","HRCB","16264","PreservedSpecimen","Plantae",NA,"Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","Sanchez, M.",NA,NA,NA,NA,"Brasil","São Paulo","Ubatuba","-45.0699996948242","-23.4300003051758","34265",NA,"auto","Kiaersk. ","Kazue Matsumoto",NA,NA,"Picinguaba - Parque Estadual da Serra do Mar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-18 11:41:00-03","UERJ","HRJ","11704","PreservedSpecimen","Plantae",NA,"Myrtaceae","Marlierea","glazioviana","Marlierea glazioviana","?","s.n.",NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988","HRJ00011654","auto","Kiaersk.",NA,NA,NA,"Ilha Grande.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-18 11:41:00-03","UERJ","HRJ","12404","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","L. P. G. Rosa; W. Silva, L. Mauad, M. C. Fraga, R. Cesar","s.n.","2011","07","19","Brasil","Rio de Janeiro","Angra dos Reis","-44.3180999755859","-23.0067005157471","32988","HRJ00012854","auto","M.F.Santos","M.C. Souza",NA,NA,"Ilha Grande.",NA,NA,"730","730",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-11-13 11:27:04-03","USP","SPF","145005","PreservedSpecimen","Plantae",NA,"Myrtaceae","Myrcia","insigniflora","Myrcia insigniflora","Lobão, AQ","514","2001","01","20","Brasil","São Paulo",NA,NA,NA,NA,"SPF00145005",NA,"M.F.Santos","Santos, MF","2014",NA,"Parque Estadual da Serra do Mar, Picinguaba.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
