"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","typeStatus","coordinatePrecision","geoFlag","individualCount","fieldNumber","relatedCatalogItem"
"23","2021-01-14 15:21:34-03","MN","R","208502","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Fontella, J.P. 4024; Santo, I.E.",NA,"2007","12","12",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Castilhori, M.F. & Santo, I.E.","2008","04","07",NA,NA,NA,NA,"13257","auto",NA,NA,NA
"24","2021-01-14 15:21:34-03","MN","R","200138","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 901; Faria, E.",NA,"2001","06","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Moreira, F.F.","2002","10","04",NA,NA,NA,NA,"13257","auto",NA,NA,NA
"25","2021-01-14 15:21:34-03","MN","R","200137","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 902; Faria, E.",NA,"2001","06","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Moreira, F.F.","2002","10","04",NA,NA,NA,NA,"13257","auto",NA,NA,NA
"26","2021-01-14 15:21:34-03","MN","R","200136","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 903; Faria, E.",NA,"2001","06","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13257","auto",NA,NA,NA
"27","2021-01-14 15:21:34-03","MN","R","195850","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Sampaio, R. 119; Mello Filho, L.E.",NA,"1994","12","10",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13257","auto",NA,NA,NA
"28","2021-01-14 15:21:34-03","MN","R","190495","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Silva, I.M. 343; Silva, J.G. & Oliveira, M.C.",NA,"1996","08","13",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Santos, L.B.","1997","04","22",NA,NA,NA,NA,"13257","auto",NA,NA,NA
"29","2021-01-14 15:21:34-03","MN","R","190336","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 434; Silva, I.M. 404; Souza, C. 48 & Souza, P.C.T.",NA,"1996","10","29",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Silva, I.M.","1996","10","29",NA,NA,NA,NA,"13257","auto",NA,NA,NA
"30","2021-01-14 15:21:34-03","MN","R","187252","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Fontella, J.P. 3232; Correa, M.C.R.; Santos, L.B. & Nascimento, E.P.",NA,"1994","12","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Santos, L.B.","1994","12","08",NA,NA,NA,NA,"13257","auto",NA,NA,NA
"31","2021-01-14 15:21:34-03","MN","R","191875","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Pereira, M.C.A.","1108","1997","01","29",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Carapebus","-41.6610984802246","-22.1872005462646",NA,NA,"Araújo, D.","1997","02","04",NA,NA,NA,NA,"13257","auto",NA,NA,NA
"32","2021-01-14 15:21:34-03","MN","R","190407","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A. 3796; Esteves, R.L.; Senna-Valle, L. 566; Vieira, M.L.M. & Santos, C.P.R.",NA,"1996","02","28",NA,"Brasil","Rio de Janeiro",NA,NA,"Projeto Restinga de Carapebus",NA,NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,"Souza, A.",NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA
"33","2021-01-14 15:21:34-03","MN","R","187407","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Silva, J.G.; Silva, I.M. 170 & Oliveira, M. 74","3061","1995","04","18",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,"Santos, L.B.",NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA
"34","2021-01-14 15:21:34-03","MN","R","176395","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.","3381","1990","12","14",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA
"35","2021-01-14 15:21:34-03","MN","R","175180","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.","3373","1990","12","04",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA
"36","2021-01-14 15:21:34-03","MN","R","175179","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.","3380","1990","12","14",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA
"37","2021-01-14 15:21:34-03","MN","R","174076","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.","3337","1990","11","12",NA,"Brasil","Rio de Janeiro",NA,NA,"Projeto em Área de Impacto - Restinga - CNPq",NA,NA,"Macaé","-41.7868995666504","-22.3708000183105",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47209","auto",NA,NA,NA
"38","2021-01-14 15:21:34-03","MN","R","181939","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.",NA,"1989","10",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA
"39","2021-01-14 15:21:34-03","MN","R","168698","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.","2079","1988","04","07",NA,"Brasil","Rio de Janeiro",NA,NA,"Projeto em Área de Impacto - Restinga - CNPq",NA,NA,"Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"Souza, A.","1988","05",NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA
"40","2021-01-14 15:21:34-03","MN","R","168697","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.","209","1988","04","10",NA,"Brasil","Rio de Janeiro",NA,NA,"Projeto em Área de Impacto - Restinga - CNPq",NA,NA,"Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA
"41","2021-01-14 15:21:34-03","MN","R","168696","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Alves, M.V.S.","136","1989","01","20",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA
"42","2021-01-14 15:21:34-03","MN","R","168695","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Souza, A.","2342","1988","12","17",NA,"Brasil","Rio de Janeiro",NA,NA,"Projeto em Área de Impacto - Restinga - CNPq",NA,NA,"Maricá","-42.8185997009277","-22.9193992614746",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA
"43","2021-04-02 18:54:33-03","MN","R","220871","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Pinheiro","248","1988","03","03",NA,"Brasil","Rio de Janeiro",NA,NA,"Projeto em área de impacto - Restinga - CNPq | Sub Projeto Aspectos Reprodutivos e Fenológicos",NA,NA,"Maricá","-42.8185997009277","-22.9193992614746",NA,NA,"Oliveira, A.",NA,NA,NA,NA,NA,NA,NA,"20726","auto",NA,NA,NA
"44","2021-01-14 15:21:34-03","MN","R","199157","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C.","781","2001","03","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Moreira, F.F.","2001","03","06",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"45","2021-01-14 15:21:34-03","MN","R","199224","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Fontella, J.P. 3508; Martins, V.L.C.",NA,"2001","04","17",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Fernandes, M.A.","2005","08","01",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"46","2021-01-14 15:21:34-03","MN","R","199319","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Silva, I.M. 758; Souza, P.C.T.",NA,"2001","05","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Moreira, F.F.","2002","10","04",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"47","2021-01-14 15:21:34-03","MN","R","199320","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Silva, I.M. 793; Souza, P.C.T.",NA,"2001","05","09",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Moreira, F.F.","2002","10","04",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"48","2021-01-14 15:21:34-03","MN","R","199612","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Fontella, J.P. 3565; Silva, I.M.",NA,"2001","11","20",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Moreira, F.F.","2001","11","20",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"49","2021-01-14 15:21:34-03","MN","R","200134","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C. 944; Faria, E.",NA,"2001","06","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Moreira, F.F.","2002","10","04",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"50","2021-01-14 15:21:34-03","MN","R","200419","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Martins, V.L.C.; Oliveira, M.C.",NA,"2001","12","06",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Moreira, F.F.","2002","10","04",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"51","2021-01-14 15:21:34-03","MN","R","200901","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Silva, I.M. 931; Faria, E.",NA,"2002","05","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Santos, L.B.","2003","06","11",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"52","2021-01-14 15:21:34-03","MN","R","202532","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Oliveira, M.C.","778","2000","11","08",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"33509","auto",NA,NA,NA
"53","2021-01-14 15:21:34-03","MN","R","204374","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Mello Filho, L.E. 6373; Godinho, R.",NA,"1999","03","18",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"Quissamã","-41.4721984863281","-22.1067008972168",NA,NA,"Gabrielle, R. & Lira, M.","2011","06","15",NA,NA,NA,NA,"33509","auto",NA,NA,NA
"54","2021-01-14 15:21:34-03","MN","R","12145","PreservedSpecimen","Plantae",NA,NA,"Apocynaceae","Mandevilla","fragrans","Mandevilla fragrans","(Stadelm.) Woodson","Glaziou, A.F.M.","11187","1878","12","20",NA,"Brasil","Rio de Janeiro",NA,NA,"Plantas do Brasil Central","R000012145","R000012145_001","Rio de Janeiro","-43.2075004577637","-22.9027996063232",NA,NA,"Santos, L.B.","1997","06","26",NA,NA,NA,NA,"57442","auto",NA,NA,NA
