"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","month","day","verbatimLongitude","verbatimLatitude","monthIdentified","coordinatePrecision","geoFlag","class","dayIdentified","individualCount"
"11","2020-12-21 16:23:46-03","MBM","MBM","320001","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Pastore, J.A.; Moura, C.; Moura, C.","1260","2003","Southern America","Brazil","São Paulo","São Vicente","Parque Estadual Xixová-Japuí, Região de Paranapuã","-46.371944","-23.976944",NA,NA,NA,"Porte arbóreo, 4m altura, flores albo esverdeadas.; Mata de restinga, alterada.","MBM320001","MBM320001","Mendonça, J.O.; Amaral, A.A.","2006","09","19","-46.371944","-23.976944",NA,NA,NA,NA,NA,NA
"12","2020-12-21 16:23:46-03","MBM","MBM","194955","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","PARATYPE","Reitz, R.; Klein, R.M.; Klein, R.M.","3894","1956","Southern America","Brazil","Santa Catarina","Palhoça","Pilões","-48.6678009033203","-27.645299911499","350","350",NA,"Arbusto com 2 m de altura; fruto maduro roxo-escuro.; Mata.","MBM194955",NA,"Mendonça, J.O.","1995","10","25",NA,NA,"10","31105","auto",NA,"25",NA
"13","2020-12-21 16:23:46-03","MBM","MBM","194954","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","ISOTYPE","Reitz, R.; Klein, R.M.; Klein, R.M.","3253","1956","Southern America","Brazil","Santa Catarina","Palhoça","Pilões","-48.6678009033203","-27.645299911499","350","350",NA,"Arbusto com 3 m de altura; flor branca.; Mata.","MBM194954",NA,"Mendonça, J.O.","1995","06","07",NA,NA,"10","31105","auto",NA,"25",NA
"14","2021-02-11 17:18:48-03","UFPR","UPCB","31998","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","A.Amaral",NA,"Falkenberg, D.B.","6220","1993",NA,"Brasil","Santa Catarina","Ilhota","Morro do Baú","-48.8272018432617","-26.8997001647949",NA,NA,NA,"Arbusto, 3m, flor branco amarelada, fruto imaturo verde..",NA,NA,"Falkenberg, D.B.","1993","05","08",NA,NA,"01","18275","auto",NA,"01",NA
"15","2018-06-22 05:25:00-03","MO","MOBOT","2458621","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Pe. Raulino Reitz|Roberto M. Klein","Reitz 3253","1956","South America","Brazil","Santa Catarina",NA,"Pilões. Santo Amaro da Imperatriz",NA,NA,"350.00000000",NA,NA,NA,NA,NA,"Amaral, A.",NA,"6","7",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-25 10:12:48-03","CVRD","CVRD","14633","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Pastore, J.A.","1257","2003","América do Sul","BRASIL","SP","São Vicente",NA,"-46.371944","-23.976944",NA,NA,NA,"Região do paranapuã, mata de restinga, alterada. <ll>dwc_commonname:</ll> Epadú xová","CVRD014633","CVRD014633","J.O. Mendonça & A. A. Amaral","2006","09","19","46°22'19W","23°58'37S","08",NA,NA,"Magnoliopsida","01",NA
"17","2020-09-12 05:00:02-03","US","US","2252382","PreservedSpecimen","Plantae",NA,"Linales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"R. Reitz & R. M. Klein","3217","1956","South America","Brazil","Santa Catarina","Palhoça","Pilões","-48.6678009033203","-27.645299911499","300",NA,NA,NA,"US01855262","US01855262_01 US01855262_02",NA,NA,"5","3",NA,NA,NA,"31105","auto","Dicotyledonae",NA,"1"
"18","2020-09-12 05:00:02-03","US","US","2220464","PreservedSpecimen","Plantae",NA,"Linales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"R. M. Klein","779","1954","South America","Brazil","Santa Catarina","Itajaí","Morro da Cruz","-48.6618995666504","-26.9078006744385","50",NA,NA,NA,"US01855263","US01855263_01 US01855263_02",NA,NA,"6","28",NA,NA,NA,"27253","auto","Dicotyledonae",NA,"1"
"19","2020-09-12 05:00:02-03","US","US","2252384","PreservedSpecimen","Plantae",NA,"Linales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","Isotype","R. Reitz & R. M. Klein","3253","1956","South America","Brazil","Santa Catarina","Palhoça","Piloes.","-48.6678009033203","-27.645299911499",NA,NA,NA,NA,"US00101256","US00101256_01",NA,NA,"6","7",NA,NA,NA,"31105","auto","Dicotyledonae",NA,"1"
"20","2020-09-12 05:00:02-03","US","US","2252446","PreservedSpecimen","Plantae",NA,"Linales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"R. Reitz & R. M. Klein","3894","1956","South America","Brazil","Santa Catarina","Palhoça","Pilões","-48.6678009033203","-27.645299911499","350",NA,NA,NA,"US01855261","US01855261_01 US01855261_02",NA,NA,"10","25",NA,NA,NA,"31105","auto","Dicotyledonae",NA,"1"
"21","2019-10-07 09:30:12-03","UEFS","HUEFS","185019","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Pastore, J.A.","1260","2003",NA,"Brasil","São Paulo","São Vicente","Parque Estadual Xixová-Japuí, região de Paranapuã, caminho para o CECOF, área alterada, mata de restinga.","-46.371944","-23.976944",NA,NA,NA,NA,"HUEFS0185019","HUEFS0185019",NA,NA,"09","19","46W22'19''","23S58'37''",NA,NA,NA,"Rosanae",NA,NA
"22","2015-03-06 21:41:41-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,NA,"R. Reitz & R. M. Klein","3217",NA,"South America","Brazil","Santa Catarina",NA,"Piloes, Palhoca",NA,NA,"300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"23","2015-03-06 21:41:41-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,NA,"R. Reitz & R. M. Klein","3894",NA,"South America","Brazil","Santa Catarina",NA,"Piloes, Palhoca",NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"24","2019-09-04 17:51:15-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,"Isotype","R. Reitz & R. M. Klein","3253","1956","South America","Brazil","Santa Catarina",NA,"Piloes, Palhoca",NA,NA,"350",NA,NA,NA,NA,NA,NA,NA,"6","7",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"25","2015-03-06 21:41:41-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,NA,"R. M. Klein","779",NA,"South America","Brazil","Santa Catarina",NA,"Morro do Cruz, Itajai",NA,NA,"50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"26","2019-01-23 10:58:25-02","F","FMNH-SEEDPLANTS","V0055632F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,"Isotype","R. Reitz & R. M. Klein","3253","1956","South America","Brazil","Santa Catarina",NA,"Piloes, Palhoca",NA,NA,"350",NA,NA,NA,"V0055632F","V0055632F_01",NA,NA,"6","7",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"27","2021-02-23 13:22:23-03","MN","R-TIPOS","116921","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","Isoparatypus","Klein, R.M.","799","1954",NA,"Brasil","Santa Catarina","Itajaí","Morro da Cruz","-48.6618995666504","-26.9078006744385","50","50",NA,NA,"R000116921","R000116921_001","Amaral Jr, A.","1997","06","28",NA,NA,"07","27253","auto",NA,"18",NA
"28","2021-02-23 13:22:23-03","MN","R-TIPOS","116943","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","Isotypus","Reitz, R.; Klein, R.M.","3253","1956",NA,"Brasil","Santa Catarina","Palhoça","Pilões","-48.6678009033203","-27.645299911499","350","350",NA,NA,"R000116943","R000116943_001","Amaral Jr, A.","1997","06","07",NA,NA,"07","31105","auto",NA,"17",NA
"29","2021-02-23 13:22:23-03","MN","R-TIPOS","116940","PreservedSpecimen","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","Isoparatypus","Reitz, R.; Klein, R.M.","3894","1956",NA,"Brasil","Santa Catarina","Palhoça","Pilões","-48.6678009033203","-27.645299911499","350","350",NA,NA,"R000116940","R000116940_001","Amaral Jr, A. & Mendonça, J.O.","1997","10","25",NA,NA,"07","31105","auto",NA,"17",NA
"30","2020-08-20 20:39:36-03","UFSC","FLOR","4667","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","Paratypus","Bresolin, A.","257","1971",NA,"Brasil","Santa Catarina","Governador Celso Ramos","Palmas.","-48.5592002868652","-27.3146991729736","200","200",NA,"árvore, flor branca, 3m altura. PARATYPUS de Erythroxylum catharinense- FIC(ERIT): 46, 1980","FLOR0004667",NA,"Amaral Jr, A.","1979","06","26",NA,NA,NA,"13751","auto",NA,NA,NA
"31","2020-08-20 20:39:36-03","UFSC","FLOR","23246","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Falkenberg, D.B.","6220","1993",NA,"Brasil","Santa Catarina","Ilhota","Morro do Baú.","-48.8272018432617","-26.8997001647949","700","700",NA,"arbusto, flor branco-amarelada, Fruto Imaturo, verde, 3m altura. Estípulas com nervuras.","FLOR0023246",NA,"Falkenberg, D.B.","1993","05","08",NA,NA,NA,"18275","auto",NA,NA,NA
"32","2020-08-20 14:57:13-03","UFSC","FLOR","8684","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Falkenberg, D.B.; Padovani, C.R.","2550","1985",NA,"Brasil","Santa Catarina","Palhoça","Morro Cambirela.","-48.6678009033203","-27.645299911499","400","400",NA,"arvoreta, 4m altura","FLOR0008684",NA,"Costa-Lima, J.L.","2012","08","03",NA,NA,"11","31105","auto",NA,"20",NA
"33","2020-08-20 14:57:13-03","UFSC","FLOR","4668","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Klein, R.M.; Bresolin, A.","9416","1971",NA,"Brasil","Santa Catarina","Palhoça","Morro do Cambirela.","-48.6678009033203","-27.645299911499","800","800",NA,"arbusto, flor branca, 2m altura","FLOR0004668",NA,NA,NA,"05","18",NA,NA,NA,"31105","auto",NA,NA,NA
"34","2020-08-20 14:57:13-03","UFSC","FLOR","4669","PreservedSpecimen","Plantae",NA,"Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral",NA,"Klein, R.M.","9819","1971",NA,"Brasil","Santa Catarina","Paulo Lopes","Costa do morro de Paulo Lopes.","-48.6836013793945","-27.9617004394531","300","300",NA,"arbusto, Fruto Maduro, roxo escuro, 3m altura","FLOR0004669",NA,"Costa-Lima, J.L.","2012","10","19",NA,NA,"11","23385","auto",NA,"19",NA
"35","2021-03-04 15:44:32-03","IF","SPSF","32353","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,NA,"J.A.Pastore & C.Moura","1243","2003","América do Sul","Brasil","SP","São Vicente","Parque Estadual Xixová-Japuí","-46.371944","-23.976944",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: região de Paranapuã, mata&nf;;",NA,NA,"J.O.Mendonça","2006","08","15",NA,NA,"08",NA,NA,"Magnoliopsida","31",NA
"36","2021-03-04 15:44:32-03","IF","SPSF","32426","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,NA,"J.A.Pastore & C.Moura","1257","2003","América do Sul","Brasil","SP","São Vicente","Parque Estadual Xixová-Japuí","-46.411667","-23.976944",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Mata de Restinga, alterada&nf;Arvoreta até 3m altura; flores alvas.;",NA,NA,"J.O.Mendonça","2006","09","19",NA,NA,"08",NA,NA,"Magnoliopsida","30",NA
"37","2021-03-04 15:44:32-03","IF","SPSF","32429","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense",NA,NA,"J.A.Pastore & C.Moura","1260","2003","América do Sul","Brasil","SP","São Vicente","Parque Estadual Xixová-Japuí","-46.371944","-23.976944",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;mata de restinga;",NA,NA,"J.O.Mendonça","2006","09","19",NA,NA,"08",NA,NA,"Magnoliopsida","30",NA
"38","2021-02-08 12:40:56-03","UFRGS","ICN","157228","S","Plantae","Dicotyledon",NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral Jr.",NA,"Falkenberg, DB","6220","1993","América do Sul","Brasil","SC","Ilhota","Morro do Baú","-48.8272018432617","-26.8997001647949","700","700",NA,"Doação do Herbário FLOR; arbusto, 3m, flores branco-amareladas, fruto imaturo verde, estípulas com nervuras; interior de mata atlântica de topo de morro",NA,NA,"Falkenberg, DB",NA,"05","08",NA,NA,NA,"18275","auto",NA,NA,NA
"39","2014-09-23 10:47:08-03","G","G","G00352287","S","Plantae",NA,NA,"Erythroxylaceae","Erythroxylum","catharinense","Erythroxylum catharinense","Amaral","ISOTYPUS of Erythroxylum catharinense Amaral","Reitz, R. & R. M. Klein","3253","1953","AMERIQUE DU SUD","Brazil","Santa Catarina",NA,NA,"-51.16277778","-27.02861111","350","350",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00352287",NA,"Loida, I.","2000","06","07","-51.16277778","-27.02861111","01",NA,NA,NA,"01",NA
