"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","typeStatus","infraspecificEpithet","county","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","fieldNumber","individualCount","relatedCatalogItem","previousCatalogNumber"
"16","2021-03-15 16:37:00-03","NY","NYBG","393518","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","M. G. da Silva","4566","1979","05","22","South America","Brazil","Rondônia","Arredores do aeroporto","-60.1456","-12.7408","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302862' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393518","NY00393518_01","M. G. da Silva",NA,NA,"Vilhena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01081409","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","E. P. Heringer","2908","1979","12","11","South America","Brazil","Distrito Federal","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226224' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081409","NY01081409_01","E. Forero",NA,NA,"Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","00922526","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","J. A. Ratter","R.3501","1976","08","27","South America","Brazil","Distrito Federal","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.935","-15.9519","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991508' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922526","NY00922526_01","E. Forero",NA,"fulvus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-27 18:24:00-03","NY","NYBG","00922556","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","V. V. Mecenas","13","1991","04","26","South America","Brazil","Distrito Federal","Area de Proteçao Ambiental (APA) de Cafuringa. Faz. Palestina. Parcela II. 12° de inclinação.","-48.17","-15.52","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999990' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922556","NY00922556_01",NA,NA,"fulvus","Brasília","790","790",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","487009","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","J. G. Jardim","901","1996","08","10","South America","Brazil","Bahia","Ca. de 17 km a W da sede do municópio, na Rod. BA 349 no sentido Correntina/Brasilia","-44.73","-13.42","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=315806' target='other'> <mi>dwc_moreinfo</mi></a>","NY00487009","NY00487009_01","E. Forero",NA,"fulvus","Correntina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01198520","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","W. W. Thomas","5582","1987","12","03","South America","Bolivia","Santa Cruz","Serrania de Huanchaca, Parque Nacional Prof. Noel Kempff Mercado, Cerrado between airstrip and destroyed cocaine refinery.","-60.72","-13.98","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1416610' target='other'> <mi>dwc_moreinfo</mi></a>","NY01198520",NA,"O. Kosovsky",NA,NA,"José Miguel de Velasco","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00922534","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","L. V. Costa","26325","1993","01",NA,"South America","Brazil","Minas Gerais","Januária, Min. Peruaçu.","-44.2547","-15.12","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991556' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922534","NY00922534_01","L. V. Costa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00922612","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","J. A. Ratter","R3699","1976","09","29","South America","Brazil","Distrito Federal","Close to the campus of the University of Brasília","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000512' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922612","NY00922612_01",NA,NA,"fulvus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00922608","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","J. A. Ratter","266","1967","08","02","South America","Brazil","Mato Grosso","6 km. SW of Xavantina","-52.33","-14.73","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000502' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922608","NY00922608_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","393519","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","G. T. Prance","25092","1977","11","09","South America","Brazil","Pará","Serra do Cachimbo, BR 163, Cuiabá-Santarém Highway; BR 163, km 807.5","-54.8435462","-9.3406589","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302854' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393519","NY00393519_01","E. V. Carbono; E. Forero",NA,NA,NA,"520","520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","10916","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","P. Clausen","472","1838",NA,NA,"South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","Bois. No. 51. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00010916","NY00010916_01","E. Forero","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00922518","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","R. Goodland","851","1967",NA,NA,"South America","Brazil","Minas Gerais","Triângulo region.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991496' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922518","NY00922518_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","10918","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","P. Clausen","472","1838",NA,NA,"South America","Brazil","Minas Gerais","Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,"sheet","Bois. No. 51. <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=302860' target='other'> <mi>dwc_moreinfo</mi></a>","NY00010918","NY00010918_01","E. Forero","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00922560","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","R. C. de Mendonça","2217","1994","10","25","South America","Brazil","Goiás","Chapada dos Veadeiros. Proximo ao bar da BR-414 na estrada de chao que liga cocalzinho a Barro Alto.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000032' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922560","NY00922560_01","E. Forero",NA,"fulvus","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00922549","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","D. Philcox","3265","1967","11","26","South America","Brazil","Mato Grosso","Immediately SE of base camp","-51.82","-12.82","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000071' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922549","NY00922549_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00922529","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus","Planch.","J. A. Rizzo","5437","1970","08","22","South America","Brazil","Goiás","Est. 3","-49.4264","-16.4961","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922529","NY00922529_01","E. Forero",NA,NA,"Goianira",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00922599","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","S. G. da Fonsêca","310","1967","08","23","South America","Brazil","Goiás","Serra Dourada. Próximo a pedra goiana.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000447' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922599","NY00922599_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00922563","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","M. Aparecida da Silva","2245","1994","09","05","South America","Brazil","Goiás","Chapada dos Veadeiros. 36 km de Alto Paraiso/Vale da Lua próximo ao povoado de São Jorge.","-47.5097","-14.1325","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000052' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922563","NY00922563_01","E. Forero",NA,"fulvus","Alto Paraíso de Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00922546","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","E. Forero","3732","1977","09","18","South America","Brazil","Distrito Federal","Brasília, Península Norte.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=991743' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922546","NY00922546_01","E. Forero",NA,"fulvus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00922587","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","H. S. Irwin","17642","1966","06","23","South America","Brazil","Goiás","Ca. 70 km. S. E. of Aragarças, road to Piranhas. Drainage of the Upper Rio Araguaia.","-52.03","-16.4","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000384' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922587","NY00922587_01","E. Forero",NA,"fulvus","Piranhas","700","700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01081406","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","E. P. Heringer","164","1977","10","03","South America","Brazil","Distrito Federal","RECOR, picada M-3.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226131' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081406","NY01081406_01","E. Forero",NA,"fulvus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01081408","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","E. P. Heringer","16906","1977","08","06","South America","Brazil","Distrito Federal","Campo da UnB Brasília.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226222' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081408","NY01081408_01","E. Forero",NA,"fulvus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00922601","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","P. E. Gibbs","2739","1976","09","08","South America","Brazil","Goiás","Em cerrado na Serra Dourada.","-50.1403","-15.9344","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000452' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922601","NY00922601_01","E. Forero",NA,"fulvus","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","01081405","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","E. P. Heringer","29","1977","09","09","South America","Brazil","Distrito Federal","Margem da Rodovia Brasília - Unaí.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226094' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081405","NY01081405_01","E. Forero",NA,"fulvus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00922600","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","A. Macedo","3589","1952","07","22","South America","Brazil","Goiás",NA,"-48.9592","-15.8525","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000451' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922600","NY00922600_01","E. Forero",NA,"fulvus","Pirenópolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00922807","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","D. Philcox","3265","1967","11","26","South America","Brazil","Mato Grosso","Immediately SE of base camp","-51.82","-12.82","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1002103' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922807","NY00922807_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01081407","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","E. P. Heringer","14900","1976","01","30","South America","Brazil","Distrito Federal","Escola Fazendária.","-47.9294","-15.7797","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1226220' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081407","NY01081407_01","E. Forero",NA,"fulvus","Brasília",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00922611","PreservedSpecimen","Plantae","Magnoliophyta","Oxalidales","Connaraceae","Connarus","suberosus","Connarus suberosus fulvus","(Planch.) Forero","J. A. Ratter","R.2145","1968","07","11","South America","Brazil","Mato Grosso","2 km E. of the Base Camp of the Expedition. (Base Camp c. 270 km N. of Xavantina.)","-51.87","-12.9","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1000510' target='other'> <mi>dwc_moreinfo</mi></a>","NY00922611","NY00922611_01","E. Forero",NA,"fulvus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
