"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","fieldNumber","class","minimumElevationInMeters","maximumElevationInMeters","relatedCatalogItem"
"12","2018-05-22 09:31:00-03","MO","MOBOT","3029165","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.","A. Campos-Rocha","Amorim","Amorim 1350","1993","9","14","South America","Brazil","Bahia",NA,"Mpio de Una, Reserva Biológica do Mico-leao (IBAMA). Entrada no km 46 da Rod. BA-001 Ilhéus/Una. Regiao da Mata Hidrófila Sul Baina. Coletas efetuadas na picada paralela do Rio Maruim.","-39.08333","-15.15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-04 11:04:17-03","UFRB","HURB","16020","PreservedSpecimen","Plantae",NA,NA,"Amarylidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Silva, T.T.; Araújo, G.P.; Santos, L.G.S.","108","2017","06","13",NA,"Brasil","Bahia","Laje","Fazenda Sete Voltas;","-39.337222","-13.150278",NA,NA,"HURB000016020","HURB000016020",NA,NA,NA,"39º20'14W","13º9'01S",NA,NA,NA,NA,NA,NA,NA
"14","2019-10-07 09:19:43-03","UEFS","HUEFS","242622","PreservedSpecimen","Plantae","Angiospermae","Asparagales","Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Costa-Lima, J.L.","2449","2016","07","30",NA,"Brasil","Bahia","Una","Reserva Biológica (Rebio) de Una, ao longo da Trilha do Príncipe.","-39.081111","-15.169722",NA,NA,"HUEFS0242622","HUEFS0242622",NA,NA,NA,"39W4'52''","15S10'11''",NA,NA,NA,"Lilianae","80","80",NA
"15","2020-07-23 11:56:43-03","CEPLAC","CEPEC","5536","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"J. Dutilh","T. S. dos Santos","535","1969","12","10",NA,"Brasil","Bahia","ILHÉUS","Área do CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,"30/09/2012"
"16","2020-07-23 11:56:43-03","CEPLAC","CEPEC","14187","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"A. M. de Carvalho","S. A. Mori","10441","1978","09","13",NA,"Brasil","Bahia","MUCURÍ","4 Km W Mucuri. Restinga","-39.5508003234863","-18.0863990783691",NA,"<ll>dwc_commonname:</ll> Cebola-do-mato",NA,NA,NA,NA,NA,"0*0'99","99*99'99","78440","auto",NA,NA,NA,NA,"02/09/1980"
"17","2020-07-23 11:56:43-03","CEPLAC","CEPEC","15116","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"P. F. Ravenna","A. Eupunino","366","1984","04","04",NA,"Brasil","Bahia","PORTO SEGURO","16Km a W cidade, BR-367, Prox. a ESPAB.","-39.0647010803223","-16.4496994018555",NA,NA,NA,NA,NA,NA,NA,NA,NA,"68835","auto",NA,NA,NA,NA,"07/08/1979"
"18","2020-07-23 11:56:43-03","CEPLAC","CEPEC","18571","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"P. F. Ravenna","L. A. Mattos-Silva","687","1979","10","31",NA,"Brasil","Bahia","ITAMARAJÚ","5Km ao NW cidade, Faz. Pau-brasil.","-39.55","-17.016667",NA,NA,NA,NA,NA,NA,NA,"39W33'0","17S1'0",NA,NA,NA,NA,NA,NA,"18/03/1980"
"19","2020-07-23 11:56:43-03","CEPLAC","CEPEC","58788","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"J. Dutilh","A. M. Amorim","1350","1993","09","14",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão. Entrada Km 46 BA-001 Ilheus/Una. Picada paralela do Rio Maruim.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,"39W5'","15S9'",NA,NA,NA,NA,NA,NA,"30/09/2012"
"20","2020-07-23 11:56:43-03","CEPLAC","CEPEC","62070","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"H. Huaylla","J. G. Jardim","543","1994","07","28",NA,"Brasil","Bahia","UNA","Reserva Biológica do Mico-leão (REBIO). Entrada Km 46 BA-001 Ilheus/Uma. Picada paralela ao Rio Maruim.","-39.083333","-15.15",NA,NA,NA,NA,NA,NA,NA,"39W5'","15S9'",NA,NA,NA,NA,NA,NA,"24/11/2015"
"21","2020-07-23 11:56:43-03","CEPLAC","CEPEC","6929","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"J. Dutilh","T. S. dos Santos","1733","1971","07","08",NA,"Brasil","Bahia","GANDÚ","KM 3 da BR 101, lado Norte.","-39.4866981506348","-13.7439002990723",NA,NA,NA,NA,NA,NA,NA,NA,NA,"16935","auto",NA,NA,NA,NA,"30/09/2012"
"22","2020-07-23 11:56:43-03","CEPLAC","CEPEC","3287","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"J. Dutilh","R. S. Pinheiro","334","1967","10","27",NA,"Brasil","Bahia","ILHÉUS","Área do CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,"30/09/2012"
"23","2020-07-23 11:56:43-03","CEPLAC","CEPEC","25136","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"J. Dutilh","J. L. Hage","1476","1981","10","14",NA,"Brasil","Bahia","ILHÉUS","Área do CEPEC.","-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,"30/09/2012"
"24","2020-07-23 11:56:43-03","CEPLAC","CEPEC","3471","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"J. Dutilh","S. G. da Vinha","86","1968","02","15",NA,"Brasil","Bahia","ILHÉUS","Castelo Novo. Fazenda Ponta Grossa, margem da Lagoa Encantada.","-39.0494003295898","-14.7889003753662",NA,"<ll>dwc_commonname:</ll> Bata-de-teiú",NA,NA,NA,NA,NA,NA,NA,"61245","auto",NA,NA,NA,NA,"30/09/2012"
"25","2020-07-23 11:56:43-03","CEPLAC","CEPEC","14798","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"P. F. Ravenna","S. A. Mori","10522","1978","09","14",NA,"Brasil","Bahia","MUCURÍ","7Km a NW Mucuri.","-39.5508003234863","-18.0863990783691",NA,NA,NA,NA,NA,NA,NA,NA,NA,"78440","auto",NA,NA,NA,NA,"30/06/1979"
"26","2020-07-23 11:56:43-03","CEPLAC","CEPEC","20884","PreservedSpecimen","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora",NA,"A. M. de Carvalho","L. A. Mattos-Silva","768","1980","05","20",NA,"Brasil","Bahia","MUCURÍ","Km 6 Rod. Mucuri/Nova Vicosa, Ramal a Esquerda. Restinga","-39.5508003234863","-18.0863990783691",NA,NA,NA,NA,NA,NA,NA,"0*0'0","0*0'0","78440","auto",NA,NA,NA,NA,"01/09/1980"
"27","2017-09-11 17:06:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Martius, CFP","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,"in sylvis ad Almada.; HABITAT: in sylvis ad Almada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2017-09-11 17:06:43-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Wied-Neuwied, MAP Prince","s.n.",NA,NA,NA,"Southern America","Brazil","Bahia",NA,NA,NA,NA,NA,"ad ripas torrentium umbrosas circa flumen Ilheus.; HABITAT: ad ripas torrentium umbrosas circa flumen Ilheus.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-09-10 10:17:49-03","IBt","SP","315043","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Amorim, AM","1350","1993","09","14",NA,"Brasil","Bahia","Una","Reserva Biológica do Mico-leão","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA
"30","2020-09-10 10:17:49-03","IBt","SP","315044","S","Plantae",NA,NA,"Amaryllidaceae","Griffinia","parviflora","Griffinia parviflora","Ker Gawl.",NA,"Jardim, JG","543","1994","07","28",NA,"Brasil","Bahia","Una","Reserva Biológica do Mico-leão","-39.0752983093262","-15.2932996749878",NA,NA,NA,NA,NA,NA,NA,NA,NA,"36070","auto",NA,NA,NA,NA,NA
