"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","typeStatus","phylum","order","scientificNameAuthorship","identifiedBy","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","imagecode","infraspecificEpithet","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","399929","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum denudatum","G. Gardner","1492","1836",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176710' target='other'> <mi>dwc_moreinfo</mi></a>","NY00399929","isolectotype","Magnoliophyta","Malpighiales","O.E.Schulz",NA,NA,NA,"Brasilia",NA,NA,NA,NA,"NY00399929_01","denudatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","399930","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum denudatum","G. Gardner","1142","1837",NA,NA,"South America","Brazil","sheet",NA,"Comm. am. Shuttleworth 1838 <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=176714' target='other'> <mi>dwc_moreinfo</mi></a>","NY00399930","isolectotype","Magnoliophyta","Malpighiales","O.E.Schulz",NA,"Pernambuco",NA,NA,NA,NA,NA,NA,"NY00399930_01","denudatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","00997294","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","H. S. Irwin","28678","1971","01","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153458' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997294",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Minas Gerais",NA,"Serra do Espinhaço, slopes of Serra da Piedade, ca. 35 km E. of Belo Horizonte, near BR-31","-43.67613","-19.82237","1800","1800","NY00997294_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","00997367","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","G. Martinelli","7425","1980","10","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161987' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997367",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Distrito Federal","Brasília","Chapada de Contagem, estrada para Brazilândia, 33 km NW de Brasília, próximo a Usima Basevil.","-47.9294","-15.7797","1000","1000","NY00997367_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","2175359","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","N. A. Rosa","1491","1977","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2324643' target='other'> <mi>dwc_moreinfo</mi></a>","NY02175359",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"Roraima",NA,"Margem da estrada da Boa Vista- Caracaraí.",NA,NA,NA,NA,"NY02175359_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","393344","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","A. Amaral","724","1971","07","27","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464377' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393344",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"São Paulo","Botucatu","+ ou - 3 km antes represa de abastecimento de água da prefeitura municipal","-48.4397","-22.88",NA,NA,"NY00393344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","00980502","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","T. B. Cavalcanti","1837","1995","10","07","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1093907' target='other'> <mi>dwc_moreinfo</mi></a>","NY00980502",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","O. A. Jara-Muñoz","Goiás","Campinaçu","Fazenda Praia Grande. Estrada de acesso pela margem esquerda do Rio Praia Grande.","-48.57","-14.03","510","510","NY00980502_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01093197","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","T. M. Pedersen","14718","1986","10","24","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1230364' target='other'> <mi>dwc_moreinfo</mi></a>","NY01093197",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","A. Schinini","Mato Grosso do Sul","Guia Lopes da Laguna","On road BR-267 from Maracajú to Guia Lopes, ca. 12 km. W of Ervania.","-56.1142","-21.4581",NA,NA,"NY01093197_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","02175360","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","E. W. Davis","1850","1983","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2324644' target='other'> <mi>dwc_moreinfo</mi></a>","NY02175360",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"Para",NA,"Rio Tapajós, east bank of river approx. 7 km below Belterra.",NA,NA,NA,NA,"NY02175360_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","393312","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","P. K. H. Dusén","9664","1910","04","16","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464350' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393312",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Paraná",NA,"[see label]",NA,NA,NA,NA,"NY00393312_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00997346","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","P. Clausen",NA,"1840",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155202' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997346",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Minas Gerais",NA,NA,NA,NA,NA,NA,"NY00997346_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","00997295","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","H. S. Irwin","34541","1972","01","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1153459' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997295",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Goiás","Corumbá de Goiás","Serra dos Pirineus, ca. 21 km E. of Pirenópolis.","-48.75395","-15.85","1000","1000","NY00997295_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","00997350","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","N. T. da Silva","4852","1978","08","18","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997350",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Goiás",NA,"Rio Araguaia, Barreira de Campos.",NA,NA,NA,NA,"NY00997350_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00997364","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","S. L. M. Moore","452","1891",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161973' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997364",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Mato Grosso",NA,NA,NA,NA,NA,NA,"NY00997364_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","393325","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","G. T. Prance","26328","1979","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464349' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393325",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Amazonas",NA,"Rio Solimoes; Boca do Guaribus",NA,NA,NA,NA,"NY00393325_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","2175353","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","J. A. Ratter","R.6284","1988","02","13","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2324637' target='other'> <mi>dwc_moreinfo</mi></a>","NY02175353",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"Roraima","Alto Alegre","Fazenda Canadá.","-61.48","3.32",NA,NA,"NY02175353_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","393335","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","L. Riedel","592","1831",NA,NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464338' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393335",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman",NA,NA,"[See label]",NA,NA,NA,NA,"NY00393335_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","387149","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","A. Amaral","1111096","1996","10","11","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=152446' target='other'> <mi>dwc_moreinfo</mi></a>","NY00387149",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","J. L. da Costa Lima","São Paulo","Taubaté","Cerrado à margem da rodovia Dutra, no cruzamento com a rodovia Ayrton Senna (Dutra-Campos do Jordao)","-45.5497","-23.0203",NA,NA,"NY00387149_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00997366","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","G. E. Schatz","1005","1983","03","10","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1161984' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997366",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Maranhão","Grajaú","20 km N of Grajaú along highway 006.","-46.18","-5.67",NA,NA,"NY00997366_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","393329","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","I. Mimura","567","1962","09","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464341' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393329",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","São Paulo","Sao José dos Campos","Uma área disjuntiva de cerrado de várias centenas de km², rodeada antigamente por mata. Ca. 7,4 km SSE em linha reta da praça principal de Sao Hosé dos Campos. Ca. de 50 m ao oest da estrada para Paraibuana","-45.88","-23.1703","630","630","NY00393329_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","393313","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","G. F. J. Pabst","9545","1974","01","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464370' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393313",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","J. A. Kallunki","Rio Grande do Norte",NA,"Subida do Rio Cobagi",NA,NA,NA,NA,"NY00393313_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","393307","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","J. B. Baitello","5892","1979","11",NA,"South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464363' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393307",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","M. I. Bezerra Loiola","São Paulo","Pirassununga","Pirassununga","-47.4197","-21.99",NA,NA,"NY00393307_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","2175344","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","N. A. Rosa","1491","1977","02","15","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2324628' target='other'> <mi>dwc_moreinfo</mi></a>","NY02175344",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"Roraima",NA,"Margem da estrada da Boa Vista- Caracaraí.",NA,NA,NA,NA,"NY02175344_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00997358","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","P. E. Gibbs","2645","1976","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155238' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997358",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Goiás","Goiatuba","Rodovia Itumbiara-Goiania a 170 km de Goiania.","-49.3544","-18.0128",NA,NA,"NY00997358_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00997321","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","R. S. Santos","24074","1963","09","06","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1154138' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997321",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Minas Gerais",NA,"Entre Sete Lagoas e Curvello.",NA,NA,NA,NA,"NY00997321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","00997326","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","E. P. Heringer","121","1977","09","26","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1154167' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997326",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Distrito Federal","Brasília","RECOR. Picada M-5.","-47.9294","-15.7797",NA,NA,"NY00997326_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01081306","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","A. Amaral","15","1970","10","14","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224534' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081306",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"São Paulo","Botucatu","Distrito de Rubião Junior, Refúgio dos Padres, atrás da UNESP.","-48.4397","-22.88",NA,NA,"NY01081306_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","393326","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","J. C. Solomon","7042","1982","02","18","South America","Paraguay","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464352' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393326",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Amambay",NA,"Parque Nacional Cerro Corá","-56.05","-22.65","300","300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00997320","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","G. C. G. Argent","6928","1968","09","12","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1154131' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997320",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","T. C. Plowman","Mato Grosso",NA,"Base Camp, R 3, c 2 km S of junction with path to Camp 2.","-51.77","-12.82",NA,NA,"NY00997320_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","00997323","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","A. P. Duarte","2885","1950","08","21","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1154149' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997323",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","J. K.","Minas Gerais","Patos de Minas",NA,"-46.5181","-18.5792","800","800","NY00997323_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00997166","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","J. A. Ratter","R.4275","1978","11","03","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1148858' target='other'> <mi>dwc_moreinfo</mi></a>","NY00997166",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.","J. L. da Costa Lima","Distrito Federal","Brasília","Fazenda Agua Limpa (University of Brasília field station), near Vargem Bonita, c. 18 km SSW of Brasília TV tower.","-47.9294","-15.7797",NA,NA,"NY00997166_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","393345","PreservedSpecimen","Plantae","Erythroxylaceae","Erythroxylum","suberosum","Erythroxylum suberosum","A. Amaral","1022","1972","08","19","South America","Brazil","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=464378' target='other'> <mi>dwc_moreinfo</mi></a>","NY00393345",NA,"Magnoliophyta","Malpighiales","A.St.-Hil.",NA,"São Paulo","Botucatu","Próximo ao bairro rural de '1 de Maio","-48.4397","-22.88",NA,NA,"NY00393345_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
