"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","relatedCatalogItem","relationshipType","individualCount","fieldNumber","infraspecificEpithet","previousCatalogNumber"
"21","2020-11-13 09:20:54-03","UFRJ","RFA","11848","PreservedSpecimen","Plantae","Salicaceae","Xylosma","salzmannii","Xylosma salzmannii","(Clos) Eichler","H. Sleumer",NA,NA,NA,"G.G. Hatschbach; O. Guimarães","1968","06","10","Brasil","Paraná","São Jorge d'Oeste","Rio Iguaçu, Salto Osório","-52.9183006286621","-25.7056007385254",NA,NA,NA,NA,"Árvore de 15m, flor creme","RFA11340","19346",NA,NA,NA,NA,NA,"23663","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:48:44-03","EAO","IAN","118875","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Sleumer, HO","1977",NA,NA,"Belém, RP; Magalhães, MG","1965","03","31","Brasil","Bahia",NA,"Centro de Pesquisas do cacau; CEPLAC, CEPEC. Ilhéus.",NA,NA,NA,NA,NA,NA,NA,"IAN118875","600",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:48:44-03","EAO","IAN","118900","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Sleumer, HO","1977",NA,NA,"Belém, RP; Magalhães, MG","1965","04","01","Brasil","Bahia",NA,"Centro de Pesquisas do cacau; CEPLAC, CEPEC. Ilhéus.",NA,NA,NA,NA,NA,NA,NA,"IAN118900","627",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:48:44-03","EAO","IAN","126903","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Sleumer, HO","1977",NA,NA,"Belém, RP; Magalhães, MG","1965","03","31","Brasil","Bahia",NA,"Centro de Pesquisas do cacau; CEPLAC, CEPEC. Ilhéus.",NA,NA,NA,NA,NA,NA,NA,"IAN126903","600",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:48:44-03","EAO","IAN","126906","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Sleumer, HO","1977",NA,NA,"Belém, RP; Magalhães, MG","1965","04","01","Brasil","Bahia",NA,"Centro de Pesquisas do cacau; CEPLAC, CEPEC. Ilhéus.",NA,NA,NA,NA,NA,NA,NA,"IAN126906","627",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:48:44-03","EAO","IAN","19710","PreservedSpecimen","Plantae","Salicaceae","Xylosma","salzmanni","Xylosma salzmanni","(Clos) Eichler",NA,NA,NA,NA,"Sellow, F",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019710","801",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:48:44-03","EAO","IAN","19710","PreservedSpecimen","Plantae","Salicaceae","Xylosma","salzmanni","Xylosma salzmanni","(Clos) Eichler",NA,NA,NA,NA,"Sellow, F",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN019710","801",NA,"Dicotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-12-04 15:25:50-03","PUCPR","HUCP","125","S","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Sleumer, H","1968","11",NA,"Hatschbach, GG","1968","02","14","Brasil","Paraná","Paranaguá","Colônia Limeira, Picadão Cambará.","-48.5092010498047","-25.5200004577637",NA,NA,NA,NA,NA,"HUCP00011612","18609","HUCP00011612","Eudicotiledonea",NA,NA,NA,"24916","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-02-08 21:33:08-03","UFBA","ALCB","10396","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Nepomuceno, FAA","2017","09","01","Gehrt, A","1934","03","04","Brasil","São Paulo","Pirajussara",NA,NA,NA,NA,NA,NA,NA,"regular.","ALCB050230","s/n","ALCB050230","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-10-09 11:24:25-03","UFBA","ALCB","64761","PreservedSpecimen","Plantae","Salicaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Guedes, ML","2004","01",NA,"Bispo, RB; Guedes, ML; Loureiro, DM; Magalhães, LO; Meyer, LMN","2003","12","22","Brasil","Bahia","Ituberá","Litoral Sul, Sítio Michelin, Rio Juliana","-39.133333","-13.716667","-39.133333","-13.716667",NA,NA,"Estádio avançado.","ALCB050228","31","ALCB050228","Dicotyledon",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 09:52:33-03","NBC","NL-BOTANY","L.2469053","PreservedSpecimen","Plantae","Flacourtiaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.",NA,NA,NA,NA,"Glaziou AFM",NA,NA,NA,"Brazil",NA,NA,"Minas Gerais:Serra do Batatal.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2469053 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2469053",NA,"NL-L2469053",NA,"Malpighiales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 09:52:33-03","NBC","NL-BOTANY","L 0011367","PreservedSpecimen","Plantae","Flacourtiaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.",NA,NA,NA,NA,"Blanchet JS",NA,NA,NA,"Brazil","Bahia",NA,"Brasil, Bahia: Jacobina",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200011367 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0011367",NA,"NL-L0011367",NA,"Malpighiales","Southern America",NA,NA,NA,"Magnoliopsidae","isotype","140507",NA,NA,NA,NA,NA
"33","2020-02-08 09:52:33-03","NBC","NL-BOTANY","L 0011368","PreservedSpecimen","Plantae","Flacourtiaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.","Sleumer HO",NA,NA,NA,"Sello F",NA,NA,NA,"Brazil","Bahía",NA,"Brasil, Bahia: Inter Vittoria et Bahia",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200011368 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0011368",NA,"NL-L0011368",NA,"Malpighiales","Southern America",NA,NA,NA,"Magnoliopsidae","isotype","232404",NA,NA,NA,NA,NA
"34","2020-02-08 09:52:33-03","NBC","NL-BOTANY","L.2469047","PreservedSpecimen","Plantae","Flacourtiaceae","Xylosma","prockia","Xylosma prockia","(Turcz.) Turcz.",NA,NA,NA,NA,"Ule EHG","1891","06","01","Brazil",NA,NA,"Sta.Catarina :Strauch im Welde bei pedras Grandes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2469047 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2469047",NA,"NL-L2469047",NA,"Malpighiales","Southern America",NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
