"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","country","stateProvince","locality","occurrenceRemarks","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","phylum","day","barcode","imagecode","continentOcean","fieldNumber","preparationType","order","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","dayIdentified","individualCount","typeStatus","previousCatalogNumber","sex"
"19","2020-09-02 16:34:44-03","Cenargen","CEN","39728","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2003","11","João Aguiar Nogueira Batista","1269","2001","11","Brasil","DF","RA-X, Guará. Reserva Ecológica do Guará. Área a direita da Estrada Parque Tagatinga, mais ou menos na altura da primeira passarela sobre a pista um pouco após o final do Setor de Industria.","HOLOEPITYPUS. Planta florescendo em área anteriormente queimada como em área não queimada. Pseudobulbos pequenos, desde parcialmente enterrados a quase completamente expostos, externamente vinosos. De plena para o final de floração. Inflorescência esverdeada. Exatamente mesmo local de coleta do typus da espécie. Demais informações na exsicata.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"10","CEN00039728","CEN00039728",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"4","HOLOEPITYPUS",NA,NA
"20","2020-09-02 16:34:44-03","Cenargen","CEN","108579","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","L. B. Bianchetti","2019","02","Glocimar Pereira-Silva","16986","2017","11","Brasil","DF","Reserva Ecológica do Guará.","Pétalas e sépalas amarelas com pintas ferrugíneas e labelo amarelo-ouro.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"15","CEN00108579","CEN00108579",NA,NA,"Exsicatas",NA,NA,NA,"1060","1060",NA,"4",NA,NA,NA
"21","2020-09-02 16:34:44-03","Cenargen","CEN","14935","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","214","1991","11","Brasil","DF","Reserva Ecológica do Guará.","Pseudo-bulbos completamente enterrados. Sépalas e pétalas verde-amareladas com pintas de cor canela. Labelo com mancha marrom-alaranjada no lóbulo central e nas expansões laterais. Pequenas manchas amarelas em volta da calosidade.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"11","CEN00014935","CEN00014935",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"22","2020-09-02 16:34:44-03","Cenargen","CEN","58130","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2005","01","João Aguiar Nogueira Batista","1122","2001","01","Brasil","DF","Setor de Mansões do Lago Norte. Área brejosa à esquerda da DF-005, em direção ao Paranoá, na altura da ML-10.","Observado um conjunto mediano de plantas restrito a um ponto do campo. Pseudobulbos pequenos, vinosos, completamente enterrados ou com os ápices expostos. Ov+ario e pedicelo verde-amarronzado. Brácteas, sépalas e pétalas densamente pintalgadas de castanho sobre fundo esverdeado; nas pétalas as pintas são um pouco maiores e mais concentradas para a parte apical. Labelo predominantemente alaranjado; porção central do lobo mediano e parte da base dos lobos laterais amarelados. Calo amarelo.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"02","CEN00058130","CEN00058130",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA
"23","2020-09-02 16:34:44-03","Cenargen","CEN","39703","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2001","10","João Aguiar Nogueira Batista","426","1994","11","Brasil","DF","Setor de Mansões do Lago Norte. Próximo a MI-10.","Área queimada durante a seca. Pseudobulbos completamente enterrados, externamente vinosos. Sépalas e pétalas com pintas castanhas sobre fundo esverdeado. Lobos laterais do labelo alaranjados. Lobo mediano com a parte central amarela e as margens alaranjadas. Calo amarelado. Obs.: Exatamente mesmo local e população de coleta dos números: J.A.N. Batista 217, 229, 427 (CEN) e R. S. Oliveira 022 (UB 4425-3). Esta população, devido a ocupação do local, já não existe mais.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"15","CEN00039703","CEN00039703",NA,NA,"Unicata",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"24","2020-09-02 16:34:44-03","Cenargen","CEN","41846","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista","2001","12","Bruno Machado Teles Walter","4988","2001","12","Brasil","BA","Fazendas Trijunção, região da Santa Luzia, onde há grandes veredas.","Bulbos enterrados. Flor com pétalas e sépalas amarela-esverdeadas com pintalgados vináceo. Labelo amarelo com lobos laterais marrons. Pedicelo verde. Em local sombreado à terde, próximo à mata de galeria. Doação do Herbário do IBGE - Reserva Ecológica do IBGE. Plantas da Bahia.","COCOS","-44.5344009399414","-14.1838998794556","199742","auto",NA,"13","CEN00041846","CEN00041846",NA,NA,"Exsicatas",NA,NA,NA,"840","840",NA,"1",NA,NA,NA
"25","2020-09-02 16:34:44-03","Cenargen","CEN","29387","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista","1997","11","João Aguiar Nogueira Batista","749","1997","11","Brasil","DF","Campo acima do Córrego do Gama. Atrás do Aeroporto. Após a QI-17. Lago Sul.","Erva terrestre, em campo limpo permanentemente úmido. Área anteriormente não queimada. Pouco comum, observados somente cerca de 5 exemplares em floração.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"08","CEN00029387","CEN00029387",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"26","2020-09-02 16:34:44-03","Cenargen","CEN","39040","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes",NA,NA,NA,"João Aguiar Nogueira Batista","797","1998","10","Brasil","DF","Campo as margens do Córrego do Gama, atrás do aeroporto, do outro lado do córrego oposto ao aeroporto, a nordeste e um pouco após a quadra 25 do SMPW em direção a QI 17 do Lago Sul.","Erva terrestre em campo limpo úmido. Área anteriormente queimada. Solo escuro, argiloso. Pouco frequente. Pseudobulbos parcialmente enterrados. Sépalos e pétalos com máculas castanho-avermelhadas bem claras em alguns exemplares e mais escuras em outras, sobre fundo verde-amarelado. Lobos laterais e bordas do lobo central do labelo vermelho-alaranjados, centro amarelado.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"28","CEN00039040","CEN00039040",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"27","2020-09-02 16:34:44-03","Cenargen","CEN","21228","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","491","1995","01","Brasil","DF","Campo próximo as margens do Rib. do Torto, abaixo da ponte na pista Plano Piloto - Sobradinho.","Pseudobulbos completamente enterrados. Área, aparentemente, queimada durante a seca.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"19","CEN00021228","CEN00021228",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"28","2020-09-02 16:34:44-03","Cenargen","CEN","21406","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista","2000","12","Luciano de Bem Bianchetti","1486","1994","02","Brasil","DF","Fazenda Água Limpa (UnB). Córrego da Onça.","Sépalas e pétalas amareladas com pintas marrons. Labelo com mancha central amarela e margem marrom-alaranjado. Pseudo-bulbos enterrados. 2 exsicatas herborizadas em 04/12/2003.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"02","CEN00021406","CEN00021406",NA,NA,"Exsicatas",NA,NA,NA,"1070","1070",NA,"2",NA,NA,NA
"29","2020-09-02 16:34:44-03","Cenargen","CEN","14933","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","115","1990","10","Brasil","DF","Resrva Ecológica do Guará.","Pétalas e sépalas amarelas densamente pintalgadas de marrom-vinoso. Labelo com centro alaranjado e borda amarronzada. Pseudo-bulbos enterrados.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"03","CEN00014933","CEN00014933",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"30","2020-09-02 16:34:44-03","Cenargen","CEN","18227","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","340","1992","10","Brasil","DF","Santuário Ecológico do Riacho Fundo.","Observado grande número de exemplares crescendo em área queimada durante a seca.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"18","CEN00018227","CEN00018227",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"31","2020-09-02 16:34:44-03","Cenargen","CEN","14931","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","20","1989","12","Brasil","DF","Santuário Ecológico do Riacho Fundo.","Pétalas e sépalas amarelo-esverdeado com pintas por toda a superficie, marrom vinoso, labelo com ápice das expansões laterais, margem do lóbulo central cor de tijolo calosidade e base do labelo (região central) amarelo ovo. Pseudo-bulbos semi-enterrados no solo.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"03","CEN00014931","CEN00014931",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"32","2020-09-02 16:34:44-03","Cenargen","CEN","37112","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista","2001","01","João Aguiar Nogueira Batista","1122","2001","01","Brasil","DF","Setor de Mansões do Lago Norte. Área brejosa à esquerda da DF-005, em direção ao Paranoá, na altura da ML-10.","Mesmo local de coleta dos numeros Batista217,229,426,427,471, (CEN) e Oliveira 022 (UB), A espécie já foi bastante comum no local, principalmente na parte de cima da encosta no platô úmido, mas em função da ocupação irregular por chacareiros praticamentedesapareceu do local,observando somente um conjunto de plantas na parte de baixo e esquerda do brejo, dentro de uma chácara, numk pequeno e ultimo pedaço ainda intacto do campo úmido, como a área em volta foi ou estava sendo capinada foram coletada 28exemplares p/ cultivo no Cenargen, demais informações na exsicata, Flora do Brasil - Distrito Federal - Brasília.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"04","CEN00037112","CEN00037112",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"2",NA,NA,NA
"33","2020-09-02 16:34:44-03","Cenargen","CEN","21208","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","471","1995","01","Brasil","DF","Setor de Mansões do Lago Norte. Campo a direita da pista na entrada do MI-10.","Em campo limpo estacionalmente úmido sobre o platô de encosta. Área queimada durante a seca. Pseudobulbos completamente enterrados. Floração da espécie no local, este ano, ocorreu predominantemente durante novembro. Exatamente mesmo local e população de coleta dos números: Batista 217, 229, 426, 427 (CEN) e Oliveira 22 (UB 4425-3)","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"08","CEN00021208","CEN00021208",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"34","2020-09-02 16:34:44-03","Cenargen","CEN","14934","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","Luciano de Bem Bianchetti","1175","1991","10","Brasil","DF","Setor de mansões do Lago Norte. Próximo da MI 4-5","Apenas o ápice aparente. Pétalas e sépalas verde amareladas com pintas cor de canela; labelo com mancha central (Entre os lóbulos laterais) amarela; expansão laterais e lóbulo médio marrom alaranjado com algumas pintas amareladas no centro; coluna verde. Pseudo-bulbos enterrados.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"20","CEN00014934","CEN00014934",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"35","2020-09-02 16:34:44-03","Cenargen","CEN","18118","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","229","1992","01","Brasil","DF","Setro de mansões. Campo acima do brejo da MI - 10.","Exemplares com floração retardatária. A maior parte dos exemplares da populção existente no local floresceu em novembro.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"14","CEN00018118","CEN00018118 CEN00018118_1",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"36","2020-09-02 16:34:44-03","Cenargen","CEN","39704","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2001","10","João Aguiar Nogueira Batista","427","1994","11","Brasil","DF","Setro de mansões doLago Norte. Próximo a MI - 10.","Pseudo-bulbos completamente enterrados, externamente vinosos. Área queimada durante a seca. Sépalas e pétalas com pintas castanhas sobre fundo esverdeado. Lobos laterais do labelo alaranjados. Lobo mediano com a parte central amarela e as margens alaranjadas. Calo amarelado. Exemplar um pouco diferente do padrão, com os sépalos e pétalos estreitos e compridos. Exatamente mesmo local e população de coleta dos nºs J.A.N.Batista 217,229,426 (CEN) e R. S. Oliveira 022 (UB) 4425-3). Esta população, devido à ocupação do local, já não existe.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"15","CEN00039704","CEN00039704",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"37","2020-09-02 16:34:44-03","Cenargen","CEN","14932","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista & L. B. Bianchetti","2000","12","João Aguiar Nogueira Batista","217","1991","11","Brasil","DF","Setro de mansões do Lago Norte, próximo ao <I - 10. Encosta de morro.","Pseudo-bulbos completamente enterrados. Estes exemplares se destacavam dos demais por apresentarem a coloração bem mais escura. Sépalas densamente pintalgadas de marrom-vinoso. Expansões laterais do labelo também. Lóbulo médio com manchas amarelo-esverdeado.","BRASILIA","-47.9296989440918","-15.7797002792358","70570","auto",NA,"11","CEN00014932","CEN00014932",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"38","2020-09-02 16:34:44-03","Cenargen","CEN","46502","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","L. B. Bianchetti & J. A. N. Batista","2002","11","Washington Marcondes-Ferreira","1016","1994","11","Brasil","SP","Morro Solteiro.","Inflorescência com cerca de 60 cm. Flores com pintas pardas, labelo amarelo com manchas pardas. Doação da Flora Fanerogâmica do Estado de São Paulo. Projeto Temático Financiado pela FAPESP. Herbário UEC.","PEDREGULHO","-47.4700012207031","-20.25","27552","auto",NA,"10","CEN00046502","CEN00046502",NA,NA,"Exsicatas",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA
"39","2020-09-02 16:34:44-03","Cenargen","CEN","23647","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","L. B. Bianchetti","1997","05","Marta Camargo de Assis","163","1994","12","Brasil","GO","Fazenda Fundão, próximo ao córrego Jacuba (Vellozial).","Tépalas verde com pintas marrom. Labelo com manchas marrons. Coluna verde e base amarela clara.","IPAMERI","-48.1596984863281","-17.7219009399414","102542","auto",NA,"20","CEN00023647","CEN00023647",NA,NA,"Exsicatas",NA,NA,NA,"760","760",NA,"1",NA,NA,NA
"40","2020-09-02 16:34:44-03","Cenargen","CEN","103064","PreservedSpecimen","Plantae","Orchidaceae","Cyrtopodium","fowliei","Cyrtopodium fowliei","L.C.Menezes","J. A. N. Batista","2007","12","C. A. N. Martins","19","2007","12","Brasil","MG","Parque Nacional da serra do Cipó,","Doação Herbário do Departamento de Botânica - ICB - UFMG - Plantas do do Brasil - BHCB 134979","SANTANA DO RIACHO","-43.7144012451172","-19.1688995361328","26557","auto",NA,"19","CEN00103064",NA,NA,NA,"Exsicatas",NA,NA,NA,"1239","1239",NA,"1",NA,NA,NA
