"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","typeStatus","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","class","relationshipType","relatedCatalogItem","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2020-11-13 09:20:35-03","UFRJ","RFA","11503","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","G.F.J. Pabst",NA,NA,NA,"G.G. Hatschbach","26369","1971","02","19","Brasil","Paraná","Chopinzinho","Reserva Indígena","-52.5233001708984","-25.8558006286621",NA,NA,"Terrícola, flor alvacente","RFA11141",NA,NA,NA,NA,NA,NA,NA,NA,"31475","auto",NA,NA,NA,NA,NA,NA,NA
"12","2020-02-08 08:46:19-03","NBC","NL-BOTANY","L.1515601","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.",NA,NA,NA,NA,"Hatschbach GG",NA,"1967","01","20","Brazil",NA,NA,"Serra Capivari Grande (mun. Campina Grande do Sul)Paraná.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515601 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515601",NA,"Asparagales",NA,"Southern America",NA,"NL-L1515601",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"13","2020-02-08 08:46:19-03","NBC","NL-BOTANY","L.1515602","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.",NA,NA,NA,NA,"Hatschbach GG",NA,"1967","12","27","Brazil",NA,NA,"Sitio do Belizario(Mun.Campina Grande do Sul)Paraná.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1515602 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1515602",NA,"Asparagales",NA,"Southern America",NA,"NL-L1515602",NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"14","2020-11-04 12:17:31-03","ESALQ","ESA","40569","PreservedSpecimen","Plantae","Orchidaceae","Govenia","gardneri","Govenia gardneri",NA,"Udulutsch, R.G.","2000","02","24","Torezan, J.M.; Arima, L.I.A.; Pimenta, J.A.; Resende, J.C.F.; Sifuentes, D.V.O.","539.0","1997","12","11","Brasil","São Paulo","Bom Sucesso de Itararé","BLOQUEADO","-49.1399993896484","-24.3099994659424",NA,NA,"Erva do solo da floresta, flores alvas","ESA040569","Magnoliophyta",NA,NA,NA,NA,"ESA040569",NA,NA,"14955","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 12:17:31-03","ESALQ","ESA","131318","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Forster, W.","2013",NA,NA,"Souza, V.C.; Caliari, C.P.; Coelho, R.L.G.; Colletta, G.D.; Barroso, R.M.; Martins, C.H.C.","36521.0","2013","04","12","Brasil","São Paulo","Franco da Rocha","Fragmento 11 (TAV). Contato Floresta Estacional Semidecidual / Floresta Ombrófila Densa.","-23.3156","-46.7942","-23.3156","-46.7942",NA,"ESA131318","Magnoliophyta",NA,NA,NA,NA,"ESA131318","827","827",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 12:17:31-03","ESALQ","ESA","30996","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata",NA,"Udulutsch, R.G.","2007","10","10","Souza, V.C. et al.","10477.0","1996","01","25","Brasil","São Paulo","Itararé",NA,"-49.3400001525879","-24.1100006103516",NA,NA,NA,"ESA030996","Magnoliophyta",NA,NA,NA,NA,"ESA030996",NA,NA,"27729","auto",NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 12:17:31-03","ESALQ","ESA","84895","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Forster, W.",NA,NA,NA,"Medeiros, D.A.; Silva, D.G.R.; Damasceno, A.C.F; França, E.J.; Rodrigues, R.R.; Souza, V.C.; Tamashiro, J.Y.; Paula-Souza, J.; Muniz, M.R.A.","56.0","2003","04","17","Brasil","São Paulo","Ribeirão Grande","BLOQUEADO","-48.3600006103516","-24.0900001525879",NA,NA,"Terrestre, frutos imaturos verdes","ESA084895","Magnoliophyta",NA,NA,NA,NA,"ESA084895","820","820","25028","auto",NA,NA,NA,NA,NA,NA,NA
"18","2021-03-31 13:40:59-03","MN","R","121733","PreservedSpecimen","Plantae","Orchidaceae","Govenia","gardneri","Govenia gardneri","Hook.","Brade, A.C.","1954",NA,NA,"Lutz, A.; Lutz, B.M.J.","1737","1925","01",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"Herbario Aldopho Lutz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-31 13:40:59-03","MN","R","18445","PreservedSpecimen","Plantae","Orchidaceae","Govenia","gardneri","Govenia gardneri","Hook.","Brade, A.C.",NA,NA,NA,"s.col.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-31 13:40:59-03","MN","R","35698","PreservedSpecimen","Plantae","Orchidaceae","Govenia","gardneri","Govenia gardneri","Hook.","Brade, A.C.",NA,NA,NA,"Brade, A.C.","11240","1932","01","03","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-31 13:40:59-03","MN","R","36301","PreservedSpecimen","Plantae","Orchidaceae","Govenia","gardneri","Govenia gardneri","Hook.",NA,NA,NA,NA,NA,NA,"1884","01","10","Brasil","São Paulo",NA,NA,NA,NA,NA,NA,"Herbario J. de Saldanha",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-31 13:40:59-03","MN","R","67142","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Pabst, G.F.J.","1964","05","02","Fromm-Trinta, E.; Santos, E. 156 & Flaster, B. 130","135","1961","01","13","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-31 13:40:59-03","MN","R","43809","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Pabst, G.F.J.","1958","10","04",NA,"150","1887",NA,NA,"Brasil","Minas Gerais","São João del Rei",NA,"-44.2616996765137","-21.1355991363525",NA,NA,"Herb. W. Bello nº 150/Herb. J. de Saldanha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"39093","auto",NA,NA,NA,NA,NA,NA,NA
"24","2021-03-31 13:40:59-03","MN","R","107359","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Pabst, G.F.J.","1962","04","15","Vidal, J.","II - 17","1952","01",NA,"Brasil","Rio de Janeiro","Teresópolis",NA,"-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1020","1020","38539","auto",NA,NA,NA,NA,NA,NA,NA
"25","2015-07-02 14:03:30-03","JBP","HPL","6793","S","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","W. Forster","2008","04","01","J. A. Lombardi & R. Tsuji et al.","6264","2006","01","18","Brasil","RJ","Parati","Coletado na estrada Parati-Cunha, BR-459, em beira de estrada e área de mata de encosta. S 23° 10' 49,2; W 44° 49' 43,9 - 1259 m.s.m.","-44.7131","-23.2178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"34470","auto",NA,NA,NA,NA,NA,NA,NA
"26","2019-12-19 08:15:24-03","FPS","FPS","2033","MachineObservation","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Schwirkowski, P.","2016","01","30","Schwirkowski, P.","1530","2016","01","30","Brasil","Santa Catarina","São Bento do Sul","Parque Vinte e Três de Setembro","-49.383622","-26.27563","-49.383622","-26.27563","<ll>dwc_commonname:</ll> Orquídea-terrestre","FPS02033,FURB49598,FUEL055475",NA,NA,NA,NA,NA,"FPS02033_v01 FPS02033_v02 FPS02033_v03 FPS02033_v04 FPS02033_v05 FURB49598",NA,NA,NA,NA,NA,"voucher","FURB 49598, FUEL 55475",NA,NA,NA,NA
"27","2019-12-19 08:15:26-03","FPS","FPS","2260","MachineObservation","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Schwirkowski, P.","2016","05","26","Schwirkowski, P.","1722","2016","05","26","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Ao longo da estrada de ferro, antes da igreja de Rio Natal.","-49.306505","-26.341356","-49.306505","-26.341356","<ll>dwc_commonname:</ll> Orquídea-terrestre","FPS02260,FURB51828",NA,NA,NA,NA,NA,"FPS02260_v01 FPS02260_v02 FPS02260_v03 FPS02260_v04 FURB51828",NA,NA,NA,NA,NA,"voucher","FURB 51828",NA,NA,NA,NA
"28","2019-12-19 08:15:24-03","FPS","FPS","1332","MachineObservation","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Schwirkowski, P.","2013","01","14","Schwirkowski, P.",NA,"2013","01","14","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Trilhos, Rabo do Macaco","-49.306111","-26.338198","-49.306111","-26.338198","<ll>dwc_commonname:</ll> Orquídea-terrestre","FPS01332",NA,NA,NA,NA,NA,"FPS01332_v01 FPS01332_v02 FPS01332_v03 FPS01332_v04 FPS01332_v05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-12-19 08:15:26-03","FPS","FPS","850","MachineObservation","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Schwirkowski, P.","2015","03","21","Schwirkowski, P.","1112","2015","03","21","Brasil","Santa Catarina","São Bento do Sul","Rio Natal. Trilhos, Rabo do Macaco.","-49.303175","-26.338841","-49.303175","-26.338841","<ll>dwc_commonname:</ll> Orquídea-terrestre","FPS00850,FURB48485",NA,NA,NA,NA,NA,"FPS00850_v01 FPS00850_v02 FPS00850_v03 FPS00850_v04 FPS00850_v05 FURB48485",NA,NA,NA,NA,NA,"voucher","FURB 48485",NA,NA,NA,NA
"30","2019-08-27 13:26:35-03","IAP","PACA-AGP","47428","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","G. Pabst","1954","09","03","G. Pabst","648","1950","03","27","Brasil","RS","Osório",NA,"-50.2696990966797","-29.8866996765137",NA,NA,"SEM MATERIAL Habitat: In silva montana Fenofase: flor","PACA047428","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"27350","auto","Liliatae",NA,NA,NA,NA,NA,NA
"31","2019-08-27 13:26:35-03","IAP","PACA-AGP","71200","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","André Jasper","1989","05","25","S. Diesel",NA,"1988","10","05","Brasil","RS","Rolante","Cascata do Chuvisqueiro","-50.5758018493652","-29.6506004333496",NA,NA,"levantamento fitossociológico do Rio dos Sinos. Habitat: Mata nativa","PACA071200","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"18269","auto","Liliatae",NA,NA,NA,NA,NA,NA
"32","2019-08-27 13:26:35-03","IAP","PACA-AGP","71203","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","André Jasper","1989","05","25","S. Diesel",NA,"1988","03","27","Brasil","RS","Rolante","Cascata do Chuvisqueiro","-50.5758018493652","-29.6506004333496",NA,NA,"Levantamento fitossociológico do Rio dos Sinos Habitat: Mata nativa","PACA071203","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"18269","auto","Liliatae",NA,NA,NA,NA,NA,NA
"33","2019-08-27 13:26:35-03","IAP","PACA-AGP","71199","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","André Jasper","1989","05","25","S. Diesel",NA,"1988","03","27","Brasil","RS","Rolante","Cascata do Chuvisqueiro","-50.5758018493652","-29.6506004333496",NA,NA,"Levantamento fitossociológico do Rio dos Sinos. Habitat: Mata nativa","PACA071199","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"18269","auto","Liliatae",NA,NA,NA,NA,NA,NA
"34","2019-08-27 13:26:35-03","IAP","PACA-AGP","93559","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","K. Potter",NA,NA,NA,"K. Potter",NA,NA,NA,NA,"Brasil","RS","Viamão",NA,"-51.0233001708984","-30.0811004638672",NA,NA,"HEDU 840 Habitat: Terrícola dentro da mata","PACA093559","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"41667","auto","Liliatae",NA,NA,NA,NA,NA,NA
"35","2019-08-27 13:26:35-03","IAP","PACA-AGP","43037","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Emrich-Rambo-Pabst","1954","09","03","Rambo, B.",NA,"1949","08","17","Brasil","RS","Novo Hamburgo","Schwabenschneis","-51.1305999755859","-29.6783008575439",NA,NA,"Habitat: In silva primaeva Fenofase: fruto submaturo","PACA043037","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"20722","auto","Liliatae",NA,NA,NA,NA,NA,NA
"36","2019-08-27 13:26:35-03","IAP","PACA-AGP","2525","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","J. Dutra, Pabst","1954","09","03","C. Orth SJ",NA,"1937","05","26","Brasil","RS","Novo Hamburgo","Schwabenschneis","-51.1305999755859","-29.6783008575439",NA,NA,"SEM MATERIAL Habitat: In silva primaeva Fenofase: flor","PACA002525","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"20722","auto","Liliatae",NA,NA,NA,NA,NA,NA
"37","2019-08-27 13:26:35-03","IAP","PACA-AGP","32095","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Emrich-Rambo-Pabst","1954","09","03","Rambo, B.",NA,"1946","02","13","Brasil","RS","São Francisco de Paula","Serra do Fachinal","-50.5835990905762","-29.4480991363525",NA,NA,"Habitat: In silva montana Fenofase: flor","PACA032095","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"76715","auto","Liliatae",NA,NA,NA,NA,NA,NA
"38","2019-08-27 13:26:35-03","IAP","PACA-AGP","71129","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","V. F. Nunes",NA,NA,NA,"V. F. Nunes et al.","1239","1991","02","27","Brasil","RS","Sapiranga","Recanto da Cascata","-51.0069007873535","-29.6380996704102",NA,NA,"Folhas caducas. Habitat: Picada Verão Fenofase: Flor creme","PACA071129","Magnoliophyta","Orchidales",NA,NA,NA,NA,NA,NA,"11711","auto","Liliatae",NA,NA,NA,NA,NA,NA
"39","2020-12-20 21:18:45-03","UFV","VIC","038105","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(SW) Lindl.",NA,NA,NA,NA,"Tinti, B.V.","s.n.","2010","04","23","Brasil","Minas Gerais","Fervedouro","Parque Estadual da Serra do Brigadeiro, Pedra do pato.","-42.2789001464844","-20.7255992889404",NA,NA,"herbácea de afloramento rochodo, campo graminoso.","VIC038105",NA,NA,NA,NA,NA,"VIC038105",NA,NA,"20038","auto",NA,NA,NA,NA,NA,NA,NA
"40","2020-12-20 21:18:45-03","UFV","VIC","038173","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(SW) Lindl.",NA,NA,NA,NA,"Guarçoni; et al.","414","2003","01","27","Brasil","Minas Gerais","Rosário da Limeira","Serra das Aranhas, Trilha de subida na mata secundária.","-42.5119018554688","-20.9789009094238",NA,NA,"Terrestre, em luz difusa, freguente, apresenta uma batata, folhas verdes escuras, escapo castanho avermelhado, pétalas e sépalas brancas, sendo que as superiores são pintalgadas de vinho abaxialmente, escapo ereto sépalas inferiores cr","VIC038173",NA,NA,NA,NA,NA,NA,NA,NA,"8868","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-12-20 21:18:45-03","UFV","VIC","001148","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(SW) Lindl.",NA,NA,NA,NA,"Pabst","5496","1931","01","19","Brasil","Minas Gerais","Viçosa",NA,"-42.8819007873535","-20.7539005279541",NA,NA,NA,"VIC001148",NA,NA,NA,NA,NA,"VIC001148",NA,NA,"13937","auto",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-10 14:35:12-03","UFSC","CTBS","1219","PreservedSpecimen","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","(Sw.) Lindl.","Carrilho, A.",NA,NA,NA,"Bastos, Lênin Santos; Silveira, Emanuel Allan & Ramos, Anayê Francisca","1","2015","03","26","Brasil","Santa Catarina","Curitibanos","Trilha do Pessegueirinho, entre o marco 4 e o marco 5, campus da UFSC.","-50.533406","-27.286633","50°32'0.26W","27°17'11.88S","Orquídea ereta de até 35 cm de alt. Flores amarelas e folhas verdes e bainha roxa. Ambiente úmido, região de encosta com baixa incidência de luz.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-08-20 10:00:49-03","UNICAMP","UEC","29896","S","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","Lindl.","Barros, F","1995","03","29","Leitão Filho, HF; Shepherd, GJ; Yamamoto, K; Joly, CA","1822-A","1982","12","01","Brazil","Minas Gerais","Poços de Caldas","Rodovia Poços de Caldas - Campestre, Mata.","-46.564722","-21.838889","-46.564722","-21.838889","Herbácep, terrestre, flores brancas. Em interior de mata úmida.","UEC034501","Liliopsida",NA,NA,NA,NA,"UEC034501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-08-20 10:00:49-03","UNICAMP","UEC",NA,"S","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","Lindl.","Barros, F","1995","03","29","Leitão Filho, HF; Shepherd, GJ; Yamamoto, K; Joly, CA","1822-A","1982","12","01","Brazil","Minas Gerais","Poços de Caldas","Rodovia Poços de Caldas - Campestre, Mata.","-46.564722","-21.838889","-46.564722","-21.838889","Herbácep, terrestre, flores brancas. Em interior de mata úmida.","UEC034504","Liliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-08-20 10:00:49-03","UNICAMP","UEC","125638","S","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","Lindl.",NA,NA,NA,NA,"Meireles, LD","842","2001","12","13","Brazil","Minas Gerais","Camanducaia","Monte Verde, Floresta Ombrófila Densa Alto-Montana","-46.1446990966797","-22.7553005218506",NA,NA,"Erva, flores cremes-clara, pétalas magenta internamente","UEC038961","Liliopsida",NA,NA,NA,NA,"UEC038961",NA,NA,"22140","auto",NA,NA,NA,NA,NA,NA,NA
"46","2019-08-20 10:00:49-03","UNICAMP","UEC","62601","S","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","Lindl.","Pansarin, ER; Pansarin, ER","1998","03",NA,"Bernacci, LC","28476","1993","02","03","Brazil","São Paulo","Atibaia","Parque Municipal da Grota Funda, Mata mesófila de altitude com afloramentos rochosos no interior, intercalada com afloramentos expostos.","-46.5499992370605","-23.1100006103516",NA,NA,"Erva terrícola, ca. 0,4 m alt., crescendo em solo com muito folhado, junto a formigueiro; bainha e escapo de cor rosa-caxmim iridescente; flores brancas, sem odor.","UEC034502","Liliopsida",NA,NA,NA,NA,"UEC034502","900","1400","21675","auto",NA,NA,NA,NA,NA,NA,NA
"47","2019-08-20 10:00:49-03","UNICAMP","UEC","95456","S","Plantae","Orchidaceae","Govenia","utriculata","Govenia utriculata","Lindl.","Pansarin, ER","2004","05",NA,"Pansarin, ER","97/97","1997","12","14","Brazil","São Paulo","Jundiaí","Serra do Japi, Bairro Eloy Chaves, próximo à represa do DAE.","-46.8800010681152","-23.1800003051758",NA,NA,NA,"UEC034505","Liliopsida",NA,NA,NA,NA,"UEC034505",NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA,NA
