"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","verbatimLongitude","verbatimLatitude","class","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","typeStatus","fieldNumber","individualCount"
"11","2020-12-21 16:32:12-03","MBM","MBM","8490","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Lourteig, A.","Hatschbach, G.; et al.; et al.","19816",NA,NA,NA,"Southern America","Brazil","Paraná","Laranjeiras do Sul","Barra do Rio Perdido","-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,"MBM008490","MBM008490",NA,NA,NA,NA,"28404","auto",NA,NA,NA,NA,NA
"12","2020-12-21 16:32:12-03","MBM","MBM","146780","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Hatschbach, G.","Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","55764",NA,NA,NA,"Southern America","Brazil","Paraná","Palmital","Rio do Cobre","-52.2028007507324","-24.8931007385254",NA,NA,NA,NA,"MBM146780","MBM146780",NA,NA,NA,NA,"30294","auto",NA,NA,NA,NA,NA
"13","2020-12-21 16:32:12-03","MBM","MBM","8512","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Lourteig, A.","Hatschbach, G.; et al.; et al.","19366",NA,NA,NA,"Southern America","Brazil","Paraná","Laranjeiras do Sul","Rio Perdido","-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,"MBM008512","MBM008512",NA,NA,NA,NA,"28404","auto",NA,NA,NA,NA,NA
"14","2016-03-09 17:11:56-03","MNHN","RECOLNAT_MNHN_P","P00853244","PreservedSpecimen",NA,NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,"Glaziou, A.",NA,"1891","2","8",NA,"Brésil",NA,NA,"Sao Paulo : campos da Bocaina",NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00853244' target='other'> <mi>dwc_moreinfo</mi></a>","P00853244","P00853244_01",NA,NA,NA,NA,NA,NA,NA,NA,"lectotype","18219",NA
"15","2020-12-11 11:37:18-03","UFMG","BHCB","27348","PreservedSpecimen","Plantae","Dicotyledon",NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-11 17:19:26-03","UFPR","UPCB","19591","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Hatschbach, G.","Hatschbach, G.","55764","1991","10","15",NA,"Brasil","Paraná","Palmital","Rio do Cobre","-52.2028007507324","-24.8931007385254","850","850",NA,"Sublenhosa, flor lilás escuro. Margens do rio, solo rochoso úmido..",NA,NA,"1991",NA,NA,NA,"30294","auto","01","01",NA,NA,NA
"17","2018-05-17 05:28:00-03","MO","MOBOT","2252566","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","S.Graham (MO)","María E. Múlgura|Manuel J. Belgrano|Silvia S. Denham|M.A. Romero","Múlgura 2659","2000","11","13","South America","Argentina","Misiones","San Pedro","Parque Provincial Piñalito, alrededores del Salto Merri, Arroyo Pîñalito","-53.8333333","-26.4166667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"18","2012-01-03 06:29:00-02","MO","MOBOT","2440362","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,"Bernadino S. Bertoni","Bertoni 998","1945","7","25","South America","Argentina","Misiones","San Pedro","Río Alegría",NA,NA,"700.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2009-07-09 17:05:00-03","MO","MOBOT","2454597","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Hatschbach, G.","Gert G. Hatschbach","Hatschbach 55764","1991","10","15","South America","Brazil","Paraná",NA,"Palmital, Rio do Cobre",NA,NA,"850.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-05-30 04:37:00-03","MO","MOBOT","2454610","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,"Ernst Üle","Üle 1668",NA,NA,NA,"South America","Brazil","Santa Catarina",NA,"Felsen des Flusses Pedras Grandes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2014-04-11 07:01:00-03","MO","MOBOT","3159553","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","A. Lourteig","Gert G. Hatschbach|O. V. Guimarães","Hatschbach 19816","1968","3","22","South America","Brazil","Paraná",NA,"Barra Rio Pardido (mun. Laranjeiras do Sul).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"22","2011-02-02 12:54:00-02","MO","MOBOT","2228755","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","niederleinii","Cuphea niederleinii","Koehne",NA,"Gustavo Niederlein","Niederlein 1036","1886","11","2","South America","Argentina","Misiones",NA,"Yerbales y Picadas de Misiones",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2018-05-17 05:28:00-03","MO","MOBOT","2289251","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","niederleinii","Cuphea niederleinii","Koehne","Deginani, N. B.","María E. Múlgura|Sandra S. Aliscioni|Manuel J. Belgrano|M.A. Romero","Múlgura 3239","2002","3","11","South America","Argentina","Misiones","San Pedro","Parque Provincial Piñalito, Arroyo Sidra","-53.83333","-26.41666","750.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","3128308","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,"G. Hatschbach & O. Guimarães","19816","1968","3","22","South America - Neotropics","Brazil","Paraná","Laranjeiras do Sul","Barra Rio Perdido","-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,"US01884973","US01884973_01 US01884973_02",NA,NA,NA,"Dicotyledonae","28404","auto",NA,NA,NA,NA,"1"
"25","2020-09-12 05:00:02-03","US","US","3466444","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,"G. Hatschbach, M. M. Hatschbach & J. M. Silva","55764","1991","10","15","South America - Neotropics","Brazil","Paraná","Palmital","Rio do Cobre","-52.2028007507324","-24.8931007385254","850",NA,NA,NA,"US01884972","US01884972_01 US01884972_02",NA,NA,NA,"Dicotyledonae","30294","auto",NA,NA,NA,NA,"1"
"26","2020-09-02 16:31:00-03","Cenargen","CEN","62005","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","T. B. Cavalcanti & S. Graham","Taciana Barbosa Cavalcanti","3719","2005","11","28",NA,"Brasil","PR","CANTAGALO","Sítio do Camargo. Margem direita do rio Cobre. BR - 158. Entre Marquinho e Palmital.","-52.2875","-25.14","610","610","Unicata","Na beira de barranco, às margens do rio. Botões verdes comápice vináceo. Planta muito viscosa. Folhas 3- verticiladas.","CEN00062005","CEN00062005","2005","-52.2875","-25.14",NA,NA,NA,"11",NA,NA,NA,"1"
"27","2020-09-02 16:31:00-03","Cenargen","CEN","92155","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","T. B. Cavalcanti","Marcelo Galeazzi Caxambu - HCF","6885","2015","08","28",NA,"Brasil","PR","MATO RICO","Estação Ecológica Municipal Juquiri","-52.133055","-24.781944","561","561","Exsicatas","Subarbusto reófilo, semi-ciófilo, ca. 0,45m. Flores com cálice verde raiado longitudinalmente de roxo e pétalas roxas. Rara na área, apenas uma pequena população. Doação Herbário da Universidade Tecnológica Federal do Paraná - Campus Campo Mourão - HCF 17829.","CEN00092155","CEN00092155","2015","-52.133055","-24.781944",NA,NA,NA,"11",NA,NA,NA,"1"
"28","2019-11-13 11:23:56-03","USP","SPF","132490","PreservedSpecimen","Plantae",NA,NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Hatschbach, G","Hatschbach, G","55764","1991","10","15",NA,"Brasil","Paraná","Palmital",NA,"-52.2028007507324","-24.8931007385254","850","850",NA,NA,"SPF00132490",NA,"1991",NA,NA,NA,"30294","auto",NA,NA,NA,NA,NA
"29","2019-10-07 09:33:54-03","UEFS","HUEFS","10272","PreservedSpecimen","Plantae","Angiospermae","Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne",NA,"Hatschbach, G.","55764","1991","10","15",NA,"Brasil","Paraná","Palmital",NA,"-52.2028007507324","-24.8931007385254","850","850",NA,NA,"HUEFS0010272","HUEFS0010272",NA,NA,NA,"Rosanae","30294","auto",NA,NA,NA,NA,NA
"30","2019-09-04 18:37:27-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii",NA,NA,"A. Glaziou","18219",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Type [status unknown]",NA,NA
"31","2019-09-05 16:43:14-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Lythraceae","Cuphea","niederleinii","Cuphea niederleinii",NA,NA,"G. Niederlein","1036",NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,"Type [status unknown]",NA,NA
"32","2020-08-20 20:39:56-03","UFSC","FLOR","23982","PreservedSpecimen","Plantae",NA,"Myrtales","Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Hatschbach, G.","Hatschbach, G.; Hatschbach, M.","55764","1991","10","15",NA,"Brasil","Paraná","Palmital","Rio do Cobre.","-52.2028007507324","-24.8931007385254","850","850",NA,"sublenhoso, flor lilás-escuro","FLOR0023982",NA,"1991",NA,NA,NA,"30294","auto",NA,NA,NA,NA,NA
"33","2021-02-08 12:43:08-03","UFRGS","ICN","181989","S","Plantae","Dicotyledon",NA,"Lythraceae","Cuphea","glaziovii","Cuphea glaziovii","Koehne","Hatschbach, G","Hatschbach, G; Hatschbach, M","55764","1991","10","15","América do Sul","Brasil","PR","Palmital","Rio do Cobre.","-52.2028007507324","-24.8931007385254",NA,NA,NA,"Flor lilás-escuro.; Margens do rio, solo rochoso úmido.",NA,NA,"1991",NA,NA,NA,"30294","auto",NA,NA,NA,NA,NA
