"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","continentOcean","country","locality","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","stateProvince","minimumElevationInMeters","maximumElevationInMeters","month","day","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","identifiedBy","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","previousCatalogNumber"
"12","2018-01-17 12:59:34-02","MNHN","RECOLNAT_MNHN_P","P06773772","PreservedSpecimen",NA,NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Muell. Arg.",NA,"Saint-Hilaire",NA,"1816",NA,"Brasil",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06773772' target='other'> <mi>dwc_moreinfo</mi></a>","P06773772","P06773772_01",NA,NA,NA,"São Paulo",NA,NA,"1","1",NA,NA,NA,NA,NA,NA,NA,NA,"1554",NA,NA,NA
"13","2018-01-17 12:59:34-02","MNHN","RECOLNAT_MNHN_P","P06773773","PreservedSpecimen",NA,NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Muell. Arg.",NA,"Glaziou",NA,"1884",NA,"Brasil","Haute de la Itacolumi.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06773773' target='other'> <mi>dwc_moreinfo</mi></a>","P06773773","P06773773_01",NA,NA,NA,"Minas Gerais",NA,NA,"2","9",NA,NA,NA,NA,NA,NA,NA,NA,"14923",NA,NA,NA
"14","2018-01-17 12:59:34-02","MNHN","RECOLNAT_MNHN_P","P06773774","PreservedSpecimen",NA,NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Muell. Arg.",NA,"Glaziou",NA,"1884",NA,"Brasil","Haut del Itacolomi.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06773774' target='other'> <mi>dwc_moreinfo</mi></a>","P06773774","P06773774_01",NA,NA,NA,"Minas Gerais",NA,NA,"2","9",NA,NA,NA,NA,NA,NA,NA,NA,"14923",NA,NA,NA
"15","2015-09-05 12:29:22-03","MNHN","RECOLNAT_MNHN_P","P06773775","PreservedSpecimen",NA,NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Muell. Arg.",NA,"Schwacke",NA,"1893",NA,"Brasil","Serra de Capanema].","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06773775' target='other'> <mi>dwc_moreinfo</mi></a>","P06773775","P06773775_01",NA,NA,NA,NA,NA,NA,"9","18",NA,NA,NA,NA,NA,NA,NA,NA,"9437",NA,NA,NA
"16","2020-12-11 11:42:40-03","UFMG","BHCB","141998","PreservedSpecimen","Plantae","Dicotyledon",NA,"Valerianaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Oliveira, CT; Giacomin, LL","81","2008","Southern America","Brasil","RPPN Santuário do Caraça, Pico Cangerana",NA,"erva de 1 m, inflorescência longa, flores brancas.",NA,NA,NA,NA,NA,"Minas Gerais","1930","1930","08","27","Catas Altas","-43.513333","-20.135278",NA,NA,NA,"-43.513333","-20.135278",NA,NA,NA,NA
"17","2020-12-11 11:42:40-03","UFMG","BHCB","142111","PreservedSpecimen","Plantae","Dicotyledon",NA,"Valerianaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Oliveira, CT","205","2008","Southern America","Brasil","RPPN Santuário do Caraça, Pico Cangerana",NA,"subarbusto de 80 cm, flores cremes, coletada em campo rupestre.",NA,NA,NA,NA,NA,"Minas Gerais","1926","1926","10","27","Catas Altas","-43.513056","-20.135278",NA,NA,NA,"-43.513056","-20.135278",NA,NA,NA,NA
"18","2020-12-11 11:42:40-03","UFMG","BHCB","142186","PreservedSpecimen","Plantae","Dicotyledon",NA,"Valerianaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Oliveira, CT; Stehmann, JR","280","2008","Southern America","Brasil","RPPN Santuário do Caraça, vale do lado direito na subida para o Pico do Inficionado",NA,"arbusto de 1,2 m, flores brancas.",NA,NA,NA,NA,NA,"Minas Gerais","1864","1864","12","09","Catas Altas","-43.460278","-20.136667",NA,NA,NA,"-43.460278","-20.136667",NA,NA,NA,NA
"19","2009-07-27 09:40:00-03","MO","MOBOT","3259476","PreservedSpecimen","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Auguste F.M. Glaziou","Glaziou 14923","1883","South America","Brazil","Et d'Ouro-Preto.",NA,NA,NA,NA,NA,NA,NA,"Rio de Janeiro","14998.00000000","14993.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-09-12 05:00:02-03","US","US","3558464","PreservedSpecimen","Plantae",NA,"Dipsacales","Valerianaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"E. Lucas, F. F. Mazine, N. A . Brummitt, C. Caliari & et al.","520","2006","South America - Neotropics","Brazil","Mun. Teresópolis, Parque Nacional da Serra dos Órgãos, trilha para a Pedra do Sino.",NA,NA,"US02784957","US02784957_01",NA,NA,NA,"Rio de Janeiro","2118",NA,"11","19",NA,"-43.0322","-22.465",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"21","2019-09-04 18:48:39-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Valerianaceae","Valeriana","organensis","Valeriana organensis",NA,"Type [status unknown]","F. Sellow","1059",NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"22","2016-08-23 10:59:01-03","NHMLondon","NHM-LONDON-BOT","BM000947828","S","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner","Type","George Gardner; b.1812; d.1849; Gardner","5768","1841",NA,"Brasil",NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/0ab723033d748cd51c2288845a47ce8f503c4dd6/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,"03",NA,NA,"-53.08982","-10.773109",NA,NA,NA,"-53.08982","-10.773109",NA,NA,NA,"NHMUK:ecatalogue:617687"
"23","2021-02-08 12:39:09-03","UFRGS","ICN","197117","S","Plantae","Dicotyledon",NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardn.",NA,"Coelho, GP","202","2017","América do Sul","Brasil","Parque Nacional da Serra dos Órgãos.",NA,"Erva, até 30cm, flores brancas e aromáticas.; Campo rochoso na trilha para a Pedra do Sino.","ICN00032453",NA,"2018","02","27","RJ",NA,NA,"11","17","Teresópolis","-43.024722","-22.458611",NA,NA,"Rabuske, C","-43.024722","-22.458611",NA,NA,NA,NA
"24","2021-02-08 12:39:09-03","UFRGS","ICN","197118","S","Plantae","Dicotyledon",NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardn.",NA,"Coelho, GP","199","2017","América do Sul","Brasil","Parque Nacional da Serra dos Órgãos.",NA,"Erva, até 30cm, flores brancas, pequenas e aromáticas. Maior parte das flores em botão.; Nas rochas da Pedra da Baleia.","ICN00032456",NA,"2018","02","27","RJ",NA,NA,"11","16","Guapimirim","-43.027222","-22.461389",NA,NA,"Rabuske, C","-43.027222","-22.461389",NA,NA,NA,NA
"25","2019-11-21 10:03:05-03","IBt","SP","14661","S","Plantae",NA,NA,"Caprifoliaceae","Valeriana","organensis","Valeriana organensis","Gardner",NA,"Loefgren, A","CGG3531","1897",NA,"Brasil","Alto dos Marins",NA,NA,"SP032715","SP032715","2002",NA,NA,"São Paulo",NA,NA,"01","10","Cruzeiro","-44.9599990844727","-22.5699996948242","17702","auto","Scalon, VR",NA,NA,NA,NA,NA,NA
