"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","relatedCatalogItem"
"11","2021-03-24 17:09:34-03","UFES","SAMES","4060","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Wagner,M.A.","Jesus,M.C.F.","310","2010","08","20",NA,"Brasil","Espírito Santo","Linhares","Pontal do Ipiranga. Mata alta de restinga.","-40.0722007751465","-19.3910999298096",NA,NA,NA,"Arbusto com flores brancas na inflorescência, botões florais verdes e folhas com herbivoria.","SAMES04060",NA,NA,"2019","48094","auto","11","28",NA,NA,NA,NA,NA,NA
"12","2021-03-24 17:09:34-03","UFES","SAMES","6587","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C.Souza.","Menezes,L.F.T.; Souza,M.C.;Morim,M.P.",NA,"2016","11","16",NA,"Brasil","Espírito Santo","Sooretama",NA,"-40.0978012084961","-19.1968994140625",NA,NA,NA,"Habito: Arbusto","SAMES06587",NA,NA,"2019","33715","auto","03","11","-401458333.0","-190511111.0",NA,NA,NA,NA
"13","2021-03-24 17:09:34-03","UFES","SAMES","7125","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C.Souza.","Curso de Campo UFES, UFRRJ, IBRJ, 2017.","39","2017","10",NA,NA,"Brasil","Espírito Santo","Sooretama","Reserva Biológica de Sooretama, estrada do Quirino, coleta avulsa.","-40.0978012084961","-19.1968994140625",NA,NA,NA,"Flores e frutos escuros Habitat: Floresta de Tabuleiro","SAMES07125",NA,NA,"2019","33715","auto","03","11","-401247223.0","-189977777.0",NA,NA,NA,NA
"14","2021-03-01 16:36:35-03","UNICAMP","UEC","157742","S","Plantae","Magnoliopsida",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Matsumoto, K; Gonçalves, APS","803","2002","10","11",NA,"Brazil","Espírito Santo","Fundão","Rio Saltinho.","-40.477472","-19.938167","235","235",NA,"Arbusto ca. 3m, tronco liso descamante, frutos verdes e botões jovens.","UEC015912","UEC015912",NA,"2006",NA,NA,"02",NA,"-40.477472","-19.938167",NA,NA,NA,NA
"15","2020-04-27 16:10:48-03","UFES","VIES","29372","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.A. Wagner","Jesus, M.C.F.","310","2010","08","20",NA,"Brasil","Espírito Santo","Linhares","Pontal do Ipiranga.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES029372",NA,NA,"2019","48094","auto","11","28",NA,NA,NA,NA,NA,NA
"16","2020-04-27 16:10:48-03","UFES","VIES","9828","S","Plantae",NA,NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto","Giaretta, A.O.","Souza, R.L.D.","144","1996","09","10",NA,"Brasil","Espírito Santo","Linhares","Pontal do Ipiranga.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES009828","VIES009828",NA,"2011","48094","auto","08",NA,NA,NA,NA,NA,NA,NA
"17","2020-04-27 16:10:48-03","UFES","VIES","10354","S","Plantae",NA,NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto","A. Giaretta","Thomaz, L.D.; Negrelle, R.R.","1851","2009","08","31",NA,"Brasil","Espírito Santo","Linhares","Reserva Biológica de Sooretama.","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"VIES010354","VIES010354",NA,"2017","48094","auto","09",NA,NA,NA,NA,NA,NA,NA
"18","2020-04-27 16:10:48-03","UFES","VIES","16107","S","Plantae",NA,NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto","Giaretta, A.O.","Pereira, O.J.","7717","1997","06","09",NA,"Brasil","Espírito Santo","Serra","Bacia Rio Jacaraípe.","-40.3078002929688","-20.1285991668701",NA,NA,NA,NA,"VIES016107","VIES016107",NA,"2012","16451","auto","06",NA,NA,NA,NA,NA,NA,NA
"19","2020-04-27 16:10:48-03","UFES","VIES","13493","S","Plantae",NA,NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto","A. Giaretta","Pereira, O.J.","7853","2009","07","29",NA,"Brasil","Espírito Santo","Viana","Centro de Educação Ambiental de Jucuruaba.","-40.4961013793945","-20.3903007507324",NA,NA,NA,NA,"VIES013493","VIES013493",NA,"2017","15195","auto","09",NA,NA,NA,NA,NA,NA,NA
"20","2020-04-27 16:10:48-03","UFES","VIES","19936","S","Plantae",NA,NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto","Giaretta, A.O.","Pereira, O.J.; Quinino, M.K. & Deus, Y.S.","7286","2003","08","22",NA,"Brasil","Espírito Santo","Vitória","Parque Estadual da Fonte Grande.","-40.3377990722656","-20.3194007873535",NA,NA,NA,NA,"VIES019936","VIES019936",NA,"2012","15291","auto","06",NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 09:31:34-03","UFRRJ","RBR","36859","S","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C. Souza, A.T.L. Brandão","A. Peixoto","3084","1985","02","01",NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da CRVD","-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"RBR00036859","RBR00036859",NA,"2016","48094","auto","06","08",NA,NA,NA,NA,NA,NA
"22","2019-12-18 19:59:27-03","UESC","UESC","16007","S","Plantae","Angiospermae","Florideophycidae","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Paixão, J.L.,","1887","2010","11","06",NA,"Brasil","Bahia","Porto Seguro",NA,"-39.170833","-13.802778",NA,NA,NA,"Mata Atlântica Sul Baiana.; Arvoreta, ca. 3m de alt.","UESC0016007",NA,"Dicotyledoneae",NA,NA,NA,NA,NA,"39w10'15''","13S48'10''",NA,NA,NA,NA
"23","2015-09-04 21:43:21-03","MNHN","RECOLNAT_MNHN_P","P05209057","PreservedSpecimen",NA,NA,NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso & Peixoto","Staggemeier","Blanchet, J.S.",NA,NA,NA,NA,NA,"Brésil",NA,NA,NA,NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05209057' target='other'> <mi>dwc_moreinfo</mi></a>","P05209057","P05209057_01",NA,NA,NA,NA,NA,NA,NA,NA,"76",NA,NA,NA
"24","2020-12-11 11:39:24-03","UFMG","BHCB","173901","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","Nied.",NA,"Kollmann, L; Bausen, E; Pizziolo, W","3833","2001","06","07","Southern America","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.6002998352051","-19.9356002807617","300","300",NA,"Árvore 4m. Beira rio no sol, botões acinzentados.","BHCB019216",NA,NA,"2007","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-12-11 11:39:24-03","UFMG","BHCB","173902","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","Nied.",NA,"Demuner, V; Bausen, E; Pizziolo, W","1336","2000","08","03","Southern America","Brasil","Espírito Santo","Santa Teresa","São João de Petrópolis, Cachoeira do Struts. Mata secundária, lado esquerdo da cachoeira","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Arbusto 4m, frutos jovens esverdeados.","BHCB019215",NA,NA,"2007","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-12-11 11:39:26-03","UFMG","BHCB","161799","PreservedSpecimen","Plantae","Dicotyledon",NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M.Barroso",NA,"Vimercat, JM","167","1984","05","31","Southern America","Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.6002998352051","-19.9356002807617",NA,NA,NA,"Arbusto de 2m, flores brancas, perfumadas.; Solo pedregoso","BHCB005665",NA,NA,NA,"23813","auto",NA,NA,NA,NA,NA,"Paratypus",NA,NA
"27","2020-07-10 09:47:54-03","MBML","MBML-HERBARIO","27411",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","cf. eumecephylla","Myrcia cf. eumecephylla","(O Berg) Nied.","M. Sobral/Março-2007","V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","2784","2006","08","24",NA,"Brasil","Espírito Santo","Governador Lindenberg","Morelo. Prop.:Fernando Nicolli","-40.4575","-19.148333","110","110",NA,"Arvoreta 5m, frutos imaturos verdes. Beira de riacho.","MBML027411","MBML027411",NA,NA,NA,NA,NA,NA,"40W27'27","19S8'54",NA,NA,NA,NA
"28","2020-07-10 09:47:54-03","MBML","MBML-HERBARIO","27592",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","cf. eumecephylla","Myrcia cf. eumecephylla","(O.Berg) Nied.","M. Sobral/Março-2007","V. Demuner; L.F.S. Magnago, T. Cruz, Elias Bausen","2911","2006","10","17",NA,"Brasil","Espírito Santo","Águia Branca","16 de Abril","-40.734722","-18.906944","150","150",NA,"Arvoreta 5m, frutos imaturos verdes. Interior de mata alterada.","MBML027592","MBML027592",NA,NA,NA,NA,NA,NA,"40W44'5","18S54'25",NA,NA,NA,NA
"29","2020-07-10 09:47:54-03","MBML","MBML-HERBARIO","28885",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","cf. eumecephylla","Myrcia cf. eumecephylla","(O.Berg) Nied.","M. Sobral/2008","L. F. S. Magnago; V. Demuner, T. Cruz e Elias Bausen","1067","2006","07","25",NA,"Brasil","Espírito Santo","Águia Branca","Mata do Assentamento 16 de abril.","-40.735556","-18.903333","150","150",NA,"Arbusto 4m de alt. Botões florais brancos. Mata.","MBML028885","MBML028885",NA,NA,NA,NA,NA,NA,"40W44'8","18S54'12",NA,NA,NA,NA
"30","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","13212",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/2005","V. Demuner; et al","1329","2000","07","27",NA,"Brasil","Espírito Santo","Santa Teresa","Várzea Alegre","-40.795833","-19.887222",NA,NA,NA,"Arbusto 6m, botões florais e flores amarronzadas. Ambiente rochoso, meio sombra.","MBML013212","MBML013212",NA,NA,NA,NA,NA,NA,"40W47'45","19S53'14",NA,NA,NA,NA
"31","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","20799",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/2005","K. Matsumoto; et al","803","2002","10","11",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,NA,NA,"Arbusto ca 3m, tronco liso descamante. Frutos verdes e botões florais jovens. Folhas fixadas em FAA 50 e sílica gel, botões florais fixados em Carnoy.","MBML020799","MBML020799",NA,NA,NA,NA,NA,NA,"40W30'25","19S56'10",NA,NA,NA,NA
"32","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","30518",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/Março-2016","R.R. Vervloet; V. Demuner, E. Bausen, T. A. Cruz","2730","2007","07","03",NA,"Brasil","Espírito Santo","Águia Branca","Assentamento 16 de abril","-40.734722","-18.907028","150","150",NA,"Arbusto 3m, botões florais de cor branca.","MBML030518","MBML030518",NA,NA,NA,NA,NA,NA,"40W44'5","18S54'25,3",NA,NA,NA,NA
"33","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","30980",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/Março-2016","R.R. Vervloet; V. Demuner, E. Bausen","2991","2007","07","31",NA,"Brasil","Espírito Santo","Governador Lindenberg","Morelo","-40.4575","-19.148333","150","150",NA,"Arvoreto 8m,frutos jóvens e botões de cor branca.","MBML030980","MBML030980",NA,NA,NA,NA,NA,NA,"40W27'27","19S8'54",NA,NA,NA,NA
"34","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","32163",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/Março-2016","H. Q. Boudet Fernandes; V. Demuner, T. A. Cruz, R. R. Vervloet","3404","2007","10","02",NA,"Brasil","Espírito Santo","Águia Branca","Pedra redonda. Prop.Jorge Wrublewski","-40.769444","-18.975556","300","300",NA,"Mata de encosta. Erva 1,5m. Arvoreta 9m x 4cm. Caule liso avermelhado. Folha discolor, verde clara inferiormente. Frutos verdes.","MBML032163","MBML032163",NA,NA,NA,NA,NA,NA,"40W46'10","18S58'32",NA,NA,NA,NA
"35","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","36272",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/Março-2016","R. C. Forzza; et al","5138","2008","07","16",NA,"Brasil","Espírito Santo","Nova Venécia","Área de Proteção Ambiental da Pedra do Elefante","-40.432778","-18.7825",NA,NA,NA,NA,"MBML036272","MBML036272",NA,NA,NA,NA,NA,NA,"40W25'58","18S46'57",NA,NA,NA,NA
"36","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","45359",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/Março-2016","A. P. Fontana; L. Kollmann & C.Esgario","1720","2005","09","23",NA,"Brasil","Espírito Santo","Santa Teresa","Cachoeira do Strutz, propriedade Marcos Strutz","-40.728889","-19.835",NA,NA,NA,"Mata Estacional Semidecidual 15 m, Arvoreto 4m, frutos verdes","MBML045359","MBML045359",NA,NA,NA,NA,NA,NA,"40W43'44","19S50'6",NA,NA,NA,NA
"37","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","48112",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M. Sobral/Março-2016","A. M. Assis; J. Freitas","3516","2012","11","16",NA,"Brasil","Espírito Santo","Montanha","Fazenda Luis Siqueira - distrito da Penha","-40.317167","-18.145861","140","140",NA,"Arbusto 5 m. Botões amarelados. Fragmento de floresta de tabuleiro em estágio avançado de regeneração.","MBML048112","MBML048112",NA,NA,NA,NA,NA,NA,"40W19'1,8","18S8'45,1",NA,NA,NA,NA
"38","2020-07-10 09:47:57-03","MBML","MBML-HERBARIO","1082",NA,"Plantae",NA,NA,"Myrtaceae","Myrcia","limae","Myrcia limae","G.M. Barroso & A.L. Peixoto","C. N. Fraga/04-04-2000","J. M. Vimercat","167","1984","05","31",NA,"Brasil","Espírito Santo","Santa Teresa","Rio Saltinho","-40.506944","-19.936111",NA,NA,NA,"Arbusto de 2m, flores brancas perfumadas, solo pedregoso.","MBML001082","MBML001082",NA,NA,NA,NA,NA,NA,"40W30'25","19S56'10",NA,"PARATIPO","1",NA
"39","2021-03-04 11:05:53-03","UFRB","HURB","14374","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.",NA,"Victor Jr., V.","161","2013","01","08",NA,"Brasil","Bahia","Ibirapitanga","Serra do Papuã; APA do Pratigi","-39.3736000061035","-14.1641998291016",NA,NA,NA,NA,"HURB000014374",NA,NA,NA,"33549","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-03 13:56:22-03","UFF","NIT","NIT10308","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","T. Fernandes","T. Fernandes","88",NA,NA,NA,NA,"Brasil","Espírito Santo","Bom Jesus do Norte",NA,"-41.676700592041","-21.1322002410889",NA,NA,NA,"Arvoreta, ca. 4 m. Estéril. Habitat: Mata secundária","NIT00001542",NA,NA,NA,"16398","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-04-07 16:08:49-03","UENF","HUENF","10121","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","M.C. SOUZA","Broggio, I.S.; Faitanin, M. A.","239","2016","09","21",NA,"Brasil","Rio de Janeiro","São Francisco de Itabapoana","Fazenda Palmeiras. Parcela permanente FP - 57.","-41.116667","-21.316667","37","37",NA,"Frutos de cor verde, fuste liso. Habito: Árvore","HUENF00010746",NA,NA,"2019",NA,NA,NA,NA,"41º7'W","21º19'0''S",NA,NA,NA,NA
"42","2021-02-25 10:13:07-03","CVRD","CVRD","14618","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Tuler, A.C. & M.C. Souza","Folli, D.A.","7140","2013","11","11","América do Sul","BRASIL","ES","Jaguaré",NA,"-40.076099395752","-18.9055995941162","60","60",NA,"<ll>dwc_commonname:</ll> Araçá espada","CVRD014618","CVRD014618","Magnoliopsida","2015","43085","auto","07","02",NA,NA,NA,NA,NA,NA
"43","2021-02-25 10:13:07-03","CVRD","CVRD","15571","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Domingos A. Folli","Folli, D.A.","7454","2015","10","12","América do Sul","BRASIL","ES","Jaguaré",NA,"-40.076099395752","-18.9055995941162",NA,NA,NA,"<ll>dwc_commonname:</ll> Araçá espada","CVRD015571",NA,"Magnoliopsida","2015","43085","auto","10","12",NA,NA,NA,NA,NA,NA
"44","2021-02-25 10:13:07-03","CVRD","CVRD","13844","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Marcos Sobral","Folli, D.A.","6885","2012","07","25","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096","30","30",NA,"coletado na em floresta de aluvial do baixo Rio Doce <ll>dwc_commonname:</ll> Araçá espada","CVRD013844",NA,"Magnoliopsida","2014","48094","auto","07","01",NA,NA,NA,NA,NA,NA
"45","2021-02-25 10:13:07-03","CVRD","CVRD","10532","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Lucas, E. & Araujo, A.C.","Folli, D.A.","5750","2007","11","05","América do Sul","BRASIL","ES","Vila Velha",NA,"-40.2924995422363","-20.3297004699707",NA,NA,NA,"Morro do Convento <ll>dwc_commonname:</ll> Araçá espada","CVRD010532",NA,"Magnoliopsida","2011","27156","auto","09","01",NA,NA,NA,NA,NA,NA
"46","2021-02-25 10:13:07-03","CVRD","CVRD","12529","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Lucas, E. & Araujo, A.C.","Folli, D.A.","6414","2009","09","11","América do Sul","BRASIL","ES","Vila Velha",NA,"-40.2924995422363","-20.3297004699707",NA,NA,NA,"Morro do Convento <ll>dwc_commonname:</ll> Araçá espada","CVRD012529",NA,"Magnoliopsida","2011","27156","auto","09","01",NA,NA,NA,NA,NA,NA
"47","2019-11-13 11:26:59-03","USP","SPF","41361","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Fernandes, T","Santos, TS","3814","1982","11","04",NA,"Brasil","Bahia","Ilhéus",NA,"-39.0494003295898","-14.7889003753662",NA,NA,NA,NA,"SPF00041361",NA,NA,"2019","61245","auto","02",NA,NA,NA,NA,NA,NA,NA
"48","2019-11-13 11:26:59-03","USP","SPF","223221","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","eumecephylla","Myrcia eumecephylla","(O.Berg) Nied.","Sobral, M","Folli, DA","6885","2012","07","25",NA,"Brasil","Espírito Santo","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,NA,NA,NA,"SPF00223221",NA,NA,"2014","48094","auto","07","07",NA,NA,NA,NA,NA,NA
