"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","typeStatus"
"11","2021-03-24 17:08:53-03","UFES","SAMES","1385","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Barbosa-Silva,R.G.","Broggio,I.S.; Menezes,L.F.T.;Ribeiro,M.","31","2010","06","01",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Floresta Atlântica de Tabuleiro, trilha de acesso a Mata Água Limpa.","-40.2132987976074","-18.3703002929688",NA,"Frutos jovens de coloração vinho bem claro. Habito: Árvore","SAMES01385",NA,NA,NA,NA,"28525","auto","2017","02","13",NA,NA,NA
"12","2021-03-24 17:08:53-03","UFES","SAMES","1411","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Menezes,L.F.T.","Menezes,L.F.T.","2019","2012","06","05",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado. Floresta de tabuleiro.","-40.2132987976074","-18.3703002929688",NA,"Árvore de 7m, com flores esverdeadas.","SAMES01411",NA,NA,NA,NA,"28525","auto","2012","06","05",NA,NA,NA
"13","2021-02-12 18:12:00-03","UFES","VIES","15639","S","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Asprino, R.","Pereira, A.S.","s.n.","1996","12","02",NA,"Brasil","Espírito Santo","Linhares","Regência.","-40.0722007751465","-19.3910999298096",NA,NA,"VIES015639","VIES015639",NA,NA,NA,"48094","auto","2015","06","12",NA,NA,NA
"14","2020-04-27 16:09:15-03","UFES","VIES","43555","S","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Guarnier, J.C.","Firmino, A.D.; Silvares, G.C.O.","431","2018","11","06",NA,"Brasil","Espírito Santo","Linhares","Reserva de Comboios, próximo ao projeto Tamar. Ponto de amostragem 7.","-39.888889","-19.669167",NA,NA,"VIES043555","VIES043555",NA,NA,NA,NA,NA,"2019","08","23","39º53'20''W","19º40'9''S",NA
"15","2020-04-27 16:09:15-03","UFES","VIES","44544","S","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Firmino, A.D.","Firmino, A.D.","1130","2019","05","31",NA,"Brasil","Espírito Santo","Linhares","Reserva de Comboios, próximo ao projeto Tamar. Ponto de amostragem 7.","-39.888333","-19.669167",NA,NA,"VIES044544","VIES044544","3","3",NA,NA,NA,"2019","08",NA,"39º53'18''W","19º40'9''S",NA
"16","2020-04-27 16:09:15-03","UFES","VIES","46963","S","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Firmino, A.D.","Firmino, A.D.; Valadares, R.T.","1683","2020","03","17",NA,"Brasil","Espírito Santo","Aracruz","Reserva de Comboios, próximo à reserva indígena. Ponto de amostragem 8.","-39.931944","-19.696111",NA,NA,"VIES046963","VIES046963","8","8",NA,NA,NA,"2020","03","17","39º55'55''W","19º41'46''S",NA
"17","2020-07-30 12:23:20-03","UFES","VIES","47551","S","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","A.F.A. Scheidegger","Dutra, S.C.; Oliveira, R.M.; Sossai, B.G.; Miranda, V.S.","234","2020","03","05",NA,"Brasil","Espírito Santo","Conceição da Barra","Trilha Sul da Flona (Restinga). Flona do Rio Preto","-39.831944","-18.438056",NA,NA,"VIES047551","VIES047551",NA,NA,NA,NA,NA,"2020","07","21","39º49'55''W","18º26'17''S",NA
"18","2019-06-27 10:24:31-03","UFES","VIES","23497","S","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Menezes, L.F.T.","Ribeiro, M.; Menezes, L.F.T. & Broggio, I.S.","175","2010","06","01",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica de Córrego do Veado.","-40.2132987976074","-18.3703002929688",NA,NA,"VIES023497","VIES023497 VIES023497_2",NA,NA,NA,"28525","auto",NA,NA,NA,NA,NA,NA
"19","2020-04-27 16:09:15-03","UFES","VIES","25730","S","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Menezes, L.F.T.","Menezes, L.F.T.","2019","2012","06","05",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica de Córrego do Veado.","-40.2132987976074","-18.3703002929688",NA,NA,"VIES025730","VIES025730",NA,NA,NA,"28525","auto","2012","06","05",NA,NA,NA
"20","2013-04-01 09:17:20-03","IPT","BCTW","19296","S","Plantae","Magnoliophyta",NA,NA,"Exellodendron","gracile","Exellodendron gracile","(Kuhlmann) Prance",NA,NA,NA,NA,NA,NA,NA,"Brasil","Espírito Santo","Linhares","Reserva Florestal da Cia Vale do Rio Doce (CVRD)","-40.0722","-19.3911",NA,NA,NA,NA,NA,NA,"Magnoliopsida","48094","auto",NA,NA,NA,NA,NA,NA
"21","2020-08-31 09:00:51-03","INPA","INPA","39608","S","Plantae","Dicotyledon Com-Clade","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Prance, GT","Spada, JS","151","1973","01","22","Southern America","Brasil","Espírito Santo","Linhares","Reserva Florestal Linhares - CVRD. Próximo a Estrada 161, Talhão 605","-40.0722007751465","-19.3910999298096",NA,NA,"INPA0039608","INPA0039608",NA,NA,NA,"48094","auto","1973",NA,NA,NA,NA,NA
"22","2020-07-10 09:45:02-03","MBML","MBML-HERBARIO","27325",NA,"Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","R.C. Barbosa-Silva/10-05-2018","V. Demuner; L.F.S Magnago, T. Cruz e Elias Bausen","2617","2006","07","13",NA,"Brasil","Espírito Santo","Marilândia","Liberdade (Água.Viva, Pedra do Cruzeiro), Prop.: Aguilar A. Lovucini","-40.551111","-19.348333",NA,"Árvore 17m, fuste 9m, Dap 40cm, frutos verdes. Interior de mata.","MBML027325","MBML027325","150","150",NA,NA,NA,NA,NA,NA,"40W33'4","19S20'54",NA
"23","2020-07-10 09:45:02-03","MBML","MBML-HERBARIO","8046",NA,"Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","R.Asprino/Junho-2015","L. Kollmann; E. Bausen & W. Pizziolo","1056","1998","11","18",NA,"Brasil","Espírito Santo","Santa Teresa","Estação Biológica Caixa D'Água","-40.6075","-19.931389",NA,"Mata de encosta. Árvore 12m. DAP 25cm. Fuste 8m. Flores verdes.","MBML008046","MBML008046",NA,NA,NA,NA,NA,NA,NA,NA,"40W36'27","19S55'53",NA
"24","2021-02-25 10:12:46-03","CVRD","CVRD","15263","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Geovane S. Siqueira","Siqueira, G.S. & Campos, L.F.C.","1063","2015","03","10","América do Sul","BRASIL","ES","Linhares",NA,"-39.959972","-19.184861",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD015263","CVRD015263","14","14","Magnoliopsida",NA,NA,"2015","03","10","39°57'35,9W","19°11'05,5S",NA
"25","2021-02-25 10:12:46-03","CVRD","CVRD","12050","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Domingos A. Folli","Folli, D.A.","6275","2009","01","05","América do Sul","BRASIL","ES","Linhares",NA,"-39.961724","-19.246652",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD012050",NA,"37","37","Magnoliopsida",NA,NA,"2009","01","05","-39,961724","-19,246652",NA
"26","2021-02-25 10:12:46-03","CVRD","CVRD","999","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Ghillea T. Prance","Silva, I.A.","377","1982","12","15","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD000999","CVRD000999",NA,NA,"Magnoliopsida","48094","auto","1991","10","01",NA,NA,NA
"27","2021-02-25 10:12:46-03","CVRD","CVRD","1204","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Geovane S. Siqueira","Farias, G.L.","61","1985","07","23","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD001204","CVRD001204",NA,NA,"Magnoliopsida","48094","auto","2007","11","02",NA,NA,NA
"28","2021-02-25 10:12:46-03","CVRD","CVRD","9215","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Geovane S. Siqueira","Siqueira, G.S.","190","2005","08","07","América do Sul","BRASIL","ES","Linhares",NA,"-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD009215","CVRD009215",NA,NA,"Magnoliopsida","48094","auto","2007","11","02",NA,NA,NA
"29","2021-02-25 10:12:46-03","CVRD","CVRD","2879","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Ghillea T. Prance","Farias, G.L.","376","1990","08","27","América do Sul","BRASIL","ES","Linhares","40m antes do Guaratã.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD002879",NA,NA,NA,"Magnoliopsida","48094","auto","1991","10","01",NA,NA,NA
"30","2021-02-25 10:12:46-03","CVRD","CVRD","3493","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Milton Groppo Jr.","Souza, V.D.","210","1991","10","14","América do Sul","BRASIL","ES","Linhares","Próxima a estrada indo para a praia, lado direito.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD003493",NA,NA,NA,"Magnoliopsida","48094","auto","2003","10","15",NA,NA,NA
"31","2021-02-25 10:12:46-03","CVRD","CVRD","3003","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Domingos A. Folli","Folli, D.A.","1251","1990","01","04","América do Sul","BRASIL","ES","Linhares","Próximo à estrada.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD003003",NA,NA,NA,"Magnoliopsida","48094","auto","2003","12","18",NA,NA,NA
"32","2021-02-25 10:12:46-03","CVRD","CVRD","2221","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Ghillea T. Prance","Folli, D.A.","904","1989","04","24","América do Sul","BRASIL","ES","Linhares","Próximo ao Aceiro com a Fazenda Cata-vento.","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD002221",NA,NA,NA,"Magnoliopsida","48094","auto","1991","10","01",NA,NA,NA
"33","2021-02-25 10:12:46-03","CVRD","CVRD","5464","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Folli, D.A.","2775","1996","09","24","América do Sul","BRASIL","ES","Linhares","Próximo casa de taípa","-40.0722007751465","-19.3910999298096",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD005464",NA,NA,NA,"Magnoliopsida","48094","auto",NA,NA,NA,NA,NA,NA
"34","2021-02-25 10:12:46-03","CVRD","CVRD","12772","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Domingos A. Folli","Folli, D.A.","6489","2009","12","07","América do Sul","BRASIL","ES","Pinheiros",NA,"-40.2132987976074","-18.3703002929688",NA,"<ll>dwc_commonname:</ll> Água fria","CVRD012772","CVRD012772",NA,NA,"Magnoliopsida","28525","auto","2009","12","07",NA,NA,NA
"35","2019-11-13 11:17:49-03","USP","SPF","186345","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Barbosa-Silva, RG","Ribeiro, RD","950","2008","04","02",NA,"Brasil","Espírito Santo","Aracruz",NA,"-40.444722","-19.729167",NA,NA,"SPF00186345",NA,NA,NA,NA,NA,NA,"2017","07",NA,"-40.444722","-19.729167",NA
"36","2019-11-13 11:17:49-03","USP","SPF","186449","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Barbosa-Silva, RG","Thomas, WW","14496","2005","04","28",NA,"Brasil","Bahia","Itapebi",NA,"-39.632222","-15.920556",NA,NA,"SPF00186449",NA,"320","420",NA,NA,NA,"2017","07",NA,"-39.632222","-15.920556",NA
"37","2019-11-13 11:17:49-03","USP","SPF","157635","PreservedSpecimen","Plantae",NA,NA,"Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","Pirani, JR; Groppo, M","Souza, V","210","1991","10","14",NA,"Brasil","Espírito Santo","Linhares","Reserva Biológica de Comboios","-40.0722007751465","-19.3910999298096",NA,NA,"SPF00157635",NA,NA,NA,NA,"48094","auto","2003","09",NA,NA,NA,NA
"38","2019-10-11 14:19:11-03","UEFS","HUEFS","237645","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Ribeiro, R.D.","950","2008","04","02",NA,"Brasil","Espírito Santo","Aracruz","Córrego d'água. Fazenda do Retiro(proprietário Mnaoel Pedro Cararetto).","-40.444722","-19.729167",NA,"Fragmento de Floresta sobre morrte, solo argiloso.","HUEFS0237645",NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,"40W26'41''","19S43'45''",NA
"39","2019-10-07 09:29:58-03","UEFS","HUEFS","127104","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance","R.G.Barbosa-Silva","Thomas, W.W.","14496","2005","05","28",NA,"Brasil","Bahia","Itapebi","Fazenda Palmeiras, 7,5 Km W of BR-101( at Ventania, 5 Km N of Rio Jequitinhonha) on road to Caiubí, then 4-5 Km S.","-39.632222","-15.920556",NA,NA,"HUEFS0127104","HUEFS0127104","320","420","Rosanae",NA,NA,"2018","03",NA,"39W37'56''","15S55'14''",NA
"40","2019-10-07 09:29:58-03","UEFS","HUEFS","188656","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Matos, E.N.de","2595","2011","09","29",NA,"Brasil","Bahia","Vera Cruz","Fazenda Moponga","-38.789722","-13.087778",NA,"Restinga. Floresta.","HUEFS0188656","HUEFS0188656",NA,NA,"Rosanae",NA,NA,NA,NA,NA,"38W47'23''","13S5'16''",NA
"41","2019-10-11 14:19:11-03","UEFS","HUEFS","237647","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,"Siqueira, G.S.","1063","2015","03","10",NA,"Brasil","Espírito Santo","Linhares","Reserva Natural Vale. Estrada Aceiro Catelã-João Pedro.","-39.959722","-19.184722",NA,"Mata de Tabuleiro.","HUEFS0237647",NA,NA,NA,"Rosanae",NA,NA,NA,NA,NA,"39W57'35''","19S11'5''",NA
"42","2019-11-22 16:09:03-03","UEFS","HUEFS","237709","PreservedSpecimen","Plantae","Angiospermae","Malpighiales","Chrysobalanaceae","Exellodendron","gracile","Exellodendron gracile","(Kuhlm.) Prance",NA,NA,"6489","2009","12","07",NA,"Brasil","Espírito Santo","Pinheiros","Reserva Biológica Córrego do Veado.","-40.2132987976074","-18.3703002929688",NA,"Mata de tabuleiro.","HUEFS0237709",NA,NA,NA,"Rosanae","28525","auto",NA,NA,NA,NA,NA,NA
"43","2020-05-22 17:52:54-03","UFMT","UFMT","11140","S","Plantae",NA,NA,"Chrysobalanaceae","Parinari","gracilis","Parinari gracilis","Kuhlm.",NA,"Kuhlmann, J.G.","279","1934","04","24",NA,"Brasil","Espírito Santo","Rio Doce","Lagoa do juparana mirim.",NA,NA,NA,"Árvore das margens da lagoa.","UFMT00011140","UFMT00011140 UFMT00011140_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Isotype"
