"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","geoFlag","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem"
"22","2020-12-21 16:44:24-03","MBM","MBM","398346","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Marques, M.C.; Farney, C.; Page, D.; Giordano, L.C.S.; Silva, J.C.; Farney, C.; Page, D.; Giordano, L.C.S.; Silva, J.C.","265","1992","03","20","Southern America","Brazil","Rio de Janeiro","Paraty","Ponta Negra, Morro dos Antigos","-44.7131004333496","-23.2178001403809","34470","200","200",NA,"Árvore mais ou menos 15 m de altura, tronco com casca fissurada; inflorescência em flor e botão.; Mata de encosta.","MBM398346","MBM398346","auto","Somner, G.V.","2005","10","13",NA,NA,NA,NA,NA,NA,NA
"23","2005-11-16 16:41:46-02","MNHN","RECOLNAT_MNHN_P","P00481825","PreservedSpecimen",NA,NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Glaziou, A.",NA,"1870","4","1",NA,"Brésil",NA,NA,"Rio de Janeiro, st. Louis",NA,NA,NA,NA,NA,"hb","Donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00481825' target='other'> <mi>dwc_moreinfo</mi></a>","P00481825",NA,NA,NA,NA,NA,NA,NA,NA,"3904",NA,NA,NA,NA
"24","2011-03-24 18:28:00-03","MO","MOBOT","2479294","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","M. Silvia Ferrucci|G.V. Somner","Ferrucci 1154","1997","7","31","South America","Brazil","Rio de Janeiro",NA,"Mangaratiba. Ilha de Marambaia, setor da Marinha, subida estrada para da Armacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ferrucci, M. S., //",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2017-11-24 14:12:26-02","UFLA","ESAL","20974","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Oliveira Filho, AT","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Angra dos Reis",NA,"-44.3180999755859","-23.0067005157471","32988",NA,NA,NA,"arvoreta; 6, m; ;; floresta",NA,NA,"auto","o mesmo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-18 11:41:28-03","UERJ","HRJ","12458","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","L. P. G. Rosa; W. Silva, D.C. Paiva.","s.n.","2012","09","15",NA,"Brasil","Rio de Janeiro","Angra dos Reis","Ilha Grande.","-44.3180999755859","-23.0067005157471","32988",NA,NA,NA,NA,"HRJ00012645",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-09-12 05:00:02-03","US","US","3390115","PreservedSpecimen","Plantae",NA,"Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","M. S. Ferrucci & G. V. Somner","1154","1997","7","31","South America - Neotropics","Brazil","Rio de Janeiro",NA,"Mun. Mangaratiba. Ilha de Marambaia, setor da marinha, subida estrada para da Armacao.",NA,NA,NA,NA,NA,NA,NA,"US01114816","US01114816_01",NA,"Ferrucci, M. S.",NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA,NA
"28","2019-11-13 11:31:29-03","USP","SPF","196514","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Freitas, HS","115","2009","02","14",NA,"Brasil","São Paulo","Areias",NA,"-44.726944","-22.640833",NA,"813","813",NA,NA,"SPF00196514",NA,NA,"Ferrucci, MS","2009",NA,NA,"-44.726944","-22.640833",NA,NA,NA,NA,NA
"29","2019-11-13 11:31:29-03","USP","SPF","96075","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Shirasuna, RT","52","1994","09","27",NA,"Brasil","São Paulo","Bananal","Serra da Bocaina","-44.3199996948242","-22.6800003051758","26795",NA,NA,NA,NA,"SPF00096075",NA,"auto","Ferrucci, MS","1997",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2019-09-04 18:36:48-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapindaceae","Cupania","concolor","Cupania concolor",NA,"A. Glaziou","3904",NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,"Type [status unknown]",NA
"31","2015-03-22 13:17:50-03","F","FMNH-SEEDPLANTS","V0273576F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Sapindaceae","Cupania","concolor","Cupania concolor",NA,NA,NA,NA,NA,NA,"South America","Argentina",NA,NA,NA,"-64.9208","-35.3869",NA,NA,NA,NA,NA,"V0273576F","V0273576F_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"32","2020-07-23 12:21:54-03","CEPLAC","CEPEC","77468","PreservedSpecimen","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor",NA,"T. Konno","404","1994","06","13",NA,"Brasil","Rio de Janeiro","PARATY","Apa-cairuçu, Enseada de Parati-Mirim.","-44.5","-23.166667",NA,NA,NA,NA,NA,NA,NA,NA,"G. V. Somner",NA,NA,NA,"44W30'","23S10'",NA,NA,NA,NA,"30/12/1997"
"33","2019-05-06 12:02:22-03","UFU","HUFU","10698","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Nakajima, J.N.; Romero, R.; Zanini, E. & Simão, D.G.","1622","1995","11","23",NA,"Brasil","Minas Gerais","São Roque de Minas","Córrego dos Passageiros.","-46.3657989501953","-20.2453002929688","57119",NA,NA,NA,"Árvore, ca. 3,0 m. Frutos alaranjados, sementes pretas.; Capão.","HUFU00035291","HUFU00035291","auto","Ferruci, M.S.","1995","09",NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-05-06 12:02:22-03","UFU","HUFU","9502","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Romero, R.; Nakajima, J.N.; Oliveira, R.; Oliveira, P.E. & Schiavini, I.","2582","1995","07","19",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Morro próximo ao córrego dos Passageiros.","-46.3657989501953","-20.2453002929688","57119",NA,NA,NA,"Arvoreta, ca. 3,0 m. Cálice verde, corola branca e anteras vinho.; Capão da mata.","HUFU00035294","HUFU00035294","auto","Ferruci, M.S.","1995","09",NA,NA,NA,NA,NA,NA,NA,NA
"35","2019-05-06 12:02:22-03","UFU","HUFU","5598","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Romero, R.; Nakajima, J.N. & Guilherme, F.A.G.","972","1994","04","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Borda da mata das margens do Rio São Francisco.","-46.3657989501953","-20.2453002929688","57119",NA,NA,NA,"Arvoreta, ca. 2,0 m. Flores creme.","HUFU00035293","HUFU00035293","auto","Ferruci, M.S.","1995","09",NA,NA,NA,NA,NA,NA,NA,NA
"36","2019-05-06 12:02:22-03","UFU","HUFU","6741","S","Plantae",NA,NA,"Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","Nakajima, J.N.; et al.","559","1994","10","17",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Parte superior da Cachoeira Casca D'Anta. Paredão da Cachoeira.","-46.3657989501953","-20.2453002929688","57119",NA,NA,NA,"Arvoreta, ca. 2,0 m. Frutos avermelhados.; Solo pedregoso.","HUFU00035292","HUFU00035292","auto","Ferruci, M.S.","1995","09",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-04 15:46:32-03","IF","SPSF","22840","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor",NA,"A.O.S.Vieira",NA,"1994","08","12","América do Sul","Brasil","PR","Tibagi",NA,"-50.4136009216309","-24.5093994140625","56988",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"38","2021-03-04 15:46:32-03","IF","SPSF","24052","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor",NA,"E.A.Anunciaçao","359","1993","08","29","América do Sul","Brasil","SP","Iguape","Estação Ecológica Juréia-Itatins","-47.5499992370605","-24.7000007629395","55628",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"39","2021-03-04 15:46:32-03","IF","SPSF","20267","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","(Spreng.) Müll.Arg.","V.Stranghetti","217","1993","10","21","América do Sul","Brasil","SP","Paulo de Faria","E.Ecol.Instituto Florestal","-49.3800010681152","-20.0300006866455","29574",NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Beira de mata&nf;Arbusto 3m; GEOGRAFIA: beira da mata&nf;;",NA,NA,"auto","A.C.Pscheidt","2010","10","28",NA,NA,NA,"Magnoliopsida",NA,NA,NA
"40","2021-03-04 15:46:32-03","IF","SPSF","42816","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","(Spreng.) Müll.Arg.","S.Honda","765","2008","08","29","América do Sul","Brasil","SP","São Paulo","Parque Tizo","-46.6300010681152","-23.5400009155273","53584",NA,NA,NA,"COLETA: Árvore 8m; inflorscências esverdeadas; GEOGRAFIA: Triha do Fragmento 2;",NA,NA,"auto","R.J.F. Garcia","2009","08","31",NA,NA,NA,"Magnoliopsida",NA,NA,NA
"41","2021-03-04 15:46:32-03","IF","SPSF","28403","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor",NA,"J.A.Pastore & C.Moura","1091","2001","08","31","América do Sul","Brasil","SP","São Vicente","P.E.Xixová-Japuí","-46.3899993896484","-23.9599990844727","25482",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: trilha da Pedreira&nf;;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"42","2021-03-04 15:46:32-03","IF","SPSF","32383","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor",NA,"J.A.Pastore & C.Moura","1254","2003","09","05","América do Sul","Brasil","SP","São Vicente","P.E.Xixová-Japuí","-46.3899993896484","-23.9599990844727","25482",NA,NA,NA,"COLETA: XLS: SPSFAntigo; GEOGRAFIA: trilha da Pedreira, topo de morro&nf;;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"43","2021-03-04 15:46:32-03","IF","SPSF","09520","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor",NA,"O.T. Aguiar","146","1985","10","16","América do Sul","Brasil","SP","Teodoro Sampaio","P.E.Morro do Diabo,","-52.1599998474121","-22.5300006866455","54606",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"44","2021-03-04 15:46:32-03","IF","SPSF","09366","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor",NA,"J.B.Baitello & O.T. Aguiar","134","1985","08","14","América do Sul","Brasil","SP","Teodoro Sampaio","P.E.Morro do Diabo,","-52.1599998474121","-22.5300006866455","54606",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"45","2021-03-04 15:46:32-03","IF","SPSF","20266","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","(Spreng.) Müll.Arg.","V.Stranghetti","263","1994","01","18","América do Sul","Brasil","SP","Paulo de Faria","E.Ecol.Instituto Florestal","-49.533333","-19.916667",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Interior de mata&nf;Arbusto 3m, frutos.;",NA,NA,NA,"A.C.Pscheidt","2010","10","28",NA,NA,NA,"Magnoliopsida",NA,NA,NA
"46","2021-03-04 15:46:32-03","IF","SPSF","20268","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","(Spreng.) Müll.Arg.","V.Stranghetti","432","1994","11","14","América do Sul","Brasil","SP","Paulo de Faria","E.Ecol.Instituto Florestal","-49.533333","-19.916667",NA,NA,NA,NA,"COLETA: XLS: SPSFAntigo&nf;Interior de mata ciliar&nf;Arbusto 2m altura; frutos imaturos.;",NA,NA,NA,"A.C.Pscheidt","2010","10","28",NA,NA,NA,"Magnoliopsida",NA,NA,NA
"47","2021-03-04 15:46:32-03","IF","SPSF","42265","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","Radlk.","R.T. Polisel & N.M.Ivanauskas & R.P.S.Lattore & E.Rocha","595","2008","03","28","América do Sul","Brasil","RJ","Paraty","Serra da Bocaina","-44.343889","-22.7925",NA,"1146","1146",NA,"COLETA: Árvore de 7 m de altura. Flores creme.; GEOGRAFIA: Na porção conhecida como sertão do Barbosa, na beira da estrada.;",NA,NA,NA,"N.M.Ivanauskas","2017","12","01",NA,NA,NA,"Magnoliopsida",NA,NA,NA
"48","2021-03-04 15:46:32-03","IF","SPSF","38219","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","(Spreng.) Müll.Arg.","R.Cielo-Filho & J. A. Pastore & O.T. Aguiar & C.R.Lima & D.F.Bueno","504","2006","08","01","América do Sul","Brasil","SP","Paranapanema","Estação Ecológica de Paranapanema","-48.769722","-23.523333",NA,NA,NA,NA,"COLETA: Arvoreta 1m, inflorescência terminal cor creme.; GEOGRAFIA: Trilha 1.;",NA,NA,NA,"R.Cielo-Filho","2007","04","09",NA,NA,NA,"Magnoliopsida",NA,NA,NA
"49","2021-03-04 15:46:32-03","IF","SPSF","38663","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","(Spreng.) Müll.Arg.","C. R. Lima & O. T. Aguiar & J. B. Baitello","29","2007","08","30","América do Sul","Brasil","SP","Paranapanema","Estação Ecológica de Paranapanema","-48.784167","-23.540556",NA,"630","630",NA,"COLETA: Frutos verdes.; GEOGRAFIA: Trilha 4.;",NA,NA,NA,"R.Cielo-Filho","2007","10","30",NA,NA,NA,"Magnoliopsida",NA,NA,NA
"50","2021-03-04 15:46:32-03","IF","SPSF","39886","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Sapindaceae","Cupania","concolor","Cupania concolor","(Spreng.) Müll.Arg.","F.M de Souza & N.M.Ivanauskas & N. Guerin & A.Dário & D.Souza","976","2007","11","28","América do Sul","Brasil","SP","Bauru","Estação Ecológica de Bauru","-49.079444","-22.238889",NA,"495","495",NA,"COLETA: Floresta Estacional Semidecidual&nf;Árvore 2m, frutos imaturos verdes.; GEOGRAFIA: Área próxima ao experimento de peroba.;",NA,NA,NA,"G.A.D.C. Franco","2008","01","11",NA,NA,NA,"Magnoliopsida",NA,NA,NA
