"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","class","individualCount"
"13","2016-01-12 02:23:42-02","MNHN","RECOLNAT_MNHN_P","P00559109","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Glaziou, A.",NA,"1870","3","12",NA,"Brésil",NA,"Alto Macahé",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559109' target='other'> <mi>dwc_moreinfo</mi></a>","P00559109","P00559109_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4470",NA,NA
"14","2016-01-07 01:43:47-02","MNHN","RECOLNAT_MNHN_P","P00559269","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Glaziou, A.",NA,"1870","3","12",NA,"Brésil",NA,"Alto Macahé",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559269' target='other'> <mi>dwc_moreinfo</mi></a>","P00559269","P00559269_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4468",NA,NA
"15","2015-09-18 05:07:41-03","MNHN","RECOLNAT_MNHN_P","P00559299","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Glaziou, A.",NA,"1870","3","12",NA,"Brésil",NA,"Alto Macahé",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00559299' target='other'> <mi>dwc_moreinfo</mi></a>","P00559299","P00559299_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4470",NA,NA
"16","2015-09-03 16:06:49-03","MNHN","RECOLNAT_MNHN_P","P01232088","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Schwacke",NA,"1893","1","24",NA,"Brasil","Minas Gerais","Bresil, Min. Ger., Itacolumy.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01232088' target='other'> <mi>dwc_moreinfo</mi></a>","P01232088","P01232088_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9079",NA,NA
"17","2020-10-01 12:06:06-03","MNHN","RECOLNAT_MNHN_P","P01232086","PreservedSpecimen",NA,NA,NA,"Pteridophyta","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.",NA,"Glaziou, A.",NA,"1874","4","21",NA,"Brasil","Rio de Janeiro","Brésil. R.J. Alto Macahé",NA,NA,"hb","Herbier de A. Glaziou donné par Mme SIMARD, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01232086' target='other'> <mi>dwc_moreinfo</mi></a>","P01232086","P01232086_01","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190","auto",NA,NA,NA,NA,NA,"7276",NA,NA
"18","2011-12-29 14:59:00-02","MO","MOBOT","3322492","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B. Øllg.","B. Øllgaard","Albano Schmalz","Schmalz 204","1906","4","16","South America","Brazil","Santa Catarina","Joinville.",NA,NA,NA,NA,NA,NA,NA,"-48.833333","-26.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2010-04-15 17:18:00-03","MO","MOBOT","3322593","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B. Øllg.","B.Øllgaard","Alexander C. Brade","Brade 43054","1940","8","23","South America","Brazil","Rio de Janeiro","Est do Rio Serra dos Orgaós. Picada do Rancho Frio.","1400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-07-10 09:47:04-03","MBML","MBML-HERBARIO","35929",NA,"Plantae",NA,NA,"Lycopodiaceae","Huperzia","cf. sellowiana","Huperzia cf. sellowiana","(Herter) B.Øllg.","F.S.Souza/Fev.2011","L. Kollmann; A.P. Fontana, C. Fraga & M. Simonelli","10457","2008","01","24",NA,"Brasil","Espírito Santo","Patrimônio da Penha, Parque Nacional do Caparão, Facão de Pedra",NA,NA,NA,"Erva terrestre na meia sombra.","MBML035929","MBML035929","Divino de São Lourenço","-41.791111","-20.618611",NA,NA,NA,NA,NA,"41W47'28","20S37'7",NA,NA,NA
"21","2015-12-09 08:55:00-02","F","FMNH-PTERIDOPHYTES","C0658745F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B. Øllg.",NA,NA,NA,NA,NA,NA,"South America","Brazil","Santa Catarina",NA,NA,NA,NA,NA,"C0658745F","C0658745F_01",NA,"-50","-27",NA,NA,NA,NA,NA,NA,NA,NA,"Lycopsida",NA
"22","2015-12-09 08:55:01-02","F","FMNH-PTERIDOPHYTES","C0658746F","PreservedSpecimen","Plantae","Lycopodiophyta",NA,"Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B. Øllg.",NA,NA,NA,NA,NA,NA,"South America","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"C0658746F","C0658746F_01",NA,"-42.5","-22",NA,NA,NA,NA,NA,NA,NA,NA,"Lycopsida",NA
"23","2020-09-12 05:00:02-03","US","US","2728553","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B. Øllg.",NA,"ex herb. Glaziou","7276","1874","1","21","South America","Brazil",NA,"Alto Maccabi",NA,NA,NA,NA,"US01382858","US01382858_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridophyte","1"
"24","2020-09-12 05:00:02-03","US","US","2083127","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B. Øllg.",NA,"A. C. Brade","16624","1940","8","23","South America","Brazil","Rio de Janeiro","Est. do Rio, Serra dos Orgaõs, Picada do Rancho Frio","1400",NA,NA,NA,"US01382857","US01382857_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pteridophyte","1"
"25","2020-02-11 18:26:01-03","UFMG","BHCB-SL","135904","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Øllgaard, BO","Heringer, G; Machado, TM; Reis, SB","242","2010",NA,NA,"América","Brasil","Minas Gerais","Parque Nacional do Caparaó, Trilha entre Tronqueira e Terreirao.","1970","1970",NA,NA,NA,NA,"Alto Caparaó","-41.836861","-20.506778",NA,NA,"2014","04",NA,"-41.836861","-20.506778",NA,NA,NA
"26","2020-02-11 18:26:01-03","UFMG","BHCB-SL","145299","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Salino, A","Souza, FS; Almeida, TE; Salino, A; Minardi, B; Voytena, A","1230","2010",NA,NA,"América","Brasil","Minas Gerais","Parque Nacional do Caparaó, Região da Cachoeira Bonita. DATUM WGS84.","1849","1849",NA,"Rupícola no interior de mata ciliar.",NA,NA,"Alto Jequitibá","-42.404694","-20.682611",NA,NA,"2010","12","03","-42.404694","-20.682611",NA,NA,NA
"27","2020-02-11 18:26:00-03","UFMG","BHCB-SL","1048","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Salino, A","Schwacke, CAW","s.n.","1904",NA,NA,"América","Brasil","Minas Gerais","Itacolomi",NA,NA,NA,"Herbáceo, em campo.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-01-12 15:24:20-03","UFMG","BHCB-SL","90191","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Salino, A","Salino, A; Mota, RC; Negreiros, D; Garcia, PA; Santos, LMM dos; Zimmer, L; Gleide, E; Sall","9731","2004","10","10","América","Brasil","Minas Gerais","RPPN do Matutu, RPPN do Matutu e Parque Estadual da Serra do Papagaio. Área com Floresta Ombrófila Densa Montana e Altomontana.","1700","2070",NA,"Terrestre em Mata Nebular.",NA,NA,"Aiuruoca","-45.1085","-22.136278",NA,NA,NA,NA,NA,"-45.1085","-22.136278",NA,NA,NA
"29","2020-02-11 18:26:01-03","UFMG","BHCB-SL","150587","PreservedSpecimen","Plantae",NA,NA,"Lycopodiaceae","Phlegmariurus","sellowianus","Phlegmariurus sellowianus","(Herter) B.Øllg.","Souza, FS","Souza, FS; Machado, TM; Bünger, MO","1537","2011",NA,NA,"América","Brasil","Espírito Santo","Parque Nacional do Caparaó, Trilha para o Poço dos Desejos e Cemitério dos Jesuítas. Floresta Ombrófila Densa. DATUM WGS 84.","1541","1541",NA,"Epífita em tronco caído no interior de mata.",NA,NA,"Iúna","-41.808194","-20.3525",NA,NA,"2011","05","12","-41.808194","-20.3525",NA,NA,NA
"30","2020-08-20 14:57:08-03","UFSC","FLOR","23204","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B. Ollg.","Salino, A.","Falkenberg, D.B.","6262","1993","10","09",NA,"Brasil","Santa Catarina","Morro do Baú.","750","750",NA,"epífita, a 1 m de altura do solo. Esporângios e esporos amarelos.","FLOR0023204",NA,"Ilhota","-48.8272018432617","-26.8997001647949","18275","auto","2007","04",NA,NA,NA,NA,NA,NA
"31","2020-08-20 14:57:08-03","UFSC","FLOR","23824","PreservedSpecimen","Plantae",NA,"Lycopodiales","Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana","(Herter) B. Ollg.","Salino, A.","Falkenberg, D.B.; Iza, O.","6577","1994","04","09",NA,"Brasil","Santa Catarina","Morro do Baú, ao longo da trilha para o topo.","700","700",NA,"erva epifítica, pendente, sobre tronco, a 1,5 m acima do solo","FLOR0023824",NA,"Ilhota","-48.8272018432617","-26.8997001647949","18275","auto","2007","04",NA,NA,NA,NA,NA,NA
"32","2021-03-04 15:41:54-03","IF","SPSF","30626","PreservedSpecimen","Plantae","Lycopodiophyta","Lycopodiales","Lycopodiaceae","Huperzia","sellowiana","Huperzia sellowiana",NA,NA,"A.Salino","7289","2001","08","07","América do Sul","Brasil","SP","P.E.Serra do Mar, Núcleo de Picinguaba",NA,NA,NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Ubatuba","-45.0699996948242","-23.4300003051758","34265","auto",NA,NA,NA,NA,NA,NA,"Lycopodiopsida",NA
