"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","recordNumber","continentOcean","preparationType","previousCatalogNumber","typeStatus","phylum","order","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","infraspecificEpithet","individualCount","fieldNumber","sex"
"13","2021-03-15 16:37:00-03","NY","NYBG","01167173","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","T. D. Pennington",NA,NA,NA,"M. H. Nee","1992","07","03","Brazil","Amazonas","Manaus","Bairro Campos Elíseos","-60.0504327","-3.0688884",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1313768' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167173","42936","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01167173_01",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01179233","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"E. P. Killip",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388170' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179233","30560","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","1016180","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","W. Mantovani",NA,NA,NA,"A. Custodio Filho","1982","01","04","Brazil","São Paulo","Cananéia","Ilha do Cardoso","-47.992538","-25.197304",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1142616' target='other'> <mi>dwc_moreinfo</mi></a>","NY01016180","738","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01016180_01",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","408880","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","J. W. Grimes",NA,NA,NA,"E. Pereira","1964","01","12","Brazil","São Paulo",NA,"Entre Parquera-Açú [Pariquera-Açú] e Jacupianga",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489386' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408880","8199","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00408880_01",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","01167174","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"L. Weiss",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1335751' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167174","3669","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01167200","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","T. S. Elias",NA,NA,NA,"R. de Lemos Fróes",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344708' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167200","27641","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01167200_01 NY01167200_02",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01179197","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"E. Kaufmann",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387649' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179197","18","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","01179247","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","M. Palcão",NA,NA,NA,"M. Palcão",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388199' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179247","9","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","01179214","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"P. B. Cavalcante",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387673' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179214","2791","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179214_01 NY01179214_02",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","01179248","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","J. M. Pires",NA,NA,NA,"H. S. Irwin",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388200' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179248","48106","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179248_01",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","01179234","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","M. H. Nee",NA,NA,NA,"M. H. Nee","1992","07","17","Brazil","Amazonas","Manaus","Ca. 80 km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, km 72, depois 6 km oeste da BR, Fazenda Dimona","-60.0917441","-2.326638",NA,NA,"50","125","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489420' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179234","43009","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179234_01",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","389179","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"S. A. Mori","1989","09","08","French Guiana",NA,NA,"Montagne La Fumée - Région de Saül","-53.2","3.63",NA,NA,"300","300","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489394' target='other'> <mi>dwc_moreinfo</mi></a>","NY00389179","20844","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","01179238","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","M. G. A. Lobo",NA,NA,NA,"R. Vilhena",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388182' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179238","272","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","01167204","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"P. B. Cavalcante",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344712' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167204","2791","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","754758","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","T. S. Elias",NA,NA,NA,"E. Forero","1968","07","19","Brazil","Acre",NA,"Quixadá. Road Abuña to Rio Branco, km 242-246, vicinity of campinas","-67.4365202","-10.0994597",NA,NA,NA,NA,"Projeto Flora Amazonica collections Forero 6300-6431 collected under G. T. Prance collection number series <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489375' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754758","6394","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00754758_01",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02098314","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"L. A. Pereira","2010","11","19","Brazil","Paraíba","João Pessoa","Mata Ciliar do Rio Cabelo: Mangabeira.","-34.8631","-7.115",NA,NA,"47",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2479572' target='other'> <mi>dwc_moreinfo</mi></a>","NY02098314","51","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY02098314_01",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","02474168","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"M. F. Simon","2013","11","24","Brazil","Rondônia","Porto Velho","Margem direita do rio Madeira, 5 km W do porto da balsa para vila São Lourenço, parcela T6P1","-62.0481","-9.5983",NA,NA,"90",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2685596' target='other'> <mi>dwc_moreinfo</mi></a>","NY02474168","2068","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY02474168_01",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00924284","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"G. G. Hatschbach","1974","09","20","Brazil","Goiás","Mineiros","Rod. BR-364, Corrego Alegre","-52.5508","-17.5694",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998885' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924284","35010","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00924284_01",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","408881","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","H. S. Irwin",NA,NA,NA,"E. Pereira","1964","01","12","Brazil","São Paulo",NA,"Entre Parquera-Açú [Pariquera-Açú] e Jacupianga",NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489406' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408881","8199","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00408881_01",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01167199","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","J. M. Pires",NA,NA,NA,"H. S. Irwin",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1344707' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167199","48450","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01167199_01",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","408873","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"R. P. Belém","1965","09","01","Brazil","Bahia","Itabuna","Rodovia BR-5, 10km S de Itabuna. Plantaçao de cacau","-39.2803","-14.7858",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489392' target='other'> <mi>dwc_moreinfo</mi></a>","NY00408873","1663","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00408873_01",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02858950","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","T. D. Pennington",NA,NA,NA,"D. da Silva Costa","2014","01","19","Brazil","Acre","Manoel Urbano","Parque estadual Chandless, percurso entre o seringal São João e o seringal Saragosa.","-70.017967","-9.592431",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2712050' target='other'> <mi>dwc_moreinfo</mi></a>","NY02858950","443","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY02858950_01",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","01167192","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","Elias",NA,NA,NA,"G. T. Prance","1968","07","26","Brazil","Rondônia",NA,"1 Km north of Ribeirão, road Abunã-Guajará-Mirim","-65.287488","-10.245693",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1313715' target='other'> <mi>dwc_moreinfo</mi></a>","NY01167192","6508","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01167192_01 NY01167192_02",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","754801","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","H. C. de Lima",NA,NA,NA,"I. F. Rego",NA,NA,NA,"Brazil","Acre",NA,"RBO-AC, Estrada Dias Martins, Chacara Ipe","-67.8679508","-9.9630282",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=489415' target='other'> <mi>dwc_moreinfo</mi></a>","NY00754801","137","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00754801_01",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","01179202","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","J. M. Pires",NA,NA,NA,"H. S. Irwin",NA,NA,NA,"Brazil","Amapá",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387657' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179202","48660","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179202_01",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","01179235","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"M. H. Nee","1992","07","17","Brazil","Amazonas",NA,"Manaus. Ca. 80 Km N de Manaus, Distrito Agropecuário da SUFRAMA, Rodovia BR 174, Km 72, depois 6 Km oeste da BR, Fazenda Dimona.","-60.0917441","-2.326638",NA,NA,"50","50","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1384636' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179235","43009","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179235_01",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","00924261","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"M. A. Lopes","1984","12","18","Brazil","Minas Gerais",NA,"Estaçao Biologica de Caratinga (EBC). Fazenda Montes Claros. 400 Km East of Belo Horizonte, vicinity of Rio Manhuacú. Caminho para o Rafael","-41.83","-19.83",NA,NA,"400","680","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=998886' target='other'> <mi>dwc_moreinfo</mi></a>","NY00924261","653","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY00924261_01",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","01179201","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","W. A. Ducke",NA,NA,NA,"W. A. Archer",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387656' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179201","7688","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","01179207","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"P. R. J. Bamps",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387665' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179207","5140","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179207_01",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01179243","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","F. Bonadeu da Silva",NA,NA,NA,"A. B. Anderson",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388187' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179243","1481","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01179243_01",NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","01179226","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","O. Poncy",NA,NA,NA,"N. T. da Silva",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387786' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179226","2565","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","1801083","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","H. C. de Lima",NA,NA,NA,"C. N. Fraga","2008","02","16","Brazil","Espírito Santo","Cariacica","Reserva Biológica Duas Bocas. Floresta na beira da estrada para o localidade de Alegre.","-40.4819","-20.3025",NA,NA,"500",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2016040' target='other'> <mi>dwc_moreinfo</mi></a>","NY01801083","1866","South America","sheet",NA,NA,"Magnoliophyta","Fabales","NY01801083_01",NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-15 16:37:00-03","NY","NYBG","01179237","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.",NA,NA,NA,NA,"E. P. Killip",NA,NA,NA,"Brazil","Pará",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1388180' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179237","30508","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2021-03-15 16:37:00-03","NY","NYBG","01179198","PreservedSpecimen","Plantae","Fabaceae","Inga","edulis","Inga edulis","Mart.","A. C. Smith",NA,NA,NA,"B. A. Krukoff",NA,NA,NA,"Brazil","Amazonas",NA,NA,NA,NA,NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1387650' target='other'> <mi>dwc_moreinfo</mi></a>","NY01179198","1284","South America","sheet",NA,NA,"Magnoliophyta","Fabales",NA,NA,NA,NA,NA,NA,NA,NA,NA
