"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","typeStatus","class","infraspecificEpithet","fieldNumber","relatedCatalogItem","sex"
"27","2021-03-15 16:37:00-03","NY","NYBG","02431765","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","G. L. Farias","36","1984","11","09","South America","Brazil","Espírito Santo","Linhares","Reserva Natural Vale. estrada Flamengo.","-40.0722007751465","-19.3910999298096","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976672' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431765","NY02431765_01",NA,NA,NA,"48094","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","02431760","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","A. A. da Luz","36","2001","12","06","South America","Brazil","Minas Gerais","Aimorés","próximo a sede.","-41.0638999938965","-19.4958000183105","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976667' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431760","NY02431760_01",NA,NA,NA,"54161","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","02431769","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","D. A. Santim","s.n.","1991","08","06","South America","Brazil","Rio de Janeiro","Niterói","Pico do Alto Mourão, entre Niterói e Maricá.","-43.1035995483398","-22.88330078125","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2976677' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431769","NY02431769_01",NA,NA,NA,"14785","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","447492","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","Grupo Pedra do Cavalo","942","1980","11",NA,"South America","Brazil","Bahia","Cachoeira","Riacho Congú, Vale dos Rios Paraguaçu e Jacuipe.","-39.08","-12.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601503' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447492","NY00447492_01","J. D. Mitchell","40","120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","585657","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","W. W. Thomas","12363","2001","03","19","South America","Brazil","Bahia","Itaju do Colônia","7.5 km southeast of Itajú do Colônia on road to Palmira","-39.6575","-15.1536","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601488' target='other'> <mi>dwc_moreinfo</mi></a>","NY00585657","NY00585657_01","J. D. Mitchell","250","250",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","1920608","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","M. O. Crepaldi","154","2006","08","12","South America","Brazil","Espírito Santo","Santa Leopoldina","Distrito de Mangaraí, Cachoeira do Retiro.","-40.4486","-20.1506","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2142037' target='other'> <mi>dwc_moreinfo</mi></a>","NY01920608","NY01920608_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","885911","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","C. Farney","3323","1994","04","25","South America","Brazil","Rio de Janeiro","Saquarema","Reserva Ecológica Estadual de Jacarepiá.","-42.5103","-22.9203","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009129' target='other'> <mi>dwc_moreinfo</mi></a>","NY00885911","NY00885911_01","D. C. Daly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","1280132","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","V. Demuner","2382","2006","06","06","South America","Brazil","Espírito Santo","Aguia Branca","Águas Claras, Escola Agroecologica.","-40.73","-18.8922","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1592474' target='other'> <mi>dwc_moreinfo</mi></a>","NY01280132","NY01280132_01","J. D. Mitchell; D. C. Daly","300","500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","447495","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","M. M. Arbo","7777","1997","01","28","South America","Brazil","Espírito Santo",NA,"Brejal, 15 km N de Colatina, camino de tierra sobre la margen izquierda del Río Pancas.","-40.68","-19.38","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=601494' target='other'> <mi>dwc_moreinfo</mi></a>","NY00447495","NY00447495_01","J. D. Mitchell","200","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","886317","PreservedSpecimen","Plantae","Magnoliophyta","Sapindales","Anacardiaceae","Spondias","venulosa","Spondias venulosa","Mart. ex Engl.","D. B. O. S. Cardoso","716","2005","07","13","South America","Brazil","Bahia","Senhor do Bonfim","Povoado de Estiva. Serra de Santana.","-40.1975","-10.3658","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1021639' target='other'> <mi>dwc_moreinfo</mi></a>","NY00886317","NY00886317_01","J. D. Mitchell","689","689",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
