"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","scientificNameAuthorship","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","individualCount"
"11","2020-12-04 13:19:39-03","UDESC","LUSC","3600","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus",NA,"Rúgolo, Z.; et al.",NA,"1992","12","10",NA,"Brasil","Paraná","Guarapuava","BR-373, a 11km de Guaapuava, em direção a Relógio.","-51.4580993652344","-25.395299911499",NA,NA,NA,"Habitat: área úmida, beira de estrada","LUSC009016","LUSC009016",NA,"(Trin.) Roseng., B.R. Arrill. & Izag.",NA,NA,NA,"53832","auto",NA,NA,NA
"12","2019-01-17 11:23:49-02","PUCRS","MPUC","10302","S","Plantae",NA,"Poales","Poaceae","Sporobolus","adustus","Sporobolus adustus","A. Gluglieri",NA,NA,"2002","11","05","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,NA,NA,NA,"Liliopsida","(Trin.) Roseng., B.R. Arrill. & Izag.","2003","01","01",NA,NA,"-50.1744444000","-29.4808333000","1"
"13","2019-01-17 11:23:49-02","PUCRS","MPUC","10301","S","Plantae",NA,"Poales","Poaceae","Sporobolus","adustus","Sporobolus adustus","A. Gluglieri",NA,NA,"2002","11","24","South America","Brasil","RS","São Francisco de Paula","CPCN Pró-Mata","-50.1744444","-29.4808333",NA,NA,NA,NA,NA,NA,"Liliopsida","(Trin.) Roseng., B.R. Arrill. & Izag.","2009","01","01",NA,NA,"-50.1744444000","-29.4808333000","1"
"14","2020-12-21 16:41:04-03","MBM","MBM","30804","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Rosengurtt, B.","Pedersen, T.M.","9293",NA,NA,NA,"Southern America","Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,NA,"MBM030804",NA,NA,"(Trin.) Roseng., Arill & Izag.",NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-12-21 16:41:04-03","MBM","MBM","31985","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Renvoize, S.A.","Hatschbach, G.","35230",NA,NA,NA,"Southern America","Brazil","Paraná","Laranjeiras do Sul","Rincão Grande","-52.4160995483398","-25.4078006744385",NA,NA,NA,NA,"MBM031985","MBM031985",NA,"(Trin.) Roseng., Arill & Izag.",NA,NA,NA,"28404","auto",NA,NA,NA
"16","2011-10-17 18:06:00-02","MO","MOBOT","1581592","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus",NA,"Zulma E. Rúgolo de Agrasar|Hilda M. Longhi-Wagner|S. Boechat|Ana María Molina","Rúgolo de Agrasar 1648","1992","12","10","South America","Brazil","Paraná",NA,"Ruta BR-373, a 11 km de Guarapuava, hacia Relogio. Albardones húmedos al costado de la ruta",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Trin.) Roseng., B.R. Arrill. & Izag.",NA,NA,NA,NA,NA,NA,NA,NA
"17","2009-08-23 08:49:00-03","MO","MOBOT","2479650","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Boechat, S. C.","Lyman B. Smith|Roberto M. Klein","Smith 15591","1971","12","2","South America","Brazil","Santa Catarina",NA,"Água Doce",NA,NA,NA,NA,NA,NA,NA,NA,NA,"(Trin.) Roseng., B.R. Arrill. & Izag.",NA,NA,NA,NA,NA,NA,NA,NA
"18","2012-04-06 09:12:00-03","MO","MOBOT","2518657","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Mujica Sallés, J.","Jaime Mujica-Sallés","Mujica-Sallés 348","1991","11","17","South America","Uruguay","Maldonado",NA,"Sierra de Animas, Cerro de las Animas","-55.316667","-34.766667",NA,NA,NA,NA,NA,NA,NA,"(Trin.) Roseng., B.R. Arrill. & Izag.",NA,NA,NA,NA,NA,NA,NA,NA
"19","2017-11-24 14:12:09-02","UFLA","ESAL","632","S","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","J. Valls","Jeanice Jung","s.n.",NA,NA,NA,NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Tainhas, a 15 Km de S. F. de Paula","-50.5835990905762","-29.4480991363525",NA,NA,NA,"; ; ;",NA,NA,NA,"(Trin.) Roseng. et al.",NA,NA,NA,"76715","auto",NA,NA,NA
"20","2019-11-13 11:29:03-03","USP","SPF","128524","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Anônimo","Marcondes-Ferreira, W","1577","1997","11","06",NA,"Brasil","São Paulo","Pedregulho","Estreito","-47.4700012207031","-20.25",NA,NA,NA,NA,"SPF00128524","SPF00128524",NA,"(Trin.) Roseng., B.R.Arrill. & Izag.","2001",NA,NA,"27552","auto",NA,NA,NA
"21","2020-08-20 20:41:45-03","UFSC","FLOR","2775","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Sporobolus","adustus","Sporobolus adustus","Smith, L.B.","Smith, L.B.; Klein, R.M.","15591","1971","12","02",NA,"Brasil","Santa Catarina","Água Doce","16km, south of Horizonte, Pr.","-51.5560989379883","-26.9978008270264",NA,NA,NA,NA,"FLOR0002775",NA,NA,"(Trin.) Roseng., B.R. Arrill. & Izag.","1972",NA,NA,"52743","auto",NA,NA,NA
"22","2020-08-20 15:00:00-03","UFSC","FLOR","36322","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Sporobolus","adustus","Sporobolus adustus",NA,"Zanin, A.; Santos, B.H.","1474","2007","12","28",NA,"Brasil","Santa Catarina","Urubici","Campos de Santa Bárbara.","-49.5917015075684","-28.0149993896484",NA,NA,NA,NA,"FLOR0036322",NA,NA,"(Trin.) Roseng., B.R. Arrill. & Izag.",NA,NA,NA,"30102","auto",NA,NA,NA
"23","2021-02-18 17:09:31-03","FEPAGRO","BLA","4676","PreservedSpecimen","Plantae","Spermatophyta",NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","S. Boechat","A. Kappel & J. F. M. Valls",NA,"1964","12","14",NA,"Brasil","Rio Grande do Sul","Erechim","Campo Erechim","-52.2738990783691","-27.6341991424561",NA,NA,NA,NA,"BLA004676",NA,NA,"(Trin.) Roseng., Arr. & Izag.","1992","06","26","46790","auto",NA,NA,NA
"24","2020-08-26 10:50:32-03","MCN-FZBRS","HAS","10378","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Longhi, H.M.","Bueno, O.","s.n.","1979","10",NA,NA,"Brasil","Rio Grande do Sul","Viamão","Morro da Pedreira","-51.0233001708984","-30.0811004638672",NA,NA,NA,"erva ereta; 50 cm de altura; inflorescência castanha; pouco numerosa; dispersa; campo sujo; relevo no topo; solo granito; morro com afloramento rochoso","HAS0010378",NA,NA,"(Trin.) Roseng.","1980","07",NA,"41667","auto",NA,NA,NA
"25","2019-11-21 10:16:56-03","IBt","SP","315720","S","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus",NA,"Marcondes Ferreira, W; et al.","1577","1997","11","06",NA,"Brasil","São Paulo","Estreito","Perto do Rio Grande.",NA,NA,NA,NA,NA,NA,"SP038557","SP038557",NA,"(Trin.) Roseng., B.R.Arrill. & Izag.",NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-11-21 10:16:56-03","IBt","SP","327554","S","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus",NA,"Silva, GP","1719","1993","08","26",NA,"Brasil","Distrito Federal","Brasília","Reserva Ecológica do Guará","-47.966667","-15.8","1035","1035",NA,NA,"SP038559","SP038559",NA,"(Trin.) Roseng., B.R.Arrill. & Izag.",NA,NA,NA,NA,NA,"-47.966667","-15.8",NA
"27","2019-11-21 10:16:56-03","IBt","SP","232877","S","Plantae",NA,NA,"Poaceae","Sporobolus","adustus","Sporobolus adustus","Boechat, SC","Burman, AG","872","1984","01",NA,NA,"Brasil","São Paulo","Campos do Jordão","Jardins e imediações do Hotel Vila Inglesa.","-45.5900001525879","-22.7299995422363",NA,NA,NA,NA,"SP038558","SP038558",NA,"(Trin.) Roseng., B.R.Arrill. & Izag.","1992","06","27","21048","auto",NA,NA,NA
