"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","class","individualCount","relatedCatalogItem"
"11","2021-01-14 15:25:59-03","MN","R","128874","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Wendt, T.","Mello Filho, L.E.","1348","1957","06","09",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010006899",NA,NA,NA,"57442","auto","1987","01",NA,NA,NA,NA,NA
"12","2021-01-14 15:25:59-03","MN","R","213004","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"França, C.R.P.","22","2007","08","14",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"13","2021-01-14 15:25:59-03","MN","R","26651","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Brade, A.C.","11912","1932","06",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010006902",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"14","2021-01-14 15:25:59-03","MN","R","46456","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Wendt, T.","Schwacke, C.A.W.",NA,"1887",NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010006903",NA,NA,NA,"57442","auto","1987","01",NA,NA,NA,NA,NA
"15","2021-01-14 15:25:59-03","MN","R","47760","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Wendt, T.","Mello Filho, L.E.","545","1947","04","28",NA,"Brasil","Rio de Janeiro","Rio de Janeiro",NA,"-43.2075004577637","-22.9027996063232",NA,NA,"R010006904",NA,NA,NA,"57442","auto","1987","01",NA,NA,NA,NA,NA
"16","2021-01-14 15:25:59-03","MN","R","213618","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Saraiva, D.P.","França, C.R.P.; Moura, R.",NA,"2008","05","10",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","PARNA Tijuca","-43.2075004577637","-22.9027996063232",NA,NA,"R010006901",NA,NA,NA,"57442","auto","2012","01","09",NA,NA,NA,NA
"17","2020-12-21 16:19:25-03","MBM","MBM","425811","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Wendt, T.","Wendt, T.","179","1988","06","09","Southern America","Brazil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Estrada das Paineiras","-43.2075004577637","-22.9027996063232",NA,"Rupicula, ciófila, frequência mdoerada; folhas verdes, concolores, glabras, bainha castanha; escapo verde, ereto, glabro; sépalas verdes, pétalas branco-amarelas, anteras e estigmas amarelos, flores perfumadas, visitadas por insetos","MBM425811",NA,"500","500","57442","auto","1988",NA,NA,NA,NA,NA,NA
"18","2015-09-03 21:13:57-03","MNHN","RECOLNAT_MNHN_P","P01677713","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Glaziou, A.",NA,"1875","4","22",NA,"Brasil",NA,NA,"Brésil: Forteresse de Pico de Sta Cruz. Brasil, América do Sul",NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01677713' target='other'> <mi>dwc_moreinfo</mi></a>","P01677713","P01677713_01",NA,NA,NA,NA,NA,NA,NA,"8023",NA,NA,NA
"19","2015-09-03 21:13:57-03","MNHN","RECOLNAT_MNHN_P","P01677714","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Glaziou, A.",NA,"1887","6","12",NA,"Brasil","Rio de Janeiro",NA,"Brésil: RJ. Copacabana, Pedra dos Cabritos. Rio de Janeiro, Sudeste, Brasil, América do Sul",NA,NA,"hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01677714' target='other'> <mi>dwc_moreinfo</mi></a>","P01677714","P01677714_01",NA,NA,NA,NA,NA,NA,NA,"17281",NA,NA,NA
"20","2015-09-03 21:13:57-03","MNHN","RECOLNAT_MNHN_P","P01677712","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Glaziou, A.",NA,"1869","6","5",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil: Morro da Viuva. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01677712' target='other'> <mi>dwc_moreinfo</mi></a>","P01677712","P01677712_01",NA,NA,"57442","auto",NA,NA,NA,"3629",NA,NA,NA
"21","2015-09-03 21:13:57-03","MNHN","RECOLNAT_MNHN_P","P01677715","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Glaziou, A.",NA,"1887","6","19",NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Brésil. RJ. Copacabana, Pedra dos Cabritos. Rio de Janeiro, Rio de Janeiro, Sudeste, Brasil, América do Sul","-43.2075004577637","-22.9027996063232","hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01677715' target='other'> <mi>dwc_moreinfo</mi></a>","P01677715","P01677715_01",NA,NA,"57442","auto",NA,NA,NA,"17281",NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","3015221","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Cyl Farney","Farney 390","1984","1","11","South America","Brazil","Rio de Janeiro",NA,"Municipio do Rio de Janeiro, Picada em direcas a Pedra dz Gruez.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-18 11:39:53-03","UERJ","HRJ","11768","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"?","s.n.",NA,NA,NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Morro da Urca.","-43.2075004577637","-22.9027996063232",NA,NA,"HRJ00011718",NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA
"24","2020-09-12 05:00:02-03","US","US","282335","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"S.C.",NA,NA,NA,NA,"South America - Neotropics","Brazil",NA,NA,NA,NA,NA,NA,NA,"US01935232","US01935232_01",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"25","2020-09-12 05:00:02-03","US","US","2530289","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"A. F. M. Glaziou","3629",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,"US01935234","US01935234_01",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"26","2020-09-12 05:00:02-03","US","US","2197770","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"L. Smith, A. Magnanini & W. A. Egler","6428","1952","4","8","South America - Neotropics","Brazil","Rio de Janeiro","Rio de Janeiro","Pedra da Gávea","-43.2075004577637","-22.9027996063232",NA,NA,"US01935238","US01935238_01","800",NA,"57442","auto",NA,NA,NA,NA,"Monocotyledonae","1",NA
"27","2020-09-12 05:00:02-03","US","US","2530290","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"A. F. M. Glaziou","8023",NA,NA,NA,"South America - Neotropics","Brazil","Rio de Janeiro",NA,"Province de Rio de Janeiro",NA,NA,NA,NA,"US01935235","US01935235_01",NA,NA,NA,NA,NA,NA,NA,NA,"Monocotyledonae","1",NA
"28","2020-09-12 05:00:02-03","US","US","2775541","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"A. Castellanos",NA,"1966","5","8","South America - Neotropics","Brazil","Rio de Janeiro","Rio de Janeiro","Pão de Açúcar","-43.2075004577637","-22.9027996063232",NA,NA,"US01935233","US01935233_01",NA,NA,"57442","auto",NA,NA,NA,NA,"Monocotyledonae","1",NA
"29","2020-09-12 05:00:02-03","US","US","2121302","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"L. Emygdio de Mello Filho","545","1947","4","28","South America - Neotropics","Brazil","Rio de Janeiro","Rio de Janeiro","Morro do Grajaú","-43.2075004577637","-22.9027996063232",NA,NA,"US01935236","US01935236_01",NA,NA,"57442","auto",NA,NA,NA,NA,"Monocotyledonae","1",NA
"30","2020-09-12 05:00:02-03","US","US","2197771","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"L. Smith","6428","1952","4","8","South America - Neotropics","Brazil","Rio de Janeiro","Rio de Janeiro","Pedra da Gavea","-43.2075004577637","-22.9027996063232",NA,NA,"US01935237","US01935237_01","850",NA,"57442","auto",NA,NA,NA,NA,"Monocotyledonae","1",NA
"31","2020-07-23 12:01:00-03","CEPLAC","CEPEC","119503","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos",NA,"R. C. Forzza","R. C. Forzza","4160","2000","06","02",NA,"Brasil","Rio de Janeiro","rio de janeiro","Morro da Urca.","-43.2075004577637","-22.9027996063232",NA,NA,NA,NA,NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,"30/12/2006"
"32","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Glaziou, AFM","8023",NA,NA,NA,"Southern America","Brazil",NA,NA,"in Pico de S. Cruz",NA,NA,NA,NA,NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Luschnath, B","123",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae prov. Rio de Janeiro prope urbem",NA,NA,NA,NA,NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Riedel, L","864",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae prov. Rio de Janeiro prope urbem",NA,NA,NA,NA,NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Glaziou, AFM","3629",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"ad Botafogo",NA,NA,NA,NA,NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Langsdorff, GH (Baron)","s.n.",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"in monte Corcovado",NA,NA,NA,NA,NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Schwacke, CAW","5551",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"ad Lagoa de Rodrigues de Freitas",NA,NA,NA,"Floret Aprili - Junio. (V. s. in herb. Berol., Boiss.-Barbey., Brux., Petrop., Schwacke., Vindob.)",NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Wawra, H","ll203",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"Habitat in Brasiliae prov. Rio de Janeiro prope urbem",NA,NA,NA,NA,NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:09:04-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.",NA,"Glaziou, AFM","17281",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro",NA,"ad Copacabana",NA,NA,NA,NA,NA,"P03P3N0084",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2019-11-21 10:02:43-03","IBt","SP","396078","S","Plantae",NA,NA,"Bromeliaceae","Pitcairnia","albiflos","Pitcairnia albiflos","Herb.","Forzza, RC","Forzza, RC; Ormindo, P","4222","2006","07",NA,NA,"Brasil","Rio de Janeiro","Rio de Janeiro","Parque Nacional da Tijuca, Morro do Queimado.","-43.2075004577637","-22.9027996063232",NA,NA,"SP052468","SP052468",NA,NA,"57442","auto","2006",NA,NA,NA,NA,NA,NA
