"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","relationshipType","relatedCatalogItem","phylum","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","sex"
"14","2020-12-21 16:11:33-03","MBM","MBM","17358","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(C. Koch. ex Carr. & Bouche) Ravenna","Ravenna, P.",NA,NA,NA,"Hatschbach, G.","7457","1960","11","03","Brazil","Paraná","Guaratuba","Pedra Branca de Araraquara","-48.5746994018555","-25.8827991485596","41937","auto",NA,NA,NA,"MBM017358","MBM017358",NA,NA,NA,NA,NA,"Southern America",NA,NA
"15","2018-05-22 11:17:00-03","MO","MOBOT","3030559","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K. Koch & C.D. Bouché ex Carrière) Ravenna","A. Campos-Rocha",NA,NA,NA,"J.M. Silva","Silva 1751","1996","10","30","Brazil","Pará",NA,"Castelhanos, Rio Arraial (mun. São Jose dos Pinhais).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America","1",NA
"16","2018-06-15 16:55:00-03","MO","MOBOT","3029425","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K. Koch & C.D. Bouché ex Carrière) Ravenna","A. Campos-Rocha",NA,NA,NA,"Gert G. Hatschbach","Hatschbach 7457","1960","11","3","Brazil","Pará",NA,"Guaratuba. Pedra Branca de Araraquara.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"17","2020-12-17 04:41:00-03","MO","MOBOT","3029746","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K. Koch & C.D. Bouché ex Carrière) Ravenna","A. Campos-Rocha",NA,NA,NA,"M. B. Foster","Foster 583","1956","10","11","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"18","2018-06-15 16:53:00-03","MO","MOBOT","3029828","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K. Koch & C.D. Bouché ex Carrière) Ravenna","A. Campos-Rocha",NA,NA,NA,"* HONDRO","HONDRO 1246","1940","1","12","Brazil","São Paulo",NA,"Cult. Bot. Gard.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"19","2018-06-15 16:54:00-03","MO","MOBOT","3030239","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K. Koch & C.D. Bouché ex Carrière) Ravenna","A. Campos-Rocha",NA,NA,NA,"Hamilton P. Traub","Traub 407","1951","7","22","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"20","2018-06-19 09:23:00-03","MO","MOBOT","3030323","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K. Koch & C.D. Bouché ex Carrière) Ravenna","A. Campos-Rocha",NA,NA,NA,"Oswaldo Handro","Handro 1232","1965","11","15","Brazil","São Paulo",NA,"From trial grounds on Ipiranga River; appears to be a dwarf form of B. blumenavia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA
"21","2019-01-25 15:38:03-02","IAC","IAC","56456","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna","L.C. Bernacci et al.","2017","03","03","L.C. Bernacci; J.R. Martellini; F.L.F. Dias & J.H.A. Dutilh","4883","2017","03","03","Brasil","São Paulo","Tietê","IAC, Estação Experimental, fragmento próximo à sede e ao canal de escoamento da antiga represa","-47.7147","-23.1019",NA,NA,"-47.7147","-23.1019","A população parece estar aumentando, em relação a visitas anteriores",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-04-05 12:29:36-03","UNIVASF","HVASF","17889","PreservedSpecimen","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(Koch & Bouché) Ravenna","J.H.A. Dutilh","2013","12","27","J.A. Siqueira Filho","2880","2012","11","15","Brasil","Santa Catarina","Joinville","APA Dona Francisca, Vila Quiriri, 1km após a ponte do Quiriri de baixo","-48.988972","-26.13875",NA,NA,"-48.988972","-26.138750","Erva ca. de 35cm alt.. Flores alvas com estrias longitudinais vináceas.","HVASF017889","HVASF017889_v01 HVASF017889_v02",NA,NA,NA,"120","120","América do Sul",NA,"U"
"23","2020-12-10 11:27:02-03","IBt","SP","397468","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna",NA,NA,NA,NA,"Kirizawa, M","3567","2007","10","17","Brasil","São Paulo","São Paulo",NA,"-46.6300010681152","-23.5400009155273","53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 09:58:06-03","IBt","SP","256648","S","Plantae","Amaryllidaceae","Eithea","blumenavia","Eithea blumenavia","(K.Koch & C.D.Bouché ex Carrière) Ravenna","Dutilh, JHA","2004","12","09","Kirizawa, M; Wanderley, MGL","2755","1992","10","08","Brasil","São Paulo","Sete Barras","Fazenda Intervales, Base Quilombo. Entre a sede da base e uma escola nas proximidades do Rio Quilombo","-47.9199981689453","-24.3799991607666","34059","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
