"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","recordNumber","locality","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","monthIdentified","dayIdentified","continentOcean","preparationType","previousCatalogNumber","phylum","order","coordinatePrecision","geoFlag","infraspecificEpithet","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","typeStatus"
"12","2016-09-29 21:24:00-03","NY","NYBG","885043","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"P. Brack",NA,"G. Davidse","1976","03","14","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00885043","NY00885043_01","11249","2 km E of Cascavel along Highway BR-277 to Curitiba.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=971175' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","441283","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","I. Friis; C. M. Wilmot-Dear",NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00441283","NY00441283_01","1405","Brasilia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414396' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","441286","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","M. H. Nee",NA,"W. Hoehne","1964","03","28","Brazil","Rio de Janeiro","Rio de Janeiro","-43.482796","-23.016442",NA,NA,"NY00441286","NY00441286_01","5695","Prox. Recreio dos Bandeirantes",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414390' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","441277","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","M. H. Nee",NA,"J. E. Leite","1940",NA,NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","-51.143791","-29.75136",NA,NA,"NY00441277","NY00441277_01","136","Vicinity of Sao Leopoldo",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414389' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","441284","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","I. Friis; C. M. Wilmot-Dear",NA,"L. Riedel","1832",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00441284","NY00441284_01","3",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414397' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 12:38:00-03","NY","NYBG","441274","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"L. B. Smith",NA,"L. B. Smith","1956","12","17","Brazil","Santa Catarina","Canoinhas","-50.3897","-26.1772",NA,NA,"NY00441274","NY00441274_01","8605","60 km W of Canoinhas on the road to Pôrto Uniao","750","750","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414408' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","441276","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.",NA,NA,"R. M. Harley","1974","01","10","Brazil","Bahia",NA,"-39.25","-14.75",NA,NA,"NY00441276","NY00441276_01","15001","Itabuna, in the grounds of CEPLAC (Centro de Pesquisas do Cacau), near the research station","30","30","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414415' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","01021831","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.",NA,NA,"C. E. O. Kuntze","1892","12",NA,"Brazil","Minas Gerais","Contendas",NA,NA,NA,NA,"NY01021831","NY01021831_01","s.n.","Contendas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118691' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","441273","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","E. P. Killip",NA,"L. B. Smith","1952","03","08","Brazil","Santa Catarina","Brusque","-48.9","-27.1",NA,NA,"NY00441273","NY00441273_01","6111","Azambuja, Brusque","35","135","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414399' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","441279","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","R. M. Harley",NA,"S. A. Mori","1978","10","28","Brazil","Bahia","Ilhéus","-39.2281","-14.7536",NA,NA,"NY00441279","NY00441279_01","10995","CEPEC",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414400' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-29 12:38:00-03","NY","NYBG","441289","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"C. D. Adams",NA,"C. D. Adams","1978","03","21","Trinidad and Tobago",NA,NA,NA,NA,NA,NA,"NY00441289",NA,"14368","Herhaham, Nariva Swamp",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414404' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","441280","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","I. Friis; C. M. Wilmot-Dear",NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00441280","NY00441280_01","2004","Brasilia",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414394' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","441290","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","A. E. Burkart",NA,"A. E. Burkart","1931","01",NA,"Argentina","Buenos Aires",NA,NA,NA,NA,NA,"NY00441290",NA,"3393","Delta del Paraná: P. Miní y Carabelas",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414411' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","2423054","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.",NA,NA,"A. M. Amorim","2008","02","14","Brazil","Espírito Santo","Cariacica","-40.4767","-20.2728",NA,NA,"NY02423054","NY02423054_01","7086","Reserva Biológica Duas Bocas. Trilha do Pescador, a margem da represa.","200","200","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2680010' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-29 23:39:00-03","NY","NYBG","1016380","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"J. A. Kallunki",NA,"A. M. Amorim","2004","12","09","Brazil","Bahia","Arataca","-39.4081","-15.2028",NA,NA,"NY01016380","NY01016380_01","4444","Serra da Lontras, ca. de 7 km no ramal que liga o povoado de Itatinguí à Serra das Lontras.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1155244' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-29 12:38:00-03","NY","NYBG","441278","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"C. M. Wilmot-Dear",NA,"J. C. Lindeman","1967","01","10","Brazil","Paraná","Almirante Tamandaré","-49.31","-25.3247",NA,NA,"NY00441278","NY00441278_01","3997","Parque Santa Maria. 15 km N of Curitiba",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414405' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","823442","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","S. F. Smith",NA,"R. A. Wasum","2002","02","24","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.5833","-29.4483",NA,NA,"NY00823442","NY00823442_01","1349","RS 235","830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=953162' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-29 23:17:00-03","NY","NYBG","01021832","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"E. C. H. van Heusden",NA,"B. D. Sucre","1965","11","25","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,"NY01021832","NY01021832_01","892","Área alagada do Zoobotânico.",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1118693' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","777766","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","P. Brack",NA,"W. Hoehne","1964","03","28","Brazil","Rio de Janeiro","Rio de Janeiro","-43.482796","-23.016442",NA,NA,"NY00777766","NY00777766_01","5695","Prox. Recreio dos Bandeirantes",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414401' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","441268","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","P. K. H. Dusén",NA,"P. K. H. Dusén","1913","12","29","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"NY00441268","NY00441268_01","14354","Curitiba",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414392' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","441282","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","I. Friis; C. M. Wilmot-Dear",NA,"B. Rambo","1947","01","05","Brazil","Rio Grande do Sul","Bom Jesus","-50.388347","-28.558459",NA,NA,"NY00441282","NY00441282_01","34668","Fazenda B. Velho, Bom Jesus",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414412' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 12:38:00-03","NY","NYBG","441265","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"L. Ceballos",NA,"B. Rambo","1950","02","21","Brazil","Rio Grande do Sul","Torres","-49.7267","-29.3356",NA,NA,"NY00441265","NY00441265_01","45977","Lagoa dos Quadros p. Torres",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414398' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","778557","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","S. F. Smith",NA,"R. A. Wasum","1996","02","29","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"NY00778557","NY00778557_01","s.n.","Floresta Nacional.","830","830","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=795644' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-29 12:38:00-03","NY","NYBG","441272","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica",NA,"L. B. Smith",NA,"R. Reitz","1960","12","27","Brazil","Santa Catarina","Sao José","-48.6272","-27.6156",NA,NA,"NY00441272","NY00441272_01","10609","Serra da Boa Vista, Sao José","700","700","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414407' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","441267","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","P. K. H. Dusén",NA,"P. K. H. Dusén","1909","01","07","Brazil","Paraná","Piraquara","-49.0631","-25.4419",NA,NA,"NY00441267","NY00441267_01","7792","Piraquara",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414391' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","441275","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","L. B. Smith",NA,"G. Eiten","1959","12","18","Brazil","São Paulo","Moji-Guaçu",NA,NA,NA,NA,"NY00441275","NY00441275_01","1661","Campos das Sete Lagoas. 60 m south of entrance of Fazenda Campininha, just north of Rio Moji-Guaçu. 1.8 km NNW of Padua Sales (about 27 km NW of city of Moji-Mirim)","575","625","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414409' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","441269","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","P. K. H. Dusén",NA,"P. K. H. Dusén","1911","01","07","Brazil","Paraná","Guarapuava","-51.483771","-25.394435",NA,NA,"NY00441269","NY00441269_01","11084","Guarapuava",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=414393' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Rosales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-02-18 09:30:50-03","UNESP-IBB","BOTU","31549","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","Romaniuc Neto, S.","2007","Ferreira, M.I.","2006","08","17","Brasil","São Paulo","Guaratinguetá",NA,NA,"9999","9999","BOTU031549",NA,"23","Fazenda Esperança",NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-06-29 11:32:47-03","UFRJ","RFA","13341","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","V.C. Lima","1983","A.P. Duarte","1966","12","16","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"RFA50421",NA,"10103","Área do Zoobotânico",NA,NA,NA,"09","22",NA,NA,NA,NA,NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA
"41","2020-11-24 17:11:07-03","UTFPR","DVPR","3577","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","Caxambu, MG","2010","Caxambu, MG; et al.","2010","02","12","Brasil","Paraná","Luiziana","-52.26036","-24.32067","-52.26036","-24.32067","DVPR003577",NA,"2935","Estação Ecológica Luiziana.","613","613","erva heliófita. ripária, ereta. Flores esverdeadas.; Relevo: ondulado.","03","09",NA,NA,NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-24 17:11:07-03","UTFPR","DVPR","3546","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Sw.","Caxambu, MG","2006","Geraldino, HCL","2006","02","11","Brasil","Santa Catarina","Bombinhas","-48.5169982910156","-27.1380004882812",NA,NA,"DVPR003546",NA,"243","Praia de Mariscal.",NA,NA,"herbácea, no subosque, com flores diminutas de coloração branca.","09","20",NA,NA,NA,"Magnoliophyta",NA,"11943","auto",NA,NA,NA,NA,NA,NA,NA
"43","2021-03-30 12:50:07-03","EAO","IAN","122552","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Willd.",NA,NA,"D'Arcy, WG","1966","09","11","Estados Unidos","Florida",NA,NA,NA,NA,NA,"IAN122552",NA,"964","Plentiful in area of recent logging, E side of Sampson Lake. Bradford County.",NA,NA,"Erect to 50cm; spikes all axillary.",NA,NA,NA,NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-30 12:50:07-03","EAO","IAN","92818","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Willd.",NA,NA,"Rouleau, ELB; Smith, LB","1945","08","05","Estados Unidos","Massachusetts","Middlesex County",NA,NA,NA,NA,"IAN092818",NA,"1346","Damp woods, Winchester.",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2021-03-30 12:50:07-03","EAO","IAN","119400","PreservedSpecimen","Plantae","Urticaceae","Boehmeria","cylindrica","Boehmeria cylindrica","(L.) Willd.","Romaniuc Neto, S","1996","Sucre, D","1965","11","25","Brasil","Distrito Federal","Brasília","-47.9296989440918","-15.7797002792358",NA,NA,"IAN119400",NA,"892","Área alagada do Zoobotânico.",NA,NA,"Formando moitas; ereta com ± 1m de altura; inflorescência verde.","07",NA,"Southern America",NA,NA,"Dicotiledônea",NA,"70570","auto",NA,NA,NA,NA,NA,NA,NA
