"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","phylum","class","order","individualCount","recordNumber","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","1032182","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","G. F. J. Pabst",NA,NA,NA,"L. B. Smith","1952","02","23","Brazil","Santa Catarina","Brusque","Mato de Malucher, Brusque.","-48.9","-27.1",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191827' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032182",NA,"Magnoliophyta",NA,"Asparagales",NA,"5771","South America","sheet","NY01032182_01","40","50",NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","1032186","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","F. W. L. Kraenzlin",NA,NA,NA,"P. K. H. Dusén","1909","03","25","Brazil","Paraná",NA,"Porto de Cima",NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1191850' target='other'> <mi>dwc_moreinfo</mi></a>","NY01032186",NA,"Magnoliophyta",NA,"Asparagales",NA,"7896","South America","sheet","NY01032186_01",NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","6630","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Amaral Jr., A.","1973","02","05","Amaral Jr., A.","1973","01","24","Brasil","São Paulo","São Manuel","Pavuna, próximo ao limite do município de Botucatu com São Manuel, pela Rodovia Marechal Rondon",NA,NA,NA,NA,"BOTU006630",NA,NA,NA,NA,NA,"1400",NA,NA,NA,NA,NA,"9999","9999",NA,NA,NA
"14","2019-12-04 15:26:38-03","PUCPR","HUCP","11520","S","Plantae","Orchidaceae","Miltonia","regnelii","Miltonia regnelii","Rchb. f.","Lineu, R",NA,NA,NA,"Vaccari, LR","1998","03","29","Brasil","Paraná","Curitiba","Água Verde","-49.2731018066406","-25.4277992248535","25180",NA,"HUCP00003282","auto","Monocotiledonea",NA,NA,NA,"002",NA,NA,"HUCP00003282",NA,NA,NA,NA,NA,NA,NA
"15","2019-12-04 15:26:38-03","PUCPR","HUCP","24367","S","Plantae","Orchidaceae","Miltonia","regnelii","Miltonia regnelii","Rchb. f.","Santos, TF",NA,NA,NA,"Santos, TF","2014","01","05","Brasil","Paraná","Paranaguá","Floresta Estadual do Palmito","-48.5092010498047","-25.5200004577637","24916",NA,"HUCP00003232","auto","Monocotiledonea",NA,NA,NA,"023",NA,NA,"HUCP00003232",NA,NA,NA,NA,NA,NA,NA
"16","2019-12-04 15:26:38-03","PUCPR","HUCP","21106","S","Plantae","Orchidaceae","Miltonia","regnelii","Miltonia regnelii","Rchb. f.","Lemos, JV",NA,NA,NA,"Lemos, JV",NA,NA,NA,"Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641","19508",NA,"HUCP00003408","auto","Monocotiledonea",NA,NA,NA,"038",NA,NA,"HUCP00003408",NA,NA,NA,NA,NA,NA,NA
"17","2019-12-04 15:26:38-03","PUCPR","HUCP","18502","S","Plantae","Orchidaceae","Miltonia","regnelii","Miltonia regnelii","Rchb. f.",NA,NA,NA,NA,"Canestraro, BK","2008","05","28","Brasil","Paraná","Contenda",NA,"-49.5346984863281","-25.6756000518799","22732",NA,"HUCP00003311","auto","Monocotiledonea",NA,NA,NA,"s.n.",NA,NA,"HUCP00003311",NA,NA,NA,NA,NA,NA,NA
"18","2020-02-08 08:46:31-03","NBC","NL-BOTANY","L.1517595","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"Reitz R; Klein RM","1959","01","27","Brazil",NA,NA,"Santa Catarina - Brasil. Matador, Rio do Sul.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1517595 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1517595",NA,NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,"NL-L1517595",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 08:46:31-03","NBC","NL-BOTANY","L.1517596","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"Dusén PKH","1909","03","25","Brazil",NA,NA,"Brasilienses. Parana: Porto de Cima, in trunc. arb.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1517596 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1517596",NA,NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,"NL-L1517596",NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 08:46:31-03","NBC","NL-BOTANY","U.1459292","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"Lindeman JC; Haas JH de","1967","03","30","Brazil","Pará",NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459292 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459292",NA,NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,"NL-U1459292",NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 08:46:31-03","NBC","NL-BOTANY","U.1459293","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"Tessmann G","1937","03","20","Brazil",NA,NA,"Pflanzen aus Süd-Brasilien. Nord-Paraná: Gebiet des mittleren Ivahy.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1459293 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1459293",NA,NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,"NL-U1459293",NA,NA,NA,NA,NA,NA,NA
"22","2021-03-31 13:41:09-03","MN","R","103058","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb. f.","Pabst, G.F.J.","1958","10","02","Smith, L.B.","1952","02","23","Brasil","Santa Catarina","Brusque",NA,"-48.9","-27.1",NA,NA,NA,NA,NA,NA,NA,NA,"5771",NA,NA,NA,"40","40","48°54'W","27°06'S",NA,NA,NA
"23","2021-03-31 13:41:09-03","MN","R","16091","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb. f.",NA,NA,NA,NA,"Sampaio, A.J.",NA,NA,NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-31 13:41:09-03","MN","R","3221","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb. f.","Van den Berg, C.","1996","03","11","Dusén, P.K.H.","1904","02","16","Brasil","Paraná","Ipiranga",NA,"-50.5842018127441","-25.0238990783691","31827",NA,NA,"auto",NA,NA,NA,NA,"3783",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-08-27 13:26:38-03","IAP","PACA-AGP","68714","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb. f.","G. Hatschbach","1986","07",NA,"R. Kummrow","1986","05","06","Brasil","PR","Campina Grande do Sul","Rio Capivari","-49.0553016662598","-25.3055992126465","55154","Flor alvescente com labelo lilás. Mata pluvial. Habitat: Epífita","PACA068714","auto","Magnoliophyta","Liliatae","Orchidales",NA,"2752",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-08-27 13:26:38-03","IAP","PACA-AGP","67565","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb. f.","G. Pabst","1968",NA,NA,"R. M. Klein","1967","02","14","Brasil","SC","Florianópolis","Morro do Ribeirão","-48.5491981506348","-27.596700668335","27000","Labelo roxo, pétalas e sépalas brancas. Habitat: Epífito da mata","PACA067565","auto","Magnoliophyta","Liliatae","Orchidales",NA,"7170",NA,NA,NA,"400","400",NA,NA,NA,NA,NA
"27","2020-12-20 21:18:46-03","UFV","VIC","003829","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f",NA,NA,NA,NA,"Pabst","1955","05","14","Brasil","Minas Gerais","Viçosa","ESAV-Jardim Botânico.","-42.8819007873535","-20.7539005279541","13937",NA,"VIC003829","auto",NA,NA,NA,NA,"s.n.",NA,NA,"VIC003829",NA,NA,NA,NA,NA,NA,NA
"28","2016-07-05 11:14:19-03","FFCLRP","LBMBP","370","S","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","E.R. Pansarin",NA,NA,NA,"L.M. Pansarin",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-08-20 10:00:54-03","UNICAMP","UEC","86503","S","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Pansarin, ER; Borba, EL","1998","03",NA,"Leitão Filho, HF; Rodrigues, RR; et al.","1995","02","09","Brazil","São Paulo","Eldorado","Parque Estadual de Jacupiranga, Próximo à Caverna do Diabo.","-48.392083","-24.646639",NA,"Epífita. Flores em botão.","UEC001910",NA,"Liliopsida",NA,NA,NA,"32889",NA,NA,"UEC001910",NA,NA,"-48.392083","-24.646639",NA,NA,NA
"30","2019-08-20 10:00:54-03","UNICAMP","UEC","140341","S","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"s/ coletor",NA,NA,NA,"Brazil","São Paulo","Campinas","Cultivado na casa de vegetação da Unicamp.","-47.060001373291","-22.8999996185303","23900","Data de floração: 08/03/2005. Cultivado na casa de vegetação da Unicamp.","UEC001914","auto","Liliopsida",NA,NA,NA,"s.n.",NA,NA,"UEC001914",NA,NA,NA,NA,NA,NA,NA
"31","2019-08-20 10:00:54-03","UNICAMP","UEC","140318","S","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.",NA,NA,NA,NA,"Pansarin, ER",NA,NA,NA,"Brazil","São Paulo","Jundiaí","Serra do Japi","-46.8800010681152","-23.1800003051758","17840","Cultivado na casa de vegetação da Unicamp.","UEC001916","auto","Liliopsida",NA,NA,NA,"s.n.",NA,NA,"UEC001916",NA,NA,NA,NA,NA,NA,NA
"32","2019-08-20 10:00:54-03","UNICAMP","UEC","122206","S","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Pansarin, ER","2001","03",NA,"Pansarin, ER","2001","03","07","Brazil","São Paulo","Jundiaí","Serra do Japi, Sentido bairro Eloy Chaves, próximo à represa do DAE.","-46.8800010681152","-23.1800003051758","17840","Rupícola, formando touceiras próximo a riacho.","UEC001912","auto","Liliopsida",NA,NA,NA,"844",NA,NA,"UEC001912",NA,NA,NA,NA,NA,NA,NA
"33","2020-10-14 10:04:15-03","FURB","FURB","17434","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Barros, F de","2011","11","04","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","2009","11","06","Brasil","Santa Catarina","Vitor Meireles","Pratinha.","-49.8591667","-26.7294445",NA,"Epífita IFFSC e798a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; comum no fragmento Habito: epífita; flor branca com labelo amarelo","FURB35693",NA,NA,NA,NA,NA,"433",NA,NA,"FURB35693","590","590","-49.8591667","-26.7294445",NA,NA,NA
"34","2020-10-14 10:04:15-03","FURB","FURB","17459","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Rigon-Junior, MJ","2010","08","10","Schmitt, J.L.; Cristofolini, C. & Caglioni, E.","2009","12","09","Brasil","Santa Catarina","Orleans","Rio Minador.","-49.41","-28.17",NA,"Epífita IFFSC e142a (Abaixo de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado; comum no fragmento Habito: epífita; flor corola branca, labelo na parte superior roxo e inferior amarelo.","FURB35694",NA,NA,NA,NA,NA,"774",NA,NA,"FURB35694","445","445","-49.4100000","-28.1700000",NA,NA,NA
"35","2020-10-14 10:04:15-03","FURB","FURB","21336","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Rigon-Junior, MJ","2010","08","10","Schmitt, J.L.; Caglioni, E.; Andrade, S. & Cristofolini, C.","2010","02","01","Brasil","Santa Catarina","Paulo Lopes","Sertão do Campo.","-48.7619444","-27.8788889",NA,"Epífita IFFSC e226a (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita de arbórea; flor labelo roxo","FURB02812",NA,NA,NA,NA,NA,"1218",NA,NA,"FURB02812","180","180","-48.7619444","-27.8788889",NA,NA,NA
"36","2020-10-14 10:04:15-03","FURB","FURB","21658","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Korte, A","2010","02","18","Korte, A.; Kniess, A.","2010","02","18","Brasil","Santa Catarina","Taió","Fazenda Tarumã.","-50.1305556","-27.0002778",NA,"Florística IFFSC 625 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita;","FURB35691",NA,NA,NA,NA,NA,"1855",NA,NA,"FURB35691","802","802","-50.1305556","-27.0002778",NA,NA,NA
"37","2020-10-14 10:04:15-03","FURB","FURB","22022","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Cadorin, TJ","2010","02","23","Cadorin, T.J.; Grosch, B. & Zimmermann, R.","2010","02","23","Brasil","Santa Catarina","Florianópolis","Morro da Lagoa.","-48.4755556","-27.5766667",NA,"Forófito 5. Epífita IFFSC e8004a (Acima de 4m) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita de arbórea; flor branca com labelo roxo","FURB35695",NA,NA,NA,NA,NA,"1424",NA,NA,"FURB35695","444","444","-48.4755556","-27.5766667",NA,NA,NA
"38","2019-11-08 08:54:28-03","FURB","FURB","35070","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Oliveira, AA de","2011","06","15","Stival-Santos, A.; Dreveck, S.","2011","04","05","Brasil","Santa Catarina","Vitor Meireles","Cachoeira do Forno.","-49.9186111","-26.8713889",NA,NA,"FURB35692",NA,NA,NA,NA,NA,"3316",NA,NA,"FURB35692","445","445","-49.9186111","-26.8713889",NA,NA,NA
"39","2019-11-08 08:54:28-03","FURB","FURB","37808","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Caetano, JO","2012","01","07","Caetano, J.O.","2012","01","07","Brasil","Santa Catarina","Benedito Novo","Ao lado da Ceesan, Alto Benedito.","-49.3988889","-26.7836111",NA,NA,"FURB35690",NA,NA,NA,NA,NA,NA,NA,NA,"FURB35690","280","280","-49.3988889","-26.7836111",NA,NA,NA
"40","2020-10-14 10:04:15-03","FURB","FURB","57216","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Kassner-Filho, A.","2018","02","16","Kassner-Filho, A.; Santos, D.; Bollmann, G.; Silva, D.A.","2018","02","16","Brasil","Santa Catarina","José Boiteux",NA,"-49.68","-26.82",NA,"flor branca e lilás Habitat: interior da unidade amostral Habito: epífita","FURB57216",NA,NA,NA,NA,NA,"2063",NA,NA,"FURB57216","394","394","-49.6800000","-26.8200000",NA,NA,NA
"41","2020-10-14 10:04:15-03","FURB","FURB","64180","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Kassner-Filho, A.","2019","03","14","Kassner-Filho, A.","2019","03","14","Brasil","Santa Catarina","Schroeder",NA,"-49.0777778","-26.4158333",NA,"flora branca, labelo lilás-azulado Habitat: interior do fragmento Habito: epífita","FURB64180",NA,NA,NA,NA,NA,"5183",NA,NA,"FURB64180","38","38","-49.0777778","-26.4158333",NA,NA,NA
"42","2020-12-09 14:47:24-03","FURB","FURB","66459","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","Kassner-Filho, A.","2020","02","12","Kassner-Filho, A.","2020","02","12","Brasil","Santa Catarina","Treviso","U.A.74 - IFFSC.","-49.4986111","-28.4436111",NA,"flor branca, labelo lilás-azulado Habitat: interior do fragmento Habito: epífita","FURB66459",NA,NA,NA,NA,NA,"5580",NA,NA,"FURB66459","560","560","-49.4986111","-28.4436111",NA,NA,NA
"43","2019-08-16 08:40:26-03","UTFPR","HCF","19366","S","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.f.","V. Ariati",NA,NA,NA,"V. Ariati",NA,NA,NA,"Brasil","PR","Telêmaco Borba",NA,"-50.6156005859375","-24.3239002227783","35037","epífita. Labelo roxo. Coletada em II/2012",NA,"auto",NA,NA,NA,NA,"557",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:38:37-03","MBM","MBM","385478","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Ariati, V.","2012","02",NA,"Ariati, V.","2012","02",NA,"Brasil","Paraná","Telêmaco Borba","UHE Mauá","-50.706944","-24.100556",NA,"Resgate de flora da UHE Mauá; Epífita. Labelo roxo.","MBM385478",NA,NA,NA,NA,NA,"557",NA,NA,"MBM385478","520","750","-50.706944","-24.100556",NA,NA,NA
"45","2020-12-21 16:38:37-03","MBM","MBM","385479","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Ariati, V.","2012",NA,NA,"Ariati, V.",NA,NA,NA,"Brasil","Paraná","Telêmaco Borba","UHE Mauá","-50.706944","-24.100556",NA,"Resgate de flora da UHE Mauá; Epífita. Flor roxa, labelo roxo.","MBM385479",NA,NA,NA,NA,NA,"587",NA,NA,"MBM385479","520","750","-50.706944","-24.100556",NA,NA,NA
"46","2020-12-21 16:38:37-03","MBM","MBM","2328","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Pabst, G.",NA,NA,NA,"Hatschbach, G.; Guimarães, O.; Guimarães, O.","1967","03","19","Brazil","Paraná","Antonina","Rod. BR-116, Rio Trindade","-48.7118988037109","-25.4286003112793","38300","Epífita.","MBM002328","auto",NA,NA,NA,NA,"16187","Southern America",NA,"MBM002328",NA,NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:38:37-03","MBM","MBM","2183","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1967","04","13","Brazil","Paraná","Guaraqueçaba","Serrinha","-48.3288993835449","-25.3066997528076","37295","Epífita.","MBM002183","auto",NA,NA,NA,NA,"16326","Southern America",NA,"MBM002183",NA,NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:38:37-03","MBM","MBM","145362","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Hatschbach, G.",NA,NA,NA,"Cordeiro, J.; Kummrow, R.; Kummrow, R.","1991","01","03","Brazil","Paraná","Morretes","Estrada da Graciosa, Grota Funda","-48.834400177002","-25.476900100708","30514","Epífita.","MBM145362","auto",NA,NA,NA,NA,"729","Southern America",NA,"MBM145362",NA,NA,NA,NA,NA,NA,NA
"49","2020-12-21 16:38:37-03","MBM","MBM","14088","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","1970","01","15","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092010498047","-25.5200004577637","24916","Epífita.","MBM014088","auto",NA,NA,NA,NA,"23347","Southern America",NA,"MBM014088",NA,NA,NA,NA,NA,NA,NA
"50","2020-12-21 16:38:37-03","MBM","MBM","10703","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","1969","03","14","Brazil","Paraná","Paranaguá","Pico Torto","-48.5092010498047","-25.5200004577637","24916","Epífita.","MBM010703","auto",NA,NA,NA,NA,"21262","Southern America",NA,"MBM010703",NA,NA,NA,NA,NA,NA,NA
"51","2020-12-21 16:38:37-03","MBM","MBM","108285","PreservedSpecimen","Plantae","Orchidaceae","Miltonia","regnellii","Miltonia regnellii","Rchb.","Hatschbach, G.",NA,NA,NA,"Kummrow, R.; et al.; et al.","1988","05","06","Brazil","Paraná","Campina Grande do Sul","Rio Capivari","-49.0553016662598","-25.3055992126465","55154","Epífita.","MBM108285","auto",NA,NA,NA,NA,"2752","Southern America",NA,"MBM108285",NA,NA,NA,NA,NA,NA,NA
