"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","typeStatus","recordedBy","year","month","day","continentOcean","country","stateProvince","locality","occurrenceRemarks","barcode","imagecode","recordNumber","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","phylum","coordinatePrecision","geoFlag"
"11","2020-12-11 11:34:14-03","UFMG","BHCB","186056","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P. Taylor",NA,NA,NA,NA,NA,"Gontijo, FD","2014","10","28","Southern America","Brasil","Minas Gerais",NA,"Herbáceo; Floração; Inflorescência azul-escuro. Sobre rocha quartzítica. Altura 0,50m; Campo rupestre sobre formação quartzítica","BHCB186056",NA,"439","Itambé do Mato Dentro","-43.286239","-19.391453","-43.286239","-19.391453",NA,NA,"Dicotyledon",NA,NA
"12","2021-03-04 11:06:37-03","UFRB","HURB","59","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P. Taylor",NA,NA,NA,NA,NA,"Aona, L.Y.S.; Silva, S.R.; Resende, F.O.","2014","07","27",NA,"Brasil","Minas Gerais","Fazenda do Zequinha Farnezii;",NA,"HURB000000059","HURB000000059","3576","Itamarandiba","-42.880019","-18.019486","42°52'48,07W","18°01'10,15S","1167","1167","Anthophyta",NA,NA
"13","2020-06-15 15:29:44-03","UNESP-RC","HRCB","13040","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Zappi, D.C.","1990",NA,NA,NA,"Eggli, U.","1988","08","03",NA,"Brasil","Minas Gerais",NA,"Not common, mostly in the semi-shade of shrubs, sparingly irregularly branched, to 2m high, often very ugly plants. Seedlings with thickened taproots and wooly areoles, very thin-stemmed and resemblin",NA,NA,"1061","Itamarandiba","-42.8588981628418","-17.8572006225586",NA,NA,"840","840",NA,"39586","auto"
"14","2019-11-13 11:17:18-03","USP","SPF","80870","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Anônimo",NA,NA,NA,NA,"Harley, RM","1988","10","31",NA,"Brasil","Minas Gerais",NA,NA,"SPF00080870",NA,"25487","Diamantina","-43.466667","-18.1","-43.466667","-18.1","650","650",NA,NA,NA
"15","2019-11-13 11:17:18-03","USP","SPF","49365","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Zappi, DC","1988","05","09",NA,"Zappi, DC","1988","03","06",NA,"Brasil","Minas Gerais","Pedra Menina",NA,"SPF00049365",NA,"CFCR11822","Rio Vermelho","-42.1","-18.566667","-42.1","-18.566667","1270","1270",NA,NA,NA
"16","2019-11-13 11:17:18-03","USP","SPF","123539","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Soffiatti, P","1997",NA,NA,NA,"Soffiatti, P","1997","07","29",NA,"Brasil","Minas Gerais",NA,NA,"SPF00123539",NA,"20","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
"17","2019-11-13 11:17:18-03","USP","SPF","123538","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Soffiatti, P",NA,NA,NA,NA,"Soffiatti, P","1997","07","29",NA,"Brasil","Minas Gerais",NA,NA,"SPF00123538",NA,"19","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
"18","2019-11-13 11:17:18-03","USP","SPF","123540","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Soffiatti, P","1997",NA,NA,NA,"Soffiatti, P","1997","07","29",NA,"Brasil","Minas Gerais",NA,NA,"SPF00123540",NA,"21","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
"19","2019-11-21 10:12:00-03","USP","SPF","33300","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P.Taylor","Zappi, DC","1989","11",NA,NA,"Varanda, EM","1984","07","14",NA,"Brasil","Minas Gerais","Pedra Menina",NA,"SPF00033300",NA,"CFCR4485","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
"20","2020-04-29 16:29:40-03","UFVJM","HDJF","5285","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P. Taylor","Soffiatti, P","2017","01","15",NA,"Fantinati, MR; Soffiatti, P","2017","01","15","Southern America","Brasil","Minas Gerais","MG 317 entre os municípios de Felício dos Santos e Rio Vermelho",NA,"HDJF005285","HDJF005285_01","166","Felício dos Santos","-43.210861","-18.198222","-43.210861","-18.198222","989","989","Dicotyledoneae",NA,NA
"21","2020-09-22 13:46:00-03","USP","SPFW","820","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining ;Brederoo) Zappi;N.P.Taylor","P. Soffiatti",NA,NA,NA,NA,"Soffiatti, P.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"s.n.","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
"22","2020-09-22 13:46:00-03","USP","SPFW","822","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining ;Brederoo) Zappi;N.P.Taylor","P. Soffiatti",NA,NA,NA,NA,"Soffiatti, P.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"s.n.","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
"23","2020-09-22 13:46:00-03","USP","SPFW","821","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining ;Brederoo) Zappi;N.P.Taylor","P. Soffiatti",NA,NA,NA,NA,"Soffiatti, P.",NA,NA,NA,NA,"Brasil","Minas Gerais",NA,NA,NA,NA,"s.n.","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
"24","2019-11-01 14:55:53-03","UnB","UB","118984","PreservedSpecimen","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Buining & Brederoo) Zappi & N.P. Taylor",NA,NA,NA,NA,NA,"Splett, S","1995","03","11","Southern America","Brasil","Minas Gerais","Ca. 100km ao nordeste de Diamantina",NA,NA,NA,"853","Penha da França","-43.083333","-18.083333","-43.083333","-18.083333",NA,NA,"Dicotyledoneae",NA,NA
"25","2019-11-21 10:03:01-03","IBt","SP","199333","S","Plantae",NA,NA,"Cactaceae","Cipocereus","crassisepalus","Cipocereus crassisepalus","(Bruining & Brederoo) Zappi & N.P.Taylor","Zappi, DC","1989",NA,NA,NA,"Varanda, E; Furlan, A; Giulietti, AM; Harley, RM; Wanderley, MGL","1984","07","14",NA,"Brasil","Minas Gerais","Pedra Menina, Morro do Ambrósio",NA,NA,NA,"CFCR4485","Rio Vermelho","-43.0092010498047","-18.2936000823975",NA,NA,NA,NA,NA,"26996","auto"
