"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","identifiedBy","locality","imagecode","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","fieldNumber","individualCount","sex"
"17","2021-03-15 16:37:00-03","NY","NYBG","00923190","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","F. H. F. Oldenburger","1855","1975","11","20","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004894' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923190","Magnoliophyta","Myrtales","Mart.","L. Marcano-Berti","Hill near Barragem de Paranoá.","NY00923190_01","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","818008","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","H. S. Irwin","10790","1965","11","30","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=855927' target='other'> <mi>dwc_moreinfo</mi></a>","NY00818008","Magnoliophyta","Myrtales","Mart.","H. Balslev","Serra dos Pirineus, ca. 14 km S. of Corumbá de Goiás","NY00818008_01","Abadiânia","-48.8086111","-16.05012","975","975",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","424437","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","R. M. Harley","27600","1988","12","17","South America","Brazil","Bahia","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177645' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424437","Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","Agua Quente. Pico das Almas. Vertente oeste. Entre Paramirim das Crioulas e a face NNW do pico","NY00424437_01",NA,"-42","-13.52","1100","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","00923354","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. Eiten","4215","1962","04","08","South America","Brazil","Maranhão","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1005080' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923354","Magnoliophyta","Myrtales","Mart.","L. B. Smith","Ilha de Balsas region, between the Rios Balsas and Parnaíba. About 10 km south of Lorêto. Flat top of the plateau, Serra do Penitente. Trail from Faz. Trabalhosa to Lorêto","NY00923354_01 NY00923354_02","Loreto","-45.125","-7.167","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","424459","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","L. Riedel",NA,NA,NA,NA,"South America","Brazil",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177672' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424459","Magnoliophyta","Myrtales","Mart.",NA,NA,"NY00424459_01 NY00424459_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","02027104","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","R. Vilhena","326","1978","12","15","South America","Brazil","Pará","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2183383' target='other'> <mi>dwc_moreinfo</mi></a>","NY02027104","Magnoliophyta","Myrtales","Mart.",NA,"Pé da serra Piroca.","NY02027104_01","Santarém","-54.9624538","-2.4820477",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","1018256","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","W. Roberto","6","1993","01","06","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1252952' target='other'> <mi>dwc_moreinfo</mi></a>","NY01018256","Magnoliophyta","Myrtales","Mart.",NA,"Parque Sabiá.","NY01018256_01","Uberlândia","-48.2769","-18.9186",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","00923194","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","J. H. Kirkbride Jr.","5426","1983","10","17","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923194","Magnoliophyta","Myrtales","Mart.",NA,"Fazenda Água Limpa, campo experimental da Universidade de Brasília.","NY00923194_01","Brasília","-47.92","-15.97","1120","1120",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","1187873","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","T. B. Croat","85993","2001","12","04","South America","Brazil","Acre","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=63260' target='other'> <mi>dwc_moreinfo</mi></a>","NY01187873","Magnoliophyta","Myrtales","Mart.",NA,"Municipio Porto Acre; Reserva Forestal Huamaitá, ca. 27 km NNE of Rio Branco on road to Porto Acre, 28 km S of Porto Acre, 3 Km E along road to field station of Universidade Federal do Acre, situated on S bank of Rio Acre.","NY01187873_01","Porto Acre","-67.6719444","-9.75055556","150","200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","02398740","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","B. A. Krukoff","5821a",NA,NA,NA,"South America","Brazil","Amazonas","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2609632' target='other'> <mi>dwc_moreinfo</mi></a>","NY02398740","Magnoliophyta","Myrtales","Mart.",NA,"Reserva Florestal Ducke, Manaus-Itacoatiara, km 26","NY02398740_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","00923100","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","H. S. Irwin","16692","1966","06","07","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004321' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923100","Magnoliophyta","Myrtales","Mart.","L. Marcano-Berti","Ca. 2 km. N.E. of Xavantina. Drainage of the Upper Rio Araguaia.","NY00923100_01",NA,"-52.33687","-14.65392","400","400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00923196","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","H. S. Irwin","9255","1965","10","16","South America","Brazil","Distrito Federal","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004929' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923196","Magnoliophyta","Myrtales","Mart.","H. Balslev","Ca. 5 km N. of Planaltina, on road to São Gabriela","NY00923196_01","Brasília","-47.6667","-15.57151","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","00940684","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","W. R. Anderson","9046","1973","04","18","South America","Brazil","Minas Gerais","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009243' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940684","Magnoliophyta","Myrtales","Mart.","H. Balslev","7.5 km by road W of Rio Pandeiros on road from Januária to Serra das Araras","NY00940684_01",NA,"-44.82","-15.52","600","600",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00923143","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","J. A. Rizzo","2864","1968","02","02","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004644' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923143","Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","Km 14 da rodovia Goiânia-Inhumas","NY00923143_01","Goiânia","-49.2539","-16.6786",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","424456","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","F. C. Hoehne","1451","1918","01","30","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177661' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424456","Magnoliophyta","Myrtales","Mart.","F. C. Hoehne","Tatuhy. Campo de Sta. Cruz","NY00424456_01","Tatuí","-47.8497","-23.3503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","00923133","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","H. S. Irwin","14346","1966","04","04","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004578' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923133","Magnoliophyta","Myrtales","Mart.","H. Balslev","Serra Geral de Goiás, Rio da Prata, ca. 6 km S. of Posse","NY00923133_01","Posse","-46.37","-14.13","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","00923128","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","W. R. Anderson","9530","1973","04","30","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004565' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923128","Magnoliophyta","Myrtales","Mart.","H. Balslev","Serra do Caiapó, ca. 12 km (straight line) S of Caiapônia.","NY00923128_01","Caiapônia","-51.81666667","-17.0566","860","860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00923161","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. Eiten","9832","1969","12","09","South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004697' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923161","Magnoliophyta","Myrtales","Mart.",NA,"Crest of Serra do Roncador, along new road, 172 km NNE of village of Xavantina. 36.9 km S of Landico's restaurant.","NY00923161_01","Barra do Garças","-52.2567","-15.8903",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","662836","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","M. de Pardo","104","1995","07","13","South America","Brazil","Acre","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177647' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662836","Magnoliophyta","Myrtales","Mart.","M. L. Kawasaki","Fazenda Experimental Catuaba, BR-364.","NY00662836_01","Rio Branco","-67.62","-10.07",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","2026765","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. T. Prance","3609","1966","12","05","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2171143' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026765","Magnoliophyta","Myrtales","Mart.",NA,"Road Humaitá to Porto Velho, km 21","NY02026765_01","Humaitá","-63.1095967","-7.7290707",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","424582","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. Eiten","5077","1962","12","13","South America","Brazil","São Paulo","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177663' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424582","Magnoliophyta","Myrtales","Mart.","L. B. Smith","Campos das Sete Lagôas. Fazenda Campininha, just north of Rio Moji-Guaçu. 3.7 km NNW of PADUA SALES. (About 27 km. NW of city of MOJI-MIRIM)","NY00424582_01","Moji-Guaçu",NA,NA,"575","650",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","00923138","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","H. S. Irwin","31895","1971","03","16","South America","Brazil","Goiás","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923138","Magnoliophyta","Myrtales","Mart.","H. Balslev","Serra Geral do Paraná, ca. 3 km S.of São João de Aliança, near Riacho","NY00923138_01","São João d'Aliança","-47.5333","-14.72711","850","850",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","424451","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. Eiten","3394","1961","11","30","South America","Brazil","São Paulo","sheet",NA,"All specimens of this number from a single tree <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=177657' target='other'> <mi>dwc_moreinfo</mi></a>","NY00424451","Magnoliophyta","Myrtales","Mart.","G. Eiten","3.1 km along road east of BR crossing at city of ITIRAPINA","NY00424451_01","Itirapina","-47.8197","-22.25","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","2026769","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","G. T. Prance","3419","1966","11","28","South America","Brazil","Amazonas","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2171147' target='other'> <mi>dwc_moreinfo</mi></a>","NY02026769","Magnoliophyta","Myrtales","Mart.",NA,"Rio Madeira. Road Humaitá to Porto Velho, km. 10","NY02026769_01","Humaitá","-63.0804759","-7.6396461",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","00923117","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","R. C. Vieira","165","1981","12","02","South America","Brazil","Minas Gerais","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004513' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923117","Magnoliophyta","Myrtales","Mart.",NA,"BR 365, rodovia para Goiânia, Uberlândia.","NY00923117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00940693","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","H. S. Irwin","15292","1966","04","23","South America","Brazil","Goiás","separate fruit",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1009258' target='other'> <mi>dwc_moreinfo</mi></a>","NY00940693","Magnoliophyta","Myrtales","Mart.","H. Balslev","Serra do Morcêgo, Côrrego Estrema, ca. 50 km N.E. of Formosa","NY00940693_01 NY00940693_02","Formosa","-47.00374","-15.21379","800","800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2021-03-15 16:37:00-03","NY","NYBG","00923173","PreservedSpecimen","Plantae","Vochysiaceae","Qualea","grandiflora","Qualea grandiflora","S. L. M. Moore","740","1891",NA,NA,"South America","Brazil","Mato Grosso","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1004836' target='other'> <mi>dwc_moreinfo</mi></a>","NY00923173","Magnoliophyta","Myrtales","Mart.","F. A. Stafleu","Iter Matogrossense","NY00923173_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
