"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","decimalLatitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","phylum","order","scientificNameAuthorship","year","month","day","stateProvince","county","decimalLongitude","identifiedBy","imagecode","verbatimLongitude","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","class","fieldNumber","individualCount","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","3877808","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"L. J. Dorr","6912","South America","Bolivia","Between Miguillas and the summit of the road leading to La Plazuela","-16.47",NA,"1200","1790","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189251' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877808","Magnoliophyta","Poales","Baker","1989","12","30","La Paz","Loayza","-67.37",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","3877813","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"F. Mamani M.","414","South America","Bolivia","Lomerio comunidad Las Trancas, área de estudio del proyecto BOLFOR, Las Trancas - 95","-16.5203",NA,"450",NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189256' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877813","Magnoliophyta","Poales","Baker","1994","12","12","Santa Cruz","Chiquitos","-61.8464",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","04203821","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis","isotype","G. Mandon","1179","South America","Bolivia","Viciniis Sorata; Poquerani, San Pedro",NA,NA,"2500","2650","sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4576286' target='other'> <mi>dwc_moreinfo</mi></a>","NY04203821","Magnoliophyta","Poales","Baker","1858","12",NA,"La Paz","Larecaja",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","400384","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"E. M. Zardini","36773","South America","Paraguay","Estero del Ypoá: Trinchera Cué. Border of estero","-25.88",NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=500902' target='other'> <mi>dwc_moreinfo</mi></a>","NY00400384","Magnoliophyta","Poales","Baker","1993","08","05","Paraguarí",NA,"-57.38","B. K. Holst","NY00400384_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","3877806","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"M. Mendoza F.","1227","South America","Bolivia","Samailpata, ca. 5 km antes subiendo por sobre el sendero hacia el Fuerte por La Cascada",NA,NA,NA,NA,"sheet",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4189249' target='other'> <mi>dwc_moreinfo</mi></a>","NY03877806","Magnoliophyta","Poales","Baker","2004","12","19","Santa Cruz","Florida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","29160","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Bignotto, R.B.","150",NA,"Brasil",NA,"-22.866667","22°52's",NA,NA,NA,NA,"Mata mesófila semidecidual secundária, 4 fragmentos internos ao JB com predomínio de Eucalyptus sp em 3 deles. Epífita, 1,5m, pétalas amarelas.; Coleção: Jardim Botânico UNESP Botucatu","BOTU029160",NA,NA,"Baker","2003","11","25","São Paulo","Botucatu","-48.433333",NA,NA,"48°26'w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-02-08 11:07:46-03","UNESP-IBB","BOTU","29154","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Bignotto, R.B.","10",NA,"Brasil",NA,"-22.866667","22°52's",NA,NA,NA,NA,"Mata mesófila semidecidual secundária, predomínio de Eucalyptus sp de até 25m de altura, sub-bosque pouco denso, próximo ao riacho. Epífita sobre tronco a 1,5m do solo.; Coleção: Jardim Botânico UNESP Botucatu","BOTU029154",NA,NA,"Baker","2003","09","09","São Paulo","Botucatu","-48.433333",NA,NA,"48°26'w",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-06-29 11:29:40-03","UFRJ","RFA","21928","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis tricholepis",NA,"E.M. Occhioni; C.M. Rizzini (383); A.A.M. Barros (165)","569",NA,"Brasil","Ilha da Marambaia, Praia Grande","-22.9027996063232",NA,NA,NA,NA,NA,"Epífita. Frutos marrons e imaturos verdes. Frequente","RFA51320",NA,NA,NA,"1987","11","19","Rio de Janeiro","Rio de Janeiro","-43.2075004577637","G. Martinelli",NA,NA,"tricholepis","1988","04","04","57442","auto",NA,NA,NA,NA
"19","2020-06-29 11:29:40-03","UFRJ","RFA","31599","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"L.N. Morgado",NA,NA,"Brasil","Ilha Grande, Vila Abraão","-23.0067005157471",NA,NA,NA,NA,NA,"Epífita. Indivíduo apresentando botões e flores abertas","RFA51319",NA,NA,"Baker","2004","11",NA,"Rio de Janeiro","Angra dos Reis","-44.3180999755859","A.F.N. Freitas",NA,NA,NA,NA,NA,NA,"32988","auto",NA,NA,NA,NA
"20","2020-11-24 17:10:34-03","UTFPR","DVPR","85","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Amaral, HF; et al.","s.n.",NA,"Brasil","Vale do Córrego Água Fresca, entre as ruas José Oiticica e Goiás","-23.3103008270264",NA,NA,NA,NA,NA,"Planta epífita, folhas verde acizentadas, frutos amarronzados.; Margem direita do Córrego, a 50 m da rua Rajagabaglia. Em árvore morta.","DVPR000085","Magnoliophyta",NA,"Baker","2002","09","12","Paraná","Londrina","-51.1627998352051","Estevan, DA","DVPR000085",NA,NA,"2006",NA,NA,"63728","auto",NA,NA,NA,NA
"21","2020-11-24 17:10:34-03","UTFPR","DVPR","6045","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Silva, DR; Pereira, JP","343",NA,"Brasil","Limite do reservatório e a APP da UHE Baixo Iguaçu, sanguinha entre o Rio Monteiro e a Mata Scapini.","-25.3004","-25.3004","254","254",NA,NA,"Erva epífita, com aspecto decumbente de 8 cm a 12 cm. Folhas verdes. Frutos secos, verde,-opaco. Ponto 021.; Área de capoeira sobre Associação entre Latossolo e Nitossolo Vermelhos.","DVPR006045","Magnoliophyta",NA,"Baker","2018","07","04","Paraná","Capitão Leonidas Marques","-53.3942","Silva, DR",NA,"-53.3942",NA,"2018","07","24",NA,NA,NA,NA,NA,NA
"22","2021-04-08 17:44:51-03","EAO","IAN","57708","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","polytrichoides","Tillandsia polytrichoides",NA,"Lorentz, PG","128","Southern America","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,"IAN057708","Monocotiledônea",NA,"E.Morren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:51:43-03","EAO","IAN","93486","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","polytrichoides","Tillandsia polytrichoides",NA,"Glaziou, AFM","3124","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN093486","Monocotiledônea",NA,"E.Morren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:51:43-03","EAO","IAN","93486","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","polytrichoides","Tillandsia polytrichoides",NA,"Glaziou, AFM","3124","Southern America","Brasil",NA,NA,NA,NA,NA,NA,NA,NA,"IAN093486","Monocotiledônea",NA,"E.Morren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-12-04 15:26:25-03","PUCPR","HUCP","19872","S","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Kersten, RA","1346",NA,"Brasil",NA,"-23.1100006103516",NA,NA,NA,NA,NA,NA,"HUCP00004908","Monocotiledonea",NA,"Baker.","2009","01","02","São Paulo","Atibaia","-46.5499992370605","Kersten, RA","HUCP00004908",NA,NA,NA,NA,NA,"21675","auto",NA,NA,NA,NA
"26","2019-12-04 15:26:25-03","PUCPR","HUCP","24547","S","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Santos, JJS,","s.n.",NA,"Brasil",NA,"-23.5475006103516",NA,NA,NA,NA,NA,NA,"HUCP00004904","Monocotiledonea",NA,"Baker.","2015","12","01","Paraná","Mandaguari","-51.6707992553711","Kersten, RA; Lago, GB","HUCP00004904",NA,NA,NA,NA,NA,"25980","auto",NA,NA,NA,NA
"27","2019-12-04 15:26:25-03","PUCPR","HUCP","24550","S","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Santos, JJS,","s.n.",NA,"Brasil",NA,"-25.0949993133545",NA,NA,NA,NA,NA,NA,"HUCP00004852","Monocotiledonea",NA,"Baker.","2016","02","17","Paraná","Ponta Grossa","-50.1618995666504","Kersten, RA; Lago, GB","HUCP00004852",NA,NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA
"28","2021-03-02 16:28:40-03","CPAN-UFMS","COR","11891","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Damasceno-Júnior, G. A.; Maria, V. R.; Batilani, J.; Pott, A. & Velasques, J.","3660",NA,"Brasil","Fazenda Califórnia","-20.700278","20º42'1''S","500","500",NA,NA,"Epífita Habito: Epífita",NA,NA,NA,"Baker","2005","09","01","Mato Grosso do Sul","Bodoquena","-56.855278","Paggi, G.",NA,"56º51'19''W",NA,"2014","05","21",NA,NA,NA,NA,NA,NA
"29","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1174713","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Podestá A",NA,"Southern America","Argentina","Prov. Corrientes, Dep. Curuzú Cuatiá, Ayo Mocoretá.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174713 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174713",NA,"Poales","Baker","1989","09","02",NA,NA,NA,NA,"NL-U1174713",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"30","2020-02-08 10:12:29-03","NBC","NL-BOTANY","L.1426705","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Herzog T",NA,"Southern America","Bolivia","Plantae in itinere secundo per Boliviam lectae. Auf Baumasten bei Camatindi 700m.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1426705 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1426705",NA,"Poales","Baker","1910","12","01",NA,NA,NA,NA,"NL-L1426705",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"31","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1168079","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Kessler M; Gonzales J; Bach K; Acebey AC",NA,"Southern America","Bolivia","Depto. Cochabamba, Prov. Ayopaya, 21 km Cocapata-Cotacjes.","-16.766667","-16.766667",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1168079 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1168079",NA,"Poales","Baker","1997","05","16",NA,NA,"-66.733333",NA,"NL-U1168079","-66.733333",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"32","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1168080","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Kessler M; Gonzales J; Bach K; Acebey AC",NA,"Southern America","Bolivia","Depto. La Paz, Prov. Franz Tamayo, rio Bilipisa, 10km al NW de Apolo.","-14.6","-14.6",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1168080 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1168080",NA,"Poales","Baker","1997","07","04",NA,NA,"-68.45",NA,"NL-U1168080","-68.45",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"33","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1168081","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Solomon JC",NA,"Southern America","Bolivia","Province of Larecaja, Departamento of La Paz: 26 km S (above) of Consata.","-15.416667","-15.416667",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1168081 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1168081",NA,"Poales","Baker","1981","12","16",NA,NA,"-68.616667",NA,"NL-U1168081","-68.616667",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"34","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1168298","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Colaris WJJ",NA,"Southern America","Brazil","Est. S. Paulo; in grota, small moist canyon overgrown by trees, near Ubá, 100 km NW of Campinas.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1168298 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1168298",NA,"Poales","Baker","1969","05","12",NA,NA,NA,NA,"NL-U1168298",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"35","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1168299","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Leite JE",NA,"Southern America","Brazil","São Leopoldo. RGdS.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1168299 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1168299",NA,"Poales","Baker",NA,NA,NA,NA,NA,NA,NA,"NL-U1168299",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"36","2020-02-08 10:12:29-03","NBC","NL-BOTANY","U.1174712","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Petersen TM",NA,"Southern America","Argentina","Estancia 'Santa Maria'. Dep. Mburucuyá. Prov. Corrientes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1174712 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1174712",NA,"Poales","Baker","1951","12","22",NA,NA,NA,NA,"NL-U1174712",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA
"37","2020-11-04 10:55:10-03","ESALQ","ESA","133606","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Scatigna, A.V.; Correa, L. S.; Cota, M. M. T.; Gissi, D. S.; Silva, D. M.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","802.0",NA,"Brasil","Instituto de Zootecnia. Pasto próximo a fragmento de Floresta Estacional Semidecidual degradada.","-22.76017","-22.76017","553","553",NA,NA,"Erva epífita. Folhas verdes; frutos maduros. Material disponível em sílica.","ESA133606",NA,NA,"Baker","2015","06","29","São Paulo","Nova Odessa","-47.28983","Gissi, D. S.","ESA133606","-47.28983",NA,"2015","06","29",NA,NA,NA,NA,NA,NA
"38","2020-11-04 10:55:10-03","ESALQ","ESA","133045","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Orlandini, P.; Volet; Lima, K.; Mansur, A.L.; Santini-Jr., L.; Gios, B.R.; Souza, V.C.; Rodrigues, R.R.; Tamashiro, J.Y.; Ivanauskas, N.M.","95.0",NA,"Brasil","Estação Ecológica de Ibicatu. Floresta Estacional Semidecidual, próxima à área de agropecuária.","-22.77873","-22.77873","568","568",NA,NA,"Epífita.","ESA133045",NA,NA,"Baker","2015","07","02","São Paulo","Piracicaba","-47.82555","Orlandini, P.",NA,"-47.82555",NA,"2015","07","02",NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:03:57-03","ESALQ","ESA","50690","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Borges, A.C.F.",NA,NA,"Brasil",NA,"-22.7199993133545",NA,NA,NA,NA,NA,NA,"ESA050690","Magnoliophyta",NA,NA,"2004","12","09","São Paulo","Piracicaba","-47.6399993896484","Borges, A.C.F.","ESA050690",NA,NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA
"40","2020-11-04 11:03:57-03","ESALQ","ESA","124385","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Paula-Souza, J.; Ferreira, M.A.P.; Silva, R.E.R.; Franco, J.O.R.","10868.0",NA,"Brasil","Arredores da Gruta. 8,2km E (em linha reta) da sede da Fazenda Itataia. Margens de rio seco em caatinga arbórea densa.","-4.33194017410278",NA,NA,NA,NA,NA,"Epífita, frutos castanhos","ESA124385","Magnoliophyta",NA,NA,"2012","04","24","Ceará","Santa Quitéria","-40.1567001342773","Paula-Souza, J.","ESA124385",NA,NA,"2012","06","01","62463","auto",NA,NA,NA,NA
"41","2020-11-04 10:55:10-03","ESALQ","ESA","133827","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"J.S. Silva; M.F. Silveira; R.T. Queiroz; A.J.C. Silva; L.C. Garcia","654.0",NA,"Brasil","Fazenda Monte Alegre. Estrada do lobo.","-24.3239002227783","-241052",NA,NA,NA,NA,"Epífita com frutos imaturos verdes.","ESA133827",NA,NA,"Baker","2009","04","21","Paraná","Telêmaco Borba","-50.6156005859375",NA,"ESA133827","502357",NA,NA,NA,NA,"35037","auto",NA,NA,NA,NA
"42","2020-11-04 11:03:57-03","ESALQ","ESA","103874","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Paula-Souza, J.; Ferrucci, M.S.; Rando, J.G.; Meza Torres, E.I.","7814.0",NA,"Argentina","Ruta 47, ca. 6km E da ruta 68. Chaco úmido",NA,NA,"1290","1290",NA,NA,"Epífita, inflorescências castanhas","ESA103874","Magnoliophyta",NA,NA,"2007","01","25","Salta","La Viña",NA,"Schinini, A.","ESA103874",NA,NA,"2007",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 10:55:10-03","ESALQ","ESA","140917","PreservedSpecimen","Plantae","Bromeliaceae","Tillandsia","tricholepis","Tillandsia tricholepis",NA,"Andrade, R.C.; Koch, I.; Rodrigues, R.R.; Souza, V.C; Brito, A.C.S.; Cardinelli; L.S.; Le Bourlegat, J.M.G.; Zaniratto, C.P.",NA,NA,"Brasil","Complexo Guandú do Sapê, Trilha da Mata, Pista de Reação, perto do Paiol","-22.7801","-22.7801",NA,NA,NA,NA,"Epífita, 20 centímetros, fruto capsula verde acinzentada","ESA140917",NA,NA,"Baker","2017","04","25","Rio de Janeiro","Rio de Janeiro","-43.1609","Romanini, R.",NA,"-43.1609",NA,"2017","06","02",NA,NA,NA,NA,NA,NA
