"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","relatedCatalogItem","yearIdentified","monthIdentified","coordinatePrecision","geoFlag","dayIdentified","individualCount","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus"
"11","2019-08-27 13:32:19-03","IAP","PACA-AGP","8998","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1942","01","16",NA,"Brasil","RS","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: In campestribus dumetosis Fenofase: flor","PACA008998",NA,"Magnoliatae",NA,"1954","09","55856","auto","13",NA,NA,NA,NA,NA
"12","2019-08-27 13:32:19-03","IAP","PACA-AGP","104491","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","A. sehnem","Sehnem, A.","1401","1956","02","28",NA,"Brasil","RS",NA,"Vale Vêneto",NA,NA,NA,NA,NA,"Habitat: Lugar úmido. Fenofase: flor branca Hábito: erva perene","PACA104491",NA,"Magnoliatae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2019-12-04 11:51:29-03","IAP","PACA-AGP","3973","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1941","01","12",NA,"Uruguai",NA,NA,"Cuñapirú, Rivera",NA,NA,NA,NA,NA,"Habitat: In campestribus dumetosis Fenofase: flor","PACA003973",NA,"Magnoliatae",NA,"1954","09",NA,NA,"13",NA,NA,NA,NA,NA
"14","2019-08-27 13:32:19-03","IAP","PACA-AGP","8839","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1942","01","15",NA,"Brasil","RS","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: In humidis dumetosis Fenofase: flor","PACA008839",NA,"Magnoliatae",NA,"1954","09","55856","auto","13",NA,NA,NA,NA,NA
"15","2019-08-27 13:32:19-03","IAP","PACA-AGP","51845","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1952","01","14",NA,"Brasil","RS","Bom Jesus","Passo da Guarda","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Sem Material Habitat: Inn dumetosis humidis Fenofase: flor e fruto","PACA051845",NA,"Magnoliatae",NA,"1954","09","55856","auto","13",NA,NA,NA,NA,NA
"16","2019-08-27 13:32:19-03","IAP","PACA-AGP","8521","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1941","01","13",NA,"Brasil","RS","Bom Jesus","Rio dos Touros","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: In humidis dumetosis Fenofase: flor","PACA008521",NA,"Magnoliatae",NA,"1954","09","55856","auto","13",NA,NA,NA,NA,NA
"17","2019-08-27 13:32:19-03","IAP","PACA-AGP","4594","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1941","02","12",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: In campestribus humidis dumetosis Fenofase: flor","PACA004594",NA,"Magnoliatae",NA,"1954","09","55856","auto","13",NA,NA,NA,NA,NA
"18","2019-08-27 13:32:19-03","IAP","PACA-AGP","53812","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1953","02","03",NA,"Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Habitat: In humidis parce humosis Fenofase: flor e fruto","PACA053812",NA,"Magnoliatae",NA,"1954","09","55856","auto","13",NA,NA,NA,NA,NA
"19","2019-08-27 13:32:19-03","IAP","PACA-AGP","11852","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Ir. Augusto",NA,"1932",NA,NA,NA,"Brasil","RS","Caxias do Sul",NA,"-51.1794013977051","-29.1681003570557",NA,NA,NA,"Habitat: In humidis dumetosis Fenofase: flor","PACA011852",NA,"Magnoliatae",NA,"1954","09","49662","auto","13",NA,NA,NA,NA,NA
"20","2019-08-27 13:32:19-03","IAP","PACA-AGP","45708","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1950","02","07",NA,"Brasil","RS","Farroupilha","Santa Rita","-51.3478012084961","-29.2250003814697",NA,NA,NA,"Sem Material Habitat: In humidis dumetosis Fenofase: flor","PACA045708",NA,"Magnoliatae",NA,"1954","09","19545","auto","13",NA,NA,NA,NA,NA
"21","2019-08-27 13:32:19-03","IAP","PACA-AGP","61357","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Pivetta","1120","1956","02","07",NA,"Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,NA,NA,"Sem Material Habitat: In dumetosis Fenofase: flor","PACA061357",NA,"Magnoliatae",NA,"1958","10","36807","auto","01",NA,NA,NA,NA,NA
"22","2019-08-27 13:32:19-03","IAP","PACA-AGP","57905","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Pivetta","1087","1954","01","25",NA,"Brasil","RS","Ijuí","Dr. Pestana","-53.9146995544434","-28.3878002166748",NA,NA,NA,"Sem Material Habitat: In campestribus Fenofase: flor","PACA057905",NA,"Magnoliatae",NA,"1957","05","36807","auto","12",NA,NA,NA,NA,NA
"23","2019-08-27 13:32:19-03","IAP","PACA-AGP","82051","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","A. Sehnem","Sehnem, A.",NA,"1963","01","17",NA,"Brasil","RS","São Francisco de Paula","Taimbé","-50.5835990905762","-29.4480991363525",NA,NA,NA,"ASSL 8151 Habitat: Herba in dumetosis humidis","PACA082051",NA,"Magnoliatae",NA,NA,NA,"76715","auto",NA,NA,NA,NA,NA,NA
"24","2019-08-27 13:32:19-03","IAP","PACA-AGP","56812","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1955","02","16",NA,"Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,"Sem Material Habitat: Im ipso barathro Fenofase: flor e fruto","PACA056812",NA,"Magnoliatae",NA,"1955","04","76715","auto","03",NA,NA,NA,NA,NA
"25","2019-08-27 13:32:19-03","IAP","PACA-AGP","7658","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","F. Theissen SJ",NA,"1907",NA,NA,NA,"Brasil","RS","São Leopoldo",NA,"-51.1472015380859","-29.7602996826172",NA,NA,NA,"Habitat: In humidis dumetosis Fenofase: flor","PACA007658",NA,"Magnoliatae",NA,"1954","09","10287","auto","13",NA,NA,NA,NA,NA
"26","2019-08-27 13:32:19-03","IAP","PACA-AGP","9961","PreservedSpecimen","Plantae","Magnoliophyta","Rubiales","Rubiaceae","Diodia","cymosa","Diodia cymosa","Cham.","Emrich-Rambo","Rambo, B.",NA,"1942","01","30",NA,"Brasil","RS","Tupanciretã","Ijuizinho","-53.8358001708984","-29.0806007385254",NA,NA,NA,"Habitat: In humidis dumetosis Fenofase: flor","PACA009961",NA,"Magnoliatae",NA,"1954","09","59498","auto","13",NA,NA,NA,NA,NA
