"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","870831","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","L. O. Williams","8024","1945","07","19","South America","Brazil","Minas Gerais","Belo Horizonte","Acaba Mundo, near Belo Horizonte.","-43.9378","-19.9208","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121094' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870831","NY00870831_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","870824","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","E. P. Heringer","1867","1979","07","17","South America","Brazil","Distrito Federal","Brasília","Parque Nacional de Aguas Emendadas","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121061' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870824","NY00870824_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","870821","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","H. S. Irwin","15126","1966","04","20","South America","Brazil","Goiás","Formosa","Serra do Morcêgo, Côrrego Estrema, ca. 35 km N.E. of Formosa.","-47.1025","-15.30964","800","800","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120843' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870821","NY00870821_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","504759","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","L. B. Smith","L. B. Smith","15011","1965","02","10","South America","Brazil","Paraná","Foz do Iguaçu","Falls of Iguaçu","-54.43","-25.7",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247491' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504759","NY00504759_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","870823","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Kew Herbarium","H. S. Irwin","34911","1972","01","23","South America","Brazil","Goiás","Niquelândia","Ca. 17 km S. of Niquelândia","-48.45","-14.60365","750","750","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120847' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870823","NY00870823_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","870812","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Kew Herbarium","H. S. Irwin","15899","1966","05","18","South America","Brazil","Distrito Federal","Brasília","Immediately south of Brasília","-47.9167","-15.79234","975","975","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120818' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870812","NY00870812_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","870829","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","A. C. Allem","A. C. Allem","632","1976","12","24","South America","Brazil","Distrito Federal","Brasília","Córrego da Vargem Bonita.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121090' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870829","NY00870829_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","01081321","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","W. Punt; J. C. Lindeman","J. C. Lindeman","1790","1966","06","27","South America","Brazil","Paraná",NA,"Pôrto Byington; levee of Rio Paraná",NA,NA,"180","180","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1224926' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081321","NY01081321_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","504707","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","R. P. Belém","3261","1967","02","01","South America","Brazil","Bahia","Belmonte","Belmonte. Plantaçao de cacau","-38.88","-15.86",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=591206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504707","NY00504707_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","870837","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"A. F. C. P. Saint-Hilaire","s.n.","1816",NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121228' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870837","NY00870837_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","719852","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"F. Búgola-Silva","8199","2008","06","05","South America","Brazil","São Paulo","Santo André","Parque Andreense, Clube Campista da Mercedes","-46.461047","-23.783147",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2520747' target='other'> <mi>dwc_moreinfo</mi></a>","NY00719852","NY00719852_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2017-02-01 13:19:00-02","NY","NYBG","504762","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana",NA,NA,"C. E. Benítez de Rojas","4893","1993","06","02","South America","Venezuela","Portuguesa","San Genaro de Boconoito","Las Panelas",NA,NA,"100","100","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247493' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504762",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","504760","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","M. Kuhlmann","M. Kuhlmann","1205","1942","05","09","South America","Brazil","São Paulo","Socorro","Margem do Rio do Peixe, entre Lindoia e Socorro","-46.52","-22.5903",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247489' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504760","NY00504760_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","870840","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"J. M. Pires","9238","1963","04","18","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121245' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870840","NY00870840_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","870834","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","G. L. Webster","W. R. Anderson","7378","1973","03","18","South America","Brazil","Goiás","Teresina de Goiás","Chapada dos Veadeiros, 4 km by road S of Terezina.","-47.2647","-13.81255","1000","1000","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121212' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870834","NY00870834_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","870843","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"F. C. Hoehne","s.n.","1927","05","01","South America","Brazil","Minas Gerais",NA,"Pouso Alegre",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121254' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870843","NY00870843_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","380608","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana genuinus","Müll.Arg.",NA,"J. F. Widgren","341","1845",NA,NA,"South America","Brazil","Minas Gerais",NA,"Ad Duro Branco, in paludosis [=In paludosis ad Ouro Branco, Minas Gerais]",NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=398996' target='other'> <mi>dwc_moreinfo</mi></a>","NY00380608","NY00380608_01","genuinus","syntype",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","870832","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"D. Philcox","4031","1968","01","14","South America","Brazil","Goiás","Aragarças","Km 16 N. of Aragarças on Xavantina road.","-52.25","-15.85",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870832","NY00870832_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","870842","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"J. A. Ratter","R4007","1976","12","12","South America","Brazil","Goiás","Padre Bernardo","Fazenda Lagoa Santa.","-48.58","-15.5",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121253' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870842","NY00870842_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","1281024","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","G. L. Webster","F. C. Hoehne","1371","1918","01","25","South America","Brazil","São Paulo","Sao Paulo","Butantan","-46.724373","-23.565521",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1660078' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281024","NY01281024_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","870825","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","E. P. Heringer","2771","1979","11","20","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121063' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870825","NY00870825_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","504758","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","L. B. Smith; S. F. Smith","G. G. Hatschbach","13369","1965","12","15","South America","Brazil","Paraná","Foz do Iguaçu","Cataratas do Iguacu (Foz do Iguacu)","-54.5881","-25.5481",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247484' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504758","NY00504758_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","870826","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","E. P. Heringer","3034","1980","01","04","South America","Brazil","Distrito Federal","Brasília","Bacia do Rio São Bartolomeu.","-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121066' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870826","NY00870826_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","02431400","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"F. Sellow","2117",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2969022' target='other'> <mi>dwc_moreinfo</mi></a>","NY02431400","NY02431400_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","870813","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Kew Herbarium","H. S. Irwin","21417","1968","03","19","South America","Brazil","Tocantins","Guaraí","Ca. 2 km S. of Guará.","-48.52","-8.85","550","550","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120821' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870813","NY00870813_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","870830","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"L. O. Williams","5256","1945","02",NA,"South America","Brazil","Minas Gerais","Betim","Fazenda do Cabuí, near Contagem.","-44.1981","-19.9681","900","900","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121091' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870830","NY00870830_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","02694712","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"L. Nusbaumer","4530","2014","12","07","South America","Brazil","Alagoas","Quebrangulo","Reserva Biológica da Pedra Talhada. localité de Quebrangulo","-36.406073","-9.255808","600",NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2952181' target='other'> <mi>dwc_moreinfo</mi></a>","NY02694712","NY02694712_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","840267","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","S. R. King","S. R. King","775","1987","07","26","South America","Paraguay",NA,NA,"Urucurana, Ypane River","-57.25","-22.75",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247492' target='other'> <mi>dwc_moreinfo</mi></a>","NY00840267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","870814","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","Kew Herbarium","H. S. Irwin","19746","1968","02","10","South America","Brazil","Minas Gerais",NA,"Serra do Itabirito, ca. 50 km S.E. of Belo Horizonte.","-43.73","-20.28","1500","1500","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1120823' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870814","NY00870814_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","1281023","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","G. L. Webster","P. E. Gibbs","4345","1977","02","02","South America","Brazil","São Paulo","Moji-Guaçu","25 km NW de Mogi-Guaçú. Estaçao Experimental de Mogi-Guaçú (Fazenda Campininha)","-47.164784","-22.242395",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1660083' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281023","NY01281023_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","504757","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","A. Radcliffe-Smith","R. M. Harley","17436","1974","03","26","South America","Brazil","Bahia","Belmonte","Belmonte, on SW outskirts of town","-38.88","-15.87",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247485' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504757","NY00504757_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","870827","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.","R. Riina","E. P. Heringer","16589b","1976","07","20","South America","Brazil","Distrito Federal","Brasília",NA,"-47.9294","-15.7797",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1121068' target='other'> <mi>dwc_moreinfo</mi></a>","NY00870827","NY00870827_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-27 14:02:00-03","NY","NYBG","504764","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana",NA,"N. M. Bacigalupo","F. Biganzoli","1579","1997","12","07","South America","Argentina","Corrientes","Santo Tome","Garruchos, Puerto de Garruchos","-55.68","-28.15",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=247487' target='other'> <mi>dwc_moreinfo</mi></a>","NY00504764",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-15 16:37:00-03","NY","NYBG","1281025","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Euphorbiaceae","Croton","urucurana","Croton urucurana","Baill.",NA,"A. F. M. Glaziou","s.n.",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1660085' target='other'> <mi>dwc_moreinfo</mi></a>","NY01281025","NY01281025_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
