"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","class","verbatimLongitude","verbatimLatitude","relatedCatalogItem","fieldNumber","minimumElevationInMeters","individualCount","maximumElevationInMeters","previousCatalogNumber","sex"
"13","2015-09-05 11:44:02-03","MNHN","RECOLNAT_MNHN_P","P06753441","PreservedSpecimen",NA,NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Croat, T.B.",NA,"1972","8","21",NA,"Peru",NA,NA,"Peru, Department of Loreto, Varadero de Mazan from Rio Amazonas to Rio Napo. Peru",NA,NA,"hb",". . <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p06753441' target='other'> <mi>dwc_moreinfo</mi></a>","P06753441","P06753441_01",NA,NA,NA,NA,NA,NA,NA,NA,"19378",NA,NA,NA,NA,NA
"14","2014-04-04 05:47:00-03","MO","MOBOT","705346","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Rodolfo Vásquez|Rosa Ortiz|Nestor Jaramillo","Vásquez Martínez 14097","1990","7","11","South America","Peru","Loreto","Maynas","Indiana, Reserva Explorama. Quebrada de Yanamono (Río Amazonas). Bosque de restinga.","-72.8333333","-2.4666667",NA,NA,NA,NA,"Vazquez Avila (SI)",NA,NA,NA,NA,NA,NA,NA,"224","106.00000000","8",NA,NA,NA
"15","2020-02-01 04:34:00-03","MO","MOBOT","100801464","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Rocío Rojas|Gregorio Ortiz","Rojas Gonzáles 8908","2013","1","30","South America","Peru","Pasco","Oxapampa","Distrito Oxapampa. Comunidad Nativa Alto Lagarto-Convento (Reserva Comunal Yanesha).","-75.3683334","-10.1344444",NA,NA,NA,NA,"F. Ramírez",NA,NA,NA,NA,NA,NA,NA,"49","500.00000000","4",NA,NA,NA
"16","2014-11-15 05:40:00-02","MO","MOBOT","1351318","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Nigel Pitman|T. Omehuai|Tom Delinks","Pitman 4341","1998","9",NA,"South America","Ecuador","Napo","Aguarico","Huaorani Ethnic Reserve. Km 99 of the Maxus/YPF pipeline road, vicinity of the Dicaro community. Occasionally flooded forest along the Río Dicaro.","-76.2","-0.93333",NA,NA,NA,NA,"N. Pitman",NA,NA,NA,NA,NA,NA,NA,NA,"250.00000000",NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1790748","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"J. Balcázar","Balcázar S. 1891","2000","6","17","South America","Bolivia","Pando",NA,NA,"-66.15","-10.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"120.00000000",NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","703505","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Edgar Gudiño|Papa, Salvador","Gudiño Jara 1886","1992","11","4","South America","Ecuador","Napo","La Joya de los Sachas","Pompeya. Camino vecinal suroeste de la Comunidad de Pompeya; planicie de bosque secundario. Bosque húmedo Tropical.","-76.61666","-0.41666",NA,NA,NA,NA,"M. Vasquez Avila (SI)",NA,NA,NA,NA,NA,NA,NA,"92-19","250.00000000","10",NA,NA,NA
"19","2008-05-27 22:02:00-03","MO","MOBOT","704155","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Walter A. Palacios","Palacios Cuenca 4811","1990","3","20","South America","Ecuador","Napo",NA,"Cantón Orellana. Carretera Payamino-Loreto, km 20. Bosque muy húmedo Tropical. Potrero sobre suelos rojos de colinas. Arboles en potrero.","-77.16666","-0.41666",NA,NA,NA,NA,"C.C. Berg (BG)",NA,NA,NA,NA,NA,NA,NA,"90-6","250.00000000","5",NA,NA,NA
"20","2008-11-18 17:31:00-02","MO","MOBOT","705706","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Thomas B. Croat","Croat 19108","1972","8","12","South America","Peru","Loreto",NA,"Along road to Santo Thomas, S of Iquitos.","-73.3444444","-3.7972222",NA,NA,NA,NA,"M. Vasquez-Avila (SI)",NA,NA,NA,NA,NA,NA,NA,"282",NA,"38",NA,NA,NA
"21","2019-01-24 11:04:00-02","MO","MOBOT","705751","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Thomas B. Croat","Croat 19378","1972","8","21","South America","Peru","Loreto",NA,"Varadero de Mazan from Río Amazonas to Río Napo; primary forest.","-73.1","-3.4833333",NA,NA,NA,NA,"M. Vasquez-Avila (SI)",NA,NA,NA,NA,NA,NA,NA,"289",NA,"34",NA,NA,NA
"22","2008-05-27 22:02:00-03","MO","MOBOT","706882","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"O. L. Phillips|et al.","Phillips 406","1989","6","18","South America","Peru","Madre de Dios","Tambopata","Cusco Amazonico. Plants from Biodiversity Project Site (mature floodplain).","-69.05","-12.08333",NA,NA,NA,NA,"C.C. Berg",NA,NA,NA,NA,NA,NA,NA,"38","200.00000000","3",NA,NA,NA
"23","2014-04-04 05:47:00-03","MO","MOBOT","707306","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Rodolfo Vásquez|Nestor Jaramillo","Vásquez Martínez 8331","1986","11","15","South America","Peru","Loreto","Maynas","Dtto. Iquitos. Buena Suerte (Río Itaya). Bosque transicional.","-73.5","-4.16666",NA,NA,NA,NA,"Vasquez Avila (SI)",NA,NA,NA,NA,NA,NA,NA,"86-59","130.00000000","6",NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","710089","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Carlos E. Cerón|Miguel Cerón","Cerón Martínez 4701","1988","8","24","South America","Ecuador","Napo",NA,"Estación Biológica Jatun Sacha. Bosque muy húmedo Tropical. Bosque primario y potrero.","-77.6","-1.06666",NA,NA,NA,NA,"M. Vasquez Avila (SI)",NA,NA,NA,NA,NA,NA,NA,"88-18","450.00000000","7",NA,NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","1790144","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.","Isotype","Boris A. Krukoff","Krukoff 5686","1933","8","29","South America","Brazil","Acre",NA,"Basin of Rio Purus. Territory of Acre. Near mouth of Rio Macauhan (tributary of Rio Yaco). On terra firma.","-69","-9.33333",NA,NA,NA,NA,"M. Vazquez Avila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-10-13 05:57:00-03","MO","MOBOT","712418","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"David A. Neill","Neill 9885","1991","7","2","South America","Ecuador","Napo","Tena","Jatun Sacha Biological Station. Río Napo, 8 km east of Misahuallí. Tropical Wet Forest.","-77.6","-1.06666",NA,NA,NA,NA,"M. Vázquez Avila (SI)",NA,NA,NA,NA,NA,NA,NA,"91-16","400.00000000","7",NA,NA,NA
"27","2008-05-27 22:02:00-03","MO","MOBOT","810843","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Santiago Tunqui","Tunqui 127","1979","11","20","South America","Peru","Amazonas","Condorcanqui","Rio Santiago. Mas abajo de la comunidad de Caterpiza, cerca de la boca, 10 vueltas a la quebrada.","-77.66666","-3.83333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6","180.00000000","3",NA,NA,NA
"28","2020-08-31 09:17:11-03","INPA","INPA","285459","S","Plantae","Dicotyledon Rosids","Rosales","Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"Forzza, RC","9698","2018","05","13","Southern America","Brasil","Mato Grosso","Cotriguaçu","Parque Nacional do Juruena, Salto Augusto.","-58.556389","-8.882778",NA,NA,"INPA0285459",NA,"Pederneiras, LC","2019","05",NA,NA,"-58.556389","-8.882778",NA,NA,"170",NA,"170",NA,NA
"29","2020-09-12 05:00:02-03","US","US","USw9727","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"B. A. Krukoff","5686",NA,NA,NA,"South America - Neotropics","Brazil","Acre",NA,"Near mouth of Rio Macauhan, basin of Rio Purus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","2576750","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Ficus","ursina","Ficus ursina","Standl.",NA,"G. T. Prance, N. T. Silva & J. M. Pires","59114","1964","9","25","South America - Neotropics","Brazil","Mato Grosso",NA,"Vicinity of Chavantia. Margins of Rio Mortes",NA,NA,NA,NA,"US01334410","US01334410_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","1664206","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Ficus","ursina","Ficus ursina","Standl.","Isotype","B. A. Krukoff","5686","1933","8","29","South America - Neotropics","Brazil","Acre",NA,"Near mouth of Rio Macauhan.",NA,NA,NA,NA,"US00090287","US00090287_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"32","2020-09-12 05:00:02-03","US","US","1664207","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Ficus","ursina","Ficus ursina","Standl.","Isotype","B. A. Krukoff","5686",NA,NA,NA,"South America - Neotropics","Brazil","Acre",NA,"Near mouth of Rio Macauhan (tributary of Rio Yaco).","-69","-9.33",NA,"Sheet 2 [cf. USNH 1664206] has been obscured on label.","US01094891","US01094891_01",NA,NA,NA,NA,"Dicotyledonae",NA,NA,NA,NA,NA,"1",NA,NA,NA
"33","2019-06-11 12:31:57-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,NA,"T. B. Croat","19108","1972","8","12","South America","Peru","Loreto",NA,NA,"-75","-4",NA,NA,NA,NA,"RRC ID Flag",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"19108",NA,NA,NA,NA,NA
"34","2018-05-14 16:00:58-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,NA,"Rod. Vasquez","8331","1986","11","15","South America","Peru","Loreto",NA,NA,"-75","-4",NA,NA,NA,NA,"RRC ID Flag",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"8331",NA,NA,NA,NA,NA
"35","2019-06-11 13:02:09-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,NA,"Ll. Williams","4702",NA,NA,NA,"South America","Peru","Loreto",NA,NA,"-75","-4",NA,NA,NA,NA,"RRC ID Flag",NA,NA,NA,"Dicotyledoneae",NA,NA,NA,"4702",NA,NA,NA,NA,NA
"36","2019-09-04 19:46:46-03","F","FMNH-SEEDPLANTS","V0064516F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,"Holotype","B. A. Krukoff","5686","1933","8","29","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0064516F","V0064516F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-01-22 20:18:00-02","F","FMNH-SEEDPLANTS","V0064517F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,"Holotype","B. A. Krukoff","5686","1933","8","29","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0064517F","V0064517F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2015-03-07 08:26:33-03","F","FMNH-SEEDPLANTS","V0225298F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,NA,NA,NA,NA,NA,NA,"South America","Peru",NA,NA,NA,"-74.14","-9.1839",NA,NA,"V0225298F","V0225298F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2015-03-07 09:12:08-03","F","FMNH-SEEDPLANTS","V0228628F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,NA,NA,NA,NA,NA,NA,"South America","Peru",NA,NA,NA,"-74.14","-9.1839",NA,NA,"V0228628F","V0228628F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-03-07 09:12:08-03","F","FMNH-SEEDPLANTS","V0228629F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,NA,NA,NA,NA,NA,NA,"South America","Peru",NA,NA,NA,"-74.14","-9.1839",NA,NA,"V0228629F","V0228629F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2015-03-07 09:12:08-03","F","FMNH-SEEDPLANTS","V0228630F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Moraceae","Ficus","ursina","Ficus ursina",NA,NA,NA,NA,NA,NA,NA,"South America","Peru",NA,NA,NA,"-74.14","-9.1839",NA,NA,"V0228630F","V0228630F_01",NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2016-08-23 10:59:56-03","NHMLondon","NHM-LONDON-BOT","BM000993308","S","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.","Type","Boris Alexander Krukoff; b.1898; d.1983; Krukoff","5686","1933","08","29",NA,"Brasil","Acre",NA,NA,NA,NA,NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/2964b3388edeb9e1b311128029e3fb857aa26e2b/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:545126",NA
"43","2020-09-18 09:34:11-03","UFAC","UFACPZ","17107","PreservedSpecimen","Plantae",NA,"Urticales","Moraceae","Ficus","ursina","Ficus ursina","(Pittier) C.C.Berg",NA,"Barbosa, SB","15","1989","09",NA,NA,"Brasil","Acre",NA,NA,NA,NA,NA,NA,"UFACPZ017107",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2010-08-16 16:42:32-03","A","HU-HERB","A 00034541","PreservedSpecimen","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standley","Isotype","B. A. Krukoff","5686","1933","8","29","South America","Brazil","Acre",NA,"Near mouth of Rio Macauhan (tributary of Rio Yacu) 9°20'S, 69°W",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5686",NA,NA,NA,NA,"undetermined"
"45","2014-09-23 10:58:50-03","G","G","G00438314","S","Plantae",NA,NA,"Moraceae","Ficus","ursina","Ficus ursina","Standl.","ISOTYPUS of Ficus ursina Standl.","Krukoff, B. A.","5686","1933","08","29","AMERIQUE DU SUD","Brazil","Acre",NA,NA,"-70.3225","-9.62305556",NA,"Coordinate uncertainty: Precision at the level of departement/region Image URL: No picture available on the institution's web site","G00438314",NA,"?",NA,NA,NA,NA,"-70.3225","-9.62305556",NA,NA,NA,NA,NA,NA,NA
