"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","typeStatus","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","coordinatePrecision","geoFlag","class","individualCount","relatedCatalogItem"
"11","2019-10-09 11:09:39-03","UFBA","ALCB","048827","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Bautista, HP","Pereira, A; Bautista, HP; Orlandi, RP","PCD339","1994","07","30","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41.447222","-12.453611","1000","1000",NA,"folhas simples, membranáceas, discolores, bordos vináceos. Flores lilás.; Vegetação rupícola em patamar rochoso. Afloramento rochoso de arenito.",NA,NA,NA,"1997","04","-41.447222","-12.453611","10",NA,NA,NA,NA,NA
"12","2019-10-09 11:09:39-03","UFBA","ALCB","127368","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Calvo, J","Calvo, J","7398","2017","02","10","Southern America","Brasil","Bahia","Palmeiras","morro do Pai Inácio","-41.470278","-12.453611","980","980",NA,"base of cliff, shrubby vegetation","ALCB044080","ALCB044080 ALCB044080_1",NA,"2017","02","-41.470278","-12.453611",NA,NA,NA,NA,NA,NA
"13","2019-10-09 11:09:39-03","UFBA","ALCB","62354","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Roque, N","Silva-Pereira, V; Smidt, EC","33","2002","08","09","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Serra dos Brejões","-41.466667","-12.45","900","900",NA,"Folhas pilosas. Flor rosa-clara.",NA,NA,NA,"2003","09","-41.466667","-12.45",NA,NA,NA,NA,NA,NA
"14","2019-10-09 11:09:39-03","UFBA","ALCB",NA,"PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Roque, N","Silva-Pereira, V; Smidt, EC","33","2002","08","09","Southern America","Brasil","Bahia","Palmeiras","Chapada Diamantina, Serra dos Brejões. Capada Diamantina","-41.55","-12.516667","900","900",NA,"Folhas pilosas. Flor rosa-clara.",NA,NA,NA,"2003","09","-41.55","-12.516667",NA,NA,NA,NA,NA,NA
"15","2019-10-09 11:09:39-03","UFBA","ALCB","048824","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Hind, DJN","Hind, DJN; Smith, S; Harley, RM; Giulietti, AM; Bautista, HP","PCD&nf;3476","1996","07","08","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Serra da Chapadinha","-41","-12",NA,NA,NA,"2,0 m, totalmente tomentosa, caule pegajoso, caule e ramos verdes. Folhas discolores, face adaxial verde-clara, abaxial verde acinzentada. Inflorescência com filárias verde-clara, corola lilás; estilete com ramo alvo. Ocasional.; Afloramentos rochoso",NA,NA,NA,"1996","07","-41","-12",NA,NA,NA,NA,NA,NA
"16","2019-10-09 11:09:39-03","UFBA","ALCB","04503","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Bautista, HP","Noblick, LR","1381","1979","06","29","Southern America","Brasil","Bahia","Lençóis","Chapada Diamantina, Vale da Cachoeira Glass","-41.3899993896484","-12.563099861145",NA,NA,NA,"1,5 m. Flores rosas.; Rio Capivara.",NA,NA,NA,"1997","10",NA,NA,NA,"47385","auto",NA,NA,NA
"17","2019-10-09 11:09:39-03","UFBA","ALCB","127990","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Bautista, HP; Ortiz, S","Bautista, HP; Ortiz, S","2919","1998","10","01","Southern America","Brasil","Bahia","Palmeiras","Morro do Pai Inácio.","-41.5588989257812","-12.5289001464844",NA,NA,NA,"Até 3 m. Flores cor de rosa. Frequente.; Campo Rupestre.","ALCB045097","ALCB045097",NA,"1998","10",NA,NA,NA,"20767","auto",NA,NA,NA
"18","2020-02-08 08:47:31-03","NBC","NL-BOTANY","U.1125762","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.",NA,"Harley RM; et al.",NA,"1980","05","22","Southern America","Brazil",NA,NA,"Estado Da Bahia, Serras dos Lencois, Serra do Brejao ca. 14 km N.W. of Lencois, Municipio de Lencois.","-41.45","-12.45",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1125762 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1125762","NL-U1125762",NA,NA,NA,"-41.45","-12.45",NA,NA,NA,"Magnoliopsidae",NA,NA
"19","2020-11-04 11:00:56-03","ESALQ","ESA","24385","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Hind, N.","Souza, V.C. et al.","5221.0","1994","02","13",NA,"Brasil","Bahia","Palmeiras",NA,"-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,"ESA024385","ESA024385",NA,NA,NA,NA,NA,NA,"20767","auto",NA,NA,NA
"20","2020-11-04 11:00:56-03","ESALQ","ESA","24461","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H.Rob.","Hind, N.","Souza, V.C. et al.","5221.0","1994","02","13",NA,"Brasil","Bahia","Palmeiras",NA,"-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,"ESA024461","ESA024461",NA,NA,NA,NA,NA,NA,"20767","auto",NA,NA,NA
"21","2019-02-15 11:33:40-02","IPA","IPA","49656","S","Plantae","Plantae",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H. Rob","Jeffrey, C.","Harley, R.M.","22386","1980","05","22","Southern America","Brasil","Bahia",NA,"Serras dos Lençois, Serra do Brejão ca. 14 Km. N.W. of Lençois. Western face sandstone serra with horizontally bedded rocks. Extensive grassland and marsh on lower slopes and small streams with low woodland. Rock outorops at higher altitudes, with hu","-41.45","-12.45","700","1000",NA,"Woolly shrub to 1,5 m with few spreading branches. Phyllaries pale green. Florets pink.","IPA0049656",NA,NA,NA,NA,"-41.45","-12.45",NA,NA,NA,NA,NA,NA
"22","2019-02-15 11:33:40-02","IPA","IPA","80647","S","Plantae","Plantae",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H. Rob","Bautista, H.P.","Bautista, H.P.; Ortiz, S.; Ortiz, S.","2924","1998","10","01","Southern America","Brasil","Bahia","Lençóis","Morro do Pai Inácio.","-41.3899993896484","-12.563099861145",NA,NA,NA,"Arbusto, frequente.; Campo rupestre.","IPA0080647",NA,NA,"1998",NA,NA,NA,NA,"47385","auto",NA,NA,NA
"23","2019-02-15 11:33:40-02","IPA","IPA","80655","S","Plantae","Plantae",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M.King & H. Rob","Bautista, H.P.","Bautista, H.P.","2919","1998","10","01","Southern America","Brasil","Bahia","Palmeiras","Morro do Pai Inácio.","-41.5588989257812","-12.5289001464844",NA,NA,NA,"Arbusto, até árvore ca. 3m de altura, flores cor de rosa. Frequente.; Campo rupestre.","IPA0080655","IPA0080655",NA,"1998","10",NA,NA,NA,"20767","auto",NA,NA,NA
"24","2021-03-21 19:32:45-03","UFC","EAC","38656","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","Quaresma, A.S.","Silveira, E.R.","s.n.","2006","02","12","Southern America","Brasil","Bahia","Andaraí","Topo do Morro de Orações - Chapada Diamantina.","-41.3314018249512","-12.8072004318237",NA,NA,NA,"Arbusto, folha aveludada, flor branca-rósea.","EAC0038656","EAC0038656",NA,"2014","04",NA,NA,"11","58558","auto",NA,NA,NA
"25","2020-12-21 16:13:58-03","MBM","MBM","345890","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M. King & H.Rob.","Bautista, H.P.; et al.","Bautista, H.P.; et al.; et al.","2919","1998","10","01","Southern America","Brazil","Bahia","Palmeiras","Morro do Pai Inácio.","-41.5588989257812","-12.5289001464844",NA,NA,NA,"Arbusto, até árvore de 3m de altura, flores cro-se-rosa. Frequente. Campo rupestre.","MBM345890","MBM345890",NA,"1998","10",NA,NA,NA,"20767","auto",NA,NA,NA
"26","2021-02-11 17:17:58-03","UFPR","UPCB","93684","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","((Soares Nunes) R. M.","Bautista, H. P.","Melo, E. | Funch, L. | Santos, E. S. | Paraguasu, A. | Silva, M. P.","1262","1994","11","23",NA,"Brasil","Bahia","Lençois","Chapada Diamantina: Serra DA Chapadinha, divisa com Brejões.","-41.45","-12.433333","750","750",NA,"Arvore, 1,50m. Folhas simples, discolores, pegajosas. Inflorescencia com bracteas involucrais verdfes, capitulos, com flores lalases, estigm branco. Ocasional","UPCB0040014","UPCB0040014",NA,"1999","05","-41.450000","-12.433333","20",NA,NA,NA,NA,NA
"27","2020-03-29 19:39:00-03","MO","MOBOT","3273074","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soares Nunes) R.M. King & H. Rob.","Hind x/","Vinicius C. Souza|Paulo T. Sano|S. Atkins|R.M. Harley|C. M. Sakuragui","Souza 5221","1994","2","13","South America","Brazil","Bahia",NA,"Palmeiras. Morro de Pai Inacio. Campo rupestre","-41.4777778","-12.4569444","1100.00000000","1200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA
"28","2020-09-12 05:00:02-03","US","US","2901136","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"R. M. Harley, G. Bromely, A. M. Caravalho, J. M. Soares Nunes & et al.","22386","1980","5","22","South America - Neotropics","Brazil","Bahia",NA,"Brazil: Estado da Bahia. Serras dos Lencois, Serra do Brejao ca. 14 km of Lencois. Municipio de Lencois.","-41.45","-12.45","700","1000",NA,NA,"US01644378","US01644378_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"29","2020-09-12 05:00:02-03","US","US","3370636","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"E. Melo, F. França, S. Oliveira, T. Sena & et al.","1262","1994","11","23","South America - Neotropics","Brazil","Bahia",NA,"Brasil, Bahia, Mun. Lencois, Morro da Chapadinho, Chapadinha.","-41.4528","-12.4567","1000",NA,NA,NA,"US01644379","US01644379_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"30","2020-09-12 05:00:02-03","US","US","2904746","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"S. A. Mori","13311","1980","2","29","South America - Neotropics","Brazil","Bahia",NA,"Bahia, Brasil, Municipio de Palmeiras. Pai Inacio BR 242, km 232, cerca de 15 km ao NE de Palmeiras.",NA,NA,"1000","1200",NA,NA,"US01644381","US01644381_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"31","2020-09-12 05:00:02-03","US","US","3370614","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"V. C. Souza, P. T. Sano, S. Atkins, R. M. Harley & C. M. Sakuragui","15532",NA,NA,NA,"South America - Neotropics","Brazil","Bahia",NA,"Bahia: Palmeiras. Morro do Pai Inacio.",NA,NA,"1100","1200",NA,NA,"US01644376","US01644376_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"32","2020-09-12 05:00:02-03","US","US","2948390","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"S. A. Mori & B. M. Boom","14374","1981","6","12","South America - Neotropics","Brazil","Bahia",NA,"Bahia: Municipality of Palmeiras, Pai Inacio, BR242, W of Lencois at km 232.",NA,NA,NA,NA,NA,NA,"US01644377","US01644377_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"33","2020-09-12 05:00:02-03","US","US","3370607","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"M. L. Guedes, R. Orlandi, M. Stradmann & A. Poveda","598","1994","8","30","South America - Neotropics","Brazil","Bahia",NA,"Brasil, Bahia, Mun. Palmeiras. Pai, Inacio, lado oposto da torre de repetocao.","-41.4722","-12.45","1090",NA,NA,NA,"US01644382","US01644382_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"34","2020-09-12 05:00:02-03","US","US","3711412","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"J. Calvo","7398","2017","2","10","South America - Neotropics","Brazil","Bahia",NA,"Palmeiras, Morro do Pai Inácio.","-41.4703","-12.4536","980",NA,NA,NA,"US03066835","US03066835_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"35","2020-09-12 05:00:02-03","US","US","3370637","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar. Nunes) R.M. King & H. Rob.",NA,"A. Pereira, M. L. Guedes & H. P. Bautista","0339","1994","7","30","South America - Neotropics","Brazil","Bahia",NA,"Brasil, Bahia, Mun. Lencois, Morro da Chapadinho, Chapadinha.","-41.4472","-12.4536","1000",NA,NA,NA,"US01644380","US01644380_01",NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledonae","1",NA
"36","2020-09-12 05:00:02-03","US","US","2921990","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Ageratum","connatifolium","Ageratum connatifolium","Soar. Nunes",NA,"S. A. Mori & F. P. Benton","13221","1979","12","24","South America - Neotropics","Brazil","Bahia","Palmeiras","Pai Inacio.","-41.5588989257812","-12.5289001464844","1","1",NA,NA,"US00145849","US00145849_01","Isotype",NA,NA,NA,NA,NA,"20767","auto","Dicotyledonae","1",NA
"37","2019-10-07 09:11:00-03","UEFS","HUEFS","163102","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","A.S.Quaresma","Funch, R.","9","2004","03","12",NA,"Brasil","Bahia","Lençóis","Fazenda Salobrinho","-41.383333","-12.533333",NA,NA,NA,NA,"HUEFS0163102","HUEFS0163102",NA,"2012","10","41W23'","12S32'",NA,NA,NA,"Asteranae",NA,NA
"38","2019-10-07 09:11:00-03","UEFS","HUEFS","21587","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","H.P.Bautista","Melo, E.","PCD1262","1994","11","23",NA,"Brasil","Bahia","Lençóis","Morro da Chapadinha.","-41.45","-12.45","1000","1000",NA,"Vegetação de campo rupestre sobre rochas. Afloramentos rochosos.","HUEFS0021587","HUEFS0021587",NA,"1998","11","41W27'","12S27'",NA,NA,NA,"Asteranae",NA,NA
"39","2019-10-07 09:11:00-03","UEFS","HUEFS","21589","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","H.P.Bautista","Pereira, A.","PCD339","1994","07","30",NA,"Brasil","Bahia","Lençóis","Serra da Chapadinha.","-41.433333","-12.45","1000","1000",NA,"Vegetação rupícola em patamar rochoso. Afloramento rochoso de arenito.","HUEFS0021589","HUEFS0021589",NA,"1998","11","41W26'","12S27'",NA,NA,NA,"Asteranae",NA,NA
"40","2019-10-07 09:11:00-03","UEFS","HUEFS","67867","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","N.Roque","Silva-Pereira, V.","11","2001","06","26",NA,"Brasil","Bahia","Palmeiras","Serra dos Brejões.","-41.465556","-12.458333",NA,NA,NA,"Campo rupestre.","HUEFS0067867","HUEFS0067867",NA,"2003","01","41W27'56''","12S27'30''",NA,NA,NA,"Asteranae",NA,NA
"41","2019-10-07 09:11:00-03","UEFS","HUEFS","94569","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.","E.C.Oliveira","Conceição, A.A.","1307","2005","04","17",NA,"Brasil","Bahia","Mucugê","Parque Nacional da Chapada Diamantina","-41.523889","-12.708889","1500","1700",NA,"Campo rupestre.","HUEFS0094569","HUEFS0094569",NA,"2005","06","41W31'26''","12S42'32''",NA,NA,NA,"Asteranae",NA,NA
"42","2019-10-07 09:11:00-03","UEFS","HUEFS","234713","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.",NA,"Bautista, H.P.","2919","1998","10","01",NA,"Brasil","Bahia","Palmeiras","Morro do Pai Inácio.","-41.5588989257812","-12.5289001464844",NA,NA,NA,"Campo rupestre.","HUEFS0234713","HUEFS0234713",NA,NA,NA,NA,NA,NA,"20767","auto","Asteranae",NA,NA
"43","2019-10-07 09:11:00-03","UEFS","HUEFS","66430","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.",NA,"Mori, S.A.","13221","1979","12","24",NA,"Brasil","Bahia","Palmeiras","Pai Inácio, BR 242, km 232 a ca. 15 km ao NE de Palmeiras.","-41.5588989257812","-12.5289001464844","1000","1200",NA,"Campo rupestre","HUEFS0066430",NA,"Isótipo",NA,NA,NA,NA,NA,"20767","auto","Asteranae",NA,NA
"44","2019-10-07 09:11:00-03","UEFS","HUEFS","63877","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.",NA,"Hind, D.J.N.","PCD3476","1996","07","08",NA,"Brasil","Bahia","Lençóis","Serra da Chapadinha.","-41.3899993896484","-12.563099861145",NA,NA,NA,"Campo rupestre. Afloramentos rochosos.","HUEFS0063877","HUEFS0063877",NA,NA,NA,NA,NA,NA,"47385","auto","Asteranae",NA,NA
"45","2019-10-07 09:11:00-03","UEFS","HUEFS","152286","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Acritopappus","connatifolius","Acritopappus connatifolius","(Soar.Nunes) R.M.King & H.Rob.",NA,"Moraes, P.L.R.de","2857","2009","08","21",NA,"Brasil","Bahia","Palmeiras","Serra dos Brejões","-41.5588989257812","-12.5289001464844",NA,NA,NA,NA,"HUEFS0152286","HUEFS0152286",NA,NA,NA,NA,NA,NA,"20767","auto","Asteranae",NA,NA
