"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","class","order","individualCount","recordNumber","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","imagecode","coordinatePrecision","geoFlag","fieldNumber","infraspecificEpithet","typeStatus","relatedCatalogItem","previousCatalogNumber"
"11","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","6652","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Amaral Jr., A.","1972","11",NA,"Amaral Jr., A.","1972","09","15","Brasil","São Paulo","Botucatu","À margem do Rio Pardo, próximo à represa de abastecimento de água da Prefeitura de Botucatu",NA,NA,"9999","9999",NA,"BOTU006652",NA,NA,NA,NA,"1113",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","30868","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Amaral Jr., A.","1973","02","23","Amaral Jr., A.","1973","01","15","Brasil","São Paulo","Botucatu","Horto",NA,NA,"9999","9999",NA,"BOTU030868",NA,NA,NA,NA,"1378",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","30867","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst",NA,NA,NA,NA,"Amaral Jr., A.","1973","01","16","Brasil","São Paulo","Botucatu","Horto",NA,NA,"9999","9999",NA,"BOTU030867",NA,NA,NA,NA,"1382",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-18 09:30:22-03","UNESP-IBB","BOTU","9211","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Amaral Jr., A.","1973","02","23","Amaral Jr., A.","1973","01","02","Brasil","São Paulo","Botucatu","Estrada que liga o aeroporto municipal à represa do Rio Pardo, a mais ou menos 2km do aeroporto",NA,NA,"9999","9999",NA,"BOTU009211",NA,NA,NA,NA,"1337",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-13 09:20:35-03","UFRJ","RFA","11491","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","G.F.J. Pabst","1971",NA,NA,"G.G. Hatschbach","1970","04","06","Brasil","Paraná","Arapoti","Rio das Perdizes","-49.8266983032227","-24.1578006744385",NA,NA,"Epífita, flor verde, labelo alvo","RFA31780",NA,NA,NA,NA,"24121",NA,NA,NA,NA,NA,"41852","auto",NA,NA,NA,NA,NA
"16","2019-12-04 15:26:36-03","PUCPR","HUCP","19018","S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb. f.) M.W. Chase. & N.H.Williams","Kersten, RA",NA,NA,NA,NA,"2000","08","06","Brasil","Paraná","Paranaguá","Tinguçu","-48.5092010498047","-25.5200004577637",NA,NA,NA,"HUCP00003096","Monocotiledonea",NA,NA,NA,"s.n.",NA,NA,NA,NA,"HUCP00003096","24916","auto",NA,NA,NA,NA,NA
"17","2019-12-04 15:26:36-03","PUCPR","HUCP","21269","S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb. f.) M.W. Chase. & N.H.Williams","Lemos, JV",NA,NA,NA,"Lemos, JV","2008","01","26","Brasil","Paraná","Pontal do Paraná","Rio Guaraguaçu","-48.511100769043","-25.6735992431641",NA,NA,NA,"HUCP00003134","Monocotiledonea",NA,NA,NA,"047",NA,NA,NA,NA,"HUCP00003134","19508","auto",NA,NA,NA,NA,NA
"18","2020-02-08 08:46:38-03","NBC","NL-BOTANY","L.1527228","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst",NA,NA,NA,NA,"Hatschbach GG","1968","02","26","Brazil",NA,NA,"Est Parana (Brasil), Mun Guaratuba. Rio S. Joao, Porto Miranda.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1527228 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1527228",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,"NL-L1527228",NA,NA,NA,NA,NA,NA,NA
"19","2020-02-08 08:46:38-03","NBC","NL-BOTANY","L.1527229","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst",NA,NA,NA,NA,"Hatschbach GG","1963","03","14","Brazil",NA,NA,"Est Parana (Brasil), Mun Guaratuba. Rio da Divisa.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1527229 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1527229",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,"NL-L1527229",NA,NA,NA,NA,NA,NA,NA
"20","2020-02-08 08:46:38-03","NBC","NL-BOTANY","L.1527230","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst",NA,NA,NA,NA,"Hatschbach GG","1962","01","20","Brazil",NA,NA,"Parana (Brasil), Mun Campo Largo. Conceicao S. Silvestre.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1527230 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1527230",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,"NL-L1527230",NA,NA,NA,NA,NA,NA,NA
"21","2020-02-08 08:46:38-03","NBC","NL-BOTANY","L.1527231","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst",NA,NA,NA,NA,"Reitz R; Klein RM","1959","03","14","Brazil",NA,NA,"Plantas de Santa Catarina - Brasil. Salto do Pilao, Lontras, Rio do Sul. Epifito da mata.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1527231 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1527231",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,"NL-L1527231",NA,NA,NA,NA,NA,NA,NA
"22","2020-02-08 08:46:50-03","NBC","NL-BOTANY","U.1469637","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb.f.",NA,NA,NA,NA,"Hatschbach GG","1963","03","14","Brazil",NA,NA,"Est. Parana, Mun. Guaratuba. Rio da Divisa.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1469637 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1469637",NA,"Magnoliopsidae","Asparagales",NA,NA,"Southern America",NA,NA,NA,"NL-U1469637",NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 12:17:39-03","ESALQ","ESA","4549","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Forster, W.",NA,NA,NA,"Catharino, E.L.M.","1984","04","07","Brasil","São Paulo","Iguape",NA,"-47.5499992370605","-24.7000007629395",NA,NA,NA,"ESA004549","Magnoliophyta",NA,NA,NA,"38.0",NA,NA,NA,NA,NA,"55628","auto",NA,NA,NA,NA,NA
"24","2020-11-04 12:17:39-03","ESALQ","ESA","8123","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Forster, W.",NA,NA,NA,"Mendonça, G.F.","1992","10","28","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,"ESA008123","Magnoliophyta",NA,NA,NA,"8.0",NA,NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA
"25","2020-11-04 12:17:39-03","ESALQ","ESA","33353","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Forster, W.",NA,NA,NA,"Garcia, D.L. ; Galvão, G.","1995","10","03","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,"ESA033353","Magnoliophyta",NA,NA,NA,"4.0",NA,NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA
"26","2021-03-31 13:41:13-03","MN","R","221985","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb. f.) Garay & Pabst","Pabst, G.F.J.",NA,NA,NA,"Emmerich, M.; Dressler, R.L.","1966","02","19","Brasil","São Paulo","Angatuba",NA,"-48.4099998474121","-23.4899997711182",NA,NA,NA,NA,NA,NA,NA,NA,"2773",NA,NA,NA,NA,NA,"29114","auto",NA,NA,NA,NA,NA
"27","2021-03-31 13:41:18-03","MN","R","3469","PreservedSpecimen","Plantae","Orchidaceae","Sigmatostalix","radicans","Sigmatostalix radicans","Rchb. f.","Hoehne, F.C.",NA,NA,NA,"Schreiner, C.",NA,NA,NA,"Brasil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2015-07-02 14:03:30-03","JBP","HPL","4300","S","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Reich.) Garay & Pabst","H. Lorenzi","2005","05","18","H. Lorenzi","2005","05","18","Brasil","SP","Piracicaba","Cultivado no orquidário da Escola Superior de Agricultura Luiz de Queiroz ESALA/USP.","-47.64","-22.72",NA,NA,NA,NA,NA,NA,NA,NA,"5484",NA,NA,NA,NA,NA,"44778","auto",NA,NA,NA,NA,NA
"29","2019-08-27 13:26:38-03","IAP","PACA-AGP","566","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb. f.) Garay et Pabst","J. Dutra, Pabst","1954","09","04","Rambo, B.","1933","02","17","Brasil","RS","Porto Alegre","Vila Manresa","-51.2299995422363","-30.0331001281738",NA,NA,"Habitat: In silva campestri, epiphytica Fenofase: flor","PACA000566","Magnoliophyta","Liliatae","Orchidales",NA,NA,NA,NA,NA,NA,NA,"29946","auto",NA,NA,NA,NA,NA
"30","2019-08-27 13:26:38-03","IAP","PACA-AGP","84956","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb. f.) Garay et Pabst","A. Sehnem","1973",NA,NA,"Sehnem, A.","1973","02","25","Brasil","RS","São Leopoldo","Portão","-51.1472015380859","-29.7602996826172",NA,NA,"SEM MATERIAL Habitat: Ad arborem in cultura","PACA084956","Magnoliophyta","Liliatae","Orchidales",NA,"13419",NA,NA,NA,NA,NA,"10287","auto",NA,NA,NA,NA,NA
"31","2019-08-27 13:26:38-03","IAP","PACA-AGP","71135","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb. f.) Garay et Pabst","V. F. Nunes",NA,NA,NA,"V. F. Nunes et al.","1991","03","10","Brasil","RS","Sapiranga","Recanto da Cascata - Picada Verão","-51.0069007873535","-29.6380996704102",NA,NA,"Flores alvas. Habitat: Epífita, higrófita, luz difusa","PACA071135","Magnoliophyta","Liliatae","Orchidales",NA,"1242",NA,NA,NA,NA,NA,"11711","auto",NA,NA,NA,NA,NA
"32","2016-07-05 11:14:20-03","FFCLRP","LBMBP","1071","S","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","E.R. Pansarin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-07-05 11:14:20-03","FFCLRP","LBMBP","395","S","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb. f.) Garay & Pabst","E.R. Pansarin",NA,NA,NA,"L.M. Pansarin",NA,NA,NA,"Brasil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-21 14:40:58-03","UFJF","CESJ","65088","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","L.E.O. Viana","2012",NA,NA,"J.M. Silva; L.E.O. Viana","2012","01","24","Brasil","Paraná","Curitiba","Praça Paulínia José Schmitt, Bairro Uberaba","-49.2731018066406","-25.4277992248535",NA,NA,"Epífita, flor alvacenta. Mata com araucária.","CESJ065088","Angiosperma",NA,NA,NA,"8174","América do Sul",NA,NA,NA,NA,"25180","auto",NA,NA,NA,NA,NA
"35","2019-08-20 10:00:46-03","UNICAMP","UEC","139764","S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015",NA,NA,"Breier, TB; Budke, JC","2002","08","21","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras, próximo ao rio.","-47.916667","-24.166667","-47.916667","-24.166667",NA,"UEC027338","Liliopsida",NA,NA,NA,"520",NA,NA,NA,NA,"UEC027338",NA,NA,NA,NA,NA,NA,NA
"36","2021-03-01 16:20:15-03","UNICAMP","UEC","86682","S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015",NA,NA,"Leitão Filho, HF; Rezende, RR","1995","02","14","Brazil","São Paulo",NA,"Rodovia BR 101, próximo ao Hotel Restaurante 270.","-48.329722","-24.951111","-48.329722","-24.951111","Epífita, botões florais verdes.; Mata atlântica de planície c/ transição para mata ciliar.","UEC017592","Liliopsida",NA,NA,NA,"33489",NA,NA,NA,NA,"UEC017592",NA,NA,NA,NA,NA,NA,NA
"37","2019-08-20 10:00:46-03","UNICAMP","UEC",NA,"S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015",NA,NA,"Breier, TB; Budke, JC","2002","08","21","Brazil","São Paulo","Sete Barras","Parque Estadual Carlos Botelho, Núcleo Sete Barras, próximo ao rio.","-47.916667","-24.166667","-47.916667","-24.166667",NA,NA,"Liliopsida",NA,NA,NA,"520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-08-20 10:00:46-03","UNICAMP","UEC","140250","S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W.Chase & N.H.Williams","Meneguzzo, TEC","2015",NA,NA,"Breier, TB","2003","06","09","Brazil","São Paulo","Piracicaba","Orquidário Briger - ESALQ, ESALQ 22354.","-47.6399993896484","-22.7199993133545",NA,NA,NA,"UEC027337","Liliopsida",NA,NA,NA,"1369",NA,NA,NA,NA,"UEC027337","44778","auto",NA,NA,NA,NA,NA
"39","2020-10-14 10:04:16-03","FURB","FURB","22913","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Bonnet, A","2010","08","25","Korte, A.; Kniess, A.","2010","03","17","Brasil","Santa Catarina","Apiúna","Faxinalzinho.","-49.3936111","-27.1802778","-49.3936111","-27.1802778","Florística IFFSC 516 (Epífita) Habitat: Floresta Ombrófila Densa; Estágio Avançado Habito: epífita; flor branca","FURB35871",NA,NA,NA,NA,"2212",NA,"793","793",NA,"FURB35871",NA,NA,NA,NA,NA,NA,NA
"40","2020-10-14 10:04:16-03","FURB","FURB","37804","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Caetano, JO","2012","01","07","Caetano, J.O.","2012","01","07","Brasil","Santa Catarina","Benedito Novo","Sítio Senhor Antonio Faria.","-49.4744445","-26.8794445","-49.4744445","-26.8794445",NA,"FURB02831",NA,NA,NA,NA,NA,NA,"767","767",NA,"FURB02831",NA,NA,NA,NA,NA,NA,NA
"41","2020-10-14 10:04:16-03","FURB","FURB","424","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.f.) Garay & Pabst","Ceolin, LM","2007","06","22","Sobral, M.","2002","02","09","Brasil","Santa Catarina","Guabiruba","Morro do Santo Antônio.","-48.9810981750488","-27.0858001708984",NA,NA,"FNMA. Florística. Nº antigo 35. Habitat: Floresta Ombrófila Densa; floresta Habito: epífita;","FURB35868",NA,NA,NA,NA,NA,NA,"1000","1000",NA,"FURB35868","16046","auto",NA,NA,NA,NA,NA
"42","2021-03-16 17:50:18-03","UCS","HUCS","40393","PreservedSpecimen","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W. Chase & N.H.Williams","Castro, J.B.","2017","07","23","Silva, J.M.","2012","01","24","Brasil","Paraná","Curitba","Uberaba",NA,NA,NA,NA,"Epífita, flor alvacenta. Mata de araucária.",NA,"Angiospermae",NA,"Asparagales",NA,"8174",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-08-16 08:40:23-03","UTFPR","HCF","27205","S","Plantae","Orchidaceae","Gomesa","radicans","Gomesa radicans","(Rchb.f.) M.W.Chase & N.H.Williams","M.G. Caxambu","2019","02","14","M.G. Caxambu","2019","01","31","Brasil","PR","Pitanga","Parque Natural Municipal Recanto das","-51.729722","-24.780583","51°43'47 W","24°46'50,1 S","erva epífita, ripária, semi-ciófila. Flores com cálice verde e corola amarelada, com labelo branco, com mancha vinácea.",NA,NA,NA,NA,NA,"8838",NA,"852","852",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:38:42-03","MBM","MBM","15194","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.) Garay & Pabst","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1970","04","06","Brazil","Paraná","Arapoti","Rio das Perdizes","-49.8266983032227","-24.1578006744385",NA,NA,NA,"MBM015194",NA,NA,NA,NA,"24124","Southern America",NA,NA,NA,"MBM015194","41852","auto",NA,NA,NA,NA,NA
"45","2020-12-21 16:38:42-03","MBM","MBM","49984","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.) Garay & Pabst","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","1962","01","20","Brazil","Paraná","Campo Largo","Conceição de São Silvestre","-49.5283012390137","-25.4585990905762",NA,NA,NA,"MBM049984",NA,NA,NA,NA,"8989","Southern America",NA,NA,NA,"MBM049984","53742","auto",NA,NA,NA,NA,NA
"46","2020-12-21 16:38:42-03","MBM","MBM","49985","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.) Garay & Pabst","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","1963","03","14","Brazil","Paraná","Guaratuba","Rio da Divisa","-48.5746994018555","-25.8827991485596",NA,NA,NA,"MBM049985",NA,NA,NA,NA,"9790","Southern America",NA,NA,NA,"MBM049985","41937","auto",NA,NA,NA,NA,NA
"47","2020-12-21 16:38:42-03","MBM","MBM","49983","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.) Garay & Pabst","Pabst, G.",NA,NA,NA,"Hatschbach, G.","1953","04","04","Brazil","Paraná","Paranaguá","Rio Guaraguaçu","-48.5092010498047","-25.5200004577637",NA,NA,NA,"MBM049983",NA,NA,NA,NA,"3015","Southern America",NA,NA,NA,"MBM049983","24916","auto",NA,NA,NA,NA,NA
"48","2020-12-21 16:38:42-03","MBM","MBM","161924","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.) Garay & Pabst","Hatschbach, G.",NA,NA,NA,"Imaguire, N.","1973","03","21","Brazil","Paraná","Piraquara","Fazenda Experimental de Agronomia","-49.0633010864258","-25.4416999816895",NA,NA,NA,"MBM161924",NA,NA,NA,NA,"3207","Southern America",NA,NA,NA,"MBM161924","12577","auto",NA,NA,NA,NA,NA
"49","2020-12-21 16:38:42-03","MBM","MBM","385489","PreservedSpecimen","Plantae","Orchidaceae","Ornithophora","radicans","Ornithophora radicans","(Rchb.) Garay & Pabst","Ariati, V.","2012","02","07","Ariati, V.","2012","02","07","Brasil","Paraná","Ortigueira","UHE Mauá","-50.723333","-24.111389","-50.723333","-24.111389","Resgate de flora da UHE Mauá; Epífita. Labelo branco com borda superior lilás. Pétalas e sépalas verdes.","MBM385489",NA,NA,NA,NA,"635",NA,"520","750",NA,"MBM385489",NA,NA,NA,NA,NA,NA,NA
