"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","year","identifiedBy","yearIdentified","month","day","stateProvince","class","monthIdentified","dayIdentified","county","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"15","2015-09-04 08:39:15-03","MNHN","RECOLNAT_MNHN_P","P00168116","PreservedSpecimen",NA,NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.","isotype","Weddell, H.A.",NA,NA,"Brésil","Rio Tocantina",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00168116' target='other'> <mi>dwc_moreinfo</mi></a>","P00168116","P00168116_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2320",NA
"16","2015-09-04 08:39:15-03","MNHN","RECOLNAT_MNHN_P","P00168115","PreservedSpecimen",NA,NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.","holotype","Weddell, H.A.",NA,NA,"Brésil","Rio Tocantina",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00168115' target='other'> <mi>dwc_moreinfo</mi></a>","P00168115","P00168115_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2320",NA
"17","2015-09-04 08:39:15-03","MNHN","RECOLNAT_MNHN_P","P00168117","PreservedSpecimen",NA,NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.","isotype","Weddell, H.A.",NA,NA,"Brésil","Rio Tocantina",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00168117' target='other'> <mi>dwc_moreinfo</mi></a>","P00168117","P00168117_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2320",NA
"18","2020-09-12 05:00:02-03","US","US","2221422","PreservedSpecimen","Plantae",NA,"Rosales","Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"J. M. Pires & G. A. Black","1717 A","South America - Neotropics","Brazil","Santo antonio do maranhao: perto da cachoeira da serra quebrada",NA,NA,NA,NA,"US00365114","US00365114_01","1949",NA,NA,"8","4","Maranhão","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1"
"19","2019-11-13 11:29:08-03","USP","SPF","191192","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"Dias-Melo, R","547",NA,"Brasil",NA,"-55.331944","-11.043333",NA,NA,"SPF00191192",NA,"2008","Dias-Melo, R",NA,"07","13","Mato Grosso",NA,NA,NA,"Itaúba","-55.331944","-11.043333","259","259",NA,NA,NA,NA
"20","2019-09-04 18:52:36-03","F","FMNH-SEEDPLANTS","V0067357F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana",NA,"Isotype","H. A. Weddell","2320","South America","Brazil",NA,"-52.8731","-10.8339",NA,NA,"V0067357F","V0067357F_01","1844",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2019-01-23 11:25:11-02","F","FMNH-SEEDPLANTS","V0067358F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana",NA,"Isotype","H. A. Weddell","2320","South America","Brazil",NA,"-52.8731","-10.8339",NA,NA,"V0067358F","V0067358F_01","1844",NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-07-23 12:19:04-03","CEPLAC","CEPEC","148005","PreservedSpecimen","Plantae",NA,NA,"Podostemaceae","Mourera","weddeliana","Mourera weddeliana",NA,NA,"R. Dias-Melo","547",NA,"Brasil",NA,"-55.2764015197754","-11.0616998672485",NA,"<ll>dwc_commonname:</ll>",NA,NA,NA,NA,NA,NA,NA,"Mato Grosso",NA,NA,NA,"Itaúba",NA,NA,NA,NA,"111180","auto",NA,NA
"23","2017-09-11 17:13:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"?","s.n.","Southern America","Brazil","prope S. João das duas Barras fructus maturebat Junio exeunte",NA,NA,NA,"(Weddell. Herb. n. 2320.)",NA,"P04P1N0073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:13:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Podostemaceae","Mourera","weddelliana","Mourera weddelliana","Tul.",NA,"?","s.n.","Southern America","Brazil","Nascitur ad rupes assiduo submersas et vicissim emersas, in cataractis amnis Tocantins inferioris Brasiliae mediterraneae",NA,NA,NA,NA,NA,"P04P1N0073",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
