"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","fieldNumber","individualCount","relatedCatalogItem"
"24","2021-03-01 16:27:43-03","UNICAMP","UEC","098176","S","Plantae","Magnoliopsida",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G.Don",NA,"Torezan, JMD; Arima, LIA; Pimenta, JA; Resende, JCF; Sifuentes, DVO; et al.","526","1997","12","11",NA,"Brazil","São Paulo","Bom Sucesso de Itararé","Descida da serra, 10Km de Bom Sucesso. Beira de estrada.","-49.160833","-24.274444",NA,"Erva do solo, 0,5m de alt.; caule avermelhado, flores com corola vermelha e extremidade esverdeada no início da antese, com látex.; Floresta Estacional Transição Montana-Submontana.","UEC094623","UEC094623",NA,NA,NA,"-49.160833","-24.274444",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:27:43-03","UNICAMP","UEC","173905","S","Plantae","Magnoliopsida",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G.Don","Tannus, JLS","Tannus, JLS","899","2005","10","20",NA,"Brazil","São Paulo","Itararé","Unidade de Pesquisa e Desenvolvimento de Itararé.","-49.205278","-24.268333",NA,"Erva flexuosa, ca. 1,5m, cálice verde, corola vermelha na base c/ lobos amarelados, em solo arenoso alagadiço.; Campo úmido altimontano.","UEC089455","UEC089455",NA,NA,NA,"-49.205278","-24.268333",NA,NA,"2007","05",NA,NA,NA,NA
"26","2021-03-01 16:27:43-03","UNICAMP","UEC","74159","S","Plantae","Magnoliopsida",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G.Don","Vieira, AOS","Romero, R; Nakajima, JN; Zanini, E; Cesar, R","1989","1995","03","17",NA,"Brazil","Minas Gerais","São Roque de Minas","Estrada para Sacramento, Vale da nascente do rio São Francisco, PARNA Serra da Canastra, São Roque de Minas.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,8m. Cálice esverdeado. Corola alaranjada, lacínios esverdeados.","UEC094625","UEC094625",NA,NA,NA,NA,NA,"57119","auto","1995","10","20",NA,NA,NA
"27","2021-03-01 16:27:43-03","UNICAMP","UEC","74156","S","Plantae","Magnoliopsida",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G.Don","Vieira, AOS","Nakajima, JN; Romero, R","890","1995","03","20",NA,"Brazil","Minas Gerais","São Roque de Minas","Estrada para Sacramento, Vale da nascente do rio São Francisco, PARNA Serra da Canastra, São Roque de Minas.","-46.3657989501953","-20.2453002929688",NA,"Herbáceo, ca. 0,8m. Cálice esverdeado. Corola alaranjada, lacínios esverdeados.","UEC094628","UEC094628",NA,NA,NA,NA,NA,"57119","auto","1995","10","20",NA,NA,NA
"28","2021-03-01 16:27:43-03","UNICAMP","UEC","78847","S","Plantae","Magnoliopsida",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G.Don","Vieira, AOS","Nakajima, JN; Romero, R","1510","1995","11","19",NA,"Brazil","Minas Gerais","São Roque de Minas","Nascente do Rio São Francisco","-46.3657989501953","-20.2453002929688",NA,"Herbácea, ca. 0,5m. cálice verde. Corola vermelha; lacínios amarelo-esverdeado. Anteras acinzentadas. Estigmas branco.","UEC094626","UEC094626",NA,NA,NA,NA,NA,"57119","auto","1996","02",NA,NA,NA,NA
"29","2021-03-01 16:27:43-03","UNICAMP","UEC","1240","S","Plantae","Magnoliopsida",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G.Don","Carvalho, AF","Kummrow, R","973","1975","11","03",NA,"Brazil","Paraná","Palmeira","Rod. do Café, rio Tibagi.","-50.0064010620117","-25.4293994903564",NA,"Erva de 40cm flor vermelha com interior do tubo amarelo.","UEC094630","UEC094630",NA,NA,NA,NA,NA,"35166","auto","1980",NA,NA,NA,NA,NA
"30","2021-03-01 16:27:43-03","UNICAMP","UEC","108973","S","Plantae","Magnoliopsida",NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","G.Don","Godoy, SAP","Francisco, IA; et al.","44","1994","10","08",NA,"Brazil","Paraná","Tibagi","Canyon Guartela","-50.4136009216309","-24.5093994140625",NA,"Encosta de Morro; herbácea 50cm alt.; flores vermelhas sem cheiro.","UEC094624","UEC094624",NA,NA,NA,NA,NA,"56988","auto","1998","06","26",NA,NA,NA
"31","2019-11-05 16:46:34-03","UFOP","OUPR","8464","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G.Don.",NA,"s.col.","s.n.","1935",NA,NA,NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,"Arbusto, flor vermelha. Campo",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA
"32","2021-03-16 17:51:16-03","UCS","HUCS","4031","PreservedSpecimen","Plantae","Angiospermae","Asterales","Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G. Don","Hatschbach, G.","Krul.","135","1987","12","05",NA,"Brasil","Paraná","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"flor vermelha; zona de campo - margen de rio",NA,NA,NA,NA,NA,NA,NA,"35166","auto","1988",NA,NA,NA,NA,NA
"33","2019-08-16 08:38:54-03","UTFPR","HCF","14567","S","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham) G.Don","M.G. Caxambu","E.L. Siqueira","1069","2014","05","18",NA,"Brasil","PR","Tibagi","Sítio Sete Quedas","-50.253583","-24.580333",NA,"erva heliófita, ca. 0,20 m. Flores vermelhas. Em área úmida.",NA,NA,"1038","1038",NA,"50°15'12,9 W","24°34'49,2 S",NA,NA,"2019","01","23",NA,NA,NA
"34","2019-08-16 08:38:54-03","UTFPR","HCF","21203","S","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham) G.Don","L.T. Dombrowski","L.T. Dombrowski","6555","1976","10","25",NA,"Brasil","PR","Palmeira",NA,"-50.0064010620117","-25.4293994903564",NA,"em beira de riacho. Frequente.",NA,NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"35","2019-08-16 08:38:54-03","UTFPR","HCF","1544","S","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham) G.Don","M.G. Caxambu","M.G. Caxambu","608","2004","11","07",NA,"Brasil","PR","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,"Herbácea, folhas estreitamente elípticas com ápice agudo e base atenuada, de bordos serreados. Flores alaranjadas. Heliófitas, junto ao rio.",NA,NA,NA,NA,NA,NA,NA,"35166","auto","2004","12","06",NA,NA,NA
"36","2019-08-16 08:38:54-03","UTFPR","HCF","11967","S","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham) G.Don","E.D. Lozano","E.D. Lozano","1104","2012","10","10",NA,"Brasil","PR","Ponta Grossa","Fazenda Capão das Almas","-50.1618995666504","-25.0949993133545",NA,"herbácea, 30 cm, flores laranja, margem do rio Tibagi.",NA,NA,NA,NA,NA,NA,NA,"46557","auto","2012",NA,NA,NA,NA,NA
"37","2019-08-16 08:38:54-03","UTFPR","HCF","12771","S","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham) G.Don","J. Cordeiro","E.L. Siqueira","763","2013","09","21",NA,"Brasil","PR","Tibagi","Guartelá - Sítio São Sebastião -","-50.4136009216309","-24.5093994140625",NA,"erva ereta, heliófita, ca. 0,30 m. Flores vermelhas.",NA,NA,NA,NA,NA,NA,NA,"56988","auto",NA,NA,NA,NA,NA,NA
"38","2020-06-18 10:56:23-03","UFRRJ","RBR","25","S","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) G.Don","S. Brito","S. Brito","60","1916",NA,NA,NA,"Brasil","Paraná","Paraná",NA,NA,NA,NA,NA,"RBR00000025","RBR00000025",NA,NA,NA,NA,NA,NA,NA,"1916",NA,NA,NA,NA,NA
"39","2020-12-21 16:19:58-03","MBM","MBM","220965","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Dombrowski, L.T.","Dombrowski, L.T.; et al.; et al.","11934","1980","10","22","Southern America","Brazil","Paraná","Jaguariaíva","Chapada Santo Antônio","-49.7057991027832","-24.2511005401611",NA,NA,"MBM220965",NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA
"40","2020-12-21 16:19:58-03","MBM","MBM","220968","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Dombrowski, L.T.","Dombrowski, L.T.; et al.; et al.","10097","1978","10","11","Southern America","Brazil","Paraná","Jaguariaíva","Rio das Cinzas","-49.7057991027832","-24.2511005401611",NA,NA,"MBM220968",NA,NA,NA,NA,NA,NA,"44368","auto",NA,NA,NA,NA,NA,NA
"41","2020-12-21 16:19:58-03","MBM","MBM","271376","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Hatschbach, G.","Ribas, O.S.; Cordeiro, J.; Costa, E.F.; Cordeiro, J.; Costa, E.F.","4506","2002","03","07","Southern America","Brazil","Paraná","Lapa","Sassentamento Contestdo","-49.7158012390137","-25.7696990966797",NA,NA,"MBM271376","MBM271376",NA,NA,NA,NA,NA,"49965","auto",NA,NA,NA,NA,NA,NA
"42","2020-12-21 16:19:58-03","MBM","MBM","220960","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Dombrowski, L.T.","Dombrowski, L.T.; et al.; et al.","12218","1980","11","19","Southern America","Brazil","Paraná","Palmeira","Fazenda Santa Rita","-50.0064010620117","-25.4293994903564",NA,NA,"MBM220960",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"43","2020-12-21 16:19:58-03","MBM","MBM","220963","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Dombrowski, L.T.","Dombrowski, L.T.; et al.; et al.","7549","1977","08","17","Southern America","Brazil","Paraná","Palmeira","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"MBM220963",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"44","2020-12-21 16:19:58-03","MBM","MBM","220964","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Dombrowski, L.T.","Dombrowski, L.T.","6555","1976","10","25","Southern America","Brazil","Paraná","Palmeira","Palmeira","-50.0064010620117","-25.4293994903564",NA,NA,"MBM220964",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"45","2020-12-21 16:19:58-03","MBM","MBM","77895","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Coelho, G.P.","Hatschbach, G.","45445","1982","09","22","Southern America","Brazil","Paraná","Palmeira","Ponta do Papagaio","-50.0064010620117","-25.4293994903564",NA,"Flor vermelha, ápice amarelo.; Zona de campo, margens de córrego.","MBM077895","MBM077895",NA,NA,NA,NA,NA,"35166","auto","2019","08","14",NA,NA,NA
"46","2020-12-21 16:19:58-03","MBM","MBM","220966","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don",NA,"Dombrowski, L.T.","6782","1976","12","13","Southern America","Brazil","Paraná","Palmeira","Próximo ao Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM220966",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"47","2020-12-21 16:19:58-03","MBM","MBM","290577","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Hatschbach, G.","Silva, J.M.; Lucas, E.; Sakuragui, C.M.; Lucas, E.; Sakuragui, C.M.","3787","2003","10","28","Southern America","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM290577","MBM290577",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"48","2020-12-21 16:19:58-03","MBM","MBM","207433","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Hatschbach, G.","Ribas, O.S.; Luz, M.F. da; Luz, M.F. da","1556","1996","10","28","Southern America","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,"MBM207433","MBM207433",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
"49","2020-12-21 16:19:58-03","MBM","MBM","32679","PreservedSpecimen","Plantae",NA,NA,"Campanulaceae","Siphocampylus","lycioides","Siphocampylus lycioides","(Cham.) D. Don","Brade, A.C.","Hatschbach, G.","856","1948","01","06","Southern America","Brazil","Paraná","Palmeira","Rio das Pombas","-50.0064010620117","-25.4293994903564",NA,NA,"MBM032679","MBM032679",NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA,NA
