"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","typeStatus","imagecode","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","2073436","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"J. R. I. Wood","12872","1997","11","22","Bolivia","Cochabamba","Chapare","km 118 on the Cochabamba - Chapare road in the valley of Rio Espirito Santo",NA,NA,NA,NA,"2000",NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=4512049' target='other'> <mi>dwc_moreinfo</mi></a>","NY02073436","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","439953","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacig.","J. Fontella Pereira",NA,NA,NA,"G. G. Hatschbach","26481","1971","11","23","Brazil","Paraná","Medianeira","Flor da Serra","-54.0939","-25.2956",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21206' target='other'> <mi>dwc_moreinfo</mi></a>","NY00439953","Magnoliophyta","Gentianales","South America","sheet",NA,"NY00439953_01",NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","330415","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacig.","D. J. Goyder",NA,NA,NA,"M. H. Nee","47558","1997","12","26","Bolivia","Santa Cruz","Andrés Ibáñez","Ave. Banzer and Tercer Anillo.","-63.18","-17.77",NA,NA,"420","420","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=21205' target='other'> <mi>dwc_moreinfo</mi></a>","NY00330415","Magnoliophyta","Gentianales","South America","sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-24 17:10:26-03","UTFPR","DVPR","3013","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","Dettke, GA","2014",NA,NA,"Caxambu, MG","2500","2009","02","16","Brasil","Paraná","Campo Mourão","Campus da UTFPR","-52.3830986022949","-24.0456008911133",NA,NA,NA,NA,"Trepadeira volúvel, heliófita, flores com cálie verde e corola verde-amarelada, látex alvo.; Solo: latossolo vermelho, relevo plano.","DVPR003013","Magnoliophyta",NA,NA,NA,NA,NA,"28572","auto",NA,NA,NA,NA,NA
"15","2020-11-26 18:07:01-03","CPAN-UFMS","COR","16183","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","M.A. Farinaccio",NA,NA,NA,"J. Durigon","984","2013","02","20","Brasil","Rio Grande do Sul","Redentora","Para Coronel Bicaco.","-53.6377983093262","-27.664400100708",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27244","auto",NA,NA,NA,NA,NA
"16","2020-02-08 09:19:46-03","NBC","NL-BOTANY","L.2727151","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Reineck EM",NA,"1898","12","24","Brazil",NA,NA,"Estado do Rio Grande do Sul. Porto Alegre: Kettorus im Wald an des Aouida Ercest to Foutoara. *.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2727151 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2727151",NA,"Gentianales","Southern America",NA,NA,"NL-L2727151",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"17","2020-02-08 09:19:46-03","NBC","NL-BOTANY","L.2727149","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Pedersen TM",NA,"1970","01","23","Argentina",NA,NA,"Estancia ''Fortín del Iberá, Dep. Concepcón, Prov. Corrientes.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2727149 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2727149",NA,"Gentianales","Southern America",NA,NA,"NL-L2727149",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"18","2020-02-08 09:19:46-03","NBC","NL-BOTANY","L.2727150","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Rambo B",NA,"1951","01","18","Brazil",NA,NA,"Brasiliae australis. In alte dumetosis scandens.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2727150 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2727150",NA,"Gentianales","Southern America",NA,NA,"NL-L2727150",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"19","2020-02-08 09:19:46-03","NBC","NL-BOTANY","L.2727153","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Schwarz GJ",NA,"1949","02","07","Brazil",NA,NA,"Esado Paraná, Porto Heleana (Alto Paraná).",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2727153 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2727153",NA,"Gentianales","Southern America",NA,NA,"NL-L2727153",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"20","2020-02-08 09:19:46-03","NBC","NL-BOTANY","L.2727155","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Fiebrig K",NA,"1909","01","01","Paraguay",NA,NA,"in regione fluminis Alto Paraná.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2727155 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2727155",NA,"Gentianales","Southern America",NA,NA,"NL-L2727155",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"21","2020-02-08 09:19:46-03","NBC","NL-BOTANY","U 0282795","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Pedersen TM",NA,"1958","02","13","Argentina","Corrientes",NA,NA,"-57.792395","-27.866469","-57.792395","-27.866469",NA,NA,"Outskirts of moist woodland on sandy soil.<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200282795 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0282795",NA,"Gentianales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"22","2020-02-08 09:19:46-03","NBC","NL-BOTANY","U 0282796","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Pedersen TM",NA,"1958","01","27","Argentina","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200282796 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0282796",NA,"Gentianales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"23","2020-02-08 09:19:46-03","NBC","NL-BOTANY","U 0282797","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E.Fourn.",NA,NA,NA,NA,"Unknown",NA,"1944","12","18","Peru",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U%20%200282797 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U0282797",NA,"Gentianales","Southern America",NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"24","2020-02-08 09:19:52-03","NBC","NL-BOTANY","L 0444069","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","Goyder DJ",NA,NA,NA,"Herzog T",NA,"1911","01","01","Bolivia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L%20%200444069 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L0444069",NA,"Gentianales","Southern America",NA,"isotype","NL-L0444069",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"25","2020-02-08 09:19:52-03","NBC","NL-BOTANY","U.1102271","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacigalupo",NA,NA,NA,NA,"Vanni RO; Cáceres S; Lopez G; Radovancich A",NA,"1990","03","02","Argentina",NA,NA,"Corrientes, Dep. San Miguel, 12 km NE de San Miguel, Ea. Toro-y.",NA,NA,NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102271 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102271",NA,"Gentianales","Southern America",NA,NA,"NL-U1102271",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"26","2020-02-08 09:19:52-03","NBC","NL-BOTANY","U.1102272","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacigalupo","Cáceres SA",NA,NA,NA,"Arbo MM; Cáceres SA; Maruñak V",NA,"1996","12","04","Argentina","Corrientes",NA,NA,"-58.316667","-28.783333","-58.316667","-28.783333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102272 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102272",NA,"Gentianales","Southern America",NA,NA,"NL-U1102272",NA,NA,"Magnoliopsidae","U 0082300",NA,NA,NA
"27","2020-02-08 09:19:52-03","NBC","NL-BOTANY","U.1102273","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacigalupo","Cáceres SA",NA,NA,NA,"Arbo MM; Cáceres SA; Maruñak V",NA,"1996","12","04","Argentina","Corrientes",NA,NA,"-58.316667","-28.783333","-58.316667","-28.783333",NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1102273 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1102273",NA,"Gentianales","Southern America",NA,NA,"NL-U1102273",NA,NA,"Magnoliopsidae","U 0082301",NA,NA,NA
"28","2020-11-04 10:59:43-03","ESALQ","ESA","23267","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus",NA,"Konno, T.","2004",NA,NA,"Barreto, K.D. et al.","1973.0","1994","02","08","Brasil","São Paulo","Piracicaba",NA,"-47.6399993896484","-22.7199993133545",NA,NA,NA,NA,NA,"ESA023267","Magnoliophyta",NA,NA,NA,NA,"ESA023267","44778","auto",NA,NA,NA,NA,NA
"29","2021-03-31 13:35:11-03","MN","R","208600","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"Nilson, M.H.; et al.",NA,"1992","04","28","México","Jalisco","Autlán",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-31 13:35:11-03","MN","R","222911","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","Gabrielle, R. & Fontella, J.","2011","11","17","Korte, A.","6841","2011","05","12","Brasil","Santa Catarina","Imaruí",NA,"-48.78","-28.26","48°46'48W","28°15'36S","7","7","Herbário Dr. Roberto Miguel Klein - FURB 35444","R010021259,R010021260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-01-14 15:21:14-03","MN","R","231576","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"Alves, R.J.V.","4982","1996","05","17","Brasil","Minas Gerais","Tiradentes",NA,"-44.1781005859375","-21.1103000640869",NA,NA,NA,NA,NA,"R010033492,R010033493,R010033494",NA,NA,NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA
"32","2021-01-14 15:21:14-03","MN","R","94888","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","selloanus","Gonolobus selloanus","(E. Fourn.) Bacigalupo","Fontella, J.P.","1986","09","20","Ule, E.H.G.","2635","1892","02",NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"33","2021-01-14 15:21:14-03","MN","R","231558","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","selloanus","Gonolobus selloanus","(E. Fourn.) Bacigalupo","Rapini, A.","1999","07",NA,"Alves, R.J.V.","6151","1998","05","10","Brasil","Minas Gerais","Tiradentes",NA,"-44.1781005859375","-21.1103000640869",NA,NA,NA,NA,NA,"R010033233,R010033234,R010033235",NA,NA,NA,NA,NA,NA,"10355","auto",NA,NA,NA,NA,NA
"34","2021-01-14 15:21:14-03","MN","R","20440","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","selloanus","Gonolobus selloanus","(E. Fourn.) Bacigalupo","Fontella, J.P.","1986","11","20","Malme, G.O.A.","1338","1902","02","09","Brasil","Rio Grande do Sul","Porto Alegre",NA,"-51.2299995422363","-30.0331001281738",NA,NA,NA,NA,"Herb. Brasil. Regnell. Musei bot. Stockholm. Plantae Itineris Regnelliani Iidi número 1338",NA,NA,NA,NA,NA,NA,NA,"29946","auto",NA,NA,NA,NA,NA
"35","2021-01-14 15:21:14-03","MN","R","102170","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","selloanus","Gonolobus selloanus","(E. Fourn.) Bacigalupo","Fontella, J.P. & Schwarz, E.A.","1983","08","25","Magalhães, C.T.",NA,"1892","02",NA,"Brasil","Minas Gerais","Ouro Preto","Lajes","-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,"Herbarium Silveira 402",NA,NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA
"36","2020-11-19 10:22:37-03","CPAP","CPAP","7176","PreserverdSpecimen","Plantae","Apocynaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacigalupo","V. J. Pott",NA,NA,NA,"Pott, V. J.","1151","1989","11","16","Brasil","MS","Corumbá","Estrada do Porto da Manga, próximo ao Clube do Laço, 15km de Corumbá","-57.65","-19.016667","57°39' W","19°01' S","140","140","Trepadeira. FLOR: verde. FRUTO: verde. Fruto com alas laterais.. INTERESSE: . FREQUÊNCIA: Frequete.. AMBIENTE: Beira de estrada. SUBSTRATO: solo calcário. RELEVO: plano.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-12-19 08:07:53-03","FPS","FPS","3917","MachineObservation","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","Schwirkowski, P.","2019","02","07","Schwirkowski, P.","3344","2019","02","07","Brasil","Santa Catarina","São Bento do Sul","Serra Alta.","-49.370226","-26.278541","-49.370226","-26.278541",NA,NA,NA,"FPS03917,FURB63677",NA,NA,NA,NA,NA,"FPS03917_v01 FPS03917_v02 FPS03917_v03 FPS03917_v04 FPS03917_v05 FPS03917_v06 FPS03917_v07 FPS03917_v08 FPS03917_v09 FURB63677",NA,NA,NA,"FURB 63677","voucher",NA,NA
"38","2019-08-27 13:26:15-03","IAP","PACA-AGP","47446","PreservedSpecimen","Plantae","Asclepiadaceae","Exolobus","selloanus","Exolobus selloanus","E. Fourn.","Emrich-Rambo","1954","05","09","A. Spies",NA,"1947","01",NA,"Brasil","RS","Santa Rosa","Campinas","-54.4813995361328","-27.8708000183105",NA,NA,NA,NA,"SEM MATERIAL Habitat: in silvula secundaria scandens Fenofase: flor","PACA047446","Magnoliophyta","Gentianales",NA,NA,NA,NA,"19818","auto","Liliatae",NA,NA,NA,NA
"39","2019-08-27 13:29:57-03","IAP","PACA-AGP","48107","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"A. Spies",NA,"1950","02",NA,"Brasil","RS","Santa Rosa","Natal","-54.4813995361328","-27.8708000183105",NA,NA,NA,NA,"Habitat: Ad silvam primaevam scandens. Fenofase: flor","PACA048107","Magnoliophyta","Gentianales",NA,NA,NA,NA,"19818","auto","Magnoliatae",NA,NA,NA,NA
"40","2019-08-27 13:29:57-03","IAP","PACA-AGP","48771","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","Rapini","2008",NA,NA,"Rambo, B.",NA,"1951","01","18","Brasil","RS","Torres","Lagoa dos Quadros","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Habitat: In alte dumetosis scandens. Fenofase: flor","PACA048771","Magnoliophyta","Gentianales",NA,NA,NA,NA,"20837","auto","Magnoliatae",NA,NA,NA,NA
"41","2019-08-27 13:29:57-03","IAP","PACA-AGP","46024","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","Rapini","2008",NA,NA,"Rambo, B.",NA,"1950","02","21","Brasil","RS","Torres","Lagoa dos Quadros","-49.7268981933594","-29.3353004455566",NA,NA,NA,NA,"Habitat: In silvula secundaria scandens. Fenofase: flor","PACA046024","Magnoliophyta","Gentianales",NA,NA,NA,NA,"20837","auto","Magnoliatae",NA,NA,NA,NA
"42","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013383","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacigalupo","S. Caceres",NA,NA,NA,"M. M. Arbo; Caceres S.A. & MarunakV.","7058","1996","12","4","Argentina","Corrientes",NA,"Dep. San Roque. Estancia San Antonio, ca. 30 km al NE de Chavarria, camino a Concepcion, 4 km al E de la ruta, al E del casco.","-58.3167","-28.7833",NA,NA,NA,NA,"Trepadora, petalos verdosos con reticulado pardo, apendices de las anteras blancos",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0013384","PreservedSpecimen","Plantae","Asclepiadaceae","Gonolobus","selloanus","Gonolobus selloanus","(E.Fourn.) Bacigalupo","A. Rapini",NA,NA,NA,"O. S. Ribas; J. M. Silva","3200","2001","2","9","Brazil","Parana",NA,"Cabeceiras do Ribeirao do Tigre (Mun. Dr. Ulysses).","-49.4384765625","-24.574601971051",NA,NA,NA,NA,"Voluvel, petalas verde-escuras, ginostemio creme. Orla da floresta ombrofila densa.",NA,"Magnoliophyta","Gentianales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 14:30:22-03","UFJF","CESJ","68970","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.","M.A. Farinaccio","2016","01","15","D.R. Gonzaga","647","2015","12","23","Brasil","Minas Gerais","Barbacena","Sítio Rancho Novo","-43.75","-21.216667","-43.75","-21.216667",NA,NA,"Área de campo aberto, transição de Mata Atlântica e Cerrado. Erva escandente, látex alvo, folhas aromáticas, cálice verde, botões florais verdes, flores verdes.","CESJ068970","Angiosperma",NA,"América do Sul",NA,NA,"CESJ068970",NA,NA,NA,NA,NA,NA,NA
"45","2021-04-07 11:40:57-03","UFMS","CGMS","59015","PreservedSpecimen","Plantae","Apocynaceae","Gonolobus","parviflorus","Gonolobus parviflorus","Decne.",NA,NA,NA,NA,"J. Durigon","984","2013","02","20","Brasil","Rio Grande do Sul","Redentora","Para Coronel Bicaco.","-53.6261111","-27.7208334","-53,6261111","-27,7208334",NA,NA,NA,"CGMS002342",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
