"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","identifiedBy","yearIdentified","monthIdentified","dayIdentified","individualCount","occurrenceRemarks","scientificNameAuthorship","recordedBy","year","month","country","stateProvince","recordNumber","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","geoFlag","day","locality","verbatimLongitude","verbatimLatitude","preparationType","continentOcean"
"11","2020-04-27 16:10:56-03","UFES","VIES","23616","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Silva, H.L. da","2018","05","10",NA,NA,"Batem. ex Lindl.","Mota, R.H.","2017","10","Brasil","Espírito Santo","33","VIES023616","VIES023616","Guarapari","-40.416944","-20.606111",NA,NA,"07","Parque Estadual Paulo César Vinha.","40º25'1''W","20º36'22''S",NA,NA
"12","2020-12-22 16:06:12-03","UFES","VIES","48550","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Batem. ex Lindl.","Guarnier, J.C.; Calazans, L.S.B., Caitano, H.A., Dutra, V.F. & Valadares, R.T.","2020","08","Brasil","Espírito Santo","472","VIES048550","VIES048550","Guarapari","-40.410833","-20.599444",NA,NA,"06","Parque Estadual Paulo César Vinha.","40º24'39''W","20º35'58''S",NA,NA
"13","2020-04-27 16:10:56-03","UFES","VIES","9720","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Fraga, C.N.","1994","08","26",NA,NA,"Batem. ex Lindl.","Fraga, C.N.","1994","08","Brasil","Espírito Santo","29","VIES009720",NA,"Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","26",NA,NA,NA,NA,NA
"14","2020-04-27 16:10:56-03","UFES","VIES","9721","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Fraga, C.N.","1994","12","03",NA,NA,"Batem. ex Lindl.","Fraga, C.N.","1994","12","Brasil","Espírito Santo","75","VIES009721",NA,"Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","03",NA,NA,NA,NA,NA
"15","2021-02-12 18:12:25-03","UFES","VIES","6800","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Fraga, C.N.","1996","04","18",NA,NA,"Batem. ex Lindl.","Pereira, O.J.; Espindula, E.","1992","11","Brasil","Espírito Santo","s.n.","VIES006800","VIES006800","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","20","Parque Estadual de Setiba.",NA,NA,NA,NA
"16","2020-04-27 16:10:56-03","UFES","VIES","5847","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Guarnier, J.C.","2018","05","07",NA,NA,"Batem. ex Lindl.","Gomes, J.M.L.","1991","04","Brasil","Espírito Santo","1508","VIES005847","VIES005847","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","17","Parque Estadual Paulo César Vinha.",NA,NA,NA,NA
"17","2019-09-27 18:05:45-03","UFES","VIES","14820","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Assis, A.M.","2000","11","28",NA,NA,"Batem. ex Lindl.","Assis, A.M.","2000","11","Brasil","Espírito Santo","866","VIES014820","VIES014820","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","28","Parque Estadual Paulo César Vinha.",NA,NA,NA,NA
"18","2019-06-27 10:26:04-03","UFES","VIES","3127","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Milanezi, M.A.","1988",NA,NA,NA,NA,"Batem. ex Lindl.","Pereira, O.J.; Gomes, J.M.L.","1988","10","Brasil","Espírito Santo","1856","VIES003127","VIES003127","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","18","Setiba.",NA,NA,NA,NA
"19","2016-11-10 11:32:12-02","MNHN","RECOLNAT_MNHN_P","P00407287","PreservedSpecimen",NA,"Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Berg",NA,NA,NA,NA,"Rapporté du Brésil par Mr Pinel en 1839 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00407287' target='other'> <mi>dwc_moreinfo</mi></a>","Bateman ex Lindl.","Rivière, A.","1847","8","Brésil",NA,NA,"P00407287","P00407287_01",NA,NA,NA,NA,NA,"8",NA,NA,NA,"hb",NA
"20","2008-05-27 22:02:00-03","MO","MOBOT","2814447","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Pabst",NA,NA,NA,NA,NA,"Bateman ex Lindl.","Hugh M. Curran","1918",NA,"Brazil","Rio de Janeiro","Curran 743",NA,NA,NA,NA,NA,NA,NA,NA,"Nova Friburgo.",NA,NA,NA,"South America"
"21","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16394",NA,"Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","C. N. Fraga",NA,NA,NA,NA,"Formação de restinga aberta de Clusia. Epífito, flores com sépalas e pétalas lilás, labelo com lobos laterias lilás e lobo terminal amarelado.","Bateman ex Lindl.","C. N. de Fraga","1999","09","Brasil","Espírito Santo","511","MBML016394","MBML016394","Guarapari","-40.422222","-20.605278",NA,NA,"30","Parque Estadual Paulo César Vinha","40W25'20","20S36'19",NA,NA
"22","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16395",NA,"Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","C. N. Fraga",NA,NA,NA,NA,"Formação de restinga aberta de Clusia. Epífito, flores com sépalas e pétalas lilás, labelo com lobos laterias lilás e lobo terminal amarelado.","Bateman ex Lindl.","C. N. de Fraga","1994","08","Brasil","Espírito Santo","29","MBML016395","MBML016395","Guarapari","-40.422222","-20.605278",NA,NA,"26","Parque Estadual Paulo César Vinha","40W25'20","20S36'19",NA,NA
"23","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16396",NA,"Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","C. N. Fraga",NA,NA,NA,NA,"Formação de restinga floresta arenosa litorânea. Epífito, flores com sépalas e pétalas lilás, labelo com lobos laterais lilás e lobo terminal amarelado.","Bateman ex Lindl.","C. N. de Fraga; et al","1994","12","Brasil","Espírito Santo","75","MBML016396","MBML016396","Guarapari","-40.422222","-20.605278",NA,NA,"03","Parque Estadual Paulo César Vinha","40W25'20","20S36'19",NA,NA
"24","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16398",NA,"Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","C. N. Fraga",NA,NA,NA,NA,"Formação de restinga floresta arenosa litorânea. Epífito, flores com sépalas e pétalas lilás, labelo com lobos laterais lilás e lobo terminal amarelado.","Bateman ex Lindl.","C. N. de Fraga; et al","1999","02","Brasil","Espírito Santo","556","MBML016398","MBML016398","Guarapari","-40.422222","-20.605278",NA,NA,"01","Parque Estadual Paulo César Vinha","40W25'20","20S36'19",NA,NA
"25","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","4392",NA,"Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,"Álcool","Bateman ex Lindl.","H. Q. Boudet Fernandes","1987","12","Brasil","Espírito Santo",NA,"MBML004392",NA,"Santa Teresa","-40.6","-19.936111",NA,NA,"18","Museu de Biologia Mello Leitão","40W36'0","19S56'10",NA,NA
"26","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","49888",NA,"Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","R.X. Bolsanello","2012","02","Brasil","Espírito Santo",NA,"MBML049888","MBML049888","Guarapari","-40.5110015869141","-20.6580009460449","28401","auto","08","Setibá",NA,NA,NA,NA
"27","2020-07-10 09:48:12-03","MBML","MBML-HERBARIO","16397",NA,"Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","C. N. Fraga",NA,NA,NA,NA,"Formação de restinga floresta arenosa litorânea. Epífito, flores com sépalas, pétalas e labelo lilás.","Bateman ex Lindl.","C. N. de Fraga; et al","2000","01","Brasil","Espírito Santo","632","MBML016397","MBML016397","Vitória","-40.3377990722656","-20.3194007873535","15291","auto","12","Goiabeiras",NA,NA,NA,NA
"28","2014-11-06 16:18:19-02","UFPB","EAN","2575","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","L. P. Felix & G. V. Dornelas","1985","11","18",NA,"Flor lilás com pétalas de labelo amarelo. Planta doada por José Pedro Gomes de Baieux - PB.Habitat: Epífita","Batem","L. P. Felix ; G. V. Dornelas","1984","12","Brasil","Rio de Janeiro","49",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2014-11-06 16:18:19-02","UFPB","EAN","3468","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","L. P. Felix & G. V. Dornelas","1987","04","20",NA,"Herbáceo; flores lilases..Habitat: Epífita","Batem","L. P. Felix ; G. V. Dornelas","1987","03","Brasil","Rio de Janeiro","618",NA,NA,"Macaé","-41.7869","-22.3708","47209","auto","08",NA,NA,NA,NA,NA
"30","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","brownii","Cattleya brownii",NA,NA,NA,NA,NA,NA,"Rolfe","Sander",NA,NA,"Brazil","Minas Gerais","s.n.(Hort.",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. Minas Geraes",NA,NA,NA,"Southern America"
"31","2017-09-11 17:11:31-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","brownii","Cattleya brownii",NA,NA,NA,NA,NA,NA,"Rolfe","Sander",NA,NA,"Brazil","Minas Gerais","s.n.(Hort.",NA,NA,NA,NA,NA,NA,NA,NA,"Habitat in prov. Minas Geraes",NA,NA,NA,"Southern America"
"32","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Barbosa Rodrigues, J",NA,NA,"Brazil",NA,"s.n.",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in restingas de Maricá",NA,NA,NA,"Southern America"
"33","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","St.-Hil, A",NA,NA,"Brazil","São Paulo","C1232",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in prov. S. Paulo",NA,NA,NA,"Southern America"
"34","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Burchell, WJ","1826","02","Brazil","Rio de Janeiro","1996",NA,"P03P5N0052","Teresópolis","-42.983333","-22.433333",NA,NA,"01","IBB/Fazenda Mr. March, Teresópolis, RJ, Serra dos Órgãos about the head of River Paquequé, near Mr. March dwelling house (Near Teresópolis)","-42.983333","-22.433333",NA,"Southern America"
"35","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Gardner, G",NA,NA,"Brazil","Rio de Janeiro","s.n.",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,"Southern America"
"36","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,"Floret Januario - Februario","Bateman ex Lindl.","St.-Hil, A",NA,NA,"Brazil","São Paulo","1254?",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in prov. S. Paulo",NA,NA,NA,"Southern America"
"37","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","St.-Hil, A",NA,NA,"Brazil","São Paulo","C1232?",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in prov. S. Paulo",NA,NA,NA,"Southern America"
"38","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Luschnath, B",NA,NA,"Brazil","Rio de Janeiro","73",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in arboribus vetustioribus prope Cabo Frio",NA,NA,NA,"Southern America"
"39","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,"Floret Januario - Februario","Bateman ex Lindl.","St.-Hil, A",NA,NA,"Brazil","São Paulo","1254",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in prov. S. Paulo",NA,NA,NA,"Southern America"
"40","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Burchell, WJ",NA,NA,"Brazil","Rio de Janeiro","1996",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"ad Serra dos Orgãos secus flum. Paquequer",NA,NA,NA,"Southern America"
"41","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Luschnath, B",NA,NA,"Brazil","Rio de Janeiro","73?",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in arboribus vetustioribus prope Cabo Frio",NA,NA,NA,"Southern America"
"42","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Miers, J",NA,NA,"Brazil","Rio de Janeiro","s.n.",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,"Southern America"
"43","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Miers, J",NA,NA,"Brazil","Rio de Janeiro","s.n.",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,"Southern America"
"44","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Gardner, G",NA,NA,"Brazil","Rio de Janeiro","s.n.",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"Habitat in prov. Rio de Janeiro",NA,NA,NA,"Southern America"
"45","2017-09-11 17:11:32-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindl.","Barbosa Rodrigues, J",NA,NA,"Brazil",NA,"s.n.",NA,"P03P5N0052",NA,NA,NA,NA,NA,NA,"in restingas de Maricá",NA,NA,NA,"Southern America"
"46","2019-11-21 10:12:59-03","IBt","SP","24923","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Van den Berg, C",NA,NA,NA,NA,NA,"Bateman ex Lindl.","Capitão Amilcar","1917","01","Brasil","Espírito Santo","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 10:12:59-03","IBt","SP","2662","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Berg, C van den","1996","07","11",NA,NA,"Bateman ex Lindl.","Magalhães, A",NA,NA,"Brasil","Rio de Janeiro","s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-21 10:12:59-03","IBt","SP","39237","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Berg, C van den","1996","07","11",NA,NA,"Bateman ex Lindl.","s.col.","1938","03","Brasil","Espírito Santo","s.n.",NA,NA,"Vitória","-40.3377990722656","-20.3194007873535","15291","auto","14",NA,NA,NA,NA,NA
"49","2019-11-21 10:12:59-03","IBt","SP","25585","S","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana","Berg, C van den","1996","07","11",NA,NA,"Bateman ex Lindl.","Spannagel, C",NA,NA,"Brasil","Rio de Janeiro","46",NA,NA,"Petrópolis","-43.1786003112793","-22.5049991607666","36524","auto",NA,NA,NA,NA,NA,NA
"50","2020-12-16 12:45:04-03","AMES","HU-HERB","AMES 01985186","PreservedSpecimen","Plantae","Orchidaceae","Cattleya","harrisoniana","Cattleya harrisoniana",NA,NA,NA,NA,NA,NA,"Bateman ex Lindley",NA,"1914","10","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,"7",NA,NA,NA,"Sheet","South America"
