"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","phylum","order","recordNumber","continentOcean","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","individualCount","typeStatus"
"11","2020-02-08 10:20:27-03","NBC","NL-BOTANY","L.1344759","PreservedSpecimen","Plantae","Gramineae","Stipa","sellowiana","Stipa sellowiana","Trin. & Rupr.",NA,NA,"Reitz R; Klein RM","1962","12","19","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1344759","NL-L1344759",NA,"Poales",NA,"Southern America","Santas Catarina. Campo do Areao, Santa Cecilia. Campo umido.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1344759 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"12","2020-02-08 10:20:27-03","NBC","NL-BOTANY","L.1344761","PreservedSpecimen","Plantae","Gramineae","Stipa","sellowiana","Stipa sellowiana","Trin. & Rupr.",NA,NA,"Reitz R; Klein RM","1960","11","04","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1344761","NL-L1344761",NA,"Poales",NA,"Southern America","Santa Catarina. Merre de Campo Alegre, Sao Francisco de Sul. Campo sece, entre pedras.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1344761 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"13","2020-02-08 10:20:27-03","NBC","NL-BOTANY","L.1344762","PreservedSpecimen","Plantae","Gramineae","Stipa","sellowiana","Stipa sellowiana","Trin. & Rupr.",NA,NA,"Hatschbach GG","1960","11","13","Brazil",NA,NA,NA,NA,NA,NA,"NL-L1344762","NL-L1344762",NA,"Poales",NA,"Southern America","Parana. Mun Campina Gde. do Sul. Estr. Rio Taquary-Rio Divisa.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1344762 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"14","2020-02-08 10:20:27-03","NBC","NL-BOTANY","L.1344763","PreservedSpecimen","Plantae","Gramineae","Stipa","sellowiana","Stipa sellowiana","Trin. & Rupr.",NA,NA,"Düsen P",NA,NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NL-L1344763","NL-L1344763",NA,"Poales",NA,"Southern America","Plantae Brasilienses e civitate Parana reportatae. Pintiaes, iu subuligiuosis nec nou in aggere viae ferreac.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1344763 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"15","2020-02-08 10:20:27-03","NBC","NL-BOTANY","U.1521550","PreservedSpecimen","Plantae","Gramineae","Stipa","sellowiana","Stipa sellowiana","Trin. & Rupr.",NA,NA,"Valls JFM; Arzivenco L","1970","12","30","Brazil",NA,NA,NA,NA,NA,NA,"NL-U1521550","NL-U1521550",NA,"Poales",NA,"Southern America","Bom Jesus-Serra da, Rocinha.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1521550 target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"16","2019-08-27 13:26:12-03","IAP","PACA-AGP","56318","PreservedSpecimen","Plantae","Gramineae","Stipa","sellowiana","Stipa sellowiana","Nees","L. Parodi",NA,"Rambo, B.","1955","01","02","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA056318",NA,"Magnoliophyta","Cyperales",NA,NA,"Faz. Englert",NA,NA,NA,"conf. A. Zanin em 22.08.1989 Habitat: In campestribus alte graminosis Fenofase: fruto","76715","auto","Liliatae",NA,NA,NA,NA
"17","2019-08-27 13:26:12-03","IAP","PACA-AGP","56354","PreservedSpecimen","Plantae","Gramineae","Stipa","sellowiana","Stipa sellowiana","Nees","L. Parodi",NA,"Rambo, B.","1955","01","02","Brasil","RS","São Francisco de Paula","-50.5835990905762","-29.4480991363525",NA,NA,"PACA056354",NA,"Magnoliophyta","Cyperales",NA,NA,"Faz. Englert",NA,NA,NA,"Habitat: In alte graminosis Fenofase: fruto","76715","auto","Liliatae",NA,NA,NA,NA
"18","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0016093","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees ex Trin. & Rupr.","S.A. Renvoize",NA,"J. M. Silva; E. Barbosa & J. Cordeiro","2000","2","25","Brazil","Parana",NA,"-48.5667","-25.9",NA,NA,NA,NA,"Magnoliophyta","Poales","3268",NA,"Serra do Aracatuba (Mun. Guaratuba) Parana","1300",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0038656","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees ex Trin. & Rupr.","Longhi-Wagner, 2008",NA,"J. M. Silva; J. Cordeiro, C. B. Poliquesi","2008","10","6","Brazil","Parana",NA,"-49.6167","-25.6",NA,NA,NA,NA,"Magnoliophyta","Poales","7029",NA,"Serra Sao Luis do Puruna (Mun. Balsa Nova).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-07 11:47:32-03","UFMS","CGMS","49350","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.",NA,"2020","J.M. Silva; E. Barbosa; J. Cordeiro","2000","02","25","Brasil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,"CGMS1077002",NA,NA,NA,"3268",NA,"Serra do Araçatuba.","1300","1300",NA,NA,"41937","auto",NA,NA,NA,NA,NA
"21","2019-11-27 13:51:45-03","UFS","ASE","34983","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","Mota, AC; Andrade, RC","2015","Santana Júnior, JA; Figueiredo, MAM; Silva, BD","2015","09","14","Brasil","Sergipe","Divina Pastora","-37.0955","-10.4356","-37.0955","-10.4356","ASE0035905","ASE0035905","Magnoliophyta",NA,"351","Southern America","Fazenda São Joaquim, No entorno da Caverna do Urubuzinho e da Caverna do Sobe e Desce",NA,NA,NA,"Herbácea. Aproximadamente 60 cm. Inflorescênia com espiguetas castanhas.; Mata Atlântica",NA,NA,NA,"10","27",NA,NA
"22","2021-03-01 16:20:43-03","UNICAMP","UEC","17143","S","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Renvoize, SA","1973","Hatschbach, G","1971","10","08","Brazil","Paraná","Sengés","-49.4636001586914","-24.1128005981445",NA,NA,"UEC056453","UEC056453","Liliopsida",NA,"27165",NA,"Serra do Mocambo",NA,NA,NA,"Locais brejosos nas encostas de morro, junto a afloramentos de arenito.","55682","auto",NA,NA,NA,NA,NA
"23","2021-03-01 16:20:43-03","UNICAMP","UEC","99475","S","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Longhi-Wagner, HM",NA,"Longhi-Wagner, HM","1996","01","23","Brazil","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484",NA,NA,"UEC056454","UEC056454","Liliopsida",NA,"3020",NA,"Serra da Bocaina, Estrada para faz. Pinheirinho.",NA,NA,NA,"Local úmido, no campo aberto próximo a Podocarpus e Araucaria.","30784","auto",NA,NA,NA,NA,NA
"24","2021-03-01 16:20:43-03","UNICAMP","UEC",NA,"S","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Longhi-Wagner, HM",NA,"Longhi-Wagner, HM","1996","01","23","Brazil","São Paulo","São José do Barreiro","-44.5699996948242","-22.6399993896484",NA,NA,"UEC056451",NA,"Liliopsida",NA,"3020",NA,"Serra da Bocaina, Estrada para faz. Pinheirinho.",NA,NA,NA,"Local úmido, no campo aberto próximo a Podocarpus e Araucaria.","30784","auto",NA,NA,NA,NA,NA
"25","2019-08-16 08:40:37-03","UTFPR","HCF","19948","S","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","H. Longhi-Wagner","2008","J.M. Silva","2008","10","06","Brasil","PR","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,NA,"7049",NA,"Serra São Luis do Purunã",NA,NA,NA,"em touceira. Campo graminoso.","27346","auto",NA,NA,NA,NA,NA
"26","2019-08-16 08:40:37-03","UTFPR","HCF","12223","S","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","E.D. Lozano","2013","E.D. Lozano","2011","11","05","Brasil","PR","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,NA,NA,NA,NA,"572",NA,"Morro Camapuã",NA,NA,NA,"herbácea, 1 m, espiguetas castanho-fulgente, campo limpo.","55154","auto",NA,NA,NA,NA,NA
"27","2020-12-21 16:40:34-03","MBM","MBM","399309","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","Cordeiro, J.","2015","Savarais, M.","2010","08","21","Brazil","Rio Grande do Sul","Passo Fundo","-52.398619","-28.227219","-52.398619","-28.227219","MBM399309","MBM399309",NA,NA,"552","Southern America","Universidade de Passo Fundo","683","683",NA,NA,NA,NA,NA,"07","20",NA,NA
"28","2020-12-21 16:40:34-03","MBM","MBM","408832","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","Barboza, E.","2017","Silva, J.M.; Brotto, M.L.; Brotto, M.L.","2015","11","26","Brazil","Santa Catarina","Garuva","-48.963889","-26.029722","-48.963889","-26.029722","MBM408832","MBM408832",NA,NA,"9163","Southern America","Serra do Quiriri","1300","1300",NA,"Erva cespitosa.; Campo de altitude recém queimado.",NA,NA,NA,"03","31",NA,NA
"29","2020-12-21 16:41:06-03","MBM","MBM","222863","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Longhi-Wagner, H.","2008","Schneider, H.","1990",NA,NA,"Brazil","Paraná","Piraí do Sul","-49.948600769043","-24.5261001586914",NA,NA,"MBM222863","MBM222863",NA,NA,"s.n.","Southern America",NA,NA,NA,NA,NA,"37171","auto",NA,"10",NA,NA,NA
"30","2020-12-21 16:41:06-03","MBM","MBM","32713","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Renvoize, S.A.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","Quatro Barras","-49.0769004821777","-25.3656005859375",NA,NA,"MBM032713","MBM032713",NA,NA,"35531","Southern America","Rio Taquari, próximo a Estrada da Graciosa",NA,NA,NA,NA,"17116","auto",NA,NA,NA,NA,NA
"31","2020-12-21 16:41:06-03","MBM","MBM","386450","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Cordeiro, J.","2013","Barboza, E.; Cordeiro, J.; Silva, J.M.; Motta, J.T.; Cordeiro, J.; Silva, J.M.; Motta, J.T.","2013","10","31","Brazil","Santa Catarina","Garuva","-48.979083","-26.032306","-48.979083","-26.032306","MBM386450","MBM386450",NA,NA,"4027","Southern America","Campos do Quiriri","1350","1350",NA,"Planta formando touceiras.; Refúgio Vegetacional Altomontano (campo de altitude), local úmido.",NA,NA,NA,"12","03",NA,NA
"32","2020-12-21 16:41:06-03","MBM","MBM","386450","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Cordeiro, J.","2013","Barboza, E.; Cordeiro, J.; Silva, J.M.; Motta, J.T.; Cordeiro, J.; Silva, J.M.; Motta, J.T.","2013","10","31","Brazil","Santa Catarina","Garuva","-48.979083","-26.032306","-48.979083","-26.032306","MBM386450","MBM386450",NA,NA,"4027","Southern America","Campos do Quiriri","1350","1350",NA,"Planta formando touceiras.; Refúgio Vegetacional Altomontano (campo de altitude), local úmido.",NA,NA,NA,"12","03",NA,NA
"33","2020-12-21 16:41:06-03","MBM","MBM","105965","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Renvoize, S.A.",NA,"Silva, J.M.",NA,NA,NA,"Brazil","Paraná","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,"MBM105965","MBM105965",NA,NA,"19","Southern America","Serra São Luís",NA,NA,NA,NA,"27346","auto",NA,NA,NA,NA,NA
"34","2020-12-21 16:41:06-03","MBM","MBM","347653","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Longhi-Wagner","2008","Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.","2008","10","06","Brazil","Paraná","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,"MBM347653","MBM347653",NA,NA,"7029","Southern America","Serra São Luís do Purunã",NA,NA,NA,"Em touceira. Campo graminoso","27346","auto",NA,NA,NA,NA,NA
"35","2020-12-21 16:41:06-03","MBM","MBM","26321","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Zanin, A.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","Campina Grande do Sul","-49.0553016662598","-25.3055992126465",NA,NA,"MBM026321","MBM026321",NA,NA,"7476","Southern America","Estrada Rio Taquari - Rio Divisa",NA,NA,NA,NA,"55154","auto",NA,NA,NA,NA,NA
"36","2020-12-21 16:41:06-03","MBM","MBM","19511","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Renvoize, S.A.",NA,"Hatschbach, G.; Smith, L.B.; Klein, R.; Smith, L.B.; Klein, R.",NA,NA,NA,"Brazil","Paraná","General Carneiro","-51.315601348877","-26.4274997711182",NA,NA,"MBM019511","MBM019511",NA,NA,"28351","Southern America","Faxinal dos Souza",NA,NA,NA,NA,"33284","auto",NA,NA,NA,NA,NA
"37","2020-12-21 16:41:06-03","MBM","MBM","230903","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Longhi-Wagner, H.M.",NA,"Silva, J.M.; Barboza, E.; Cruz, J.M.; Barboza, E.; Cruz, J.M.",NA,NA,NA,"Brazil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,"MBM230903","MBM230903",NA,NA,"2655","Southern America","Serra do Araçatuba",NA,NA,NA,NA,"41937","auto",NA,NA,NA,NA,NA
"38","2020-12-21 16:41:06-03","MBM","MBM","12900","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Renvoize, S.A.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","São José dos Pinhais","-49.2064018249512","-25.5347003936768",NA,NA,"MBM012900","MBM012900",NA,NA,"22828","Southern America","Rio Pequeno",NA,NA,NA,NA,"45291","auto",NA,NA,NA,NA,NA
"39","2020-12-21 16:41:06-03","MBM","MBM","19117","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Renvoize, S.A.",NA,"Hatschbach, G.",NA,NA,NA,"Brazil","Paraná","Sengés","-49.4636001586914","-24.1128005981445",NA,NA,"MBM019117","MBM019117",NA,NA,"27165","Southern America","Serra do Mocambo",NA,NA,NA,NA,"55682","auto",NA,NA,NA,NA,NA
"40","2020-12-21 16:41:06-03","MBM","MBM","230918","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees","Longhi-Wagner, H.M.",NA,"Barboza, E.; Cruz, J.M.; Poliquesi, C.B.; Cruz, J.M.; Poliquesi, C.B.",NA,NA,NA,"Brazil","Paraná","Tijucas do Sul","-49.1988983154297","-25.9281005859375",NA,NA,"MBM230918","MBM230918",NA,NA,"202","Southern America","Serra de Papanduva",NA,NA,NA,NA,"25228","auto",NA,NA,NA,NA,NA
"41","2021-02-11 17:21:21-03","UFPR","UPCB","45383","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees ex Trin. & Rupr.","Pereira, S.","2002","Pereira, S.","2000","11","17","Brasil","Paraná","Guaratuba","-48.5746994018555","-25.8827991485596",NA,NA,"UPCB0040939","UPCB0040939",NA,NA,"105",NA,"Serra de Araçatuba, Morro dos Perdidos",NA,NA,NA,"Planta cespitosa, ca. 1m, aristas muito longas e calo pungente. Refúgio vegetacional altomontano. Alt.: ca. 1300m s.n.m..","41937","auto",NA,"04",NA,NA,NA
"42","2021-02-11 17:21:21-03","UFPR","UPCB","14655","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees ex Trin. & Rupr.","Renvoize, S.A.","1987","Silva, J.M.","1985","10","31","Brasil","Paraná","Balsa Nova","-49.6356010437012","-25.5839004516602",NA,NA,"UPCB0038595","UPCB0038595",NA,NA,"19",NA,"Serra São Luiz",NA,NA,NA,"Campo, borda da Cuesta devoniana..","27346","auto",NA,"01","01",NA,NA
"43","2014-03-29 17:10:00-03","MO","MOBOT","2453579","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","Peñailillo, P. B.",NA,"J.F. Molfino","1922",NA,NA,"Argentina","Misiones","Apóstoles","-55.76666","-27.91666",NA,NA,NA,NA,NA,NA,"Molfino s.n.13","South America","de Apóstoles a San Javier",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2009-07-21 23:34:00-03","MO","MOBOT","2480389","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","Cialdella, A. M.",NA,"Per Dusén","1915","2","4","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén 17291","South America","Ypiranga. desvio Ypiranga, locis graminosis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2014-11-26 22:30:00-02","MO","MOBOT","2482059","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","Peñailillo, P. B.",NA,"Gert G. Hatschbach|et al.","1971","12","7","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Hatschbach 28351","South America","FAxinal dos Souza (Mun. Gal. Carneiro)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2010-08-24 09:46:00-03","MO","MOBOT","239898","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees ex Trin. & Rupr.",NA,NA,"F. Sellow","1814",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sellow s.n.","South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2008-05-27 22:02:00-03","MO","MOBOT","2992354","PreservedSpecimen","Plantae","Poaceae","Stipa","sellowiana","Stipa sellowiana","Nees ex Trin. & Rupr.","E.L. Ehman",NA,"Per Dusén","1911",NA,NA,"Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dusén 13369","South America","Pinhaes, in subuliginosis bed von in aggere viae ferreae.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2018-05-28 17:23:59-03","UNIOESTE","UNOP","4924","S","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.","Longhi-Wagner","2008","Silva, J.M.; Cordeiro, J.; Poliquesi, C.B.; Cordeiro, J.; Poliquesi, C.B.","2008","10","06","Brasil","Paraná","Balsa nova","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,NA,NA,"7029",NA,"Serra de São Luís do Purunã",NA,NA,NA,"Em touceira. Campo graminoso.","27346","auto",NA,NA,NA,NA,NA
"49","2020-09-12 05:00:02-03","US","US","2643604","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.",NA,NA,"L. Smith & R. M. Klein","1971","11","29","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"Cyperales","15507","South America","Mun. Lebon Regis: 4 km. southeast of São Sebastião.",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"50","2020-09-12 05:00:02-03","US","US","2433669","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.",NA,NA,"L. Smith & R. M. Klein","1956","11","9","Brazil","Santa Catarina",NA,NA,NA,NA,NA,NA,NA,NA,"Cyperales","7457","South America","Mun. Campo Alegre: Bog, lower fazenda of Ernesto Scheide, Campo Alegre.","900",NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
"51","2020-09-12 05:00:02-03","US","US","2705754","PreservedSpecimen","Plantae","Poaceae","Nassella","sellowiana","Nassella sellowiana","(Nees ex Trin. & Rupr.) Peñail.",NA,NA,"G. Hatschbach","1971","10","8","Brazil","Paraná",NA,NA,NA,NA,NA,NA,NA,NA,"Cyperales","27165","South America","Sierra de Mocambo (mun. Senges).",NA,NA,NA,NA,NA,NA,"Monocotyledonae",NA,NA,"1",NA
