"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","identifiedBy","imagecode","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","dayIdentified","fieldNumber","class","individualCount","typeStatus","relatedCatalogItem"
"21","2021-03-01 16:34:28-03","UNICAMP","UEC","154890","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Soares Júnior, FJ","1203","2002","10","05",NA,"Brazil","São Paulo","São José dos Campos","Serra dos Poncianos, Fazenda São Luiz.","-45.954444","-22.910833","1200","1200",NA,"Planta com frutos.; Formação florestal perenifolia de encosta.","UEC069107","Goldenberg, R","UEC069107",NA,NA,"2014",NA,"-45.954444","-22.910833",NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:34:28-03","UNICAMP","UEC","187172","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Silva, SMP; Matos, VA; Ferreira, MI; Cruz, GC; Lima Júnior, EO; Silva, AM","171","2006","07","18",NA,"Brazil","São Paulo","Pindamonhangaba","Fazenda São Sebastião do Ribeirão Grande; Sub bosque, copa com luz solar.","-45.771389","-23.544167","557","557",NA,"Árvore 12,5m alt. Flores brancas, cálice verde, estames amarelos-alaranjados.","UEC115480","Martins, AB","UEC115480",NA,NA,"2007","10","-45.771389","-23.544167",NA,NA,NA,NA,NA,NA
"23","2019-08-20 10:18:50-03","UNICAMP","UEC","158768","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Yamamoto, LF","1610","2004","08","12",NA,"Brazil","Minas Gerais","Extrema","Serra do Lopo","-46.3182983398438","-22.854700088501",NA,NA,NA,NA,"UEC013787","Yamamoto, LF","UEC013787","15223","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:34:28-03","UNICAMP","UEC","158769","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Yamamoto, LF","1317","2003","06","13",NA,"Brazil","Minas Gerais","Extrema","Serra do Lopo, Trilha Pedra das Flores.","-46.3182983398438","-22.854700088501",NA,NA,NA,"Árvore 20 m. Flor branca, botão branco, sépala verde, estame roxo, estaminódio amarelo e gineceu branco arroxeado.","UEC012220","Yamamoto, LF","UEC012220","15223","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-01 16:34:28-03","UNICAMP","UEC","109192","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Kirizawa, M; Lopes, EA; Ieda, E","1905","1987","08","21",NA,"Brazil","São Paulo","Bananal","Serra de Bacaína, 20km da cidade","-44.3199996948242","-22.6800003051758",NA,NA,NA,"Árvora +- 10,0m de altura, com folhas verde-escuras. Corola branca, Conectivo roxo.Ornamental; Mata úmida","UEC021420","Goldenberg, R","UEC021420","26795","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-01 16:34:28-03","UNICAMP","UEC","54491","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Robim, MJ","733","1991","11","07",NA,"Brazil","São Paulo","Campos do Jordão","Parque Estadual, Região do bebedouro.","-45.5900001525879","-22.7299995422363",NA,NA,NA,"Árvore, ca. 16m de altura. Frutos secos.; Mata Latifoliada alta.","UEC080400","Chiea, SAC","UEC080400","21048","auto","1993","10",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-01 16:34:28-03","UNICAMP","UEC","29478","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Martins, FR; Dias, AC; Dias Filho, AC","12354","1980","07","11",NA,"Brazil","São Paulo","Cunha","Reserva Estadual de Cunha.","-44.9599990844727","-23.0699996948242",NA,NA,NA,"Árvore 20m, tronco rugoso, reto. Flores c/ pétalas brancas, estames c/ conectivo alaranjado prolong. p/ cima da antera. Estaninódios c/ o apêndice sup. alaranjado e o inf. roxo.&nf;Nome vulgar: Erva rato, laranja-brava.","UEC021419","Goldenberg, R","UEC021419","38855","auto","1999",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-04-27 16:10:32-03","UFES","VIES","22000","S","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","(Naudin) Triana","Zorzanelli, J.P.F.; Silva, A.E.","421","2011","12",NA,NA,"Brasil","Espírito Santo","Iúna","Serra do Valentim.","-41.5358009338379","-20.3458003997803",NA,NA,NA,NA,"VIES022000","Zorzanelli, J.P.F.","VIES022000","32198","auto","2013","02",NA,NA,"23",NA,NA,NA,NA,NA
"29","2020-12-21 16:34:27-03","MBM","MBM","424339","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Meyer, F.S.; Völtz, R.R.; Brotto, M.L.; Völtz, R.R.; Brotto, M.L.","2600","2019","08","09","Southern America","Brazil","Rio de Janeiro","Teresópolis","Seio da Mulher de Pedra, Trilha que sobe para a montanha, próximo à primeira bica","-42.813389","-22.374111",NA,NA,NA,"Arvore ca. 12 m alt. Flores perfumadas; cálice glabro, verde; pétalas brancas; estames antessépalos com anteras roxas, antepétalos com anteras amarelas.; Floresta Ombrófila Densa Montana (Floresta Pluvial Atlântica).","MBM424339","Meyer, F.S.",NA,NA,NA,"2019","08","-42.813389","-22.374111",NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:34:27-03","MBM","MBM","430203","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Meriania","claussenii","Meriania claussenii","Triana","Völtz, R.R.; Brotto, M.L.; Brotto, M.L.","2231","2020","07","25","Southern America","Brazil","Rio de Janeiro","Nova Friburgo","Macaé de Cima, trilha para o morro Pedra Bicuda","-42.526111","-22.431389","1205","1205",NA,"Árvore 10 m alt.; flores com pétalas brancas, estames com filetes brancos, conectivos amarelados e anteras arroxeadas; interior de floresta de encosta.; Floresta Ombrófila Densa Montana.","MBM430203","Völtz, R.R.",NA,NA,NA,"2020","08","-42.526111","-22.431389","21",NA,NA,NA,NA,NA
