"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","class","infraspecificEpithet","typeStatus","fieldNumber","individualCount","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","2423044","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","E. M. Saddi","476","2011","04","28","South America","Brazil","Minas Gerais","São Vicente de Minas","Parcela P47 dos estudos para o EIA do Minerioduto Bom Sucesso, MG-Itaguai, RJ","-44.4689","-21.5664","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2679994' target='other'> <mi>dwc_moreinfo</mi></a>","NY02423044","NY02423044_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01022913","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","P. Clausen","12",NA,NA,NA,"South America","Brazil","Minas Gerais",NA,"[Probably Minas Gerais.]",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179398' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022913","NY01022913_01","J. A. Ewan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01022918","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","H. S. Irwin","20910","1968","02","26","South America","Brazil","Minas Gerais",NA,"Serra do Espinhaço, ca. 30km N. of Sêrro on road (MG 2) to Diamantina.","-43.65","-18.53","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179407' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022918","NY01022918_01","N. K. B. Robson","1200","1200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","01022916","PreservedSpecimen","Plantae","Magnoliophyta","Malpighiales","Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","R. de Mello-Silva","1729","1999","12","29","South America","Brazil","Minas Gerais","Santos Dumont","Posses. Sítio Boa Esperança II","-43.5525","-21.4569","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1179403' target='other'> <mi>dwc_moreinfo</mi></a>","NY01022916","NY01022916_01","R. de Mello-Silva",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-03-20 11:47:14-03","MCN-PUC-MINAS","HPUC-MG","ANG2627","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis",NA,"J. Maielo",NA,"2009","12","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-03-20 11:47:14-03","MCN-PUC-MINAS","HPUC-MG","ANG2256","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis",NA,NA,NA,"2009","12","19",NA,"Brasil","Minas Gerais",NA,"Senhora de Oliveira",NA,NA,NA,"Doação Brasília (IB) + CETEC PW-25.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG4051","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis",NA,"M.Valentina W.","80",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,"Botão floral creme. Altura 9 m. UTM: 7751698 x; 600620 y.",NA,NA,"M.Valentina W.","1.4","1.4","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2020-01-28 13:11:19-03","MCN-PUC-MINAS","HPUC-MG","ANG4052","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis",NA,"M.Valentina W.","164",NA,NA,NA,NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.966944","-20.208611",NA,"Frutos verdes. Altura 3 m. UTM: 7751216 x; 587567 y.",NA,NA,"M.Valentina W.","1.4","1.4","43º58'01''W","20°12'31''S",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-06-29 11:30:50-03","UFRJ","RFA","5124","PreservedSpecimen","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","M. Magalhães","9930","1957",NA,NA,NA,"Brasil","Minas Gerais","Belo Horizonte",NA,"-43.937801361084","-19.9207992553711",NA,"Árvores peq. 3-6 m alto, flor amarelada, frutos em maio e novembro. Peq. grupos (3-8) freq. +++","RFA36005",NA,NA,NA,NA,NA,NA,"17082","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-06-29 11:30:50-03","UFRJ","RFA","5116","PreservedSpecimen","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","M. Magalhães","10139","1958","03","30",NA,"Brasil","Minas Gerais","Raposos","Raposo.","-43.80419921875","-19.9671993255615",NA,"Arbustos 2-3 m, alto esparsos.","RFA36004",NA,NA,NA,NA,NA,NA,"8139","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-06-29 11:30:50-03","UFRJ","RFA","5769","PreservedSpecimen","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","M. Magalhães",NA,"1960","03","17",NA,"Brasil","Minas Gerais","Minas Gerais","Mata Barreiro - Betim.",NA,NA,NA,"Frequente flor alva amarelada, arbustos até árvores de 5 m,","RFA36006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-09-10 21:43:08-03","UNEMAT","TANG","4753","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Sardelli, LF; Thomé, EC; Silva, JA; Thomé, RS","977s.n.","2014","10","29",NA,"Brasil","Mato Grosso","Colider","Lote B de supressão, Resgate de flora da UHE Colider","-55.523583","-10.999694",NA,NA,"TANG000004753",NA,"Sardelli, LF","262","262","-55.523583","-10.999694",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:38:58-03","EAO","IAN","131769","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Braga, B","3","1969","01","02","Southern America","Brasil","São Paulo","Pinheirinho","Serra da Cantareira.",NA,NA,NA,"AA-12.","IAN131769",NA,"Martins, MV",NA,NA,NA,NA,NA,NA,"2018","09","20",NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:38:58-03","EAO","IAN","107583","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Magalhães, MG","5862","1953","04","23","Southern America","Brasil","Minas Gerais",NA,"Nas margens das capoeiras, 30km o de Carandaí.",NA,NA,NA,NA,"IAN107583",NA,"Martins, MV",NA,NA,NA,NA,NA,NA,"2018","09","20",NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:38:58-03","EAO","IAN","138765","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Irwin, HS; Harley, RM; Onishi, E","29499","1971","01","31","Southern America","Brasil","Minas Gerais",NA,"Serra do Espinhaçoo. Lower slopes of Pico de Itacolomí, cerrado and gallery foret with some campo,ca 3km S of Ouro Preto,",NA,NA,NA,"Srub ca .2m tall, Fruit reddish green,","IAN138765",NA,"Shimizu, G; Martins, MV","1650","1650",NA,NA,NA,NA,"2018","09","19",NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:38:58-03","EAO","IAN","138793","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Irwin, HS; Harley, RM","29669","1971","02","02","Southern America","Brasil","Minas Gerais",NA,"Estrada para Santa Barbara. Hills with iron-rich canga soil, ca. 3km N of Mariana.",NA,NA,NA,"Tree ca.3.5m x 5 cm. Fruit green, red on insolated side.","IAN138793",NA,"Shimizu, GH; Martins, MV","1500","1500",NA,NA,NA,NA,"2018","09","19",NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:38:58-03","EAO","IAN","138807","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Irwin, HS; Harley, RM; Onishi, E","30263","1971","01","13","Southern America","Brasil","Minas Gerais",NA,"Base de serra da Piedade, 35km de Belo Horizonte,estrada para Caeté. Secondary forest on steep slopes, on shallow red lateritic clay, road to Caeté.",NA,NA,NA,"Tree ca. 5m x 6cm,fruit green.Occasional.","IAN138807",NA,"Shimizu, GH; Martins, MV","1600","1600",NA,NA,NA,NA,"2018","09","19",NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:38:58-03","EAO","IAN","013881","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Magalhães, M","s.n.","1938","04","10","Southern America","Brasil","Minas Gerais","Belo Horizonte","Capoeira - Ressaca.","-43.937801361084","-19.9207992553711",NA,"Arbusto de 2m de altura.","IAN013881","IAN013881 IAN013881_e","Martins, MV",NA,NA,NA,NA,"17082","auto","2018","09","19",NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:38:58-03","EAO","IAN","14993","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Oliveira, JE de","s.n.","1939","12","27","Southern America","Brasil","Minas Gerais","Belo Horizonte","Capoerinha ,serra do Taquaril.","-43.937801361084","-19.9207992553711",NA,"Flores amareladas,arbusto 3,00 metros de altura.","IAN014993",NA,"Shimizu, G",NA,NA,NA,NA,"17082","auto","2018","09","20",NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:38:58-03","EAO","IAN","13876","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Magalhães, M","1326","1942","01","16","Southern America","Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,"Capoerinha,morro da cruz,municipio de Ouro preto muito frequente flores alvas,arbusto 2,00 metros de altura.","IAN013876","IAN013876 IAN013876_e","Barreto, M",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:38:58-03","EAO","IAN","105388","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Magalhães, M","1326","1942","01","16","Southern America","Brasil","Minas Gerais","Ouro Preto","Morro da Cruz ,capoeirinha em depressão do terreno,","-43.5080986022949","-20.2875003814697",NA,"Arbusto 2,00m alto,flor alva, frutos pequenos.","IAN105388",NA,"Barreto, M",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2013-07-03 11:04:57-03","EBDA","BAH","1382","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Milton Mello",NA,"1961","04","04",NA,"Brasil","Bahia","Salvador","Rio seco Lapa","-38.5108","-12.9711",NA,"IMPORT. PLANTA: Medicinal",NA,NA,"Milton Mello",NA,NA,NA,NA,"26018","auto","1961","09",NA,NA,NA,NA,NA,NA,NA
"33","2020-02-08 09:53:54-03","NBC","NL-BOTANY","L.2421192","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Vincent",NA,"1919","11","01","Southern America","Brazil",NA,NA,"Brisil: Minas gerais-jussiava.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2421192 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2421192","NL-L2421192",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"34","2020-02-08 09:53:54-03","NBC","NL-BOTANY","L.2421193","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2421193 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2421193","NL-L2421193",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"35","2020-02-08 09:53:54-03","NBC","NL-BOTANY","L.2421194","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2421194 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2421194","NL-L2421194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"36","2020-02-08 09:53:54-03","NBC","NL-BOTANY","L.2421195","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2421195 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2421195","NL-L2421195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"37","2020-02-08 09:53:54-03","NBC","NL-BOTANY","L.2421196","PreservedSpecimen","Plantae",NA,"Malpighiales","Guttiferae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Sellow F",NA,NA,NA,NA,"Southern America","Brazil",NA,NA,"Brasilia.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2421196 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2421196","NL-L2421196",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA
"38","2020-11-04 11:11:18-03","ESALQ","ESA","49498","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Mart.","Nave, A.G. et al.","1662.0","1997","07","19",NA,"Brasil","Mato Grosso","Sinop",NA,"-55.502498626709","-11.8641996383667",NA,NA,"ESA049498","ESA049498","Souza, V.C.",NA,NA,NA,NA,"56293","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:11:18-03","ESALQ","ESA","49497","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Mart.","Nave, A.G. et al.","1657.0","1997","07","19",NA,"Brasil","Mato Grosso","Sinop",NA,"-55.502498626709","-11.8641996383667",NA,NA,"ESA049497","ESA049497","Souza, V.C.",NA,NA,NA,NA,"56293","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:11:18-03","ESALQ","ESA","98811","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis",NA,"Araújo, F.S.","175.0","2002","03","03",NA,"Brasil","Minas Gerais","Lima Duarte",NA,"-43.793098449707","-21.8425006866455",NA,NA,"ESA098811","ESA098811","Valente, A.",NA,NA,NA,NA,"30417","auto","2004","02","14",NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:11:18-03","ESALQ","ESA","110182","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Colletta, G.D.","54.0","2009","05","06",NA,"Brasil","Minas Gerais","Ouro Branco",NA,"-43.6918983459473","-20.5207996368408",NA,NA,"ESA110182","ESA110182","Martins, M.V. & Shimizu, G.H.",NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:11:18-03","ESALQ","ESA","110202","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Colletta, G.D.","71.0","2009","05","06",NA,"Brasil","Minas Gerais","Ouro Preto",NA,"-43.5080986022949","-20.2875003814697",NA,NA,"ESA110202","ESA110202","Martins, M.V. & Shimizu, G.H.",NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:11:18-03","ESALQ","ESA","93177","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Pirani, J.R. et al.","324.0","1982","12","17",NA,"Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,"ESA093177","ESA093177","Shimizu, G.H.",NA,NA,NA,NA,"33136","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:11:18-03","ESALQ","ESA","7292","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Mart.","Gandolfi, S. et al.","3197.0","1985","02","13",NA,"Brasil","São Paulo","Guarulhos",NA,"-46.5299987792969","-23.4599990844727",NA,NA,"ESA007292","ESA007292 ESA007292_1","Gandolfi, S.",NA,NA,NA,NA,"26398","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:11:18-03","ESALQ","ESA","5621","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis",NA,"Gandolfi, S. et al.",NA,"1984","11","22",NA,"Brasil","São Paulo","Guarulhos",NA,"-46.5299987792969","-23.4599990844727",NA,NA,"ESA005621",NA,"Gandolfi, S.",NA,NA,NA,NA,"26398","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2020-11-04 11:11:18-03","ESALQ","ESA","5622","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis",NA,"Gandolfi, S. et al.","12113.0","1984","11","22",NA,"Brasil","São Paulo","Guarulhos",NA,"-46.5299987792969","-23.4599990844727",NA,NA,"ESA005622",NA,"Gandolfi, S.",NA,NA,NA,NA,"26398","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2020-11-04 11:11:18-03","ESALQ","ESA","89002","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Lombardi, J.A.","3952.0","2000","06","14",NA,"Brasil","Minas Gerais","Nova Lima",NA,"-43.8466987609863","-19.9855995178223",NA,NA,"ESA089002","ESA089002","Viana, P.L.",NA,NA,NA,NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2020-11-04 11:11:18-03","ESALQ","ESA","85746","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","Stehmann, J.R. et al.","3391.0","2003","02","15",NA,"Brasil","Minas Gerais","Santa Bárbara",NA,"-43.4152984619141","-19.959400177002",NA,NA,"ESA085746",NA,"Stehmann, J.R.",NA,NA,NA,NA,"33136","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2015-07-02 14:02:21-03","JBP","HPL","11341","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","Choisy","H. Lorenzi","1229","1995","11","24",NA,"Brasil","MG","São Sebastião do Paraíso","Coletado na Fazenda da Terra; em área de mata de altitude.","-46.9914","-20.9169",NA,NA,NA,NA,"H. Lorenzi",NA,NA,NA,NA,"24792","auto","1995","11","24",NA,NA,NA,NA,NA,NA
"50","2015-07-02 14:02:21-03","JBP","HPL","2523","S","Plantae",NA,NA,"Hypericaceae","Vismia","brasiliensis","Vismia brasiliensis","choisy","H. Lorenzi","2551","2000","12","16",NA,"Brasil","MG","São Sebastião do Paraíso","Fazenda Ipoméia , em mata ciliar e também em mata de solo seco arenoso.","-46.9914","-20.9169",NA,NA,NA,NA,"H. Lorenzi",NA,NA,NA,NA,"24792","auto","2000","12","16",NA,NA,NA,NA,NA,NA
