"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","infraspecificEpithet","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","fieldNumber","typeStatus","individualCount","class","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","02210444","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"M. Reginato","1331","2012","02","15","South America","Brazil","Rio de Janeiro","P.N. do Itatiaia. Ultimo Adeus e trilha do Véu de Noiva.","-44.5633010864258","-22.4960994720459","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2500360' target='other'> <mi>dwc_moreinfo</mi></a>","NY02210444","NY02210444_01","Itatiaia",NA,NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","01081107","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","A. C. Brade","Altamiro","178","1945","12","18","South America","Brazil","Rio de Janeiro","Morro do Corcovado, Distrito Federal","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219145' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081107","NY01081107_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","01081108","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora oblongifolia","Cogn.",NA,"P. von Luetzelburg","140","1911",NA,NA,"South America","Brazil","Rio de Janeiro","Corcovado","-43.212076","-22.951842","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1219151' target='other'> <mi>dwc_moreinfo</mi></a>","NY01081108","NY01081108_01",NA,NA,NA,NA,NA,"oblongifolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-06-29 11:31:23-03","UFRJ","RFA","15179","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","pubescens","Leandra pubescens","Cogn.","J.J. Wurdack","P. Occhioni","5996","1974","06","00",NA,"Brasil","Rio de Janeiro","Serra dos Orgãos","-42.9655990600586","-22.4122009277344",NA,"Arbusto","RFA13270",NA,"Teresópolis",NA,NA,"38539","auto",NA,"1975",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-30 12:44:24-03","EAO","IAN","25909","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Melastomataceae","Leandra","pubescens","Leandra pubescens","Cogn.",NA,"Pubescens","s.n.",NA,NA,NA,"Southern America","Brasil",NA,NA,NA,NA,NA,NA,"IAN025909",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2013-07-03 11:13:28-03","EBDA","BAH","137","S","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Brade","Altamiro",NA,"1945","07","18",NA,"Brasil","Rio de Janeiro","Morro do Corcovado.","-43.2075","-22.9028",NA,"Arbusto.",NA,NA,"Rio de Janeiro",NA,NA,"57442","auto",NA,"1945","07",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:13:29-03","ESALQ","ESA","125688","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora",NA,"Baumgratz, J.F.A. & Souza, M.L.D.","Bovini, M.G.","1865.0","1905","06","22",NA,"Brasil","Rio de Janeiro",NA,"-41.7868995666504","-22.3708000183105",NA,NA,"ESA125688","ESA125688_1 ESA125688_2","Macaé",NA,NA,"47209","auto",NA,"1905","06","27",NA,NA,NA,NA,NA,NA,NA
"18","2021-01-14 15:31:36-03","MN","R","10002","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,"Glaziou, A.F.M.","1268","1867","02","10",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Plantas do Brasil Central","R000010002","R000010002_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-01-14 15:31:36-03","MN","R","10117","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,"Glaziou, A.F.M.","562","1863","02","02",NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,"Plantas do Brasil Central","R000010117","R000010117_001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-02 11:40:37-03","UFPI","TEPB","20579","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,"Marie Sugiyama",NA,"1983","09","22",NA,"Brasil","São Paulo","Serra do Japi","-46.8800010681152","-23.1800003051758",NA,"Arbusto ca 3 m de altura com flores de cor branca-roseada.",NA,NA,"Jundiaí",NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-01 16:34:20-03","UNICAMP","UEC","67284","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Wurdack, JJ","Hoffmann, WA","65","1984","05","07",NA,"Brazil","Espírito Santo","Colênias das irmãs.","-40.6002998352051","-19.9356002807617",NA,"Arbustinho com mais ou menos 80 cm, fruto vermelho quando maduro.; Solo barro avermelhado.","UEC044756","UEC044756","Santa Teresa","750","750","23813","auto",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-01 16:34:20-03","UNICAMP","UEC","67285","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Wurdack, JJ","Vimercart, JM","325","1985","12","04",NA,"Brazil","Espírito Santo","Vale do Canaã.","-40.6002998352051","-19.9356002807617",NA,"Arbusto 2m, com flores de cálice alvo, corola branca.; Semi-sombra, capoeira.","UEC044760","UEC044760","Santa Teresa",NA,NA,"23813","auto",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-01 16:34:20-03","UNICAMP","UEC","66692","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Wurdack, JJ","Boone, W","122","1984","05","08",NA,"Brazil","Espírito Santo","Vale do Canaã.","-40.6002998352051","-19.9356002807617",NA,"Arbusto com frutos jovens, solo avermelhado.","UEC044758","UEC044758","Santa Teresa",NA,NA,"23813","auto",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-01 16:34:20-03","UNICAMP","UEC","34009","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"Sugiyama, M; Chiea, SAC","15528","1983","09","22",NA,"Brazil","São Paulo","Serra do Japi.","-46.8800010681152","-23.1800003051758",NA,"Arbusto 3m de altura, pétala branca ou rósea clara, filete e antera rosa.","UEC044762","UEC044762","Jundiaí",NA,NA,"17840","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2019-08-20 10:18:37-03","UNICAMP","UEC","146715","S","Plantae","Magnoliopsida",NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Souza, MLDR","Kirizawa, M","1694","1986","06","25",NA,"Brazil","São Paulo","Estação Experimental de Ubatuba, Mata Atlântica da Cachoeira do Macaco, contigua à Estação Experimental de Ubatuba.","-45.0699996948242","-23.4300003051758",NA,"Arbusto, cerca de 1,0 m. de altura; fruto branco, com pelos vermelhos, oval.","UEC044754","UEC044754","Ubatuba",NA,NA,"34265","auto",NA,"2004",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2019-06-27 10:25:38-03","UFES","VIES","19306","S","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Goldenberg, R.","Souza, G.R. de","136","2008","11","22",NA,"Brasil","Espírito Santo","Burarama.","-41.1128005981445","-20.8488998413086",NA,NA,"VIES019306","VIES019306","Cachoeiro de Itapemirim",NA,NA,"35694","auto",NA,"2013",NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2019-06-27 10:25:38-03","UFES","VIES","23746","S","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Wurdack, J.J.","Vimercat, J.M.","325","1985","12","04",NA,"Brasil","Espírito Santo","Vale do Canaã.","-40.6002998352051","-19.9356002807617",NA,NA,"VIES023746","VIES023746","Santa Teresa",NA,NA,"23813","auto",NA,"1991",NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-04-27 16:10:32-03","UFES","VIES","23742","S","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","R. Goldenberg","Demuner, V.; Magnago, L.F.S.; Belisário, M.; Bausen, E.","1707","2006","01","19",NA,"Brasil","Espírito Santo","Liberdade (Água viva, Pedra do Cruzeiro), propriedade Aguilar A. Lorenccini.","-40.551111","-19.348333",NA,NA,"VIES023742","VIES023742","Marilândia","150","150",NA,NA,NA,"2007","07",NA,"40º33'4''W","19º20'54''S",NA,NA,NA,NA,NA
"29","2020-04-27 16:10:32-03","UFES","VIES","23744","S","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Kollmann, L.","Kollmann, L.; Fontana, A.P.; Brahim, K.","10825","2008","04","14",NA,"Brasil","Espírito Santo",NA,"-40.5297012329102","-20.1005992889404",NA,NA,"VIES023744","VIES023744","Santa Leopoldina",NA,NA,"23799","auto",NA,"2008","04","14",NA,NA,NA,NA,NA,NA,NA
"30","2020-06-29 09:31:05-03","UFRRJ","RBR","46437","S","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"T.C. Alves","74","2019","04","30",NA,"Brasil","Rio de Janeiro","Serra dos Órgãos. PARNASO","-43.028333","-22.46",NA,NA,"RBR00046437",NA,"Teresópolis","2140","2140",NA,NA,NA,NA,NA,NA,"43º1'42''W","22º27'36''S",NA,NA,NA,NA,NA
"31","2020-12-21 16:34:23-03","MBM","MBM","227881","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Rei Souza, M.L.","Lopes, M.A.; et al.; et al.","218",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Estação Biológica de Caratinga, Fazenda Montes Claros","-42.1391983032227","-19.7896995544434",NA,NA,"MBM227881","MBM227881","Caratinga",NA,NA,"49886","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-12-21 16:34:23-03","MBM","MBM","339456","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"Goldenberg, R.; et al.; et al.","917","2007","07","12","Southern America","Brazil","Espírito Santo","Alto de Santo Antonio. Terreno do Bozza.","-40.6002998352051","-19.9356002807617",NA,"Arbusto 2m, frutos maduros vinosos. Mata Atlântica de encosta","MBM339456","MBM339456","Santa Teresa","750","750","23813","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-12-21 16:34:23-03","MBM","MBM","101527","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.","Souza, M.L.","Landrum, L.R.; et al.; et al.","4149",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Alto da Boa Vista, estrada da Vista Chinesa","-43.2075004577637","-22.9027996063232",NA,NA,"MBM101527","MBM101527","Rio de Janeiro",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2019-11-01 15:28:25-03","PUC-RIO","FCAB","1876","PreservedSpecimen","Plantae",NA,"Angiospermae","Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","(Naudin) Cogn.",NA,"P. Capell S.J.","s.n.","1952","03","25",NA,"Brasil","Rio de Janeiro",NA,"-42.5311012268066","-22.2819004058838",NA,"e silva","001876",NA,"Nova Friburgo",NA,NA,"33190","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2015-09-04 20:48:39-03","MNHN","RECOLNAT_MNHN_P","P05261123","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,"Langsdorff",NA,"1821","1","1",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05261123' target='other'> <mi>dwc_moreinfo</mi></a>","P05261123","P05261123_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2015-09-04 20:48:39-03","MNHN","RECOLNAT_MNHN_P","P05261121","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,NA,NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05261121' target='other'> <mi>dwc_moreinfo</mi></a>","P05261121","P05261121_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2015-09-04 06:11:55-03","MNHN","RECOLNAT_MNHN_P","P00115616","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.","Cogniaux","Gaudichaud, C.",NA,NA,NA,NA,NA,"Brésil",NA,"Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115616' target='other'> <mi>dwc_moreinfo</mi></a>","P00115616","P00115616_01 P00115616_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"726",NA,NA,NA,NA
"38","2018-01-15 10:57:27-02","MNHN","RECOLNAT_MNHN_P","P00115617","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.","Cogniaux","Gaudichaud, C.",NA,NA,NA,NA,NA,"Brésil",NA,"Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115617' target='other'> <mi>dwc_moreinfo</mi></a>","P00115617","P00115617_01 P00115617_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"726",NA,NA,NA,NA
"39","2018-01-15 10:57:27-02","MNHN","RECOLNAT_MNHN_P","P00115618","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.","Cogniaux","Lalande, de",NA,NA,NA,NA,NA,"Brésil",NA,"Rio de Janeiro?",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115618' target='other'> <mi>dwc_moreinfo</mi></a>","P00115618","P00115618_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-09-04 20:48:39-03","MNHN","RECOLNAT_MNHN_P","P05261118","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,NA,NA,"1867","2","10",NA,"Brasil","Rio de Janeiro","Corcovado à Lagoinha.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05261118' target='other'> <mi>dwc_moreinfo</mi></a>","P05261118","P05261118_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1268",NA,NA,NA,NA
"41","2015-09-04 20:48:39-03","MNHN","RECOLNAT_MNHN_P","P05261120","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,"Riedel",NA,NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05261120' target='other'> <mi>dwc_moreinfo</mi></a>","P05261120","P05261120_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2015-09-16 18:33:24-03","MNHN","RECOLNAT_MNHN_P","P00115619","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora oblongifolia","Cogn.","Cogniaux","Vauthier, M.",NA,"1836",NA,NA,NA,"Brésil",NA,"Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115619' target='other'> <mi>dwc_moreinfo</mi></a>","P00115619","P00115619_01",NA,NA,NA,NA,NA,"oblongifolia",NA,NA,NA,NA,NA,"63","isosyntype",NA,NA,NA
"43","2016-07-28 11:53:37-03","MNHN","RECOLNAT_MNHN_P","P00115620","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora oblongifolia","Cogn.","Cogniaux","Vauthier, M.",NA,"1836",NA,NA,NA,"Brésil",NA,"Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115620' target='other'> <mi>dwc_moreinfo</mi></a>","P00115620","P00115620_01",NA,NA,NA,NA,NA,"oblongifolia",NA,NA,NA,NA,NA,"63","isosyntype",NA,NA,NA
"44","2015-09-04 06:11:55-03","MNHN","RECOLNAT_MNHN_P","P00115621","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora oblongifolia","Cogn.","Cogniaux","Vauthier, M.",NA,"1836",NA,NA,NA,"Brésil",NA,"Rio de Janeiro",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115621' target='other'> <mi>dwc_moreinfo</mi></a>","P00115621","P00115621_01",NA,NA,NA,NA,NA,"oblongifolia",NA,NA,NA,NA,NA,"63","isosyntype",NA,NA,NA
"45","2015-09-04 06:11:55-03","MNHN","RECOLNAT_MNHN_P","P00115622","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora oblongifolia","Cogn.","Cogniaux","Vauthier",NA,NA,NA,NA,NA,"Brésil",NA,"s.l.",NA,NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00115622' target='other'> <mi>dwc_moreinfo</mi></a>","P00115622","P00115622_01",NA,NA,NA,NA,NA,"oblongifolia",NA,NA,NA,NA,NA,"69","isosyntype",NA,NA,NA
"46","2015-09-04 20:48:39-03","MNHN","RECOLNAT_MNHN_P","P05261119","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,"Glaziou, A.",NA,"1877","1","20",NA,"Brasil","Rio de Janeiro","Corcovado.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p05261119' target='other'> <mi>dwc_moreinfo</mi></a>","P05261119","P05261119_01","Rio de Janeiro",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,"8685",NA,NA,NA,NA
"47","2016-07-29 11:24:25-03","MNHN","RECOLNAT_MNHN_P","P04803839","PreservedSpecimen",NA,NA,NA,"Melastomataceae","Leandra","strigilliflora","Leandra strigilliflora","Cogn.",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Corcovado.","-43.2075004577637","-22.9027996063232","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p04803839' target='other'> <mi>dwc_moreinfo</mi></a>","P04803839","P04803839_01","Rio de Janeiro",NA,NA,"57442","auto",NA,NA,NA,NA,NA,NA,"1268",NA,NA,NA,NA
