"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","barcode","imagecode","yearIdentified","monthIdentified","dayIdentified","locality","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","continentOcean","preparationType","previousCatalogNumber","phylum","order","infraspecificEpithet","typeStatus","coordinatePrecision","geoFlag","class","relatedCatalogItem","relationshipType","individualCount","fieldNumber","sex"
"11","2016-09-29 17:53:00-03","NY","NYBG","669265","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"R. Reitz","17749","1965","12","15","Brazil","Paraná","Guarapuava","-51.4581","-25.3956",NA,NA,"NY00669265","NY00669265_01",NA,NA,NA,"Rio Cavernoso.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720126' target='other'> <mi>dwc_moreinfo</mi></a>","1000","1000","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","669267","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A. T. Hunziker","R. Reitz","5524","1957","10","27","Brazil","Santa Catarina","Bom Retiro","-49.4892","-27.7972",NA,NA,"NY00669267","NY00669267_01",NA,NA,NA,"Barracao.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720135' target='other'> <mi>dwc_moreinfo</mi></a>","500","500","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","669275","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A. T. Hunziker","G. Jönsson","913a","1914","09","10","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"NY00669275","NY00669275_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720113' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","669252","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"M. Rossato","4636","1988","10","12","Brazil","Rio Grande do Sul","Farroupilha","-51.339909","-29.218747",NA,NA,"NY00669252","NY00669252_01",NA,NA,NA,"Sao Roque.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720133' target='other'> <mi>dwc_moreinfo</mi></a>","700","700","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2016-09-29 17:53:00-03","NY","NYBG","669266","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"R. Reitz","6704","1963","02","04","Brazil","Santa Catarina","Sao Joaquim","-49.9317","-28.2942",NA,NA,"NY00669266","NY00669266_01",NA,NA,NA,"Passo da Cadeia.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720123' target='other'> <mi>dwc_moreinfo</mi></a>","1000","1000","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-29 17:53:00-03","NY","NYBG","669255","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"D. J. Carriao","s.n.","1995","10","03","Brazil","Paraná","Curitiba","-49.22","-25.37",NA,NA,"NY00669255","NY00669255_01",NA,NA,NA,"Parque Barigui.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720121' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-29 17:53:00-03","NY","NYBG","669269","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"J. C. Lindeman","2498","1966","09","21","Brazil","Paraná",NA,NA,NA,NA,NA,"NY00669269","NY00669269_01",NA,NA,NA,"Coppice in the vic. of Curitiba.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720131' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","669253","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","S. F. Smith","R. A. Wasum","10241","1994","10","29","Brazil","Rio Grande do Sul","Sao Francisco de Paula","-50.395632","-29.433343",NA,NA,"NY00669253","NY00669253_01",NA,NA,NA,"Floresta Nacional.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720109' target='other'> <mi>dwc_moreinfo</mi></a>","850","850","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","669260","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","M. H. Nee","L. Riedel","1460","1833",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,"NY00669260","NY00669260_01",NA,NA,NA,"Pr. Mugy [=Moji].","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720096' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","669274","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A. T. Hunziker","P. K. H. Dusén","17158","1915","09","21","Brazil","Paraná","Balsa Nova","-49.6356","-25.5842",NA,NA,"NY00669274","NY00669274_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720111' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","669257","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"P. K. H. Dusén","7168","1908","11","17","Brazil","Paraná","Itaperuçu","-49.3478","-25.22",NA,NA,"NY00669257","NY00669257_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720120' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-29 17:53:00-03","NY","NYBG","669261","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"J. S. Silva","706","1982","08","26","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,"NY00669261","NY00669261_01",NA,NA,NA,"Capital, Reserva Estadual das Fontes do Ipiranga.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720115' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-29 17:53:00-03","NY","NYBG","669259","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"R. Reitz","2754","1948","12","23","Brazil","Santa Catarina","Bom Retiro","-49.4892","-27.7972",NA,NA,"NY00669259","NY00669259_01",NA,NA,NA,"Riosinho.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720125' target='other'> <mi>dwc_moreinfo</mi></a>","1000","1000","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","669278","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","M. H. Nee","L. Riedel","1469","1833",NA,NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00669278","NY00669278_01",NA,NA,NA,"Pr. Mugi Gbr.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720117' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","669251","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A. Schinini","A. Krapovickas","44706","1994","01","29","Brazil","Rio Grande do Sul",NA,NA,NA,NA,NA,"NY00669251","NY00669251_01",NA,NA,NA,"11km de Sao Francisco de Paula, camino a Taquara.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720078' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","669270","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"R. Kummrow","2039","1982","09","23","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"NY00669270","NY00669270_01",NA,NA,NA,"Parque Iguaçu.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720130' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","669279","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"L. Riedel","1469","1833","11",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00669279","NY00669279_01",NA,NA,NA,"Pr. Mugi Gbr.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720136' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","669276","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A. T. Hunziker","J. da Costa Sacco","210","1954","10","29","Brazil","Rio Grande do Sul","Pelotas","-52.3422","-31.7719",NA,NA,"NY00669276","NY00669276_01",NA,NA,NA,"I.A.S. H. Botânico.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720077' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","669254","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","A. T. Hunziker","J. de S. Silva","345","1974","09","24","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,"NY00669254","NY00669254_01",NA,NA,NA,"Nativa no Jardim Botânico e Parque do Estado. Area 13.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720114' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2016-09-29 17:53:00-03","NY","NYBG","669262","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"J. S. Silva","706","1982","08","26","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,"NY00669262","NY00669262_01",NA,NA,NA,"Capital, Reserva Estadual das Fontes do Ipiranga.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720116' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2016-09-29 17:53:00-03","NY","NYBG","669271","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"O. Handro","2331","1985","10","15","Brazil","São Paulo","Sao Paulo","-46.618358","-23.646109",NA,NA,"NY00669271","NY00669271_01",NA,NA,NA,"Agua Funda, nativa no Jardim Botânico.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720132' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2016-09-29 17:53:00-03","NY","NYBG","669264","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"R. Reitz","13411","1962","10","24","Brazil","Santa Catarina","Papanduva","-50.1442","-26.3706",NA,NA,"NY00669264","NY00669264_01",NA,NA,NA,"Serra do Espigao.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720122' target='other'> <mi>dwc_moreinfo</mi></a>","1000","1000","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2016-09-29 17:53:00-03","NY","NYBG","669268","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"L. B. Smith","13926","1964","12","09","Brazil","Santa Catarina","Ipumerim","-52.12","-27.08",NA,NA,"NY00669268","NY00669268_01",NA,NA,NA,"19km south of the Rio Irani.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720127' target='other'> <mi>dwc_moreinfo</mi></a>","450","550","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","669263","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","S. F. Smith","R. A. Wasum","10372","1994","12","27","Brazil","Rio Grande do Sul","Agudo","-53.24","-29.6456",NA,NA,"NY00669263","NY00669263_01",NA,NA,NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720110' target='other'> <mi>dwc_moreinfo</mi></a>","80","80","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","669250","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"G. G. Hatschbach","22767","1969","10","31","Brazil","Paraná","Bocaiúva do Sul","-49.115","-25.2061",NA,NA,"NY00669250","NY00669250_01",NA,NA,NA,"Rio Putuna.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720128' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","669280","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"L. Riedel","1469","1833","11",NA,"Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,"NY00669280","NY00669280_01",NA,NA,NA,"Pr. Mugi Gbr.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720118' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","669249","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"G. G. Hatschbach","40221","1977","08","22","Brazil","Paraná","Curitiba","-49.2731","-25.4281",NA,NA,"NY00669249","NY00669249_01",NA,NA,NA,"Bom Retiro.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720129' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-09-29 17:53:00-03","NY","NYBG","669258","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,"A. T. Hunziker","J. E. Leite","389","1940","09",NA,"Brazil","Rio Grande do Sul","Sao Leopoldo","-51.18","-29.75",NA,NA,"NY00669258","NY00669258_01",NA,NA,NA,"Arredores de Sao Leopoldo","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720119' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-29 17:53:00-03","NY","NYBG","669256","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,NA,"R. Reitz","2754","1948","12","23","Brazil","Santa Catarina","Bom Retiro","-49.4892","-27.7972",NA,NA,"NY00669256","NY00669256_01",NA,NA,NA,"Riosinho.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720124' target='other'> <mi>dwc_moreinfo</mi></a>","1000","1000","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-29 17:53:00-03","NY","NYBG","669273","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,"L. de F. de Carvalho","M. R. F. Melo","275","1981","11","25","Brazil","São Paulo","Sao Paulo","-46.621883","-23.654505",NA,NA,"NY00669273","NY00669273_01",NA,NA,NA,"Capital, Reserva Biológica do Parque Estadual das Fontes do Ipiranga.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720108' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,"South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","669281","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","M. H. Nee","F. O. Zuloaga","5578","1996","04","16","Argentina","Misiones","San Pedro","-53.87","-26.45",NA,NA,"NY00669281",NA,NA,NA,NA,"Ruta Nac. 14, de Tobuna a Bernardo de Irigoyen, 4km de Tobuna.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720098' target='other'> <mi>dwc_moreinfo</mi></a>","690","690","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","669398","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.",NA,"M. Rossato","4636","1988","10","12","Brazil","Rio Grande do Sul","Farroupilha","-51.339909","-29.218747",NA,NA,"NY00669398","NY00669398_01",NA,NA,NA,"Sao Roque.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=720134' target='other'> <mi>dwc_moreinfo</mi></a>","700","700","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-30 11:23:00-03","NY","NYBG","01840108","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora",NA,"S. D. Knapp","G. A. Parada","53","2006","05","29","Bolivia","Santa Cruz","Manuel María Caballero","-64.8761","-17.1342",NA,NA,"NY01840108",NA,NA,NA,NA,"Camino hacia la Laguna Verde cerca de cultivos de frutilla.","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2097307' target='other'> <mi>dwc_moreinfo</mi></a>","2000","2000","South America","sheet",NA,"Magnoliophyta","Solanales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-02-18 09:30:49-03","UNESP-IBB","BOTU","28722","PreservedSpecimen","Plantae","Solanaceae","Vassobia","breviflora","Vassobia breviflora","(Sendtn.) Hunz.","Gonzatti","Gonzatti, F.",NA,"2012","05","06","Brasil","Rio Grande do Sul","Pinhal",NA,NA,"9999","9999","BOTU028722",NA,"2012","05",NA,NA,"arbusto fortemente armado, no campo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-13 09:20:58-03","UFRJ","RFA","9770","PreservedSpecimen","Plantae","Solanaceae","Acnistus","breviflorus","Acnistus breviflorus","Sendtn.","G.G. Hatschbach","G.G. Hatschbach","22767","1969","10","31","Brasil","Paraná","Bocaiúva do Sul","-49.1150016784668","-25.2061004638672",NA,NA,"RFA49010",NA,NA,NA,NA,"Rio Putunã","Arbusto de 1,5 m, flor lilás",NA,NA,NA,NA,NA,NA,NA,NA,NA,"61623","auto",NA,NA,NA,NA,NA,NA
