"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","occurrenceRemarks","barcode","phylum","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","continentOcean","minimumElevationInMeters","maximumElevationInMeters","imagecode","coordinatePrecision","geoFlag","class","order","preparationType","infraspecificEpithet","individualCount","typeStatus","relatedCatalogItem"
"11","2020-11-04 11:15:05-03","ESALQ","ESA","5032","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Kawasaki, M.L.",NA,NA,NA,"Petty, E.S.",NA,"1989","09","10","Brasil","São Paulo","Sapuraí",NA,NA,"ESA005032","Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,"ESA005032",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:15:05-03","ESALQ","ESA","24976","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Kawasaki, M.L.",NA,NA,NA,"Souza, V.C. et al.","217.0","1995","10","14","Brasil","Minas Gerais","Itabirito",NA,NA,"ESA024976","Magnoliophyta","-43.801399230957","-20.2532997131348",NA,NA,NA,NA,NA,"ESA024976","20553","auto",NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:15:05-03","ESALQ","ESA","122281","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum",NA,"Sobral, M.",NA,NA,NA,"Vincent, R.C.; Viana, P.L.; Sobral, M.","570.0","2003","07","31","Brasil","Minas Gerais","Nova Lima","Sa. da Calçada/Retiro das Pedras","Campo rupestre quartzítico nodular","ESA122281","Magnoliophyta","-43.8466987609863","-19.9855995178223",NA,NA,NA,"1300","1300",NA,"29211","auto",NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:15:05-03","ESALQ","ESA","15084","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Kawasaki, M.L.",NA,NA,NA,"Souza, V.C. ; Sakuragui, C.M.","2030.0","1992","10","11","Brasil","Minas Gerais","Ouro Branco",NA,NA,"ESA015084","Magnoliophyta","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,"ESA015084","13809","auto",NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:15:05-03","ESALQ","ESA","72321","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Sobral, M.",NA,NA,NA,"Farah, F.T. ; Freitas, C.A.","1123.0","1999","08","27","Brasil","Minas Gerais","Patrocínio",NA,NA,"ESA072321","Magnoliophyta","-46.9925003051758","-18.9438991546631",NA,NA,NA,NA,NA,"ESA072321","44638","auto",NA,NA,NA,NA,NA,NA,NA
"16","2019-08-28 09:36:51-03","IPA","IPA","81912","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O. Berg","Souza, M.C.","2008","08","12","Cano, O.; et al.; et al.","910","2007","07","28","Brasil","Bahia","Mucugê","Chapada Diamantina, Na estrada Guiné-Mucugê.","Arbusto ca. 1m de altura; botões imaturos verdes.; Caatinga","IPA0081912","Plantae","-41.566111","-12.639167","-41.566111","-12.639167","Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASu0006707","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Macedo, A.","3663","1952","7","26","Brazil","Goias",NA,"Niquelandia",NA,NA,"Magnoliophyta","-48.466262","-14.45775",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"18","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006697","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","L. Landrum",NA,NA,NA,"C. Proenca; L. Landrum, S. Landrum","1467","1995","9","10","Brazil","Distrito Federal",NA,"Chapada de Contagem, road NE edge Parque Nacional de Brasilia. 1.6 km N on Rua 4.","Shrub 1 m. Fruto green.",NA,"Magnoliophyta","-47.9167","-15.7833",NA,NA,NA,"1160",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"19","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006706","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","C. Proenca, 3/Sept/1995.",NA,NA,NA,"Proenca & Landrum","1297","1995","9","3","Brazil","Distrito Federal",NA,"Entre Sobradinho/Planaltina, km 20, atras Pamoharia Rodomania. Centro Oeste.","Arbusto pouco ramificado 0.6m. Fruto verde-claro.",NA,"Magnoliophyta","-47.6667","-15.6167",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"20","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006702","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","L.R. Landrum, 31/Aug/1995.",NA,NA,NA,"Proenca & Landrum; S.S. Landrum","1446-E","1995","8","31","Brazil","Distrito Federal",NA,"Jardim Botanico de Brasilia. Centro Oeste.","Loc 5; ov/loc ca. 40, 50.; Shrub 1m 'Araca'",NA,"Magnoliophyta","-47.85","-15.8667",NA,NA,NA,"1070",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"21","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006703","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","L.R. Landrum, 31/Aug/1995.",NA,NA,NA,"Proenca & Landrum; S.S. Landrum","1446-D.","1995","8","31","Brazil","Distrito Federal",NA,"Jardim Botanico de Brasilia. Centro Oeste.","Shrub 1m 'Araca'",NA,"Magnoliophyta","-47.85","-15.8667",NA,NA,NA,"1070",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"22","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0018549","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","C. Proença",NA,NA,NA,"C. Proença; S. A. Harris","3416","2007","8","12","Brazil","Goias",NA,"Alto Paraíso de Goiás, Entre Alto Paraíso de Goiás e o Vale da Lua.","Arbusto. Flor branca. Fruto imaturo verde.",NA,"Magnoliophyta","-47.521517","-14.133556",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"23","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006704","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","C. Proenca, 2/Sept/1995.",NA,NA,NA,"Proenca & Landrum","1294","1995","9","2","Brazil","Distrito Federal",NA,"Ermida Dom Bosco perto do lago Paranoa. Centro Oeste.","Arbusto 0.5m; fruto verde.",NA,"Magnoliophyta","-47.8","-15.8",NA,NA,NA,"1025",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"24","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006698","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","L.R. Landrum, 31/Aug/1995.",NA,NA,NA,"Proenca & Landrum; S.S. Landrum","1446-C","1995","8","31","Brazil","Distrito Federal",NA,"Jardim Botanico de Brsilia. Centro Oeste.","Stames ca. 235; Loc 5, hairs inside. ov/loc ca. 73, 60.; Shrub 0.5m- 'Araca'",NA,"Magnoliophyta","-47.85","-15.8667",NA,NA,NA,"1070",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"25","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006695","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Proenca & Landrum; S.S. Landrum","1499","1995","9","3","Brazil","Distrito Federal",NA,"Ao lado da Reserva Biologica das Aguas Emendadas.","Arbusto. fruto verde.",NA,"Magnoliophyta","-47.693443","-15.574749",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"26","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0018546","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","L. R. Landrum",NA,NA,NA,"C. H. G. Cezare; A. Machado Neto","284","2007","10","23","Brazil","Goias",NA,"Luziania.","Arvore 1 m. Fruto verde. Fruto imarturo verde, fruto saborosa. Goiabinha-do campo.",NA,"Magnoliophyta","-48.01222","-16.71778",NA,NA,NA,"772",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"27","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006693","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Kawasaki","890","1995","10","13","Brazil","Minas Gerais",NA,"estrada Caete'-Sabara', km 28",NA,NA,"Magnoliophyta","-43.8","-19.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"28","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006699","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Filgueiras et al.","2406","1992","8","3","Brazil","Goias","Niquelandia","Localidade de Macedo, ca. 18km ao N de Niquelandia.","Stames 309; loc 4; ov/loc ca. 51, 61.; Subarbusto, ca. 80cm alt; flores brancas, frutos i",NA,"Magnoliophyta","-48.3833","-14.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"29","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006705","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","L.R. Landrum, 31/Aug/1995.",NA,NA,NA,"Proenca & Landrum; S.S. Landrum","1445","1995","8","31","Brazil","Distrito Federal",NA,"Jardim Botanico de Brasilia. Centro Oeste.","Loc 4 with hairs; ov/loc ca. 50.; Shrub 1m.",NA,"Magnoliophyta","-47.8333","-15.8667",NA,NA,NA,"1070",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"30","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006701","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Araujo Skorupa","64","1987","11","18","Brazil","Goias",NA,"Pirenopolis, Serra dos Pirineus.","medicinal",NA,"Magnoliophyta","-49","-15.1333",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"31","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006694","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Gottsberger","11726983","1983","9","26","Brazil","Minas Gerais","Indianopolis","Fazenda Bela Tanda and neighboring fazendas, 6km NE of Indianopolis.","Shrub ca. 10m tall, green fruits.",NA,"Magnoliophyta","-47.95","-19.2167",NA,NA,NA,"850",NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"32","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006696","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","L.R. Landrum, 3/Sept/ 1995.",NA,NA,NA,"Proenca & Landrum; S.S. Landrum","1475","1995","9","3","Brazil","Distrito Federal","Planaltina","Entre Sobradinho/Planaltina, km 20, atras Pamoharia Rodomania. Centro Oeste.","Arbusto. Frutos muito imaturos verdes.",NA,"Magnoliophyta","-47.727012","-15.636234",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"33","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0006700","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Marquete","2325","1995","8","17","Brazil","Goias",NA,"Alto Paraiso, Chapada dos Veadeiros, Faz. Bona Espero",NA,NA,"Magnoliophyta","-47.8089","-14.1564",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Myrtales",NA,NA,NA,NA,NA
"34","2019-11-21 14:40:26-03","UFJF","CESJ","46471","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","J.E.Q. Faria","2012","11",NA,"F.M. Ferreira","887","2005","08","10","Brasil","Minas Gerais","Baependi","Toca dos Urubus","Arbusto ca. 60 cm no cerrado. Flores alvas.","CESJ046471","Angiosperma","-44.8899993896484","-21.9589004516602",NA,NA,"América do Sul",NA,NA,NA,"29865","auto",NA,NA,NA,NA,NA,NA,NA
"35","2019-11-21 14:40:26-03","UFJF","CESJ","26393","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","J.E.Q. Faria","2012","11",NA,"M.C. Brügger; et al.","s.n.","1991","10","30","Brasil","Minas Gerais","Lima Duarte",NA,NA,"CESJ026393","Angiosperma","-43.793098449707","-21.8425006866455",NA,NA,"América do Sul",NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA
"36","2019-11-21 14:40:26-03","UFJF","CESJ","57925","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","M. Sobral","2012","06","14","L.C.Pereira; R.M. Mello","36","2010","09","18","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Pq. Est. da Serra do Papagaio, Baependi, Minas Gerais - Brasil. Planta coletada em próximo ao Pico do Chorão.","Arvore, com folhas opostas simples, com frutos de cálice persistente de coloração verde-claro.","CESJ057925","Angiosperma","-44.8899993896484","-21.9589004516602",NA,NA,"América do Sul",NA,NA,NA,"29865","auto",NA,NA,NA,NA,NA,NA,NA
"37","2021-03-01 16:37:01-03","UNICAMP","UEC","130584","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Proença, C","2007","09",NA,"Yamamoto, K; et al.","0294","2002","09","27","Brazil","Minas Gerais","Lagoa Santa","estrada lagoa Santa-Conceição do mato dentro. proximidades de Lagoa Santa.","Sub-arbusto 60 cm alt.; frutos imaturos verdes.; cerrado na beira de estrada.","UEC103771","Magnoliopsida","-43.895","-19.493333","-43.895","-19.493333",NA,NA,NA,"UEC103771",NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-08-20 10:21:50-03","UNICAMP","UEC","90840","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Proença, C","2009","01",NA,"Costa, IR; Verola, CF","544","2004","10","24","Brazil","Minas Gerais","Ouro Branco","Serra de Ouro Branco, Afloramento à direita das antenas de transmissão","arbusto, menos de 1m, frutos imaturos","UEC100315","Magnoliopsida","-43.7","-20.483333","-43.7","-20.483333",NA,"1573","1573",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-01 16:37:01-03","UNICAMP","UEC","21300","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Proença, C","1985",NA,NA,"Heringer, EP; et al.","675","1978","10","23","Brazil","Distrito Federal","Brasília","Cerrado da RECOR","Arbusto com fruto imaturo com cálice persistente.; Cerrado.","UEC103507","Magnoliopsida","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,"UEC103507","70570","auto",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-01 16:37:01-03","UNICAMP","UEC","21369","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Proença, C","1985",NA,NA,"Heringer, EP; et al.","98","1977","09","21","Brazil","Distrito Federal","Brasília","Reserva Ecológica do IBGE, picada M-1.","Subarbusto somente com frutos; em pleno desenvolvimento.; cerrado ralo com muita graminea e árvores esparsas e finas.","UEC103505","Magnoliopsida","-47.9296989440918","-15.7797002792358",NA,NA,NA,NA,NA,"UEC103505","70570","auto",NA,NA,NA,NA,NA,NA,NA
"41","2021-03-01 16:37:01-03","UNICAMP","UEC","45330","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Kawasaki, ML","1984","12","03","DAC; et al.","02916","1983","09","10","Brazil","Minas Gerais","Alpinópolis",NA,"Arbusto 1,3 m.; Cerrado.","UEC103769","Magnoliopsida","-46.3880996704102","-20.8635997772217",NA,NA,NA,NA,NA,"UEC103769","22010","auto",NA,NA,NA,NA,NA,NA,NA
"42","2021-03-01 16:37:01-03","UNICAMP","UEC","69579","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Arantes, AA","1997","01",NA,"Leitão Filho, HF; et al.","27566","1992","12","09","Brazil","Minas Gerais","Diamantina","Campos rupestres na estrada para a gruta do Salitre e Distrito de Extração.","Arbusto 1,0m. Fruto presente.; Campos rupestres.","UEC103770","Magnoliopsida","-43.6002998352051","-18.2493991851807",NA,NA,NA,NA,NA,"UEC103770","101169","auto",NA,NA,NA,NA,NA,NA,NA
"43","2019-08-20 10:21:50-03","UNICAMP","UEC","152016","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Costa, IR; Verola, CF","669","2006","04","22","Brazil","Minas Gerais","Ouro Branco","Serra de Ouro Branco",NA,"UEC100316","Magnoliopsida","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA
"44","2021-03-01 16:37:01-03","UNICAMP","UEC","56643","S","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Arantes, AA","1997","02",NA,"Tozzi, AMGA; Tozzi, CL","23086","1989","08","04","Brazil","Minas Gerais","São Sebastião do Paraíso","serra do chapadão.","mata ciliar.","UEC103506","Magnoliopsida","-46.9914016723633","-20.9169006347656",NA,NA,NA,"1167","1167","UEC103506","24792","auto",NA,NA,NA,NA,NA,NA,NA
"45","2020-05-16 21:27:34-03","UFPB","JPB","2645","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","Berg.",NA,NA,NA,NA,"Heringer, EP","JPB2645","1969","04","14","Brasil","Goiás","Corrego da Samambaia",NA,"; DESC: Herbácea",NA,"Angiosperma",NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,"Dicotyledon",NA,NA,NA,NA,NA
"46","2019-11-06 09:56:44-03","UFOP","OUPR","10182","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg",NA,NA,NA,NA,"Silva, M.A.","s.n.","2001","03","31","Brasil","Minas Gerais","Ouro Preto/ Mariana","São Bartolomeu","Arbusto. Frutos vináceos. Orla de mata ripária.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-06 09:56:44-03","UFOP","OUPR","23874","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Kawasaki, M.L.","1998",NA,NA,"Peron, M.V.","55","1987","02","10","Brasil","Minas Gerais",NA,"Entre São Bartolomeu e Ouro Preto. Próximo à Capela do Sol.","Arbusto aprox. 1,0m. Frutos verdes. Heliófilo. Margem de estrada.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-06 09:56:44-03","UFOP","OUPR","24036","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Bünger, M.O.","2011","10",NA,"Cândido, E.S.; Scalon, V.R.; Silva, J.L.; Vitor, B. & Freitas, G.P.P.","213","2009","10","02","Brasil","Minas Gerais","Ouro Preto","Parque Estadual do Itacolomi, Morro do Cachorro.","Arbusto, 90cm alt.",NA,NA,"-43.505667","-20.421778","-43.505667","-20.421778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","2019-11-06 09:56:44-03","UFOP","OUPR","5060","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Kawasaki, M.L.","1998",NA,NA,"Messias, M.C.T.B.; Silva, J.L.","s.n.","1995","09","15","Brasil","Minas Gerais","Ouro Preto/ Mariana","Parque Estadual do Itacolomi, Serra do Baú.","Arbusto. Campo rupestre.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","2019-11-06 09:56:44-03","UFOP","OUPR","22799","PreservedSpecimen","Plantae","Myrtaceae","Psidium","firmum","Psidium firmum","O.Berg","Kawasaki, M.L.","1998",NA,NA,"Magalhães-Gomes, F.; Magalhães-Gomes, C.T.","s.n.","1893","09",NA,"Brasil","Minas Gerais","Ouro Preto","Entre Ouro Preto e Manso","Flores brancas vistosas, subarbusto. Ex Herb. Magalhães Gomes n. 1170",NA,NA,"-43.5080986022949","-20.2875003814697",NA,NA,NA,NA,NA,NA,"44599","auto",NA,NA,NA,NA,NA,NA,NA
