"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","typeStatus","recordedBy","continentOcean","country","locality","relatedCatalogItem","occurrenceRemarks","barcode","imagecode","year","month","day","stateProvince","phylum","infraspecificEpithet","recordNumber","fieldNumber","decimalLongitude","decimalLatitude","minimumElevationInMeters","individualCount","county"
"11","2010-07-06 11:43:00-03","MO","MOBOT","51668","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & C. Mart.","H. van der Werff (MO)",NA,"Thomas B. Croat","South America","Peru","Río Paranapura, above Yurimaguas.",NA,NA,NA,NA,"1972","7","9","Loreto",NA,NA,"Croat 17897","243","-76.08333","-5.9",NA,"6",NA
"12","2012-06-29 13:44:00-03","MO","MOBOT","53565","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & C. Mart.","J. G. Rohwer",NA,"Walter H. Lewis|Memory Elvin-Lewis|M. C. Gnerre|Camilo Díaz S.","South America","Peru","Washintsa and vicinity, Río Huasaga, Low secondary and primary rainforest, terra firma and flooded river banks. Achual Jívaro",NA,NA,NA,NA,"1986","6","16","Loreto",NA,NA,"Lewis 11491","86-5","-76.3333333","-3.3333333","185.00000000","3","Alto Amazonas"
"13","2014-04-04 05:41:00-03","MO","MOBOT","53739","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & C. Mart.","J. Rohwer",NA,"Rodolfo Vásquez|Nestor Jaramillo","South America","Peru","Miraflores. (Qda. Tamshiyacu). Bosque de ribera.",NA,NA,NA,NA,"1986","2","23","Loreto",NA,NA,"Vásquez Martínez 7221","86-10","-72.66666","-4.25","200.00000000","6","Maynas"
"14","2009-08-23 08:42:00-03","MO","MOBOT","55298","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & C. Mart.","H. van der Werff (MO)",NA,"David N. Smith","South America","Peru","near Casaracra. Very moist, seasonally inundated grassland, Festuca (2992) and sedge dominant.",NA,NA,NA,NA,"1983","1","7","Junín",NA,NA,"Smith 4626","83-3","-75.93333","-11.93333","3780.00000000","5","Tarma"
"15","2011-10-22 04:57:00-02","MO","MOBOT","958145","PreservedSpecimen","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees & C. Mart.","J.G. Rohwer (MO)",NA,"Álvaro Cogollo P.|et al.","South America","Colombia","Sector Río Claro, margen derecha del R4o Claro, ca de 200 m de la autopista Medell4n-Bogotá.",NA,NA,NA,NA,"1991","4","24","Antioquia",NA,NA,"Cogollo Pacheco 4941",NA,"-74.85","5.88333","350.00000000",NA,"San Luis"
"16","2019-09-05 15:31:50-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Gymnobalanus","punctata","Gymnobalanus punctata elongata","Mez",NA,"Isotype","H. Ruíz L. & J. A. Pavón","South America","Peru",NA,NA,NA,NA,NA,"1778",NA,NA,NA,"Spermatophyta","elongata","s.n.",NA,"-74.14","-9.1839",NA,NA,NA
"17","2019-01-23 10:59:20-02","F","FMNH-SEEDPLANTS","V0040277F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Gymnobalanus","punctata","Gymnobalanus punctata elongata",NA,NA,"Isotype","H. Ruíz L. & J. A. Pavón","South America","Peru",NA,NA,NA,"V0040277F","V0040277F_01","1778",NA,NA,NA,"Spermatophyta","elongata","s.n.",NA,"-74.14","-9.1839",NA,NA,NA
"18","2015-03-07 08:33:24-03","F","FMNH-SEEDPLANTS","V0154899F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis",NA,NA,NA,NA,"South America","Peru",NA,NA,NA,"V0154899F","V0154899F_01",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"-74.14","-9.1839",NA,NA,NA
"19","2018-04-04 16:36:35-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis",NA,"RRC ID Flag",NA,"R. Vasquez","South America","Peru",NA,NA,NA,NA,NA,NA,NA,NA,"Loreto","Spermatophyta",NA,"7221","7221",NA,NA,NA,NA,NA
"20","2018-04-04 16:25:24-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis",NA,"RRC ID Flag",NA,"G. Klug","South America","Peru",NA,NA,NA,NA,NA,NA,NA,NA,"Loreto","Spermatophyta",NA,"2315","2315",NA,NA,NA,NA,NA
"21","2015-03-07 08:33:24-03","F","FMNH-SEEDPLANTS","V0154900F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis",NA,NA,NA,NA,"South America","Peru",NA,NA,NA,"V0154900F","V0154900F_01",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"-74.14","-9.1839",NA,NA,NA
"22","2015-03-07 08:33:24-03","F","FMNH-SEEDPLANTS","V0154898F","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis",NA,NA,NA,NA,"South America","Peru",NA,NA,NA,"V0154898F","V0154898F_01",NA,NA,NA,NA,"Spermatophyta",NA,NA,NA,"-74.14","-9.1839",NA,NA,NA
"23","2017-09-11 17:10:18-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Gymnobalanus","punctata","Gymnobalanus punctata elongata","Meisn.",NA,NA,"Ruiz, H; Pavon, JA","Southern America","Peru","in nemoribus Peruviae circa Muña et Vitoc",NA,NA,NA,NA,NA,NA,NA,NA,NA,"elongata","s.n.",NA,NA,NA,NA,NA,NA
"24","2017-09-11 17:10:18-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Gymnobalanus","punctata","Gymnobalanus punctata elongata","Meisn.",NA,NA,"?","Southern America","Brazil","in Brasilia voreali-occidentali quaerenda",NA,NA,NA,NA,NA,NA,NA,NA,NA,"elongata","s.n.",NA,NA,NA,NA,NA,NA
"25","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees",NA,NA,"Martius, C","Southern America","Brazil","in sylvis Japurensibus ad Maripi, S. Joâo de Principe etc., prov. do Alto Amazonas et Para",NA,"m. Dec. Jan.",NA,"P05P2N0099",NA,NA,NA,"Amazonas",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA
"26","2017-09-11 17:10:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees",NA,NA,"Fendler, A","Southern America","Colombia","in colonia Tovar Columbiae",NA,"Najas et Extrabrasiliensis; HABITAT: Najas et Extrabrasiliensis",NA,"P05P2N0099",NA,NA,NA,NA,NA,NA,"1022",NA,NA,NA,NA,NA,NA
"27","2019-11-21 10:07:24-03","IBt","SP","81360","S","Plantae",NA,NA,"Lauraceae","Nectandra","japurensis","Nectandra japurensis","Nees",NA,NA,"Ducke, A; et al.",NA,"Brasil","Boca de Tefé",NA,NA,"SP054592","SP054592","1904","09","07","Amazonas",NA,NA,"6733",NA,NA,NA,NA,NA,NA
