"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","class","verbatimLongitude","verbatimLatitude","yearIdentified","monthIdentified","dayIdentified","typeStatus","coordinatePrecision","geoFlag","individualCount"
"21","2020-12-21 16:42:07-03","MBM","MBM","393377","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","David, F.","Cordeiro, J.; Barboza, E.; Lozano, E.D.; Ariati, V.; Barboza, E.; Lozano, E.D.; Ariati, V.","5254","2014","09","15","Southern America","Brazil","Rio Grande do Sul","Bom Jesus","Ponte da Goiabeira, Rio Pelotas","-50.068617","-28.48065","863","863",NA,"Arbusto 1,80m; frutos secos.; Beira de rio.","MBM393377","MBM393377",NA,"-50.068617","-28.48065","2014","11","21",NA,NA,NA,NA
"22","2020-12-21 16:42:07-03","MBM","MBM","393452","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","David, F.","Barboza, E.; Cordeiro, J.; Daniel, V.; Ariati, V.; Cordeiro, J.; Daniel, V.; Ariati, V.","4191","2014","09","25","Southern America","Brazil","Rio Grande do Sul","São José dos Ausentes","Campo Novo, Rio Pelotas","-50.01855","-28.452383","1131","1131",NA,"Arvoreta 4m, frutos maduros.; Beira de rio.","MBM393452","MBM393452",NA,"-50.01855","-28.452383","2014","11","27",NA,NA,NA,NA
"23","2020-12-21 16:42:07-03","MBM","MBM","401076","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Barboza, E.","Barboza, E.","4314","2015","12","08","Southern America","Brazil","Paraná","Curitiba","Jardim Botânico Municipal, Coleção da Floresta Ombrófila Mista","-49.238889","-25.443611","924","924",NA,"Arbusto com 3m de altura; frutos maduros.","MBM401076","MBM401076",NA,"-49.238889","-25.443611","2015","12","08",NA,NA,NA,NA
"24","2020-12-21 16:42:07-03","MBM","MBM","10288","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Córtez, F.","Hatschbach, G.","21275","1969","03","15","Southern America","Brazil","Paraná","Guaratuba","Serra de Araraquara","-48.5746994018555","-25.8827991485596",NA,NA,NA,NA,"MBM010288","MBM010288",NA,NA,NA,NA,NA,NA,NA,"41937","auto",NA
"25","2020-12-21 16:42:07-03","MBM","MBM","255481","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Hatschbach, G.","Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","71747",NA,NA,NA,"Southern America","Brazil","Rio Grande do Sul","Bom Jesus","Rodovia São Joaquim - Bom Jesus","-50.4166984558105","-28.6678009033203",NA,NA,NA,NA,"MBM255481","MBM255481",NA,NA,NA,NA,NA,NA,NA,"55856","auto",NA
"26","2015-01-20 09:41:00-02","MO","MOBOT","100771854","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"Balduino Rambo","Rambo 49423","1950","12","18","South America","Brazil","Rio Grande do Sul",NA,"Taimbesinho, near São Francisco de Paula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,"1"
"27","2008-05-27 22:02:00-03","MO","MOBOT","3026156","PreservedSpecimen","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","A.H. Gentry","Per Dusén","Dusén 15437","1914","8","24","South America","Brazil","Paraná",NA,"Serra do Mar, Volta Grande. In silva primaria",NA,NA,"400.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-09-12 05:00:02-03","US","US","2742826","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"L. Smith & R. Reitz","14398","1965","1","6","South America","Brazil","Santa Catarina","São Joaquim","By Rio Pelotas, Passo da Cadeia, 32km southwest of São Joaquim","-50.08","-28.48","850","900",NA,NA,"US01337415","US01337415_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,NA,NA,"1"
"29","2020-09-12 05:00:02-03","US","US","1954694","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"R. Reitz","2689","1948","12","21","South America","Brazil","Santa Catarina",NA,"Campo dos Padres.",NA,NA,NA,NA,NA,NA,"US00107226","US00107226_01","Dicotyledonae",NA,NA,NA,NA,NA,"Paratype",NA,NA,"1"
"30","2020-09-12 05:00:02-03","US","US","2403301","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"R. Reitz & R. M. Klein","7453","1958","10","23","South America","Brazil","Santa Catarina","São Joaquim","Serra do Oratório, Bom Jardim. Aparados da Serra.","-49.9317016601562","-28.2938995361328","1400",NA,NA,NA,"US01337414","US01337414_01","Dicotyledonae",NA,NA,NA,NA,NA,NA,"48290","auto","1"
"31","2019-01-23 12:53:12-02","F","FMNH-SEEDPLANTS","V0067924F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides",NA,NA,"B. Rambo","49423","1950","12","18","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0067924F","V0067924F_01","Dicotyledoneae",NA,NA,NA,NA,NA,"Isotype",NA,NA,NA
"32","2015-03-07 09:06:34-03","F","FMNH-SEEDPLANTS","V0177682F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides",NA,NA,NA,NA,NA,NA,NA,"South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,"V0177682F","V0177682F_01","Dicotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-08-20 15:00:15-03","UFSC","FLOR","59908","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","David, F.","Barboza, E.; Cordeiro, J.; Daniel, V. & Ariati, V.","4191","2014","09","25",NA,"Brasil","Rio Grande do Sul","São José dos Ausentes","Campo Novo, Rio Pelotas.","-50.018611","-28.4525","1131","1131",NA,"Arvoreta 4m, frutos maduros. Doação Herbário MBM 393452.","FLOR0059908","FLOR0059908",NA,"50º1'7''W","28º27'9''S","2014","11","27",NA,NA,NA,NA
"34","2020-08-20 20:41:56-03","UFSC","FLOR","25604","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Falkenberg, D.B.","Falkenberg, D.B.","7550","1995","05","18",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja, ca. km 15, pouco abaixo do CINDACTA.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"arbusto, flor amarronzado já deiscente. Slide. Pilosidade castanha no pecíolo.","FLOR0025604",NA,NA,NA,NA,"1995",NA,NA,NA,"30102","auto",NA
"35","2020-08-20 20:41:56-03","UFSC","FLOR","19108","PreservedSpecimen","Plantae",NA,"Proteales","Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Falkenberg, D.B.","Falkenberg, D.B.","7956","1996","06","18",NA,"Brasil","Santa Catarina","Urubici","Morro da Igreja, no interior da àrea cercada pelo CINDACTA.","-49.5917015075684","-28.0149993896484","1780","1780",NA,"arvoreta, 5m altura, 10 cm de DAP, Fruto Imaturo, castanho-claro ou castanho-amarelado, ainda indeiscente, 5m altura. Folhas coriáceas. Planta bastante rara na região, crescendo gralmente em encosta íngremes e pedregosas. Cheiro muito","FLOR0019108",NA,NA,NA,NA,"1997",NA,NA,NA,"30102","auto",NA
"36","2021-02-08 12:45:02-03","UFRGS","ICN","192893","S","Plantae","Dicotyledon",NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","David, F","Cordeiro, J; Barboza, E; Lozano, ED; Ariati, V","5254","2014","09","15","América do Sul","Brasil","RS","Bom Jesus","Ponte da Goiabeira, Rio Pelotas","-50.068611","-28.480556","86","86",NA,"Arbusto de 1,80 m de altura; frutos secos.; Beira de rio",NA,NA,NA,"-50.068611","-28.480556","2014","11","21",NA,NA,NA,NA
"37","2021-02-08 12:45:02-03","UFRGS","ICN","192992","S","Plantae","Dicotyledon",NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","David, F","Barboza, E; Cordeiro, J; Daniel, V; Ariati, V","4191","2014","09","25","América do Sul","Brasil","RS","São José dos Ausentes","Campo Novo","-50.018611","-28.4525","1131","1131",NA,"Árvore 4m,frutos maduros; Beira do rio",NA,NA,NA,"-50.018611","-28.4525","2014","11","27",NA,NA,NA,NA
"38","2021-02-08 12:45:02-03","UFRGS","ICN","185563","S","Plantae","Dicotyledon",NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Brack, P","Rabuske, C; Brack, P","CRS452","2014","10","07","América do Sul","Brasil","RS","Bom Jesus",NA,"-50.4166984558105","-28.6678009033203",NA,NA,NA,"Espécie ameaçada de extinção (EN-Em Perigo) no Brasil.; Arvoreta de frutos deiscentes, aprox. 5 metros de altura.; Vegetação ribeirinha do Rio Pelotas.",NA,NA,NA,NA,NA,"2014","10","07",NA,"55856","auto",NA
"39","2021-02-08 12:45:02-03","UFRGS","ICN","122080","S","Plantae","Dicotyledon",NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer",NA,"Rodrigues, RS","98","1995","12","12","América do Sul","Brasil","RS","Bom Jesus","ponte sobre Rio Pelotas, entre Bom Jesus e São Joaquim","-50.4166984558105","-28.6678009033203",NA,NA,NA,"Arbusto; mata ripária.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"55856","auto",NA
"40","2020-08-26 10:50:40-03","MCN-FZBRS","HAS","13377","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Rodriguez, F.J.C.","Waechter, J.L.","1808","1980","12",NA,NA,"Brasil","Rio Grande do Sul","Camabará do Sul","Parque Nacional dos Aparados da Serra.",NA,NA,NA,NA,NA,"Árvore em interior de mata com araucária, com cerca de 7 m de altura, flores aromáticas, amarelo-pálidas. (48819)","HAS0013377",NA,NA,NA,NA,"1989","10","17",NA,NA,NA,NA
"41","2019-11-21 10:17:22-03","IBt","SP","49244","S","Plantae",NA,NA,"Proteaceae","Roupala","asplenioides","Roupala asplenioides","Sleumer","Edwards, KS","Rambo, B","49423","1950","12","18",NA,"Brasil","Rio Grande do Sul","São Francisco de Paula","Taimbesinho","-50.5835990905762","-29.4480991363525",NA,NA,NA,NA,"SP001509","SP001509",NA,NA,NA,"1996","10",NA,"Isotype","76715","auto",NA
