"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","minimumElevationInMeters","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","class","typeStatus","previousCatalogNumber"
"11","2020-08-31 08:59:09-03","INPA","INPA","81897","S","Plantae","Dicotyledon Asterids","Lamiales","Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, RM","Webber, AC","19","1979","02","02","Southern America","Brasil","Mato Grosso","Chapada dos Guimarães","Cerrado, terra firme, solo arenoso.","-55.7","-14.8",NA,NA,"INPA0081897","INPA0081897 INPA0081897_e INPA0081897_e1",NA,NA,"1997","01",NA,NA,NA,"-55.7","-14.8",NA,NA,NA
"12","2020-08-31 08:59:09-03","INPA","INPA","83291","S","Plantae","Dicotyledon Asterids","Lamiales","Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, RM","Macêdo, M","852","1978","04","21","Southern America","Brasil","Mato Grosso","Cuiabá","Chapada dos Guimarães, Estrada do rio da Casca, próximo a Embratel.","-55.804167","-15.290278",NA,NA,"INPA0083291","INPA0083291 INPA0083291_e INPA0083291_e1","793","793","1997","01",NA,NA,NA,"-55.804167","-15.290278",NA,NA,NA
"13","2019-12-19 11:19:10-03","UFG","UFG","13528","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore",NA,"Ferreira, H.D.; Silva, O.A. & Bucci, F.","2252","1990","03","12",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas, Latossolo vermelho com pequenas concreções lateríticas superficiais.","-52.5511016845703","-17.5694007873535",NA,"Subarbusto aproximadamente 60cm de altura, ápice voltado para baixo, corola lilás esbranquiçada.","UFG013528",NA,NA,NA,NA,NA,NA,"100343","auto",NA,NA,NA,NA,NA
"14","2019-12-19 11:19:10-03","UFG","UFG","13800","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, R.M.","Ferreira, H.D.","2484","1991","01","17",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,"Subarbusto, ca. de 50cm de altura, inflorescência verde-esbranquicadas, folhas reflexas, (ápice voltada para baixo).","UFG0013800","UFG0013800",NA,NA,"1996","08","11","100343","auto",NA,NA,NA,NA,NA
"15","2019-12-19 11:19:10-03","UFG","UFG","13563","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, R.M.","Ferreira, H.D.; et al.","2287","1991","05","24",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,"Subarbusto ca. de 1,20m de altura. Cerrado.","UFG0013563","UFG0013563",NA,NA,"1996","08","11","100343","auto",NA,NA,NA,NA,NA
"16","2019-12-19 11:19:10-03","UFG","UFG","13529","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, R.M.","Ferreira, H.D.; et al.","2253","1989","12","29",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,"Subarbusto ca. de 70cm de altura; corola esbranquiçada, lobo superior da corola lilás, caule com pelos esbranquiçados.","UFG0013529","UFG0013529",NA,NA,NA,NA,NA,"100343","auto",NA,NA,NA,NA,NA
"17","2019-12-19 11:19:10-03","UFG","UFG","13527","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, R.M.","Ferreira, H.D.; et al.","2251","1990","06","08",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,"Cerca de 1 metro de altura, corola creme esbranquiçada com borbos lilás, folhas verdes.","UFG0013527","UFG0013527",NA,NA,"1996","08","11","100343","auto",NA,NA,NA,NA,NA
"18","2019-12-19 11:19:10-03","UFG","UFG","13374","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, R.M.","Ferreira, H.D.","3016","1991","12","22",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,"Campo sujo.","UFG0013374","UFG0013374",NA,NA,"1996","08","11","100343","auto",NA,NA,NA,NA,NA
"19","2019-12-19 11:19:10-03","UFG","UFG","13175","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, R.M.","Ferreira, H.D.","2025","1991","11","24",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,"Corola branca.","UFG0013175","UFG0013175",NA,NA,"1996","08","11","100343","auto",NA,NA,NA,NA,NA
"20","2019-11-13 11:20:45-03","USP","SPF","125877","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, RM","Forzza, RC","428","1997","11","25",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,NA,"SPF00125877","SPF00125877",NA,NA,"2004","04",NA,"100343","auto",NA,NA,NA,NA,NA
"21","2019-11-13 11:20:45-03","USP","SPF","127460","PreservedSpecimen","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore","Harley, RM","Forzza, RC","428","1997","11","25",NA,"Brasil","Goiás","Mineiros","Parque Nacional das Emas","-52.5511016845703","-17.5694007873535",NA,NA,"SPF00127460","SPF00127460",NA,NA,"2004","04",NA,"100343","auto",NA,NA,NA,NA,NA
"22","2019-10-07 09:16:15-03","UEFS","HUEFS","206546","PreservedSpecimen","Plantae","Angiospermae","Lamiales","Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore",NA,"Windisch, P.G.","7669","1994","12","27",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Mirante da Chapada.","-55.75","-15.5",NA,"Campo de cimeira com afloramentos rochosos.","HUEFS0206546","HUEFS0206546","700","720",NA,NA,NA,NA,NA,"55W45'","15S30'","Asteranae",NA,NA
"23","2016-08-23 10:59:37-03","NHMLondon","NHM-LONDON-BOT","BM000992934","S","Plantae",NA,NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S.Moore",NA,"A. Robert","385","1902","07","20",NA,"Brasil",NA,NA,NA,"-53.08982","-10.773109",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/1bacec6b0d7cb4d80dc3d601462f717860fc1d56/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,"-53.08982","-10.773109",NA,"Type","NHMUK:ecatalogue:497367"
"24","2019-11-01 15:01:42-03","UnB","UB","26753","PreservedSpecimen","Plantae","Dicotyledoneae",NA,"Lamiaceae","Hyptis","frondosa","Hyptis frondosa","S. Moore","Harley, RM","Macedo, M","s.n.","2000","02","09","Southern America","Brasil","Mato Grosso",NA,"Cabeceira Verde",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-08-09 21:11:06-03","UFMT","UFMT","42999","S","Plantae",NA,NA,"Labiatae","Hyptis","frondosa","Hyptis frondosa","S.Moore",NA,"Da Silva, J.E.; Linhares, N.; Linhares, J.","s.n.","2016","04","30",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Fazenda Água Fria","-55.749698638916","-15.460599899292",NA,"Arbusto com flor; Cerrado; solo argilo arenoso",NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA
"26","2019-09-09 10:56:34-03","UFMT","UFMT","43538","S","Plantae",NA,NA,"Labiatae","Hyptis","frondosa","Hyptis frondosa","S.Moore",NA,"Silva, J.E.; Linhares, N.; Linhares, J.","s.n.","2016","04","30",NA,"Brasil","Mato Grosso","Chapada dos Guimarães","Fazenda Água Fria.","-55.749698638916","-15.460599899292",NA,"Arbusto, flor.; Cerrado; solo argilo arenoso.",NA,NA,NA,NA,NA,NA,NA,"107042","auto",NA,NA,NA,NA,NA
