"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","county","minimumElevationInMeters","maximumElevationInMeters","identifiedBy","yearIdentified","monthIdentified","verbatimLongitude","verbatimLatitude","coordinatePrecision","geoFlag","individualCount","dayIdentified","class","fieldNumber","sex"
"16","2020-12-21 16:15:58-03","MBM","MBM","26874","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Hatschbach, G.","31841","1973","05","06","Southern America","Brazil","Paraná","Colônia Quero-Quero","-50.0064010620117","-25.4293994903564",NA,NA,"MBM026874","MBM026874","Palmeira",NA,NA,"Hatschbach, G.",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"17","2020-12-21 16:15:58-03","MBM","MBM","291587","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Barboza, E.; Santos, M.R.M.; Moletta, E.M.S.; Santos, M.R.M.; Moletta, E.M.S.","868","2004","02","10","Southern America","Brazil","Paraná","Rio Lajeado","-50.0064010620117","-25.4293994903564",NA,NA,"MBM291587","MBM291587","Palmeira",NA,NA,"Hatschbach, G.",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"18","2020-12-21 16:15:58-03","MBM","MBM","128649","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Robinson, H.","s.n.","1989","03","01","Southern America","Brazil","Paraná","Rod. BR-277, descida para o Rio Capivara","-50.0064010620117","-25.4293994903564",NA,NA,"MBM128649","MBM128649","Palmeira",NA,NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"19","2020-12-21 16:15:58-03","MBM","MBM","72014","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Dziewa, A.","39","1975","06","28","Southern America","Brazil","Paraná","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM072014","MBM072014","Ponta Grossa",NA,NA,"Hatschbach, G.",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"20","2020-12-21 16:15:58-03","MBM","MBM","42666","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Hatschbach, G.","9578","1962","12","21","Southern America","Brazil","Paraná","Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,"MBM042666","MBM042666","Ponta Grossa",NA,NA,"Cabrera, A.L.",NA,NA,NA,NA,"46557","auto",NA,NA,NA,NA,NA
"21","2021-04-07 14:12:27-03","JBB","HEPH","16984","S","Plantae","Dicotyledon","Asterales","Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Hatschbach, G","47338","1984","01","11","Southern America","Brasil","Paraná","BR 277 Rio Capivara",NA,NA,NA,NA,NA,NA,"Palmeiras",NA,NA,"Robinson, HE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-12-11 11:32:57-03","UFMG","BHCB","59617","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén. ex Malme) Cabrera",NA,"Hatschbach, G","47338","1984","01","11","Southern America","Brasil","Paraná","Rodovia BR 277, 2km N do Rio Capivara.","-50.0064010620117","-25.4293994903564",NA,"Campo limpo, junto à borda de paredões de arenito. Arbustivo, até 1m. Capítulo creme.",NA,NA,"Palmeira",NA,NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"23","2009-07-21 23:34:00-03","MO","MOBOT","2456339","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Per Dusén","Dusén 4035",NA,NA,NA,"South America","Brazil","Paraná","Vila Velha",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Freire, S. E.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2008-05-27 22:02:00-03","MO","MOBOT","3226331","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"O.S. Ribas","Ribas 72","1989","3","1","South America","Brazil","Paraná","Mun. Palmeira. BR-277, descida para o Rio Capivara.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2014-11-17 17:25:00-02","MO","MOBOT","100263371","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Gert G. Hatschbach","Hatschbach 47338","1984","1","11","South America","Brazil","Paraná","Rod. BR-277, 2 km N do Rio Capivara.","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Palmeira",NA,NA,"John Pruski (MO)",NA,NA,NA,NA,"35166","auto","1",NA,NA,NA,NA
"26","2014-11-17 17:25:00-02","MO","MOBOT","100263373","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Per Dusén","Dusén 9115","1910","1","25","South America","Brazil","Paraná","Villa Velha, in pupibus.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"John Pruski (MO)",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"27","2020-08-31 08:52:58-03","INPA","INPA","205550","S","Plantae","Dicotyledon Asterids","Asterales","Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusen ex Malme) Cabrera",NA,"Hatschbach, GG","47338","1984","01","11","Southern America","Brasil","Paraná","Rod. BR-277, 2 km N do Rio Capivara","-50.0064010620117","-25.4293994903564",NA,NA,"INPA0205550","INPA0205550 INPA0205550_e","Palmeira",NA,NA,"Robinson, HE",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA,NA
"28","2020-06-15 15:28:52-03","UNESP-RC","HRCB","34230","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Hatschbach, G.","47338","1984","01","11",NA,"Brasil","Paraná",NA,"-50.0064010620117","-25.4293994903564",NA,"Arbusto até 1m, capítulo creme.",NA,NA,"Palmeira",NA,NA,"Roque, N.","2016","07",NA,NA,"35166","auto",NA,"08",NA,NA,NA
"29","2020-09-12 05:00:02-03","US","US","1481910","PreservedSpecimen","Plantae",NA,"Asterales","Asteraceae","Moquinia","argyrea","Moquinia argyrea","Dusén ex Malme","Isolectotype","P. K. Dusén","4035","1904","3","11","South America","Brazil","Paraná","Villa Velha.",NA,NA,NA,NA,"US00119515","US00119515_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,"Dicotyledonae",NA,NA
"30","2019-12-09 17:29:25-03","UFPR","EFC","9190","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Ziller, S.R.","1963","1999","05","02",NA,"Brasil","Paraná","A 300 m do primeiro posto policial CWB - PG","-49.6356010437012","-25.5839004516602",NA,"Árvore de folhas pilosas, alvas.","EFC009190",NA,"Balsa Nova",NA,NA,"Hatschbach, G.","2000","01",NA,NA,"27346","auto",NA,"01",NA,NA,NA
"31","2019-12-09 17:29:25-03","UFPR","EFC","12400","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Gochnatia","argyrea","Gochnatia argyrea","(Dusén ex Malme) Cabrera",NA,"Carmo, M.R.B.","247","2003","08","15",NA,"Brasil","Paraná","P.E. Guartelá","-50.1449","-24.3358",NA,"árvore com 5 m; capítulos c/ botões esverdeados coletado em cerrado HUPG 12205","EFC012400",NA,"Tibagi",NA,NA,"Nakajima, J.N.","2005","12","-50.1449","-24.3358",NA,NA,NA,"27",NA,NA,NA
"32","2019-10-07 09:11:51-03","UEFS","HUEFS","21647","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Ribas, O.S.","72","1989","03","01",NA,"Brasil","Paraná","BR-277, descida para o Rio Capivara.","-50.0064010620117","-25.4293994903564",NA,"Campo limpo, seco, solo rochoso.","HUEFS0021647","HUEFS0021647 HUEFS0021647_e1","Palmeira",NA,NA,"M.Alves","2018","12",NA,NA,"35166","auto",NA,NA,"Asteranae",NA,NA
"33","2019-10-07 09:11:51-03","UEFS","HUEFS","49325","PreservedSpecimen","Plantae","Angiospermae","Asterales","Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Hatschbach, G.","47338","1984","01","11",NA,"Brasil","Paraná","Rod. BR-277, 2km N do Rio Capivara.","-50.0064010620117","-25.4293994903564",NA,"Campo limpo, junto à borda de paredões de arenito.","HUEFS0049325","HUEFS0049325 HUEFS0049325_e1","Palmeira",NA,NA,"M.Alves","2018","12",NA,NA,"35166","auto",NA,NA,"Asteranae",NA,NA
"34","2019-09-04 19:38:38-03","F","FMNH-SEEDPLANTS",NA,"PreservedSpecimen","Plantae","Spermatophyta",NA,"Asteraceae","Moquinia","argyrea","Moquinia argyrea",NA,"Type [status unknown]","P. Dusén","7211","1908","11","27","South America","Brazil",NA,NA,"-52.8731","-10.8339",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA
"35","2020-11-04 17:28:38-03","UEM","HUEM","24577","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Souza, LA; col.","216","2013","12","12",NA,"Brasil","Paraná","Parque Estadual de Vila Velha","-49.995222","-25.240278",NA,"Arbustiva; folhas com face abaxial pilosa e coloração amarelada; flores coloração roxa; frutos imaturos.","HUEM000001675","HUEM000001675","Ponta Grossa",NA,NA,"J.Nakajima","2015","08","-49.995222","-25.240278",NA,NA,NA,NA,NA,NA,NA
"36","2020-11-04 17:28:38-03","UEM","HUEM","24647","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Souza, LA; col.","230","2014","11","05",NA,"Brasil","Paraná","Parque Estadual de Vila Velha, caminho Fortaleza","-50.015028","-25.244944",NA,"Arbustiva; inflorescência coloração creme.","HUEM000001655","HUEM000001655","Ponta Grossa",NA,NA,"J.N. Nakajima","2015","08","-50.015028","-25.244944",NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 17:28:38-03","UEM","HUEM","24634","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Souza, LA; col.","193","2015","01","31",NA,"Brasil","Paraná","Parque Estadual de Vila Velha,, perto da ponte de madeira e no platô, caminho fortaleza","-50.1618995666504","-25.0949993133545",NA,"Arbustiva; folhas com galhas, face abaxial verde-claro e pilosa; inflorescência coloração creme.","HUEM000001676","HUEM000001676","Ponta Grossa",NA,NA,"J.N. Nakajima","2015","08",NA,NA,"46557","auto",NA,NA,NA,NA,NA
"38","2020-03-16 13:43:57-03","UFU","HUFU","70943","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusen ex Malme) G. Sancho",NA,"Souza, L.A.; col.","193","2015","01","31",NA,"Brasil","Paraná","Parque Estadual de Vila Velha, Perto da ponte de madeira e no platô. Caminho fortaleza.",NA,NA,NA,"Arbustiva, folhas com galhas, face abaxial verde-claro e pilosa; inflorescência coloração creme.","HUFU00048741","HUFU00048741","Ponto Grossa",NA,NA,"Nakajima, J.N.","2015","08",NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-03-16 13:43:57-03","UFU","HUFU","70918","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusen ex Malme) G. Sancho",NA,"Souza, L.A.; col.","230","2014","11","05",NA,"Brasil","Paraná","Parque Estadual de Vila Velha, Caminho Fortaleza.","-50.015","-25.245",NA,"Arbustiva, inflorescência creme.","HUFU00048742","HUFU00048742","Ponto Grossa",NA,NA,"Nakajima, J.N.","2015","08","-50.015","-25.245",NA,NA,NA,NA,NA,NA,NA
"40","2021-02-23 13:21:57-03","MN","R-TIPOS","37877a","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Moquinia","argyrea","Moquinia argyrea","Dusén ex Malme","Isolectotypus","Dusén, P.K.H.","4035","1904","03","11",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"R000037877a","R000037877a_001","Vila Velha",NA,NA,"Barroso, G.M.","1963","05",NA,NA,NA,NA,NA,"09",NA,NA,NA
"41","2021-02-23 13:21:57-03","MN","R-TIPOS","37877","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Moquinia","argyrea","Moquinia argyrea","Dusén ex Malme","Isolectotypus","Dusén, P.K.H.","4035","1904","03","11",NA,"Brasil","Paraná",NA,NA,NA,NA,NA,"R000037877","R000037877_001","Vila Velha",NA,NA,"Barroso, G.M.","1963","05",NA,NA,NA,NA,NA,"09",NA,NA,NA
"42","2021-03-04 15:42:36-03","IF","SPSF","27106","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","((Dusén ex Malme)) G. Sancho",NA,"G. Hatschbach","47338","1984","01","11","América do Sul","Brasil","PR","campo limpo","-50.0064010620117","-25.4293994903564",NA,"COLETA: XLS: SPSFAntigo;",NA,NA,"Palmeira",NA,NA,"N.Roque","2016","07",NA,NA,"35166","auto",NA,"04","Magnoliopsida",NA,NA
"43","2021-02-08 12:36:46-03","UFRGS","ICN","178782","S","Plantae","Dicotyledon",NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G. Sancho",NA,"Pasini, E","1013","2014","01","29","América do Sul","Brasil","PR","Parque Estadual Vila Velha","-50.1618995666504","-25.0949993133545",NA,"Em cima de formações rochosas, ambiente xerofítico",NA,NA,"Ponta Grossa",NA,NA,"Freitas, KA","2014","02",NA,NA,"46557","auto",NA,"01",NA,NA,NA
"44","2019-11-21 10:01:06-03","IBt","SP","349127","S","Plantae",NA,NA,"Asteraceae","Moquiniastrum","argyreum","Moquiniastrum argyreum","(Dusén ex Malme) G.Sancho",NA,"Hatschbach, G","47338","1984","01","11",NA,"Brasil","Paraná","Rodovia BR-277, 2 km N do Rio Capivara","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Palmeira",NA,NA,"Freitas, KA","2014","08",NA,NA,"35166","auto",NA,NA,NA,NA,NA
"45","2010-08-16 16:37:42-03","GH","HU-HERB","GH 00010618","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Moquinia","argyrea","Moquinia argyrea","Dusén ex Malme","Isosyntype","P. K. H. Dusén","7211","1908","11","17","South America","Brazil","Paraná","Villa Velha",NA,NA,"Sheet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7211","undetermined"
