"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","fieldNumber","class","individualCount","relatedCatalogItem","previousCatalogNumber"
"11","2021-03-15 18:28:34-03","USP","SPF","227652","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E.Anderson",NA,"Rosa-Camargo, A","1","2016","05","24",NA,"Brasil","Mato Grosso do Sul","Ladário","Terreno Baldio.","-57.6016998291016","-19.0046997070312",NA,"Liana. Flores amarelas. Frutos verdes. Sistema subterrâneo formado por raízes com porções tuberosas conspícuas, como batatas.","SPF00227652","SPF00227652","Almeida, RF","2016","05","24",NA,NA,NA,NA,"23141","auto",NA,NA,NA,NA,NA
"12","2019-09-04 18:24:38-03","F","FMNH-SEEDPLANTS","V0062773F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum",NA,"Isotype","A. Macedo","5486","1989","1","27","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0062773F","V0062773F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"13","2019-09-04 18:37:59-03","F","FMNH-SEEDPLANTS","V0062774F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum",NA,"Isotype","A. Macedo","5486","1989","1","27","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0062774F","V0062774F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"14","2019-09-04 18:37:59-03","F","FMNH-SEEDPLANTS","V0062775F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum",NA,"Isotype","A. Macedo","5486","1989","1","27","South America","Brazil",NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0062775F","V0062775F_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dicotyledoneae",NA,NA,NA
"15","2020-07-23 12:11:55-03","CEPLAC","CEPEC","72125","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum",NA,"Isótipo","A. Macedo","5486","1989","01","27",NA,"Brasil","Minas Gerais","CAPINÓPOLIS","Faz. Santa Terezinha, às margens do Rio Paranaiba divisa dos estados Goiás/Minas Gerais.","-49.5696983337402","-18.6819000244141",NA,NA,NA,NA,"A. Macedo",NA,NA,NA,NA,NA,NA,NA,"20483","auto",NA,NA,NA,"30/12/1989",NA
"16","2020-07-23 12:11:55-03","CEPLAC","CEPEC","75858","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum",NA,"Isótipo","A. Macedo","5486","1989","01","27",NA,"Brasil","Minas Gerais","CAPINÓPOLIS","Faz. Sta. Terezinha, as margens do Rio Paranaiba na divisa dos estados Goiás/Minas Gerais.","-49.5696983337402","-18.6819000244141",NA,NA,NA,NA,"A. Macedo",NA,NA,NA,NA,NA,NA,NA,"20483","auto",NA,NA,NA,"30/12/1989",NA
"17","2016-08-23 10:59:45-03","NHMLondon","NHM-LONDON-BOT","BM000583131","S","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.Anderson","Isotype","A. Macedo","5486","1989","01","27",NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/3a9ce4f4e3defa28c4f57619a720ad66cb624d8d/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"-44.096503","-19.690239",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4981397"
"18","2016-08-23 10:59:45-03","NHMLondon","NHM-LONDON-BOT","BM000583132","S","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.Anderson","Isotype","A. Macedo","5486","1989","01","27",NA,"Brasil","Minas Gerais",NA,NA,"-44.096503","-19.690239",NA,"<a href=http://www.nhm.ac.uk/services/media-store/asset/04db194eda66e4f1c1ae2b9782d5bba55e559e55/contents/preview target=other class=eLink> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,"-44.096503","-19.690239",NA,NA,NA,NA,NA,NA,NA,NA,"NHMUK:ecatalogue:4981398"
"19","2021-02-23 13:22:40-03","MN","R-TIPOS","172728a","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson","Isotypus","Macedo, C.; Macedo, A.","5486","1989","01","27",NA,"Brasil","Minas Gerais","Capinópolis","Fazenda Santa Terezinha","-49.5696983337402","-18.6819000244141",NA,NA,"R000172728a","R000172728a_001",NA,NA,NA,NA,NA,NA,NA,NA,"20483","auto",NA,NA,NA,NA,NA
"20","2021-02-23 13:22:40-03","MN","R-TIPOS","172728","PreservedSpecimen","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E. Anderson","Isotypus","Macedo, C.; Macedo, A.","5486","1989","01","27",NA,"Brasil","Minas Gerais","Capinópolis","Fazenda Santa Terezinha","-49.5696983337402","-18.6819000244141",NA,NA,"R000172728","R000172728_001",NA,NA,NA,NA,NA,NA,NA,NA,"20483","auto",NA,NA,NA,NA,NA
"21","2009-03-12 16:16:24-03","CAS","CAS-BOT","4696","PreservedSpecimen","Plantae","Magnoliophyta","Polygalales","Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C. E. Anderson","isotype","Macedo, A.","5486","1989","1",NA,"South America","Brazil","Minas Gerais",NA,"Capinópolis, Fazenda Santa Terezinha, às margens do Rio Paranaiba na divisa dos estados de Goiás e Minas Gerais.",NA,NA,NA,"Volúvel de mata em solo fertilíssimo. Folhas dimorfas. Flores amarelas. [Col. Dr. Cassio Macdeo & Amaro Macedo]. Sheet 2 of 2. See also CAS 949612, barcode 0004695.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"22","2009-03-12 16:15:46-03","CAS","CAS-BOT","4695","PreservedSpecimen","Plantae","Magnoliophyta","Polygalales","Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C. E. Anderson","isotype","Macedo, A.","5486","1989","1",NA,"South America","Brazil","Minas Gerais",NA,"Capinópolis, Fazenda Santa Terezinha, às margens do Rio Paranaiba na divisa dos estados de Goiás e Minas Gerais.",NA,NA,NA,"Volúvel de mata em solo fertilíssimo. Folhas dimorfas. Flores amarelas. [Col. Dr. Cassio Macdeo & Amaro Macedo]. Sheet 1 of 2. See also CAS 949613, barcode 0004696.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA
"23","2019-11-21 10:09:12-03","IBt","SP","313946","S","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E.Anderson",NA,"Pott, A; Souza, OC; Crispim, SMA; Galdino, S","5617","1990","05","03",NA,"Brasil","Mato Grosso do Sul","Corumbá","Fazenda Primavera, Jacadigo","-57.666667","-19.416667",NA,NA,"SP021481","SP021481","Almeida, RF","2012","09",NA,"-57.666667","-19.416667","190","190",NA,NA,NA,NA,NA,NA,NA
"24","2019-11-21 10:09:12-03","IBt","SP","467876","S","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C.E.Anderson",NA,"Duarte, CR","35","1997",NA,NA,NA,"Brasil","Mato Grosso do Sul","Corumbá","Fundos do CEUC/UFMS","-57.6533012390137","-19.0091991424561",NA,NA,NA,NA,"Almeida, RF","2014","01","14",NA,NA,NA,NA,"295160","auto",NA,NA,NA,NA,NA
"25","2014-09-23 10:58:33-03","G","G","G00352985","S","Plantae",NA,NA,"Malpighiaceae","Stigmaphyllon","macedoanum","Stigmaphyllon macedoanum","C. E. Anderson","ISOTYPUS of Stigmaphyllon macedoanum C. E. Anderson","Macedo, A.","5486","1989","01","27","AMERIQUE DU SUD","Brazil",NA,NA,NA,"-53.08972222","-10.77305556",NA,"Coordinate uncertainty: Precision at the level of country Image URL: No picture available on the institution's web site","G00352985",NA,"Anderson, C. E.","1990","01","01","-53.08972222","-10.77305556",NA,NA,NA,NA,NA,NA,NA,NA,NA
