"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","phylum","order","continentOcean","preparationType","imagecode","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","individualCount","fieldNumber","infraspecificEpithet","typeStatus","relatedCatalogItem"
"11","2021-03-15 16:37:00-03","NY","NYBG","1738021","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.","L.A. Gomes",NA,NA,NA,"L.A. Gomes","144","2011","06","29","Brazil","Sergipe","Santa Luzia do Itanhy","RPPN Mata do Crasto. Trilha na borda da mata.","-37.4275","-11.3758",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1954494' target='other'> <mi>dwc_moreinfo</mi></a>","NY01738021","Magnoliophyta","Poales","South America","sheet","NY01738021_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","662929","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.",NA,NA,NA,NA,"R. M. Harley","16630","1974","03","01","Brazil","Bahia",NA,"6km. S. of Senhor do Bonfim on road to Capim Grosso (BA 130)","-40.15","-10.53",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93720' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662929","Magnoliophyta","Poales","South America","sheet","NY00662929_01","400","400",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","662933","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir.","T. R. Soderstrom; J. R. Swallen",NA,NA,NA,"H. S. Irwin","57557","1963","09","24","Suriname",NA,NA,"Kayser Airstrip, 45 km above confluence with Lucie Rivier","-56.65","3.25",NA,NA,"<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=93716' target='other'> <mi>dwc_moreinfo</mi></a>","NY00662933","Magnoliophyta","Poales","South America","sheet",NA,"270","270",NA,NA,NA,NA,NA,NA,NA,NA
"14","2019-11-19 15:45:27-03","UNEB","HUNEB","7752","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir",NA,NA,NA,NA,"Jesus, N.G.","1723PC 600","2003","02","25","Brasil","Bahia","Alagoinhas","Campus II / UNEB","-38.4192008972168","-12.1356000900269","38W24'81''","12S10'68''","Vegetasção em estágio avançado de regeneração.","HUNEB0007752","Angiospermae","Florideophycidae",NA,NA,NA,NA,NA,"Monocotyledoneae","24621","auto",NA,NA,NA,NA,NA
"15","2021-03-30 12:54:02-03","EAO","IAN","101466","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Lanjouw, J","3377",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN101466","Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-30 12:54:02-03","EAO","IAN","120399","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Oliveira, RC","2001","10",NA,"Belém, RP; Pinheiro, RP","2343","1966","07","27","Brasil","Bahia",NA,"Juçarí, (Ba). Plantação de cacau.",NA,NA,NA,NA,"Planta de 1m; inflorescência marron.","IAN120399","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-30 12:54:02-03","EAO","IAN","123410","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Cordeiro, MR","1983","07","27","Oliveira, E de","3410","1965","09","27","Brasil","Pará",NA,"Ilha de Marajó. Rio Genipapo, Residencia do Retiro Ilha Nova.",NA,NA,NA,NA,"Sementes.","IAN123410","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:54:02-03","EAO","IAN","157689","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Davidse, G",NA,NA,NA,"Davidse, G; Ramamoorthy, TP","11458","1976","03","28","Brasil","Minas Gerais",NA,"Ca. 10 km of Rio Doce at Governador Valadares. Typha marsh; elev. 200m.",NA,NA,NA,NA,"Forming tussocks.","IAN157689","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:54:02-03","EAO","IAN","159067","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Cordeiro, MR",NA,NA,NA,"Neves, MP das; Rodrigues, IA","214","1982","10","23","Brasil","Pará",NA,"fazenda Providência, / Sr. Raimundo Rocha, margem do rio. Campo de terra firme.",NA,NA,NA,NA,"Erva perene com frutos.","IAN159067","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-30 12:54:02-03","EAO","IAN","170234","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Antônio, M","s.n.","1997","10","20","Brasil","Pará",NA,"UFPA, Poema.",NA,NA,NA,NA,NA,"IAN170234","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-30 12:54:02-03","EAO","IAN","38008","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA","3522","1948","11","13","Brasil","Pará",NA,"Estrada de Salvaterra para Jubim. Ilha do Marajó.",NA,NA,NA,NA,"Folha cortante, perene, grande.","IAN038008","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-30 12:54:02-03","EAO","IAN","38761","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Goeldi, A","s.n.","1913",NA,NA,"Brasil","Pará",NA,"Rio Mojú, Fábrica.",NA,NA,NA,NA,NA,"IAN038761","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-30 12:54:02-03","EAO","IAN","43888","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Hitchcock, AS","16816","1919","11","14","Guiana",NA,NA,"Parika: Marshy savanna._Large bunches of numerous culms.",NA,NA,NA,NA,"grandes cachos numerosos","IAN043888","Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-30 12:54:02-03","EAO","IAN","54290","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Engelhard, F","8986","1950","02","22","Brasil","Pará",NA,"Campo medio, inundado ou pouco inundado de Paspalum.",NA,NA,NA,NA,"Inflorescencia media, cor branca quando nova.","IAN054290","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-30 12:54:02-03","EAO","IAN","54307","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Engelhard, F","8968","1950","02","19","Brasil","Pará",NA,"Fazenda Menino Deus, Vitoria.",NA,NA,NA,NA,"Touceira grande","IAN054307","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-30 12:54:02-03","EAO","IAN","54814","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA","9940","1950","07","09","Brasil","Pará",NA,"Rio Camará, Fazenda Gurupatuba; campo aberto.",NA,NA,NA,NA,"Perene, robusto.","IAN054814","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-30 12:54:02-03","EAO","IAN","65344","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Kuhlmann, JG",NA,NA,NA,"Riedel, HF","455",NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,"IAN065344","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-30 12:54:02-03","EAO","IAN","69446","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Chase, A","1958",NA,NA,"Black, GA; Parodi, L","11614","1951","03","13","Argentina",NA,NA,"Universidade Nacional; ex Horto L. Parodi.",NA,NA,NA,NA,NA,"IAN069446","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-30 12:54:02-03","EAO","IAN","70170","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Fróes, RL","12349","1951","07","21","Brasil","Amapá",NA,"Rio Araguarí, Retiro Bom Jardim.",NA,NA,NA,NA,NA,"IAN070170","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-30 12:54:02-03","EAO","IAN","70236","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Fróes, RL","12415","1951","07","25","Brasil","Amapá",NA,"Ferreira Gomes, beira do Rio Araguarí.",NA,NA,NA,NA,NA,"IAN070236","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-30 12:54:02-03","EAO","IAN","70260","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Fróes, RL","12440","1951","07","25","Brasil","Amapá",NA,"Rio Araguarí, trecho encachoeirado.",NA,NA,NA,NA,"Perene, inflorescencia branca.","IAN070260","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-30 12:54:02-03","EAO","IAN","72616","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Essed, EB","28","1914",NA,NA,"Suriname",NA,NA,NA,NA,NA,NA,NA,NA,"IAN072616","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-30 12:54:02-03","EAO","IAN","73971","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Ledoux, P","14242","1952","04","25","Brasil","Pará",NA,"Rio Ararí, ilha do Marajó, Fazenda Tuiuiú. Em campo com algumas formaçoes de teso.",NA,NA,NA,NA,NA,"IAN073971","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-30 12:54:02-03","EAO","IAN","74069","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Oliveira, RC","2001","10",NA,"Black, GA; Ledoux, P","14340","1952","04","29","Brasil","Pará",NA,"Rio Ararí, Ilha do Marajó, ilha de mato no campo da Fazenda Tuiuiú.",NA,NA,NA,NA,"Em touceira.","IAN074069","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-30 12:54:02-03","EAO","IAN","84172","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA","16778",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"IAN084172","Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-30 12:54:02-03","EAO","IAN","89330","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Oliveira, RC","2001","10",NA,"Black, GA","18398","1955","06","27","Brasil","Ceará",NA,"Lugar Cajazeiro, perto de Pacatuba.",NA,NA,NA,NA,NA,"IAN089330","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-30 12:54:02-03","EAO","IAN","89391","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA","18459","1955","07","08","Brasil","Ceará",NA,"Barra do Cocó. Beira da salina.",NA,NA,NA,NA,NA,"IAN089391","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-30 12:54:02-03","EAO","IAN","93465","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Glaziou, MA","4345",NA,NA,NA,"França","Paris","Paris",NA,NA,NA,NA,NA,NA,"IAN093465","Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-30 12:54:02-03","EAO","IAN","95114","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Hoock, J","1957","12","10","Hoock, J","s.n.","1955","09","27","Guiana Francesa",NA,NA,NA,NA,NA,NA,NA,NA,"IAN095114","Monocotiledônea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-30 12:54:02-03","EAO","IAN","55610","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA","9547","1950","04","21","Brasil","Amapá","Amapá","Fazenda Mongubas, campo perto do Rio Macarrí.","-50.793098449707","2.0533299446106",NA,NA,"Em touceira.&nf;(coletada pelo Sr. e Sra. Irvaldo Lobato).","IAN055610","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"134143","auto",NA,NA,NA,NA,NA
"41","2021-03-30 12:54:02-03","EAO","IAN","55591","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA","9528","1950","04","21","Brasil","Amapá","Amapá","Fazenda Mungubas, em mata de varzea.","-50.793098449707","2.0533299446106",NA,NA,"Capim de folha larga, racemos com tonalidade roseo.&nf;(coletado polo Sr. e Sra. Irvaldo Lobato)","IAN055591","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"134143","auto",NA,NA,NA,NA,NA
"42","2021-03-30 12:54:02-03","EAO","IAN","55565","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Lobato, I","9504","1950","04","19","Brasil","Amapá","Amapá","Fazenda Tucunaré, campo com manchas de campina, apresentando ilhas espalhadas.","-50.793098449707","2.0533299446106",NA,NA,"Folha avermelhada na bainha, em baixo.","IAN055565","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"134143","auto",NA,NA,NA,NA,NA
"43","2021-03-30 12:54:02-03","EAO","IAN","158414","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Cordeiro, MR",NA,NA,NA,"Dantas, M","946","1982","03","20","Brasil","Amapá","Macapá","Km 43- área de baixada. Várzea Latossolo amarelo.","-51.0663986206055","-0.366667002439499",NA,NA,"Cipó fruto verde.","IAN158414","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"225229","auto",NA,NA,NA,NA,NA
"44","2021-03-30 12:54:02-03","EAO","IAN","90650","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Cordeiro, MR","1985","05","30","Macedo, A","4185","1956","01","18","Brasil","Minas Gerais","Ituiutaba","São Lourenço.","-49.4650001525879","-18.968900680542",NA,NA,"Aquático em lagoa. De 2,20 m de altura. Touceira plana.","IAN090650","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"50022","auto",NA,NA,NA,NA,NA
"45","2021-03-30 12:54:02-03","EAO","IAN","53965","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA","8638","1950","01","07","Brasil","Pará","Ananindeua","E.F. Bragança.","-48.372200012207","-1.36556005477905",NA,NA,NA,"IAN053965","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"16174","auto",NA,NA,NA,NA,NA
"46","2021-03-30 12:54:02-03","EAO","IAN","56812","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Ledoux, P","10164","1950","09","10","Brasil","Pará","Belém","Cultivado no I.A.N., introduzido de Marajó, Fazenda Menino Deus.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN056812","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA
"47","2021-03-30 12:54:02-03","EAO","IAN","96601","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Andrade, J","71","1954",NA,NA,"Brasil","Pará","Belém","IAN,Cultivado no graminetum, canteiro G-14.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN096601","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA
"48","2021-03-30 12:54:02-03","EAO","IAN","96607","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Andrade, J","77","1954",NA,NA,"Brasil","Pará","Belém","IAn,Cultivado no graminetum, canteiro G-22.","-48.5043983459473","-1.4558299779892",NA,NA,NA,"IAN096607","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"48462","auto",NA,NA,NA,NA,NA
"49","2021-03-30 12:54:02-03","EAO","IAN","163462","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Nivaldo, S",NA,NA,NA,"Nivaldo, S; Marinho, L","49","1983","11","10","Brasil","Pará","Benevides","Estrada de Mosqueiro/ DENPASA. Campo de terra firme.","-48.244701385498","-1.36138999462128",NA,NA,"Capim.","IAN163462","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"16472","auto",NA,NA,NA,NA,NA
"50","2021-03-30 12:54:02-03","EAO","IAN","159146","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Cordeiro, MR",NA,NA,NA,"Neves, MP das; Rodrigues, IA","354","1982","11","01","Brasil","Pará","Chaves","Vaquejadas do Aacuzal, Chaves, tapagem Zequinha Miranda. campo de várzea.","-49.9883003234863","-0.159999996423721",NA,NA,"Erva perene com fruto.","IAN159146","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"123112","auto",NA,NA,NA,NA,NA
"51","2021-03-30 12:54:02-03","EAO","IAN","54208","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.",NA,NA,NA,NA,"Black, GA; Camargo, FC de","8883","1950","01","31","Brasil","Pará","Soure","Fazenda Remedio; lugar inundado.","-48.5233001708984","-0.716666996479034",NA,NA,"Racemos mais ou menos rígidos, espiculas roseadas; contraste dos racemos com o verde pálido dos colmos.","IAN054208","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"69952","auto",NA,NA,NA,NA,NA
"52","2021-03-30 12:54:02-03","EAO","IAN","75451","PreservedSpecimen","Plantae","Poaceae","Paspalum","densum","Paspalum densum","Poir. ex Lam.","Chase, A",NA,NA,NA,"Black, GA; Cordeiro, E","14727","1952","06","04","Brasil","Rondônia","Guajará-mirim","Antigo Território de Guaporé. Guajará Mirim, Estrada de Ferro Madeira Mamoré, km. 360.","-65.3394012451172","-10.7827997207642",NA,NA,"Em brejo.","IAN075451","Monocotiledônea",NA,"Southern America",NA,NA,NA,NA,NA,"205539","auto",NA,NA,NA,NA,NA
"53","2020-02-08 10:19:22-03","NBC","NL-BOTANY","L.1296552","PreservedSpecimen","Plantae","Gramineae","Paspalum","densum","Paspalum densum","Poir.",NA,NA,NA,NA,"Vries HJ de",NA,"1921","11","01","Surinam",NA,NA,"Omgeving van Paramaribo.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.1296552 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L1296552",NA,"Poales","Southern America",NA,"NL-L1296552",NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
