"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","minimumElevationInMeters","maximumElevationInMeters","preparationType","occurrenceRemarks","barcode","imagecode","decimalLongitude","decimalLatitude","county","identifiedBy","coordinatePrecision","geoFlag","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","infraspecificEpithet","typeStatus","fieldNumber","individualCount","previousCatalogNumber","sex"
"11","2021-03-15 16:37:00-03","NY","NYBG","811734","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","P. K. H. Dusén","s.n.","1914","08","18","South America","Brazil","Paraná","Jacarehý",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=804018' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811734","NY00811734_01","-49.7056","-24.2511","Jaguariaíva","P. K. H. Dusén",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","797257","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","W. Hoehne","4074","1955","09","18","South America","Brazil","São Paulo","Sao Vicente: Sao Vicente",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=461587' target='other'> <mi>dwc_moreinfo</mi></a>","NY00797257","NY00797257_01","-46.3897","-23.96","Sao Vicente","M. R. Ritter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","811603","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","J. C. Lindeman","2592","1966","09","29","South America","Brazil","Paraná","4 km E. of Morretes.",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=803298' target='other'> <mi>dwc_moreinfo</mi></a>","NY00811603","NY00811603_01",NA,NA,NA,"G. M. Barroso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","800713","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","obsoleta","Mikania obsoleta","(Vell.) G.M.Barroso","M. Kuhlmann","s.n.","1958","09","04","South America","Brazil","São Paulo","Itanhaem",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110700' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800713","NY00800713_01",NA,NA,NA,"W. C. Holmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","800712","PreservedSpecimen","Plantae","Magnoliophyta","Asterales","Asteraceae","Mikania","obsoleta","Mikania obsoleta","(Vell.) G.M.Barroso","J. Mattos","9178","1961","10","01","South America","Brazil","São Paulo","Cananéia, na costa leste da Ilha Comprida",NA,NA,"sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=110699' target='other'> <mi>dwc_moreinfo</mi></a>","NY00800712","NY00800712_01",NA,NA,NA,"W. C. Holmes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-06-29 11:29:18-03","UFRJ","RFA","4256","PreservedSpecimen","Plantae",NA,NA,"Asteraceae","Mikania","obsoleta","Mikania obsoleta","(Vell.) G.M.Barroso","E. Pereira; Liene, Sucre e Duarte","4068","1958","07","28",NA,"Brasil","Rio de Janeiro","Restinga de Jacarepaguá",NA,NA,NA,"Trepadeira de flores alvacentas","RFA24987",NA,"-43.2075004577637","-22.9027996063232","Rio de Janeiro",NA,"57442","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-24 17:10:29-03","UTFPR","DVPR","3115","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","Caxambu, MG; et al.","2675","2009","08","06",NA,"Brasil","Paraná","Arredores","1034","1034",NA,"Trepadeira volúvel, heliófita, botões florais alvo-esverdeados.; Relevo: ondulado. Vegetação: Floresta Ombrófila Mista Montana.","DVPR003115",NA,"-51.3141","-25.02257","Turvo","Cordeiro, J; Barboza, E",NA,NA,"2010","-51.3141","-25.02257",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-30 12:34:56-03","EAO","IAN","119711","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Belém, RP","1370","1965","07","22","Southern America","Brasil","Bahia","Rodovia, Uruçuca. Plantação de cacau.",NA,NA,NA,"Cipó, caule arroxeado, flores brancas.","IAN119711",NA,"-39.0494003295898","-14.7889003753662","Ilhéus","Vaz, AMSF","61245","auto","1987",NA,NA,"01",NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-30 12:34:56-03","EAO","IAN","63850","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Pires, JM","3407","1951","07","15","Southern America","Brasil","Bahia",NA,NA,NA,NA,NA,"IAN063850","IAN063850 IAN063850_e IAN063850_e1","-38.6786003112793","-12.8882999420166","Itaparica",NA,"8126","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-04-08 17:37:05-03","EAO","IAN","33836","PreservedSpecimen","Plantae","Dicotiledônea",NA,"Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","Lundell, CL","296",NA,NA,NA,"Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,NA,"IAN033836","IAN033836_f",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-05-19 10:29:38-03","UFBA","ALCB","105042","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Teixeira, SR; Queiroz, EP; Guedes, ML; Oliveira, D; et al.","43","2012","04","23","Southern America","Brasil","Bahia","Região Metropolitana Salvador, Barragem do Cobre",NA,NA,NA,"Folhas membranáceas, face abaxial pubescente. Inflorescência panícula de capítulos com papus cerdosos, cremes.",NA,NA,"-38.5","-12.966667","Salvador","Gandara, A",NA,NA,"2017","-38.5","-12.966667","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-05-19 10:29:38-03","UFBA","ALCB","105105","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Guedes, ML; Queiroz, EP; Gomes, FS; Mattos Andrade, PE de","19857","2012","05","07","Southern America","Brasil","Bahia","Região Metropolitana Salvador, Bacia do Cobre",NA,NA,NA,"Folhas discolores. Inflorescência panícula de capítulos paucifloros, pappus cremes.",NA,NA,"-38.5","-12.966667","Salvador","Gandara, A",NA,NA,"2017","-38.5","-12.966667","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"23","2019-10-09 11:10:51-03","UFBA","ALCB","126753","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Ferreira, CDM; Patusco, TBS","319","2016","08","04","Southern America","Brasil","Rio de Janeiro",NA,NA,NA,NA,"Folhas discolores, membranácea, aromáticas. Periclínio verde claro. Flores brancas, aromáticas (aroma adocicado). Heliófila.; Restinga de Jaconé.","ALCB040232",NA,"-42.602778","-22.931667","Saquarema","Gandara, A",NA,NA,"2017","-42.602778","-22.931667","02",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-05-19 10:29:38-03","UFBA","ALCB","52511","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Guedes, ML; et al.","9646","2001","08","15","Southern America","Brasil","Bahia","Recôncavo, Área próxima a Caraíba",NA,NA,NA,"caule com pêlos esbranquiçado. Folhas membranáceas , pubescentes. Inflorescência panícula de capítulos, cada capítulo com 5 flores. Flores com brácteas involucrais de 4 a 5 , dispostas em uma só série papus cerdosos .",NA,NA,"-38.4","-12.583333","São Sebastião do Passé","Gandara, A",NA,NA,"2017","-38.4","-12.583333","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-05-19 10:29:38-03","UFBA","ALCB","54488","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Guedes, ML; et al.","9062","2001","06","09","Southern America","Brasil","Bahia","Região Metropolitana Salvador, na altura do Km 7 da Av. Paralela, da Av. Luiz Viana Filho, Empreendimento Alphaville",NA,NA,NA,"com caule estriado. Folhas membranáceas, discolores, pubescente. Inflorescência com flores passadas. Aquênio com papus cerdosos de cor creme.; com altura média de 12 m. de altura.",NA,NA,"-38.5","-12.966667","Salvador","Gandara, A",NA,NA,"2017","-38.5","-12.966667","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-05-19 10:29:38-03","UFBA","ALCB","73968","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Valadão, RM; Carvalho, G; Santos, JS; Guedes, ML","75","2006","07","23","Southern America","Brasil","Bahia","Recôncavo Sul, Município de Cachoeira, margem da estrada para Opalma, na lagoa",NA,NA,NA,"Folhas membranáceas; discolores; aromática. Inflorescência terminal; pauciflora; com papus creme. Frequente.",NA,NA,"-38.95","-12.616667","Cachoeira","Gandara, A",NA,NA,"2017","-38.95","-12.616667","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-05-19 10:29:38-03","UFBA","ALCB","96150","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Guedes, ML; Gomes, FS; Lisboa, MS","17606","2010","07","20","Southern America","Brasil","Bahia","Litoral Sul, Riachão dos Caboclos, Casa de Maria dos Montes Merces Santos","211","211",NA,"herbácea. Folhas cartáceas, discolores. Inflorescência axilares, capítulos paucifloros, flores com pappus de cerdas cremes.; Borda da Mata",NA,NA,"-39.347778","-13.376944","Presidente Tancredo Neves","Gandara, A",NA,NA,"2017","-39.347778","-13.376944","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-05-19 10:29:38-03","UFBA","ALCB","75979","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Lopes, MMM; Gomes, LCJ","768","2006","06","05","Southern America","Brasil","Bahia","Litoral Sul, RPPN Serra Bonita. 9,7 km W de Camacã na estrada para Jacarecí, daí 6 km SW na estrada para a RPPN e Torre da Embratel. Beira da estrada","850","850",NA,"a 6 m alt. Folhas membranáceas, levemente discolores. Periclínio verde-claro; flores esbranquiçadas. Frutos passados, marrom-claros.",NA,NA,"-39.565278","-15.391667","Camacã","Gandara, A",NA,NA,"2017","-39.565278","-15.391667","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-05-19 10:29:38-03","UFBA","ALCB","107924","PreservedSpecimen","Plantae","Dicotyledon",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Amorim, AMA; Perdiz, R; São-Mateus, WMB","7274","2008","02","25","Southern America","Brasil","Bahia","RPPN Serra Bonita. 10km W de Camaçari na estrada para Jacarecí, 6km SW na estrada para o RPPN e torre de transmissão","850","850",NA,"robusta na orla da mata. Capítulos alvos, muito perfumados.; Ombrófila Densa Montanha.",NA,NA,"-39.598611","-15.391667","Camaçari","Gandara, A",NA,NA,"2017","-39.598611","-15.391667","09","12",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3656178","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","biformis","Mikania biformis","DC.","Hassler E",NA,"1913","05","01","Southern America","Paraguay",NA,"Paraguaria Centralis: in Regione Lacus Ypacaray.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3656178 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3656178","NL-L3656178",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"31","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3656179","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","biformis","Mikania biformis","DC.","Lorentz PG",NA,"1878","04","01","Southern America","Uruguay",NA,"!",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3656179 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3656179","NL-L3656179",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"32","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3656180","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","biformis","Mikania biformis","DC.","Hatschbach GG",NA,"1959","08","17","Southern America","Brazil","Paraná",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3656180 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3656180","NL-L3656180",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","L 0276563",NA,NA,NA,NA,NA,NA
"33","2020-02-08 08:50:25-03","NBC","NL-BOTANY","L.3656181","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","biformis","Mikania biformis ssp.",NA,"Hassler E",NA,"1913","08","01","Southern America","Paraguay",NA,"Paraguaria Centralis: in Regione Lacus Ypacaray.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.3656181 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L3656181","NL-L3656181",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,"ssp.",NA,NA,NA,NA,NA
"34","2020-02-08 08:50:25-03","NBC","NL-BOTANY","U.1136404","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","diversifolia","Mikania diversifolia","DC.","Rodriguez",NA,"1910","09","19","Southern America","Argentina",NA,"Provincia Misiones, Salto Iguazú.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136404 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136404","NL-U1136404",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"35","2020-02-08 08:50:25-03","NBC","NL-BOTANY","U.1136847","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","diversifolia","Mikania diversifolia","DC.","Lindeman JC; Haas JH de",NA,"1966","09","29","Southern America","Brazil","Paraná",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1136847 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1136847","NL-U1136847",NA,NA,NA,"Barroso GM",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae","U 0016629",NA,NA,NA,NA,NA,NA
"36","2020-02-08 08:50:31-03","NBC","NL-BOTANY","U.1135817","PreservedSpecimen","Plantae",NA,"Asterales","Compositae","Mikania","obsoleta","Mikania obsoleta","(Vell.) G.M.Barroso","Duarte AP",NA,"1959","07","14","Southern America","Brazil",NA,"Brasil, Estado de Guauabara, Restuiga de Jacarepaguá.",NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1135817 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1135817","NL-U1135817",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:01:56-03","ESALQ","ESA","62534","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Oliveira, A.A. et al.","3464.0","1999","08","27",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA062534","ESA062534","-47.5499992370605","-24.7000007629395","Iguape","Oliveira, C.T.","55628","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:01:56-03","ESALQ","ESA","20904","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Monteiro, C.A. et al.","11.0","1994","09","08",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA020904","ESA020904","-47.9199981689453","-25.0100002288818","Cananéia","Oliveira, C.T.","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:01:56-03","ESALQ","ESA","20933","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Wongtschowski, M. et al.","25.0","1994","09","06",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA020933","ESA020933","-47.9199981689453","-25.0100002288818","Cananéia","Oliveira, C.T.","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:01:56-03","ESALQ","ESA","20934","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Wongtschowski, M. et al.","24.0","1994","09","06",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA020934","ESA020934","-47.9199981689453","-25.0100002288818","Cananéia","Oliveira, C.T.","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-11-04 11:01:56-03","ESALQ","ESA","112131","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Corrêa, A.C.","6.0","2008","09","21",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA112131","ESA112131",NA,NA,"Ilha do Cardoso","Oliveira, C.T.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-11-04 11:01:56-03","ESALQ","ESA","20748","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Souza, J.P. et al.","145.0","1994","09","07",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA020748","ESA020748","-47.8800010681152","-24.7099990844727","Pariquera-açu","Oliveira, C.T.","17990","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-11-04 11:01:56-03","ESALQ","ESA","20894","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Monteiro, C.A. et al.","5.0","1994","09","08",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA020894","ESA020894","-47.9199981689453","-25.0100002288818","Cananéia","Oliveira, C.T.","37574","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2020-11-04 11:01:56-03","ESALQ","ESA","75766","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","biformis","Mikania biformis","DC.","Souza, J.P.; Souza, V.C.; Ivanauskas, N.M.; Rodrigues, R.R.; Gandolfi, S.; Tamashiro, J.Y.","3558.0","2001","04","14",NA,"Brasil","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu. Trilha para o Mirante, ca. 850msm. 23o59'30S; 46o44'35W.","850","850",NA,"Volúvel, flores creme. Campo.","ESA075766","ESA075766","-46.6300010681152","-23.5400009155273","São Paulo",NA,"53584","auto",NA,"-46,743,056","-23,991,667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-11-04 11:01:56-03","ESALQ","ESA","37020","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Asteraceae","Mikania","diversifolia","Mikania diversifolia","DC.","Hoehne, W.","4074.0","1955","09","18",NA,"Brasil","São Paulo",NA,NA,NA,NA,NA,"ESA037020","ESA037020","-46.3899993896484","-23.9599990844727","São Vicente","Ritter, M.R.","25482","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2016-02-02 14:37:57-02","BGBM","B","B 10 0002043","S","Plantae",NA,NA,"Compositae","Mikania","diversifolia","Mikania diversifolia",NA,"Reitz & Klein","4.925",NA,NA,NA,"Middle and South America","Brazil",NA,"Pôrto do Palmital, Garuva.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002043 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002043","B100002043",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","2016-02-02 14:37:57-02","BGBM","B","B 10 0002044","S","Plantae",NA,NA,"Compositae","Mikania","diversifolia","Mikania diversifolia",NA,"Pabst","6750",NA,NA,NA,"Middle and South America","Brazil",NA,"Paraná.",NA,NA,NA,"<a href=http://herbarium.bgbm.org/object/B100002044 target=other class=eLink> <mi>dwc_moreinfo</mi> </a>","B100002044","B100002044",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
