"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","yearIdentified","coordinatePrecision","geoFlag","class","monthIdentified","dayIdentified","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","fieldNumber","individualCount"
"11","2021-02-07 08:35:20-03","MN","R","193072","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,NA,NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010017184",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-02-07 08:35:20-03","MN","R","214513","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Moura, R.","935","2009","03","07",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010017185",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-02-07 08:35:20-03","MN","R","104642","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Vidal, J.","3221","1952","06",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010017180",NA,"Teresópolis","-42.9655990600586","-22.4122009277344",NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-02-07 08:35:20-03","MN","R","104643","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Vidal, J.","3222","1952","06",NA,NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010017182",NA,"Teresópolis","-42.9655990600586","-22.4122009277344",NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-02-07 08:35:20-03","MN","R","222686","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Costa, A.","Moura, R. 1038; Kessous, I.M.",NA,"2012","05","11",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"R010010889",NA,"Teresópolis","-42.9655990600586","-22.4122009277344","2016","38539","auto",NA,"07","18",NA,NA,NA,NA,NA,NA
"16","2021-02-07 08:35:20-03","MN","R","239939","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Kessous, I.M.","Kessous, I.M. 395; Silva, N.G. & Alves, R.J.V.",NA,"2020","03","14",NA,"Brasil","Minas Gerais","PARNA Itatiaia, próximo à guarita.",NA,NA,"R010071912,R010071917",NA,"Itamonte","-44.8699989318848","-22.283899307251","2020","26914","auto",NA,"03","14","2400","2400",NA,NA,NA,NA
"17","2021-02-07 08:35:20-03","MN","R","226642","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Moura, R. 1161; Alves, R.J.V.; Medeiros, D. & Almeida, M.",NA,"2012","10","30",NA,"Brasil","Rio de Janeiro","Parque Nacional do Itatiaia",NA,NA,"R010006310","R010006310 R010006310_1 R010006310_2","Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 14:32:59-03","UFJF","CESJ","70331","PreservedSpecimen","Plantae","Angiosperma",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","L. Menini Neto","K. Antunes; L.D. Santana; M. Altomare","686","2017","05","29","América do Sul","Brasil","MInas Gerais","Parque Estadual da Serra do Papagaio, mata abaixo do Pico do Santo Agostinho",NA,"Erva epífita e terrícola, muito abundante na Floresta Nebular. Folhas com base creme, externas cerca de 62 cm e internas com cerca de 52 cm. Inflorescências com 87 cm. Pedúnculo rosa. Frutos com brácteas marrom com ápice vere","CESJ070331",NA,"Baependi","-45.268531","-22.334525","2019",NA,NA,NA,"05",NA,"2250","2250","-45.268531","-22.334525",NA,NA
"19","2020-12-21 16:19:34-03","MBM","MBM","5197","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Smith, L.B.","Lindeman, J.; Haas, H.; Haas, H.","5186","1967","04","16","Southern America","Brazil","Rio de Janeiro","Parque Nacional do Itatiaia",NA,NA,"MBM005197","MBM005197 MBM005197_1","Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723965","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou",NA,"1870","4","3",NA,"Brasil","Rio de Janeiro","Sommet Les Orgnes. Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723965' target='other'> <mi>dwc_moreinfo</mi></a>","P01723965","P01723965_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4264",NA
"21","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723966","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, A.",NA,"1879","4","10",NA,"Brasil","Minas Gerais","Brésl (Minas) Campos da Serra do Picu. Minas Gerais, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723966' target='other'> <mi>dwc_moreinfo</mi></a>","P01723966","P01723966_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11694",NA
"22","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723968","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou",NA,NA,NA,NA,NA,"Brasil",NA,". Brasil, América do Sul","hb",". s.d. Specimen in monographia Bromeliacearum citatum. Reçu le 3 novembre 1887 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723968' target='other'> <mi>dwc_moreinfo</mi></a>","P01723968","P01723968_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723970","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil",NA,"BRÉSIL. Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723970' target='other'> <mi>dwc_moreinfo</mi></a>","P01723970","P01723970_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16470 A",NA
"24","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723971","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Smith, L.B.",NA,"1929","1","5",NA,"Brasil","Rio de Janeiro","Summit, Mt. Itatiaya, Estação Biologica. Itatiaia, Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Reçu le 31 Octrobre 1931 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723971' target='other'> <mi>dwc_moreinfo</mi></a>","P01723971","P01723971_01","Itatiaia","-44.68333","-22.41667",NA,NA,NA,NA,NA,NA,"2000","2300",NA,NA,"1703",NA
"25","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723967","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, A.",NA,"1869","8","7",NA,"Brasil","Rio de Janeiro","BRÉSIL: RJ Haut des Orgues. Teresópolis, Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723967' target='other'> <mi>dwc_moreinfo</mi></a>","P01723967","P01723967_01","Teresópolis","-42.9655990600586","-22.4122009277344",NA,"38539","auto",NA,NA,NA,NA,NA,NA,NA,"3631",NA
"26","2015-09-03 21:45:51-03","MNHN","RECOLNAT_MNHN_P","P01723969","PreservedSpecimen",NA,NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, A.",NA,"1887","1","22",NA,"Brasil","Rio de Janeiro","R.J. Haut des Orgãos, par Petrópolis. Petrópolis, Rio de Janeiro, Sudeste, Brasil, América do Sul","hb",". . Herbier de A. Glaziou, donné par Mme Simard, sa fille, en 1907 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01723969' target='other'> <mi>dwc_moreinfo</mi></a>","P01723969","P01723969_01","Petrópolis","-43.1786003112793","-22.5049991607666",NA,"36524","auto",NA,NA,NA,NA,NA,NA,NA,"16470",NA
"27","2020-12-11 11:43:36-03","UFMG","BHCB","149868","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Almeida, TE; Mota, NFO; Ramalho, AJ; Lau, BL; Batista, JAN","2911","2011","03","17","Southern America","Brasil","Minas Gerais","Fazenda Onça, Trilha para o Pico do Carrasco.Floresta Nebular",NA,"Erva epífita no interior de floresta. Frutos imaturos verdes e brácteas da inflorescência vermelhas",NA,NA,"Delfim Moreira","-45.337139","-22.613417",NA,NA,NA,NA,NA,NA,"1904","1904","-45.337139","-22.613417",NA,NA
"28","2020-12-11 11:43:36-03","UFMG","BHCB","188114","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Machado, TM; Falcão, BF; Moreira, SN; Rodrigues, IMC","574","2014","01","20","Southern America","Brasil","Minas Gerais","Parque Nacional da Serra do Itatiaia, Estrada para a parte alta do parque",NA,"Epífita em mata nebular. Escapo e brácteas do escapo vermelhas. Bráctea floral e ramos vermehos, flores amaralas","BHCB188114",NA,"Itamonte","-44.732222","-22.3625",NA,NA,NA,NA,NA,NA,"2227","2227","-44.732222","-22.3625",NA,NA
"29","2020-12-11 11:43:36-03","UFMG","BHCB","47860","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,NA,"s.n.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-12-11 11:43:36-03","UFMG","BHCB","199383","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Machado, TM; Fernandez, E; Lima, T","704","2014","11","06","Southern America","Brasil","Rio de Janeiro","PARNA do Itatiaia, Road to the highest part of the park",NA,"Epiphyte. Few individuals. Leaves with brown sheath, green blade. Old inflorescence; In the forest interior","BHCB199383",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-12-11 11:43:36-03","UFMG","BHCB","199379","PreservedSpecimen","Plantae","Monocotyledon",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Machado, TM; Fernandez, E; Lima, T","707","2014","11","08","Southern America","Brasil","Rio de Janeiro","Trail to Agulhas Negras",NA,"Saxicolous. About 30 individuals. Leaves with brown sheath, green blade with purple apex. Peduncle and peduncle bract reddish, brown floral bracts, carinated with clearer edges. Green fruit with red sepals; Cracks in the rock","BHCB199379",NA,"Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-09-04 16:38:11-03","FVD","FVD","4","MachineObservation","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","E.M.C. Leme",NA,NA,"2015","03","24",NA,"Brasil","Minas Gerais","Parque Estadual da Serra do Papagaio",NA,"Terrícola; Domínio fitogeográfico: Floresta atlântica; Vegetação: Campo de altitude","FVD00004","FVD00004_v1 FVD00004_v4 FVD00004_v5","Baependi","-44.679167","-22.06","2015",NA,NA,NA,"03",NA,"2160","2160","44°40'45W","22°03'36S",NA,NA
"33","2020-06-15 15:29:42-03","UNESP-RC","HRCB","65111","PreservedSpecimen","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","G.P. Sabino","Grupo Azul",NA,NA,NA,NA,NA,"Brasil","Rio de Janeiro","Estrada para a parte Alta do PARNA do Itatiaia (1800-2200m)",NA,NA,NA,NA,"Itatiaia","-44.749205","-22.36884",NA,NA,NA,NA,NA,NA,"1833","1833","44°44'57.138W","22°22'7.8234S",NA,NA
"34","2020-09-12 05:00:02-03","US","US","1540472","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"L. Smith","1703","1929","1","5","South America - Neotropics","Brazil","Rio de Janeiro","Mt. Itatiaya, Estação Biologica",NA,NA,"US01914092","US01914092_01","Itatiaia","-44.68","-22.42",NA,NA,NA,"Monocotyledonae",NA,NA,"2000","2300",NA,NA,NA,"1"
"35","2020-09-12 05:00:02-03","US","US","2481430","PreservedSpecimen","Plantae",NA,"Bromeliales","Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Collector unknown","739 A","1965","3","11","South America - Neotropics","Brazil","Rio de Janeiro","Serra daantiqueira",NA,NA,"US01914091","US01914091_01","Itatiaia","-44.5633010864258","-22.4960994720459",NA,"19648","auto","Monocotyledonae",NA,NA,"2300",NA,NA,NA,NA,"1"
"36","2019-07-09 12:56:24-03","F","FMNH-SEEDPLANTS","V0416534F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae",NA,"L. B. Smith","A. Castellanos","23347","1962","5","30","South America","Brazil","Minas Gerais",NA,NA,NA,"V0416534F","V0416534F_01",NA,"-44","-18",NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"37","2019-07-09 12:56:22-03","F","FMNH-SEEDPLANTS","V0416535F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae",NA,NA,"L. B. Smith","1703","1929","1","5","South America","Brazil","Rio de Janeiro",NA,NA,NA,"V0416535F","V0416535F_01",NA,"-42.5","-22",NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-07-09 12:56:15-03","F","FMNH-SEEDPLANTS","V0416536F","PreservedSpecimen","Plantae","Spermatophyta",NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae",NA,NA,"A. Glaziou","16470","1887","1","22","South America","Brazil","Rio de Janeiro",NA,NA,NA,"V0416536F","V0416536F_01",NA,"-42.5","-22",NA,NA,NA,"Monocotyledoneae",NA,NA,NA,NA,NA,NA,NA,NA
"39","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Wawra, H","ll463",NA,NA,NA,"Southern America","Brazil",NA,"in Pico d'Itatiaia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, AFM","4264",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in Brasiliae oreintalis prov. Rio de Janeiro montium summitatibus campinis; legerunt summis in montibus Organensibus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, AFM","16470",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in Brasiliae oreintalis prov. Rio de Janeiro montium summitatibus campinis; legerunt summis in montibus Organensibus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, AFM","16470a",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in Brasiliae oreintalis prov. Rio de Janeiro montium summitatibus campinis; legerunt summis in montibus Organensibus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, AFM","3631",NA,NA,NA,"Southern America","Brazil","Rio de Janeiro","Habitat in Brasiliae oreintalis prov. Rio de Janeiro montium summitatibus campinis; legerunt summis in montibus Organensibus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2017-09-11 17:09:05-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra",NA,"Glaziou, AFM","11694",NA,NA,NA,"Southern America","Brazil",NA,"in Serra do Picú",NA,"Floret Januario - Aprili, Augusto. (V. s. in herb. Berol., Brux., Leod., Petrop., Vindob., Warming.)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:02:54-03","IBt","SP","12369","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Smith, LB","Luederwaldt, H","s.n.","1906","05",NA,NA,"Brasil","Rio de Janeiro","Campo do Itatiaya.",NA,NA,"SP053747","SP053747",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 10:02:54-03","IBt","SP","391962","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Costa, A","Martinelli, G; et al.","15264","1998","12","07",NA,"Brasil","Minas Gerais","Serra do Papagaio, Vale do Matutu. Em cultivo no JBRJ.",NA,NA,"SP053746","SP053746","Aiuruoca","-44.675556","-22.100556","2006",NA,NA,NA,"08",NA,"1650","1700","-44.675556","-22.100556",NA,NA
"47","2019-11-21 10:02:54-03","IBt","SP","392011","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Machado, TM","Versieux, LM; et al.","355","2007","01","16",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó, Mata de galeria do Vale Encantado",NA,NA,"SP053749","SP053749","Alto Caparaó","-41.834167","-20.410556","2017",NA,NA,NA,"02",NA,"2013","2013","-41.834167","-20.410556",NA,NA
"48","2019-11-21 10:02:54-03","IBt","SP","392011a","Extra","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Machado, TM","Versieux, LM; et al.","355","2007","01","16",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó, Mata de galeria do Vale Encantado",NA,NA,"SP053750","SP053750","Alto Caparaó","-41.834167","-20.410556","2017",NA,NA,NA,"02",NA,"2013","2013","-41.834167","-20.410556",NA,NA
"49","2019-11-21 10:02:54-03","IBt","SP","442014","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Wanderley, MGL","Kirizawa, M; Morretes, BL","3737","2011","05","30",NA,"Brasil","Rio de Janeiro","BR-354, Passos-Itamonte até Garganta do Registro, seguindo por estrada de terra até o Pico das Agulhas Negras, ca. 18 km até a região do Vale dos Lírios",NA,NA,"SP053748","SP053748","Resende","-44.4467010498047","-22.468900680542","2012","36089","auto",NA,"02","27","2200","2200",NA,NA,NA,NA
"50","2019-11-21 10:02:54-03","IBt","SP","140856","S","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Costa, A","Eiten, G; Eiten, LT","7584","1966","07","29",NA,"Brasil","Rio de Janeiro","Parque Nacional de Itatiaia, South face of mt. Itatiaia. Along road 1 &1/2km from television relay tower towards Macieiras.",NA,NA,"SP053751","SP053751","Resende","-44.4467010498047","-22.468900680542","1992","36089","auto",NA,"04","27","1900","1900",NA,NA,NA,NA
"51","2019-11-21 10:02:54-03","IBt","SP","140856a","Extra","Plantae",NA,NA,"Bromeliaceae","Vriesea","itatiaiae","Vriesea itatiaiae","Wawra","Costa, A","Eiten, G; Eiten, LT","7584","1966","07","29",NA,"Brasil","Rio de Janeiro","Parque Nacional de Itatiaia, South face of mt. Itatiaia. Along road 1 &1/2km from television relay tower towards Macieiras.",NA,NA,"SP053752","SP053752","Resende","-44.4467010498047","-22.468900680542","1992","36089","auto",NA,"04","27","1900","1900",NA,NA,NA,NA
