"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","phylum","order","typeStatus","recordNumber","continentOcean","preparationType","occurrenceRemarks","infraspecificEpithet","locality","coordinatePrecision","geoFlag","sex","class","relatedCatalogItem","individualCount","fieldNumber","previousCatalogNumber"
"11","2021-03-15 16:37:00-03","NY","NYBG","755152","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"D. C. Daly","1991","06","11","Brazil","Acre","Rio Branco","-67.8","-9.97",NA,NA,"160","160","NY00755152","NY00755152_01","Magnoliophyta","Fabales",NA,"6945","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407645' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Univ. Federal do Acre, Parque Zoobotânico",NA,NA,NA,NA,NA,NA,NA,NA
"12","2021-03-15 16:37:00-03","NY","NYBG","00958828","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. Eiten","1970","03","06","Brazil","Piauí","Picos","-41.47","-7.08",NA,NA,NA,NA,"NY00958828","NY00958828_01","Magnoliophyta","Fabales",NA,"10834","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025005' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"East side of city of Picos. Open waste ground at highway maintainance station.",NA,NA,NA,NA,NA,NA,NA,NA
"13","2021-03-15 16:37:00-03","NY","NYBG","593317","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. P. Lewis","1987","05","06","Brazil","Rio de Janeiro","Cabo Frio","-42","-22.83",NA,NA,NA,NA,"NY00593317","NY00593317_01","Magnoliophyta","Fabales",NA,"1623","South America","sheet","Spirit, fruit, wood and photographs <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407649' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Estrada para Praia das Conchas",NA,NA,NA,NA,NA,NA,NA,NA
"14","2021-03-15 16:37:00-03","NY","NYBG","778654","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea glabrescens","(Benth.) L.P.Queiroz",NA,NA,NA,NA,"L. P. de Queiroz","1993","12","18","Brazil","Bahia",NA,"-38.37","-10.53",NA,NA,NA,NA,"NY00778654","NY00778654_01","Magnoliophyta","Fabales",NA,"3716","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796575' target='other'> <mi>dwc_moreinfo</mi></a>","glabrescens","Mun. de Cícero Dantas: Ca. 4 km N de Cícero Dantas.",NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","593318","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. P. Lewis","1987","05","13","Brazil","Espírito Santo","Linhares","-40","-19.5",NA,NA,"20","20","NY00593318","NY00593318_01","Magnoliophyta","Fabales",NA,"1631","South America","sheet","photographs <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407650' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Reserva Florestal de CVRD",NA,NA,NA,NA,NA,NA,NA,NA
"16","2021-03-15 16:37:00-03","NY","NYBG","594407","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea leiostachya","(Benth.) L.P.Queiroz",NA,NA,NA,NA,"R. A. Wasum","1989","03","02","Brazil","Rio Grande do Sul","Nova Prata","-51.61","-28.7842",NA,NA,"750","750","NY00594407","NY00594407_01","Magnoliophyta","Fabales",NA,"5567","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212437' target='other'> <mi>dwc_moreinfo</mi></a>","leiostachya","Horto Florestal",NA,NA,NA,NA,NA,NA,NA,NA
"17","2021-03-15 16:37:00-03","NY","NYBG","02704087","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"L. J. T. Cardoso","2015","04","20","Brazil","Rio Grande do Norte","Açu","-37.064722","-5.648889",NA,NA,NA,NA,"NY02704087","NY02704087_01","Magnoliophyta","Fabales",NA,"1050","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2990722' target='other'> <mi>dwc_moreinfo</mi></a>","ferrea","estrada de chão com acesso pela BR-304, próximo ao entroncamento com a RN-233. Próximo ao traçado da LT500kV Milagres II - Açú III. Coordenadas aprximadas (WGS84). Savana-estépica arborizada com solo arenoso a pedregoso.",NA,NA,NA,NA,NA,NA,NA,NA
"18","2021-03-15 16:37:00-03","NY","NYBG","778646","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"L. S. Figueiredo","1995","07","09","Brazil","Pernambuco","Buíque","-37.17","-8.62",NA,NA,"790","790","NY00778646","NY00778646_01","Magnoliophyta","Fabales",NA,"119","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796561' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Fazenda Laranjeiras. Nas vertentes a sotavento da Chapada de São José.",NA,NA,NA,NA,NA,NA,NA,NA
"19","2021-03-15 16:37:00-03","NY","NYBG","2687008","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"A. J. Henderson","1985","05","15","Brazil","Amazonas","Humaitá","-62.833333","-7.333333",NA,NA,NA,NA,"NY02687008","NY02687008_01","Magnoliophyta","Fabales",NA,"463","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2962005' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Right bank of Rio Madeira, Lago do Purusinho, 1 1/2 hours north from Humaitá",NA,NA,NA,NA,NA,NA,NA,NA
"20","2021-03-15 16:37:00-03","NY","NYBG","590286","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"W. M. Andrade","1999","01","23","Brazil","Pernambuco","Fazenda Nova",NA,NA,NA,NA,NA,NA,"NY00590286","NY00590286_01","Magnoliophyta","Fabales",NA,"172","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407642' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Faz. Araras",NA,NA,NA,NA,NA,NA,NA,NA
"21","2021-03-15 16:37:00-03","NY","NYBG","00958833","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil","Piauí",NA,NA,NA,NA,NA,NA,NA,"NY00958833","NY00958833_01","Magnoliophyta","Fabales",NA,"2147","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025020' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Prov. Piauhy",NA,NA,NA,NA,NA,NA,NA,NA
"22","2021-03-15 16:37:00-03","NY","NYBG","778647","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"K. Andrade","1996","02","22","Brazil","Pernambuco","Buíque","-37.15","-8.625",NA,NA,"799","799","NY00778647","NY00778647_01","Magnoliophyta","Fabales",NA,"302","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796563' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Fazenda Laranjeiras.",NA,NA,NA,NA,NA,NA,NA,NA
"23","2021-03-15 16:37:00-03","NY","NYBG","755168","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"K. A. Kainer","1989","09","20","Brazil","Acre","Xapuri","-68.5044","-10.6517",NA,NA,NA,NA,"NY00755168","NY00755168_01","Magnoliophyta","Fabales",NA,"69","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=908903' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Ser. Cachoeira, Col. Caco de Cuia.",NA,NA,NA,NA,NA,NA,NA,NA
"24","2021-03-15 16:37:00-03","NY","NYBG","777853","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"J. G. Nascimento","2002","01","18","Brazil","Bahia","Itiúba","-39.7378","-10.6578",NA,NA,"375","375","NY00777853","NY00777853_01","Magnoliophyta","Fabales",NA,"47","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407652' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Itiúba: 10 km de Itiúba",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-03-15 16:37:00-03","NY","NYBG","00958804","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"H. S. Irwin","1959","01","04","Brazil","Minas Gerais","Belo Horizonte","-43.9378","-19.9208",NA,NA,NA,NA,"NY00958804","NY00958804_01","Magnoliophyta","Fabales",NA,"2368","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024976' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Agronomic Institute, Belo Horizonte",NA,NA,NA,NA,NA,NA,NA,NA
"26","2021-03-15 16:37:00-03","NY","NYBG","03097833","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"H. C. de Lima","2016","06","27","Brazil","Rio de Janeiro","Maricá","-42.8425","-22.8969444",NA,NA,"20","20","NY03097833","NY03097833_01","Magnoliophyta","Fabales",NA,"8253","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=3343388' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Pindobas, Estrada do Camburi, Sítio Exdra-Orquideas. Fragmento de mata de planície, solo argiloso-arenoso.",NA,NA,NA,NA,NA,NA,NA,NA
"27","2021-03-15 16:37:00-03","NY","NYBG","594405","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea leiostachya","(Benth.) L.P.Queiroz",NA,NA,NA,NA,"H. S. Irwin","1971","02","28","Brazil","Bahia",NA,NA,NA,NA,NA,"1000","1000","NY00594405","NY00594405_01","Magnoliophyta","Fabales",NA,"31250","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212432' target='other'> <mi>dwc_moreinfo</mi></a>","leiostachya","Ca. 1 km N of Agua de Rega, road to Cafarnaum",NA,NA,NA,NA,NA,NA,NA,NA
"28","2021-03-15 16:37:00-03","NY","NYBG","00958805","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"J. E. de Paula","1981","07","09","Brazil","Pernambuco","Flores","-37.9744","-7.8683",NA,NA,NA,NA,"NY00958805","NY00958805_01","Magnoliophyta","Fabales",NA,"1485-A","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1024977' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Distrito de Tenorio",NA,NA,NA,NA,NA,NA,NA,NA
"29","2021-03-15 16:37:00-03","NY","NYBG","593314","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"A. M. V. de Carvalho","1992","02","28","Brazil","Bahia","Tucano","-38.7867","-10.9633",NA,NA,NA,NA,"NY00593314","NY00593314_01","Magnoliophyta","Fabales",NA,"3825","South America","sheet","Flores em álcool 70% <a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407639' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Ca. 7 km na Estrada Tucano para Arací",NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","594409","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea leiostachya","(Benth.) L.P.Queiroz",NA,NA,NA,NA,"J. Spada","1973","02","14","Brazil","Espírito Santo","Linhares","-40.0719","-19.3911",NA,NA,NA,NA,"NY00594409","NY00594409_01","Magnoliophyta","Fabales",NA,"19273","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212439' target='other'> <mi>dwc_moreinfo</mi></a>","leiostachya","Reserva Florestal da CVRD. Est. Flamengo, ant. X-1, km 7300, lado direito",NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00958829","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. Eiten","1970","03","06","Brazil","Piauí","Picos","-41.47","-7.08",NA,NA,NA,NA,"NY00958829","NY00958829_01","Magnoliophyta","Fabales",NA,"10834","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025008' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"East side of city of Picos. Open waste ground at highway maintainance station.",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","593316","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil",NA,NA,NA,NA,NA,NA,NA,NA,"NY00593316","NY00593316_01","Magnoliophyta","Fabales",NA,"1277","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407648' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Brasilia",NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","590287","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"L. S. Figueiredo","1998","09","14","Brazil","Pernambuco","Fazenda Nova",NA,NA,NA,NA,NA,NA,"NY00590287","NY00590287_01","Magnoliophyta","Fabales",NA,"456","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407643' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Faz. Araras",NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","00958827","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"B. A. Krukoff","1933","03","21","Brazil","Maranhão",NA,NA,NA,NA,NA,NA,NA,"NY00958827","NY00958827_01","Magnoliophyta","Fabales",NA,"2040","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025000' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Region of River Grajahu; Near Jimbira",NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-03-15 16:37:00-03","NY","NYBG","00958832","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. Gardner","1836",NA,NA,"Brazil","Piauí",NA,NA,NA,NA,NA,NA,NA,"NY00958832","NY00958832_01","Magnoliophyta","Fabales",NA,"2147","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025017' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Prov. Piauhy",NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","1144868","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea leiostachya","(Benth.) L.P.Queiroz",NA,NA,NA,NA,"D. B. O. S. Cardoso","2006","04","22","Brazil","Bahia","Itaberaba","-40.5164","-12.4169",NA,NA,"398","398","NY01144868","NY01144868_01","Magnoliophyta","Fabales",NA,"1250","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1299886' target='other'> <mi>dwc_moreinfo</mi></a>","leiostachya","ARIE Serra do Orobó, entrada da Fazenda Leão dos Brejos.",NA,NA,NA,NA,NA,NA,NA,NA
"37","2021-03-15 16:37:00-03","NY","NYBG","00958807","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"C. de Almeida","1941","01","21","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00958807","NY00958807_01","Magnoliophyta","Fabales",NA,"s.n.","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1025015' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Horto Florestal do Distrito Federal",NA,NA,NA,NA,NA,NA,NA,NA
"38","2021-03-15 16:37:00-03","NY","NYBG","1019314","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"E. Córdula","2007","06","20","Brazil","Pernambuco","Mirandiba","-38.7294","-8.12028",NA,NA,"450","580","NY01019314","NY01019314_01","Magnoliophyta","Fabales",NA,"289","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1280446' target='other'> <mi>dwc_moreinfo</mi></a>","ferrea","Serra do Tigre",NA,NA,NA,NA,NA,NA,NA,NA
"39","2021-03-15 16:37:00-03","NY","NYBG","778649","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"G. G. Hatschbach","1983","05","14","Brazil","Bahia","Aracatu","-41.46","-14.42",NA,NA,NA,NA,"NY00778649","NY00778649_01","Magnoliophyta","Fabales",NA,"46395","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=796566' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Rio Riachão.",NA,NA,NA,NA,NA,NA,NA,NA
"40","2021-03-15 16:37:00-03","NY","NYBG","594404","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea leiostachya","(Benth.) L.P.Queiroz",NA,NA,NA,NA,"R. P. Belém","1965","01","28","Brazil","Bahia",NA,NA,NA,NA,NA,NA,NA,"NY00594404","NY00594404_01","Magnoliophyta","Fabales",NA,"333","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=212431' target='other'> <mi>dwc_moreinfo</mi></a>","leiostachya","Rodovia BR-4, a 300 km de Salvador para Jequié",NA,NA,NA,NA,NA,NA,NA,NA
"41","2021-03-15 16:37:00-03","NY","NYBG","593310","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"A. M. Amorim","1993","02","23","Brazil","Bahia","Saúde","-40.4189","-10.9411",NA,NA,NA,NA,"NY00593310","NY00593310_01","Magnoliophyta","Fabales",NA,"1063","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=407641' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Cachoeira do Paulista. Entrada no km 10 da estrada Saúde/Jacobina. Ca. 6 km a partir da entrada",NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","00978800","PreservedSpecimen","Plantae","Fabaceae","Libidibia","ferrea","Libidibia ferrea","(Mart. ex Tul.) L.P.Queiroz",NA,NA,NA,NA,"C. Lage","1938","02","03","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00978800","NY00978800_01","Magnoliophyta","Fabales",NA,"369","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1063145' target='other'> <mi>dwc_moreinfo</mi></a>",NA,"Arboretum",NA,NA,NA,NA,NA,NA,NA,NA
