"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","minimumElevationInMeters","maximumElevationInMeters","class","coordinatePrecision","geoFlag","typeStatus","individualCount"
"11","2019-02-15 11:34:23-02","IPA","IPA","77064","S","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J.","2015","06","11","Gonzatti, F.; Valduga, E.; Valduga, E.","1705","2015","04","18","Brasil","Rio Grande do Sul","Osório","Butiazal paralelo à Estrada do Mar.","-50.223889","-29.889167","-50.223889","-29.889167","Subarbusto sub-ereto com lígulas em sua maioria brancas, algumas rosadas. Espécie ameaçada.; Campo pastejado.","IPA0077064",NA,"Plantae",NA,"Southern America",NA,"21","21",NA,NA,NA,NA,NA
"12","2019-08-27 13:27:45-03","IAP","PACA-AGP","86913","PreservedSpecimen","Plantae","Compositae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","L. P. Deble","2005","09",NA,"Sehnem, A.","14429","1984","11",NA,"Brasil","SC","Ilha de SC","Dunas",NA,NA,NA,NA,"Autor da espécie: Zard. Habitat: in arenosis maritimis","PACA086913",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"Magnoliatae",NA,NA,NA,NA
"13","2019-08-27 13:27:45-03","IAP","PACA-AGP","72151","PreservedSpecimen","Plantae","Compositae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Sehnem, A.",NA,"1973","11","03","Brasil","SC","Imbituba","Vila Nova","-48.6702995300293","-28.2399997711182",NA,NA,"Autor da espécie: Zard. Habitat: arbustum in dumetis","PACA072151",NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,"Magnoliatae","18719","auto",NA,NA
"14","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0005594","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","E. Zardini",NA,NA,NA,"G. Hatschbach; E. Zardini","41024","1978","2","13","Brazil","Santa Catarina",NA,"Nova Esperanca (mun. Imbituba)","-48.6103","-28.240543",NA,NA,"Flores marginaes brancas, os do disco amarelas",NA,NA,"Magnoliophyta","Asterales",NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2019-11-21 14:32:04-03","UFJF","CESJ","39259","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","G. Hatschbach","2002",NA,NA,"G. Hatschbach; A.C. Cervi; E. Barbosa","72701","2001","11","14","Brasil","Santa Catarina","Laguna","Cabo Santo Marta","-48.7807998657227","-28.4825000762939",NA,NA,"Ascendente, capítulo creme, ligulas alvas. Dunas fixas. Alt: 3-5m.","CESJ039259",NA,"Angiosperma",NA,"América do Sul",NA,NA,NA,NA,"21199","auto",NA,NA
"16","2019-11-08 08:50:01-03","FURB","FURB","42000","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Heiden, G.","2018","02","08","Gonzatti, F.","447","2012","03","11","Brasil","Rio Grande do Sul","Cidreira","entrono da Lagoa da Tapera.","-50.2275","-30.0516667","-50.2275000","-30.0516667",NA,"FURB18234","FURB18234",NA,NA,NA,NA,"16","16",NA,NA,NA,NA,NA
"17","2020-10-14 09:59:19-03","FURB","FURB","43489","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Heiden, G.","2018","02","08","Bloemer, H.C.","2","2013","10","15","Brasil","Santa Catarina","Florianópolis","Praia da Joaquina, Parque Municipal Dunas da Lagoa da Conceição.","-48.4513889","-27.6275","-48.4513889","-27.6275000","população de Spartina ciliata 3","FURB18220","FURB18220",NA,NA,NA,NA,"7","7",NA,NA,NA,NA,NA
"18","2020-10-14 09:59:19-03","FURB","FURB","44044","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Heiden, G.","2018","02","08","Funez, L.A.","2803","2014","05","02","Brasil","Santa Catarina","Florianópolis","proximidades do TAMAR (barra da lagoa).","-48.4272223","-27.5711111","-48.4272223","-27.5711111",NA,"FURB18222","FURB18222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-10-14 09:59:19-03","FURB","FURB","65120","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Funez, L.A.","2019","07","13","Funez, L.A.; Zermiani, A.E.","8910","2019","04","21","Brasil","Santa Catarina","Florianópolis","Dunas do Campeche.","-48.4747223","-27.6630556","-48.4747223","-27.6630556","Raio Branco, disco amarelo Habitat: Restinga herbáceo-arbustiva Habito: Erva","FURB65120","FURB65120",NA,NA,NA,NA,"7","7",NA,NA,NA,NA,NA
"20","2021-03-16 17:51:02-03","UCS","HUCS","43032","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J.","2015","06","11","Gonzatti, F.","1705","2015","04","18","Brasil","Rio Grande do Sul","Osório","Butiazal paralelo à Estrada do Mar","-50.223922","-29.889206","-50.223922","-29.889206","subarbusto sub-ereto com lígulas em sua maioria brancas, algumas rosadas. Espécie ameaçada; campo pastejado",NA,NA,"Angiospermae","Asterales",NA,NA,"21","21",NA,NA,NA,NA,NA
"21","2021-03-16 17:51:02-03","UCS","HUCS","43366","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J.","2015","08","06","Gaio, J.","433","2015","07","12","Brasil","Rio Grande do Sul","Osório","Rodovia Estrada do Mar","-50.237669","-29.902781","-50.237669","-29.902781","subarbusto com indumento glanduloso; mergens da via",NA,NA,"Angiospermae","Asterales",NA,NA,"13","13",NA,NA,NA,NA,NA
"22","2021-03-16 17:51:02-03","UCS","HUCS","41206","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gonzatti, F.","2017","10",NA,"Valduga, E.","479","2012","10","13","Brasil","Rio Grande do Sul","Cidreira","Fazenda Azaléia","-50.2056007385254","-30.1811008453369",NA,NA,"flores rosadas, no campo arenosos.",NA,NA,"Angiospermae","Asterales",NA,NA,NA,NA,NA,"19547","auto",NA,NA
"23","2020-12-21 16:16:48-03","MBM","MBM","10270","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Cordeiro, J.","2018",NA,NA,"Lindeman, J.C.; Haas, J.H. de; Haas, J.H. de","1869","1966","07","17","Brazil","Santa Catarina",NA,"Entre Laguna e Tubarão",NA,NA,NA,NA,NA,"MBM010270","MBM010270",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-12-21 16:16:48-03","MBM","MBM","418065","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J.","2015","08","06","Gaio, J.; Demeda, C.; Gonzatti, F.; Demeda, C.; Gonzatti, F.","433","2015","07","12","Brazil","Rio Grande do Sul","Osório","Rodovia Estrada do Mar","-50.237778","-29.902778","-50.237778","-29.902778","Subarbusto com indumento glanduloso.; Margens da via.","MBM418065",NA,NA,NA,"Southern America",NA,"13","13",NA,NA,NA,NA,NA
"25","2020-12-21 16:16:48-03","MBM","MBM","418068","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Gaio, J.","2015","06","11","Gonzatti, F.; Valduga, E.; Valduga, E.","1705","2015","04","18","Brazil","Rio Grande do Sul","Osório","Butiazal paralelo a Estrada do Mar","-50.223889","-29.889167","-50.223889","-29.889167","Subarbusto sub-ereto com lígulas em sua maioria brancas, algumas rosadas. Espécie ameaçada.; Campo pastejado.","MBM418068",NA,NA,NA,"Southern America",NA,"21","21",NA,NA,NA,NA,NA
"26","2020-12-21 16:16:48-03","MBM","MBM","425102","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Barboza, E.","2019","11","06","Brotto, M.L.; Barboza, E.; Barboza, E.","3673","2019","07","06","Brazil","Santa Catarina","Laguna","Praia do Sol","-48.758056","-28.399167","-48.758056","-28.399167","Erva com 30 cm de altura; capítulo branco, dispersando as sementes.; Formação Pioneira com Influência Marinha (Restinga).","MBM425102",NA,NA,NA,"Southern America",NA,"5","5",NA,NA,NA,NA,NA
"27","2020-12-21 16:16:48-03","MBM","MBM","74885","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.","49372","1985","05","22","Brazil","Santa Catarina",NA,"Rod. BR-101, Guarita",NA,NA,NA,NA,NA,"MBM074885","MBM074885",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-12-21 16:16:48-03","MBM","MBM","21149","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Zardini, E.M.",NA,NA,NA,"Hatschbach, G.; Koczicki, C.; Koczicki, C.","27236","1971","10","16","Brazil","Santa Catarina","Laguna","Laguna","-48.7807998657227","-28.4825000762939",NA,NA,NA,"MBM021149","MBM021149",NA,NA,"Southern America",NA,NA,NA,NA,"21199","auto",NA,NA
"29","2020-12-21 16:16:48-03","MBM","MBM","56297","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Zardini, E.M.",NA,NA,NA,"Hatschbach, G.; Zardini, E.M.; Zardini, E.M.","41024","1978","02","13","Brazil","Santa Catarina","Imbituba","Nova Esperança","-48.6702995300293","-28.2399997711182",NA,NA,NA,"MBM056297","MBM056297",NA,NA,"Southern America",NA,NA,NA,NA,"18719","auto",NA,NA
"30","2020-12-21 16:16:48-03","MBM","MBM","153487","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.; Hatschbach, M.; Silva, J.M.; Hatschbach, M.; Silva, J.M.","57896","1992","08","21","Brazil","Santa Catarina","Imbituba","Praia da Boa Esperança","-48.6702995300293","-28.2399997711182",NA,NA,NA,"MBM153487","MBM153487",NA,NA,"Southern America",NA,NA,NA,NA,"18719","auto",NA,NA
"31","2020-12-21 16:16:48-03","MBM","MBM","60769","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Zardini, E.M.","1978",NA,NA,"Zardini, E.M.","1104","1978","02","20","Brazil","Rio Grande do Sul","Viamão","Km 50 estrada Viamão-Cidreira","-51.0233001708984","-30.0811004638672",NA,NA,"Suelo arenoso. Costado de camino. Lígulas blancas; Suelo arenoso. Costado del camino.; Lígulas blancas.","MBM060769","MBM060769",NA,NA,"Southern America",NA,NA,NA,NA,"41667","auto","ISOTYPE",NA
"32","2020-12-21 16:16:48-03","MBM","MBM","62251","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Zardini, E.M.",NA,NA,NA,"Hatschbach, G.","42230","1973","04","30","Brazil","Santa Catarina","Garopaba","Garopaba","-48.6133003234863","-28.0233001708984",NA,NA,NA,"MBM062251","MBM062251",NA,NA,"Southern America",NA,NA,NA,NA,"11115","auto",NA,NA
"33","2020-12-21 16:16:48-03","MBM","MBM","272313","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Hatschbach, G.",NA,NA,NA,"Hatschbach, G.; Cervi, A.C.; Barboza, E.; Cervi, A.C.; Barboza, E.","72701","2001","11","14","Brazil","Santa Catarina","Laguna","Cabo Santa Marta","-48.7807998657227","-28.4825000762939",NA,NA,NA,"MBM272313","MBM272313",NA,NA,"Southern America",NA,NA,NA,NA,"21199","auto",NA,NA
"34","2015-09-04 05:16:07-03","MNHN","RECOLNAT_MNHN_P","P02563321","PreservedSpecimen",NA,"Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. No.1038 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563321' target='other'> <mi>dwc_moreinfo</mi></a>","P02563321","P02563321_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"35","2015-09-04 05:16:07-03","MNHN","RECOLNAT_MNHN_P","P02563322","PreservedSpecimen",NA,"Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. 1a. part. no.1042 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563322' target='other'> <mi>dwc_moreinfo</mi></a>","P02563322","P02563322_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"36","2015-09-04 05:16:07-03","MNHN","RECOLNAT_MNHN_P","P02563323","PreservedSpecimen",NA,"Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. 1a. part. No.1042 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563323' target='other'> <mi>dwc_moreinfo</mi></a>","P02563323","P02563323_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"37","2015-09-04 05:16:07-03","MNHN","RECOLNAT_MNHN_P","P02563324","PreservedSpecimen",NA,"Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Saint-Hilaire, A. de",NA,"1816",NA,NA,"Brésil","Santa Catarina",NA,"Province. Santa Catarina, Sul, Brasil, América do Sul",NA,NA,NA,NA,". Voyage d´Auguste de Saint-Hilaire, de 1816 à 1821. 1a. part. No.1042 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p02563324' target='other'> <mi>dwc_moreinfo</mi></a>","P02563324","P02563324_01",NA,NA,NA,"hb",NA,NA,NA,NA,NA,NA,NA
"38","2020-10-01 14:15:40-03","JBB","HEPH","19155","S","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Hatschbach, G",NA,NA,NA,"Hatschbach, G","72701","2001","11","14","Brasil","Santa Catarina","Laguna","Cabo Santa Marta","-48.7807998657227","-28.4825000762939",NA,NA,NA,NA,NA,"Dicotyledon","Asterales","Southern America",NA,NA,NA,NA,"21199","auto",NA,NA
"39","2020-12-11 11:33:20-03","UFMG","BHCB","27453","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Hatschbach, G; Hatschbach, M; Silva, JM","57896","1992","08","21","Brasil","Santa Catarina","Imbituba","Praia Boa Esperança.","-48.6702995300293","-28.2399997711182",NA,NA,"Ante dunas. Prostrada, 3-5m. Capítulos amarelos. Lígulas alvas.",NA,NA,"Dicotyledon",NA,"Southern America",NA,NA,NA,NA,"18719","auto",NA,NA
"40","2019-06-25 08:45:00-03","MO","MOBOT","101137921","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Gert G. Hatschbach|Elsa M. Zardini","Hatschbach 41180","1978","2","14","Brazil","Santa Catarina",NA,"Campo Maciambu.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,"1"
"41","2009-08-21 07:09:00-03","MO","MOBOT","2458222","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Elsa M. Zardini","Zardini 1104",NA,NA,NA,"Brazil","Rio Grande do Sul",NA,"Viamão. km 50 da estrada Viamão-Cidreira",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"42","2009-10-18 06:45:00-02","MO","MOBOT","3363084","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","Zardini",NA,NA,NA,"Gert G. Hatschbach|Elsa M. Zardini","Hatschbach 41024","1978",NA,NA,"Brazil","Santa Catarina",NA,"Mun. Imbituba. Nova Esperanca.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"43","2008-05-27 22:02:00-03","MO","MOBOT","3363177","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini",NA,NA,NA,NA,"Gert G. Hatschbach","Hatschbach 42230","1973",NA,NA,"Brazil","Santa Catarina",NA,"Garopaba, Santa Catarina.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA
"44","2013-09-09 09:57:00-03","MO","MOBOT","3363251","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","G. Hatschbach",NA,NA,NA,"Gert G. Hatschbach","Hatschbach 44907","1982","5","10","Brazil","Santa Catarina",NA,"Rod. BR-101. Guartia.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"South America",NA,"3.00000000","5.00000000",NA,NA,NA,NA,"1"
"45","2020-07-10 09:45:20-03","MBML","MBML-HERBARIO","53390",NA,"Plantae","Compositae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","J. Gaio/2015",NA,NA,NA,"F. Gonzatti; E. Valduga","1705","2015","04","18","Brasil","Rio Grande do Sul","Osório","Butiazal paralelo a Estrada do Mar","-50.223889","-29.889167","50W13'26","29S53'21","Habitat: Campo pastejado. Subarbusto Sub-ereto com lígulas em sua maioria brancas, algumas rosadas. Espécie ameaçada","MBML053390","MBML053390",NA,NA,NA,NA,"21","21",NA,NA,NA,NA,NA
"46","2020-07-10 09:45:20-03","MBML","MBML-HERBARIO","53393",NA,"Plantae","Compositae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","J. Gaio/2015",NA,NA,NA,"J. Gaio; C. Demeda & F. Gonzatti","433","2015","07","12","Brasil","Rio Grande do Sul","Osório","Rodovia Estrada do Mar","-50.237778","-29.902778","50W14'16","29S54'10","Habitat: margens da via. Subarbusto com indumento glanduloso","MBML053393","MBML053393",NA,NA,NA,NA,"13","13",NA,NA,NA,NA,NA
"47","2019-11-07 11:43:57-03","FUVATES","HVAT","2629","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","E. Freitas","2014","07","02","J. O. da Silva","s.n.","2012","02","12","Brasil","Rio Grande do Sul","Tramandaí","Dunas da praia.","-50.125","-29.988611","-50º7'30''W","-29º59'19''S","Herbácea; Dunas da planicie costeira","HVAT00002629",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","2021-01-26 14:12:26-03","CPACT","ECT","5474","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","G.Heiden","2011","11","14","G.Heiden; C.T.Oliveira","1810","2011","11","14","Brasil","Santa Catarina","Laguna","Barra da laguna. Dunas próximas ap molhe. Vegetação costeira, dunas móveis ou parcialmente consolidadas, estrato herbáceo.","-48.762222","-28.495833","48º45'44''W","28º29'45''S",NA,"ECT0005474","ECT0005474","Embryophyta",NA,NA,NA,"6","6",NA,NA,NA,NA,NA
"49","2021-01-26 14:12:26-03","CPACT","ECT","6382","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","G.Heiden","2020","01","03","A.Demétrio",NA,"2019","04","17","Brasil","Santa Catarina","Florianópolis","Dunas da Lagoa da Conceição. Altitude obtida secundariamente, a partir dos dados de coordenadas geográficas.","-48.455556","-27.611944","48º27'20''W","27º36'43''S",NA,"ECT0006382",NA,"Embryophyta",NA,NA,NA,"4","4",NA,NA,NA,NA,NA
"50","2021-01-26 14:12:26-03","CPACT","ECT","6381","PreservedSpecimen","Plantae","Asteraceae","Noticastrum","hatschbachii","Noticastrum hatschbachii","Zardini","G.Heiden","2020","01","03","A.Demétrio",NA,"2019","04","17","Brasil","Santa Catarina","Florianópolis","Dunas da Lagoa da Conceição. Altitude obtida secundariamente, a partir dos dados de coordenadas geográficas.","-48.455556","-27.611944","48º27'20''W","27º36'43''S",NA,"ECT0006381",NA,"Embryophyta",NA,NA,NA,"4","4",NA,NA,NA,NA,NA
