"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","typeStatus","recordedBy","recordNumber","continentOcean","country","locality","preparationType","previousCatalogNumber","occurrenceRemarks","barcode","minimumElevationInMeters","maximumElevationInMeters","phylum","order","scientificNameAuthorship","imagecode","year","month","day","stateProvince","county","decimalLongitude","decimalLatitude","identifiedBy","yearIdentified","verbatimLongitude","verbatimLatitude","monthIdentified","dayIdentified","class","relatedCatalogItem","coordinatePrecision","geoFlag","fieldNumber","individualCount"
"15","2021-03-31 19:17:48-03","UCS","HUCS","51593","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"Gonzatti, F.","3928",NA,"Brasil","Parque Nacional do Caparaó",NA,NA,"Erva rupícola em acúmulos da matéria orgânica entre rochas. Trilha entre Tronqueira e Terreirão.","HUCS007492","1350","1350","Pteridophyta","Polypodiales","(Fée) Yesilyurt",NA,"2017","11","13","Minas Gerais","Alto Caparaó","-41.837111","-20.409917","Gonzatti, F.","2021","-41.837111","-20.409917","02",NA,NA,NA,NA,NA,NA,NA
"16","2021-03-31 19:17:48-03","UCS","HUCS","51594","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"Gonzatti, F.","3985",NA,"Brasil","Serra dos Órgãos. PARNASO - Parque Nacional.",NA,NA,"1587 - 2034 m; Erva rosetada rupícola, em rochas da Pedra do Sino.","HUCS007659","1587","1587","Pteridophyta","Polypodiales","(Fée) Yesilyurt",NA,"2017","11","18","Rio de Janeiro","Teresópolis","-43.016306","-22.454028","Gonzatti, F.","2021","-43.016306","-22.454028","02",NA,NA,NA,NA,NA,NA,NA
"17","2021-03-16 17:56:55-03","UCS","HUCS","50290","PreservedSpecimen","Plantae","Pteridaceae","Lytoneuron","paradoxum","Lytoneuron paradoxum",NA,"Krieger, L.",NA,NA,"Brasil","Serra Caparaó",NA,NA,"Doação CESJ: 14193.; junto a pedras e rochas, em lugares mais abrigados, formando touceiras densas.","HUCS003857","2500","2500","Pteridophyta","Polypodiales","(Fée) Yesilyurt","HUCS003857","1976","07","07","Minas Gerais","Alto Caparaó","-41.8683013916016","-20.4333000183105","Dittrich, V.A.O.","2019",NA,NA,"03",NA,NA,NA,"21645","auto",NA,NA
"18","2020-06-29 09:31:52-03","UFRRJ","RBR","26667","S","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"L.S. Sylvestre; J.P.L. Aguilar, C.L. Aguilar","1798",NA,"Brasil","parque Nacional de Itatiaia, Estrada para Agulhas Negras,",NA,NA,NA,"RBR00026667",NA,NA,NA,NA,"(Fée) Christ",NA,"2004","12","22","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","L.S. Sylvestre","2004",NA,NA,NA,NA,NA,NA,"19648","auto",NA,NA
"19","2020-12-21 16:42:21-03","MBM","MBM","32024","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Brade, A.C.","9935","Southern America","Brazil","Serra dos Órgãos, Pedra do Sino",NA,NA,NA,"MBM032024",NA,NA,NA,NA,"(Fée) C. Chr.","MBM032024","1931","05","02","Rio de Janeiro","Teresópolis","-42.9655990600586","-22.4122009277344",NA,NA,NA,NA,NA,NA,NA,NA,"38539","auto",NA,NA
"20","2020-12-21 16:42:21-03","MBM","MBM","339511","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Labiak, P.; et al.; et al.","4464","Southern America","Brazil","Parque Nacional do Itatiaia. Subida para o Pico das Agulhas negras.",NA,NA,"Rupícula. Campos de altitude","MBM339511","2350","2350",NA,NA,"(Fée) C. Chr.","MBM339511","2008","01","11","Rio de Janeiro","Itatiaia","-44.5633010864258","-22.4960994720459","Labiak, P.","2008",NA,NA,"01",NA,NA,NA,"19648","auto",NA,NA
"21","2020-12-21 16:42:21-03","MBM","MBM","388397","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Labiak, P.H.; Pereira, J.B.S.; Marinero, F.; Pereira, J.B.S.; Marinero, F.","4794","Southern America","Brazil","Parque Estadual Pico do Paraná",NA,NA,"Rupícola.; Em campo de altitude.","MBM388397","1500","1876",NA,NA,"(Fée) C. Chr.","MBM388397","2008","07","09","Paraná","Campina Grande do Sul","-48.833333","-25.25",NA,NA,"-48.833333","-25.25",NA,NA,NA,NA,NA,NA,NA,NA
"22","2019-11-01 15:28:48-03","PUC-RIO","FCAB","0187","PreservedSpecimen","Plantae","Pteridaceae","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"P. Capell S.J.","s.n.",NA,"Brasil",NA,NA,NA,"Em geral, para chegar ao cume da montanha dos Caledonians, nas rochas granítica.","000187",NA,NA,NA,"Pteridophyta","(Fée) Christ",NA,"1951","05","14",NA,NA,NA,NA,"Dr. Brade",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2015-09-03 16:29:57-03","MNHN","RECOLNAT_MNHN_P","P01247697","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Magalhaes Gomes, C.T.|Silveira, Alvaro",NA,NA,"Brésil","Ad Morro de S Sebastiao (OP M. Geraes)","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01247697' target='other'> <mi>dwc_moreinfo</mi></a>","P01247697",NA,NA,NA,NA,"(Fée) Christ","P01247697_01","1893","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"915",NA
"24","2015-09-03 16:29:57-03","MNHN","RECOLNAT_MNHN_P","P01247698","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"[Glaziou], A.",NA,NA,"Brésil","pr. Bahia, Almas","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01247698' target='other'> <mi>dwc_moreinfo</mi></a>","P01247698",NA,NA,NA,NA,"(Fée) Christ","P01247698_01","1885","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2015-09-03 16:29:57-03","MNHN","RECOLNAT_MNHN_P","P01247699","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Schwacke, C.A.W.",NA,NA,"Brésil","Minas Geraes. Am Gigsal der Serra di Ouro Branco","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01247699' target='other'> <mi>dwc_moreinfo</mi></a>","P01247699","1270",NA,NA,NA,"(Fée) Christ","P01247699_01","1896","7","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12191",NA
"26","2015-09-04 11:03:35-03","MNHN","RECOLNAT_MNHN_P","P00477712","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Gardner, G.",NA,NA,"Brésil","Montagnes Organ","hb",NA,"Herbier Luerssen-Weigel 5 janvier 1969 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477712' target='other'> <mi>dwc_moreinfo</mi></a>","P00477712",NA,NA,NA,NA,"(Fée) Christ","P00477712_01 P00477712_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5930",NA
"27","2015-09-19 06:53:33-03","MNHN","RECOLNAT_MNHN_P","P00477713","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Gardner, G.",NA,NA,"Brésil","Montagnes Organ","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477713' target='other'> <mi>dwc_moreinfo</mi></a>","P00477713",NA,NA,NA,NA,"(Fée) Christ","P00477713_01 P00477713_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5930",NA
"28","2015-09-17 00:30:16-03","MNHN","RECOLNAT_MNHN_P","P00477714","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Gardner, G.",NA,NA,"Brésil","Montagnes Organ","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00477714' target='other'> <mi>dwc_moreinfo</mi></a>","P00477714",NA,NA,NA,NA,"(Fée) Christ","P00477714_01 P00477714_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5930",NA
"29","2017-11-30 14:59:55-02","MNHN","RECOLNAT_MNHN_P","P00507713","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Frade, aux Orgues, Rio Janeiro","hb",NA,"Hb de A. Fée, Herb. E. Cosson <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507713' target='other'> <mi>dwc_moreinfo</mi></a>","P00507713",NA,NA,NA,NA,"(Fée) Christ","P00507713_01","1867","9","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4392",NA
"30","2017-11-30 14:59:55-02","MNHN","RECOLNAT_MNHN_P","P00507714","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Frade, aux Orgues, Rio Janeiro","hb",NA,"Hb de A. Glaziou [le numéro attaché à la plante (4392) n'est pas le même que celui indiqué sur l'étiquette (2807)] <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507714' target='other'> <mi>dwc_moreinfo</mi></a>","P00507714",NA,NA,NA,NA,"(Fée) Christ","P00507714_01","1867","9","8",NA,NA,NA,NA,"Cislinski-Yesilyurt",NA,NA,NA,NA,NA,NA,NA,NA,NA,"4392",NA
"31","2018-01-04 15:03:58-02","MNHN","RECOLNAT_MNHN_P","P00507715","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Haut des Orgues, au midi da Padraçu","hb",NA,"Reçu le 10 janvier 1876 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507715' target='other'> <mi>dwc_moreinfo</mi></a>","P00507715",NA,NA,NA,NA,"(Fée) Christ","P00507715_01","1870","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4391",NA
"32","2018-01-04 15:05:08-02","MNHN","RECOLNAT_MNHN_P","P00507718","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Damazio, L.",NA,NA,"Brésil","Marco, Serra de Ouro Prato [?]","hb",NA,"HB Christ 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507718' target='other'> <mi>dwc_moreinfo</mi></a>","P00507718",NA,NA,NA,NA,"(Fée) Christ","P00507718_01","1907","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1855",NA
"33","2015-09-04 02:07:51-03","MNHN","RECOLNAT_MNHN_P","P00507767","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Rio Janeiro, Itatiaia","hb",NA,"Herb. A. Glaziou <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507767' target='other'> <mi>dwc_moreinfo</mi></a>","P00507767","2500",NA,NA,NA,"(Fée) Christ","P00507767_01 P00507767_02 P00507767_03","1871","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5347",NA
"34","2015-09-19 06:59:40-03","MNHN","RECOLNAT_MNHN_P","P00507768","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Rio Janeiro, Itatiaia","hb",NA,"Reçu le 10 janvier 1876 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507768' target='other'> <mi>dwc_moreinfo</mi></a>","P00507768","2500",NA,NA,NA,"(Fée) Christ","P00507768_01 P00507768_02 P00507768_03","1871","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5347",NA
"35","2015-09-04 02:27:46-03","MNHN","RECOLNAT_MNHN_P","P00507769","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Rio Janeiro, Itatiaia","hb",NA,"Herb. A. Glaziou <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507769' target='other'> <mi>dwc_moreinfo</mi></a>","P00507769","2500",NA,NA,NA,"(Fée) Christ","P00507769_01 P00507769_02 P00507769_03","1871","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5347",NA
"36","2015-09-17 00:30:40-03","MNHN","RECOLNAT_MNHN_P","P00507770","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Rio Janeiro, Itatiaia","hb",NA,"Herb. Christ 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507770' target='other'> <mi>dwc_moreinfo</mi></a>","P00507770","2500",NA,NA,NA,"(Fée) Christ","P00507770_01 P00507770_02 P00507770_03","1871","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5347",NA
"37","2015-09-04 02:07:51-03","MNHN","RECOLNAT_MNHN_P","P00507771","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Rio Janeiro, Itatiaia","hb",NA,"Herb. A. Fée, Herb. E. Cosson. P00507772 et P00507771 sur la même part. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507771' target='other'> <mi>dwc_moreinfo</mi></a>","P00507771","2500",NA,NA,NA,"(Fée) Christ","P00507771_01 P00507771_02","1871","6","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"5347",NA
"38","2015-09-04 02:27:46-03","MNHN","RECOLNAT_MNHN_P","P00507772","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"hb",NA,"Herb. A. Fée, Herb. E. Cosson. P00507772 et P00507771 sur la même part. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507772' target='other'> <mi>dwc_moreinfo</mi></a>","P00507772",NA,NA,NA,NA,"(Fée) Christ","P00507772_01 P00507772_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3159",NA
"39","2015-09-04 02:07:51-03","MNHN","RECOLNAT_MNHN_P","P00507773","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil",NA,"hb",NA,"Herb. E. Cosson, Herb. A. Fée. P00507774 et P00507773 sont sur la même part. <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507773' target='other'> <mi>dwc_moreinfo</mi></a>","P00507773",NA,NA,NA,NA,"(Fée) Christ","P00507773_01 P00507773_02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7264",NA
"40","2015-09-17 00:30:49-03","MNHN","RECOLNAT_MNHN_P","P00507774","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Pedra do Couto","hb",NA,"Herb. E. Cosson, Herb. A. Fée. P00507774 et P00507773 sont sur la même part. Le n°3159 est la même espèce <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507774' target='other'> <mi>dwc_moreinfo</mi></a>","P00507774","1742",NA,NA,NA,"(Fée) Christ","P00507774_01","1869","3","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3158",NA
"41","2015-09-19 06:54:23-03","MNHN","RECOLNAT_MNHN_P","P00507775","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Pedra do Couto","hb",NA,"Herb. Christ 9 février 1910 <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507775' target='other'> <mi>dwc_moreinfo</mi></a>","P00507775","1742",NA,NA,NA,"(Fée) Christ","P00507775_01 P00507775_02","1869","3","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3158",NA
"42","2015-09-17 00:30:51-03","MNHN","RECOLNAT_MNHN_P","P00507776","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Glaziou, A.",NA,NA,"Brésil","Pedra do Couto","hb",NA,"Herb. A. Glaziou <a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00507776' target='other'> <mi>dwc_moreinfo</mi></a>","P00507776","1742",NA,NA,NA,"(Fée) Christ","P00507776_01 P00507776_02","1869","3","28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3158",NA
"43","2015-09-03 16:29:57-03","MNHN","RECOLNAT_MNHN_P","P01247700","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Silveira, A.",NA,NA,"Brasil","Minas, Serra do Papagaio.","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01247700' target='other'> <mi>dwc_moreinfo</mi></a>","P01247700",NA,NA,NA,NA,"(Fée) Christ","P01247700_01","1897","11","1","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2618",NA
"44","2015-09-03 16:29:57-03","MNHN","RECOLNAT_MNHN_P","P01247702","PreservedSpecimen",NA,"Pteridophyta","Doryopteris","paradoxa","Doryopteris paradoxa",NA,"Ule, E.",NA,NA,"Brésil","Entre rochedos na Serra de Itatiaia","hb",NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p01247702' target='other'> <mi>dwc_moreinfo</mi></a>","P01247702",NA,NA,NA,NA,"(Fée) Christ","P01247702_01","1894","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
