"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","class","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","continentOcean","country","barcode","year","month","day","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","imagecode","occurrenceRemarks","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","typeStatus"
"11","2020-12-11 11:41:38-03","UFMG","BHCB","176466","PreservedSpecimen","Plantae","Dicotyledon",NA,NA,"Solanaceae","Aureliana","sellowiana","Aureliana sellowiana","(Sendtn.) Barboza & Stehmann",NA,"2010",NA,NA,"Barboza, GE; Romero, MV; Bertone, G","2024","Southern America","Brasil","BHCB026457","2008","04","15","São Paulo","São Paulo","Desde Parelheiros rumbo a Eng. Marsilac, a 300m de la Estrada Ponte Seca rumbo a Marsilac","-46.725278","-23.897778","-46.725278","-23.897778","BHCB026457","Arbolito de ca. 5m alt., hojas levemente discoloras; flores 1 o 2 por nudo; corola carnosa, gruesa, por fuera verdosa y con manchas violáceas e n su interior; nectario amarillo pálido, estilo blanquecino.","605","605",NA,NA,"Isoepitypus"
"12","2019-11-13 11:32:02-03","USP","SPF","99700","PreservedSpecimen","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09",NA,"Godoy, SAP","379",NA,"Brasil","SPF00099700","1995","02","14","São Paulo","São Paulo","Parelheiros","-46.727778","-23.896111","-46.727778","-23.896111",NA,NA,NA,NA,NA,NA,NA
"13","2019-01-23 11:19:11-02","F","FMNH-SEEDPLANTS","V0073467F","PreservedSpecimen","Plantae","Spermatophyta","Dicotyledoneae",NA,"Solanaceae","Witheringia","selloviana","Witheringia selloviana",NA,NA,NA,NA,NA,"F. Sellow",NA,"South America","Brazil","V0073467F",NA,NA,NA,NA,NA,NA,"-52.8731","-10.8339",NA,NA,"V0073467F_01",NA,NA,NA,NA,NA,"Isotype"
"14","2017-09-11 17:14:08-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,NA,NA,"Solanaceae","Witheringia","selloviana","Witheringia selloviana","Sendtn.",NA,NA,NA,NA,"Sellow, F","s.n.","Southern America","Brazil",NA,NA,NA,NA,NA,NA,"In Brasilia australiore",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-08-26 10:50:55-03","MCN-FZBRS","HAS","85506","PreservedSpecimen","Plantae","Magnoliophyta",NA,NA,"Solanaceae","Aureliana","sellowiana","Aureliana sellowiana","(Sendtn.) Barboza & Stehmann","Stehmann, J. R.","2018","06","04","Mattos, J.","11016",NA,"Brasil","HAS0085506","1963","09",NA,"São Paulo","São Paulo (Jardim Botânico)","cultivada no Jardim Botânico; procedente da Serra do Mar",NA,NA,NA,NA,NA,"Flores esverdeadas. Pétalas cuculadas",NA,NA,NA,NA,NA
"16","2019-11-21 10:19:24-03","IBt","SP","304308","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Costa, CB; Kirizawa, M; Rapini, A","203",NA,"Brasil","SP115021","1996","03","19","São Paulo","Cunha","Parque Estadual da Serra do Mar, Núcleo Cunha. Trilha do Rio Bonito.","-45.048056","-23.224444","-45.048056","-23.224444","SP115021",NA,NA,NA,NA,NA,NA
"17","2019-11-21 10:19:24-03","IBt","SP","305737","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Godoy, SAP; Ferreira, GMP; Pereira, DL","199",NA,"Brasil","SP115023","1994","09","12","São Paulo","São Paulo","Jardim dos Eucaliptos (Gramado), Sítio do Sr. Mário; Estrada Pedro Tico.","-46.766667","-23.901944","-46.766667","-23.901944","SP115023",NA,NA,NA,NA,NA,NA
"18","2019-11-21 10:19:24-03","IBt","SP","305738","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Godoy, SAP; Pereira, DL","379",NA,"Brasil","SP115022","1995","02","14","São Paulo","São Paulo","Parelheiros. Sítio à esquerda na Estrada Eng. Marsilac, sentido Eng. Marsilac. Borda da mata à esquerda da casa do sítio.","-46.727778","-23.896111","-46.727778","-23.896111","SP115022",NA,NA,NA,NA,NA,NA
"19","2019-11-21 10:19:24-03","IBt","SP","305987","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Garcia, RJF; Nunes, JVC; Sordi, SJ; Oliveira, LF; Soares, JM","956",NA,"Brasil","SP115020","1996","12","19","São Paulo","São Paulo","Parque Estadual da Serra do Mar, Núcleo Curucutu, trilha para rio Embu-Guaçu","-46.733611","-23.987778","-46.733611","-23.987778","SP115020",NA,NA,NA,NA,NA,NA
"20","2019-11-21 10:19:24-03","IBt","SP","169728","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Kubitzki, K; Dias, AC; Baitello, JB","81-14",NA,"Brasil","SP115019","1981","02",NA,"São Paulo","Cunha","Parque Estadual da Serra do Mar, Margem do Rio Bonito. Reserva Florestal Estadual de Cunha.","-44.9599990844727","-23.0699996948242",NA,NA,"SP115019",NA,NA,NA,"38855","auto",NA
"21","2019-11-21 10:19:24-03","IBt","SP","293945","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Silva, EL; Godoi, JV","39",NA,"Brasil","SP115016","1994","11","30","São Paulo","São Bernardo do Campo","Parque Caminhos do Mar, Estrada da Chiboca.","-46.560001373291","-23.6900005340576",NA,NA,"SP115016",NA,NA,NA,"31119","auto",NA
"22","2019-11-21 10:19:24-03","IBt","SP","4667","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Hoehne, FC","s.n.",NA,"Brasil","SP115018","1920","12","23","São Paulo","São Paulo","Alto da Serra. Estrada do Vergueiro.","-46.6300010681152","-23.5400009155273",NA,NA,"SP115018",NA,NA,NA,"53584","auto",NA
"23","2019-11-21 10:19:24-03","IBt","SP","79303","S","Plantae",NA,NA,NA,"Solanaceae","Athenaea","sellowiana","Athenaea sellowiana","(Sendtn.) I.M.C.Rodrigues & Stehmann","Stehmann, JR","2019","09","18","Pires, AS; Kuhlmann, M","2831",NA,"Brasil","SP115017","1950","03","31","São Paulo","São Paulo","Curucutu","-46.6300010681152","-23.5400009155273",NA,NA,"SP115017",NA,NA,NA,"53584","auto",NA
"24","2021-02-25 18:37:30-03","IBt","SP","426566","S","Plantae",NA,NA,NA,"Solanaceae","Witheringia","sellowiana","Witheringia sellowiana","Sendtn.",NA,NA,NA,NA,"Barboza, GE; Romero, MV; Bertone, G","2024",NA,"Brasil","SP001621","2008","04","15","São Paulo","São Paulo","Desde Parelheiros rumo a Eng. Marsilac, a 300 m de la Estrada Ponte Seca rumo a Marsilac","-46.725278","-23.897778","-46.725278","-23.897778","SP001621","Arbolito ca. 5 m alt.; hojas levemente discoloras; flores 1 o 2 por nudo; corola carnosa, gruesa, por fuera verdosa y con manchas violáceas en su interior; nectario amarillo pálido, estilo blanquecino",NA,NA,NA,NA,"Epitype"
"25","2021-02-25 18:37:30-03","IBt","SP","426566a","Extra","Plantae",NA,NA,NA,"Solanaceae","Witheringia","sellowiana","Witheringia sellowiana","Sendtn.",NA,NA,NA,NA,"Barboza, GE; Romero, MV; Bertone, G","2024",NA,"Brasil","SP001622","2008","04","15","São Paulo","São Paulo","Desde Parelheiros rumo a Eng. Marsilac, a 300 m de la Estrada Ponte Seca rumo a Marsilac","-46.725278","-23.897778","-46.725278","-23.897778","SP001622","Arbolito ca. 5 m alt.; hojas levemente discoloras; flores 1 o 2 por nudo; corola carnosa, gruesa, por fuera verdosa y con manchas violáceas en su interior; nectario amarillo pálido, estilo blanquecino",NA,NA,NA,NA,"Epitype"
