"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","county","decimalLongitude","decimalLatitude","coordinatePrecision","minimumElevationInMeters","geoFlag","maximumElevationInMeters","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","class","fieldNumber","individualCount","typeStatus","infraspecificEpithet"
"17","2019-10-09 11:08:00-03","UFBA","ALCB","132153","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Vieira, C","Pereira, F","71","2016","05","11","Southern America","Brasil","Rio de Janeiro","3º distrito Fazenda Selo Verde.",NA,"Ca 80 cm de altura, flores amarelas, folhas verdes e caule marrom.; Mata de encosta.","ALCB049042","ALCB049042","Sapucaia","-42.908611","-22.071667",NA,"716",NA,"716","2016","06",NA,"-42.908611","-22.071667",NA,NA,NA,NA,NA
"18","2020-02-08 09:29:01-03","NBC","NL-BOTANY","WAG.1901572","PreservedSpecimen","Plantae",NA,"Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Nadruz M; et al.",NA,"2009","04","28","Southern America","Brazil",NA,"Rio de Janeiro (RJ), Teresópolis. Parque Nacional da Serra dos Orgãos. Trilha do poço verde.",NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/WAG.1901572 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-WAG1901572","NL-WAG1901572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA
"19","2020-11-04 10:58:33-03","ESALQ","ESA","109105","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa",NA,"Colletta, G.D.","Flores, T.B.","407.0","2010","01","26",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"ESA109105","ESA109105","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 10:58:33-03","ESALQ","ESA","83687","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Lorenzi, H.","Souza, V.C.; Lorenzi, H.; Bernacci, L.C.; Peixoto, M.","28965.0","2003","02","11",NA,"Brasil","Rio de Janeiro","Reserva de Macaé de Cima. Beira da estrada.",NA,NA,"ESA083687","ESA083687","Nova Friburgo","-42.29","-22.23",NA,"1200",NA,"1200","2003","01","01","-42.29","-22.23",NA,NA,NA,NA,NA
"21","2020-11-04 10:58:33-03","ESALQ","ESA","83692","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Lorenzi, H.","Souza, V.C.; Lorenzi, H.; Bernacci, L.C.; Peixoto, M.","28970.0","2003","02","11",NA,"Brasil","Rio de Janeiro","Reserva de Macaé de Cima. Hotel Fazenda São João. Beira da estrada.",NA,NA,"ESA083692","ESA083692","Nova Friburgo","-42.3","-22.24",NA,"900",NA,"900","2003","01","01","-42.3","-22.24",NA,NA,NA,NA,NA
"22","2020-11-04 10:58:33-03","ESALQ","ESA","109106","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa",NA,"Colletta, G.D.","Flores, T.B.","408.0","2010","01","26",NA,"Brasil","Rio de Janeiro",NA,NA,NA,"ESA109106","ESA109106","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 10:58:33-03","ESALQ","ESA","98700","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa",NA,"Kameyama, C.","Lorenzi, H.","1605.0","1994","08","20",NA,"Brasil","São Paulo",NA,NA,NA,"ESA098700","ESA098700","Holambra","-47.0499992370605","-22.6299991607666","8184",NA,"auto",NA,"1998","10","20",NA,NA,NA,NA,NA,NA,NA
"24","2021-01-14 15:18:46-03","MN","R","45016","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Profice, R.S.","Glaziou, A.F.M.; Saldanha da Gama, J.",NA,"1879","03","24",NA,"Brasil","Rio de Janeiro","Morro do Morim",NA,"Gabinete de Botânica da Escola Politécnica 5298","R010061088","R010061088_001 R010061088_002","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,"auto",NA,"1990","07",NA,NA,NA,NA,NA,NA,NA,NA
"25","2021-01-14 15:18:46-03","MN","R","45020","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Profice, R.S.","Glaziou, A.F.M.",NA,"1879","03","24",NA,"Brasil","Rio de Janeiro","Morro do Morin",NA,"Herbário de Saldanha, n° 5299.","R000045020","R000045020_001 R000045020_002","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,"auto",NA,"1990",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2015-07-02 14:41:50-03","JBP","HPL","12358","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"T.B. Flores, H. Lorenzi & K. Soares","408","2010","01","26",NA,"Brasil","RJ","Macaé de cima - Rio das flores.",NA,NA,NA,NA,"Nova Friburgo","-42.502306","-22.428667",NA,NA,NA,NA,NA,NA,NA,"42° 30' 08,3 W","22° 25' 43,2 S",NA,NA,NA,NA,NA
"27","2015-07-02 14:00:00-03","JBP","HPL","6679","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa",NA,"H. Lorenzi","V.C. Souza & H. Lorenzi et al.","28970","2003","02","11",NA,"Brasil","RJ","Coletado na Reserva Macaé de Cima, nas proximidades Hotel Fazenda São João, em beira da estrada. S 22° 24'; W 42° 30' - 900 m.s.m.",NA,NA,NA,NA,"Nova Friburgo","-42.5311","-22.2819","33190",NA,"auto",NA,"2003","02","11",NA,NA,NA,NA,NA,NA,NA
"28","2015-07-02 14:55:12-03","JBP","HPL","7","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","C. Kameyama","H. Lorenzi","1605","1994","08","20",NA,"Brasil","SP","Macaé de Cima, no chão da mata densa. Comum.",NA,"Região: MATA ATLANTICA; Cor da flor: amarelas",NA,NA,"Holambra","-47.05","-22.63","8184","950","auto","950","1998","10","20",NA,NA,NA,NA,NA,NA,NA
"29","2015-07-02 14:00:00-03","JBP","HPL","6678","S","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa",NA,"H. Lorenzi","V.C. Souza & H. Lorenzi et al.","28965","2003","02","11",NA,"Brasil","RJ","Coletado na Reserva de Macaé de Cima, em beira de estrada. S 22° 23'; W 42° 29' - 1200 m.s.m.",NA,NA,NA,NA,"Nova Friburgo","-42.5311","-22.2819","33190",NA,"auto",NA,"2003","02","11",NA,NA,NA,NA,NA,NA,NA
"30","2019-11-21 14:29:49-03","UFJF","CESJ","8903","PreservedSpecimen","Plantae","Angiosperma",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","C. Kameyama","U.C. Câmara","s.n.","1970","07","31","América do Sul","Brasil","Minas Gerais",NA,NA,"Erva, beira do córrego, flore amarelas.","CESJ008903","CESJ008903","Santa Rita do Jacutinga",NA,NA,NA,NA,NA,NA,"1989","08","23",NA,NA,NA,NA,NA,NA,NA
"31","2019-11-21 14:29:49-03","UFJF","CESJ","55536","PreservedSpecimen","Plantae","Angiosperma",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","F.S. Souza; J.H.C. Ribeiro","F.S. Souza; J.H.C. Ribeiro","835","2010","01","09","América do Sul","Brasil","Minas Gerais","Serra do Relógio, RPPN Alto da Boa Vista. Próximo ao ponto 2 da fitossociologia.",NA,"Herbácea no brejo. Inflorescência quadrangular, brácteas amarelas e botões amarelos.","CESJ055536","CESJ055536","Descoberto","-42.9674987792969","-21.4596996307373","11991",NA,"auto",NA,"2010","05",NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-01 16:21:03-03","UNICAMP","UEC","157484","S","Plantae","Magnoliopsida",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Caddah, MK","Caddah, MK; Meireles, JE","732","2010","01","19",NA,"Brazil","Rio de Janeiro","Parque Nacional da Serra dos Órgãos, Trilha para Pedra do Sino.",NA,"Erva ca. 50cm, brácteas e pétalas amarelas. Coleta em sílica.","UEC013923","UEC013923","Teresópolis","-43.006111","-22.758889",NA,"1100",NA,"1100","2010","02",NA,"-43.006111","-22.758889",NA,NA,NA,NA,NA
"33","2020-12-21 16:10:48-03","MBM","MBM","159536","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Wasshausen, D.C.","Anderson, W.R.","11703","1976","02","24","Southern America","Brazil","Rio de Janeiro","Serra dos Órgãos, Parque Nacional.",NA,"Herb 1m; bracts and flowers bright yellow.; Tall forest. Elev. 1150m.","MBM159536","MBM159536",NA,NA,NA,NA,NA,NA,NA,"1985",NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-12-21 16:10:48-03","MBM","MBM","353178","PreservedSpecimen","Plantae",NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Profice, S.R.","Moraes, M.A.; Benevenuto, B.; Benevenuto, B.","74","2006","04","09","Southern America","Brazil","Rio de Janeiro","Distrito de Araras, Serra da Maria Comprida. APA de Petrópolis.",NA,"Arbusto 1,3m; caule marrom escuro, folhas verdes com superfície abaxial mais claro, inflorescência terminal, sépalas e pétalas amarelas, filetes e antera amarelos, estilete amarelo.; Campos de altitude, mata de altitude em garganta d","MBM353178","MBM353178","Petropólis","-43.1786003112793","-22.5049991607666","36524",NA,"auto",NA,"2009",NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2021-01-07 12:10:55-03","MNHN","RECOLNAT_MNHN_P","P00719685","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Wasshausen","Guillemin, J.B.A.",NA,"1839","5",NA,NA,"Brésil",NA,"Serra dos orgaos","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00719685' target='other'> <mi>dwc_moreinfo</mi></a>","P00719685","P00719685_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1007",NA,NA,NA
"36","2018-09-07 10:29:47-03","MNHN","RECOLNAT_MNHN_P","P00719686","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Wasshausen","Guillemin, J.B.A.",NA,"1839","5",NA,NA,"Brésil",NA,"Serra dos orgaos","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00719686' target='other'> <mi>dwc_moreinfo</mi></a>","P00719686","P00719686_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1007",NA,NA,NA
"37","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578732","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil",NA,"Brésil: Province de Minas Geraes.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578732' target='other'> <mi>dwc_moreinfo</mi></a>","P03578732","P03578732_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61",NA,NA,NA
"38","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578733","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais","Brésil - Province de Minas Geraes.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578733' target='other'> <mi>dwc_moreinfo</mi></a>","P03578733","P03578733_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D 61",NA,NA,NA
"39","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578735","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil",NA,"Brésil.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578735' target='other'> <mi>dwc_moreinfo</mi></a>","P03578735","P03578735_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578736","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Glaziou, A.",NA,NA,NA,NA,NA,"Brasil",NA,"Brésil: Province de Rio-Janeiro.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578736' target='other'> <mi>dwc_moreinfo</mi></a>","P03578736","P03578736_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4166",NA,NA,NA
"41","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578737","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Saint-Hilaire, A.",NA,"1816","1","1",NA,"Brasil","Minas Gerais","Brésil - Province de Minas Geraes.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578737' target='other'> <mi>dwc_moreinfo</mi></a>","P03578737","P03578737_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D 61",NA,NA,NA
"42","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578739","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Glaziou, A.",NA,"1870","3","12",NA,"Brasil","Rio de Janeiro",NA,"hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578739' target='other'> <mi>dwc_moreinfo</mi></a>","P03578739","P03578739_01","Nova Friburgo","-42.5311012268066","-22.2819004058838","33190",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"4166",NA,NA,NA
"43","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578738","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Glaziou, A.",NA,"1879","3","24",NA,"Brasil","Rio de Janeiro","Brésil: Avec Saldanha au Morim.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578738' target='other'> <mi>dwc_moreinfo</mi></a>","P03578738","P03578738_01","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,"auto",NA,NA,NA,NA,NA,NA,NA,"11345",NA,NA,NA
"44","2015-09-04 07:48:50-03","MNHN","RECOLNAT_MNHN_P","P03578734","PreservedSpecimen",NA,NA,NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees",NA,"Glaziou, A.",NA,"1883","1","6",NA,"Brasil","Rio de Janeiro","Morro do Retiro.","hb","<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03578734' target='other'> <mi>dwc_moreinfo</mi></a>","P03578734","P03578734_01","Petrópolis","-43.1786003112793","-22.5049991607666","36524",NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2020-10-01 14:21:27-03","JBB","HEPH","448","S","Plantae","Dicotyledon","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Nepomuceno","Nepomuceno","81","1970","09","17","Southern America","Brasil","Distrito Federal",NA,NA,"Planta cultivada nos viveiros do DPJ",NA,NA,"Brasília","-47.9296989440918","-15.7797002792358","70570",NA,"auto",NA,"1970","09","17",NA,NA,NA,NA,NA,NA,NA
"46","2020-10-01 14:21:27-03","JBB","HEPH","1483","S","Plantae","Dicotyledon","Lamiales","Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa","Nees","Nepomuceno","Nepomuceno","205","1970","11","11","Southern America","Brasil","Distrito Federal",NA,NA,"Planta cultivada nos viveiros do Depart. de Parques e Jardins da NOVACAP",NA,NA,"Brasília","-47.9296989440918","-15.7797002792358","70570",NA,"auto",NA,"1970","11","11",NA,NA,NA,NA,NA,NA,NA
"47","2020-12-11 11:31:06-03","UFMG","BHCB","51143","PreservedSpecimen","Plantae","Dicotyledon",NA,"Acanthaceae","Aphelandra","squarrosa","Aphelandra squarrosa",NA,NA,"Lombardi, JA","3633","2000","03","24","Southern America","Brasil","Minas Gerais","Fazenda Montes Claros, Borda de caminhos para a mata do Jaó.",NA,"Erva, folhas carnosas, brácteas e flores amarelas.; Mata Atlântica secundária. Brejo.","BHCB052818","BHCB052818","Caratinga","-41.818889","-19.736389",NA,NA,NA,NA,"2002","05",NA,"-41.818889","-19.736389",NA,NA,NA,NA,NA
