"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","occurrenceRemarks","barcode","imagecode","phylum","order","continentOcean","preparationType","coordinatePrecision","geoFlag","class","typeStatus","fieldNumber","individualCount"
"16","2019-08-27 13:33:16-03","IAP","PACA-AGP","49533","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","O'Donell","1954","07","21","Rambo, B.",NA,"1951","01","10","Brasil","SC","Lages",NA,"-50.326099395752","-27.8160991668701",NA,NA,NA,NA,"fl. sicher, 21.7.1954 Habitat: in campestribus prostrata","PACA049533",NA,"Magnoliophyta","Solanales",NA,NA,"70701","auto","Magnoliatae",NA,NA,NA
"17","2019-11-21 14:33:36-03","UFJF","CESJ","59287","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell",NA,NA,NA,NA,"J.M. Silva; J. Cordeiro","6289","2007","12","19","Brasil","Paraná","Ponta Grossa","Uvaia","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Volúvel, floresta vinosa.","CESJ059287",NA,"Angiosperma",NA,"América do Sul",NA,"46557","auto",NA,NA,NA,NA
"18","2020-10-14 10:00:42-03","FURB","FURB","47741","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Barboza, E","2015","04","14","Engels, M.E.; Lozano, E.D.","2082","2013","12","10","Brasil","Paraná","Palmeira",NA,"-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,NA,"FURB47741","FURB47741",NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA
"19","2021-03-16 17:55:06-03","UCS","HUCS","36061","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O' Donell","Ferreira, P.P.A.",NA,NA,NA,"Ferreira, P.P.A.","384","2010","03","05","Brasil","Rio Grande do Sul","Vacaria",NA,"-50.9338989257812","-28.5121994018555",NA,NA,NA,NA,"Herbário ICN 163523; em beira da estrada",NA,NA,"Angiospermae","Solanales",NA,NA,"63451","auto",NA,NA,NA,NA
"20","2021-03-16 17:55:06-03","UCS","HUCS","37173","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O' Donell","Ferreira, S.S.A.","2010","10","20","Kulmann, M.","s.n.","1933","10","30","Brasil","São Paulo","São Paulo","Capital Jabaquara","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,"Herbário SPF - 10440",NA,NA,"Angiospermae","Solanales",NA,NA,"53584","auto",NA,NA,NA,NA
"21","2021-03-16 17:55:06-03","UCS","HUCS","39997","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O' Donell","Ribas, O.S.; Brotto, M.L.","2013","02","18","Brotto, M.L.","932","2013","02","15","Brasil","Paraná","Piraí do Sul","Fazenda Nova Era","-49.948600769043","-24.5261001586914",NA,NA,NA,NA,"trepadeira, flor rosada e frutos imaturos - Herbário MBM; Estepe Gramíneo-Lenhosa (campo limpo)",NA,NA,"Angiospermae","Solanales",NA,NA,"37171","auto",NA,NA,NA,NA
"22","2021-03-30 17:43:00-03","UTFPR","HCF","17277","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","E. Barboza","2015","04","14","M.E. Engels","2082","2013","12","10","Brasil","PR","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"planta rastejante. Caule castanho. Folhas verdes. Flores rosas. Floresta Ombrófila Mista. Em campo.",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA
"23","2021-03-30 17:43:00-03","UTFPR","HCF","1635","S","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","P.P.A. Ferreira","2010","04","30","M.G. Caxambu","699","2004","11","07","Brasil","PR","Palmeira","Rio dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"herbácea volúvel, de caule verde, viloso. Folhas alternas, tripartidas, vilosas. Flores rosas axilares.",NA,NA,NA,NA,NA,NA,"35166","auto",NA,NA,NA,NA
"24","2020-12-21 16:21:24-03","MBM","MBM","10674","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell",NA,NA,NA,NA,"Lindeman, J.; Haas, H.; Haas, H.","314","1966","01","13","Brazil","Paraná","Curitiba","Próximo ao Instituto de Biologia","-49.2731018066406","-25.4277992248535",NA,NA,NA,NA,NA,"MBM010674","MBM010674",NA,NA,"Southern America",NA,"25180","auto",NA,NA,NA,NA
"25","2020-12-21 16:21:24-03","MBM","MBM","12821","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Falcão, J.I.",NA,NA,NA,"Hatschbach, G.","23450","1969","12","09","Brazil","Paraná","Guarapuava","Fazenda Três Irmãos","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,NA,"MBM012821","MBM012821",NA,NA,"Southern America",NA,"53832","auto",NA,NA,NA,NA
"26","2020-12-21 16:21:24-03","MBM","MBM","200","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","13107","1965","11","08","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Reptante, flor lilás-rosado, campo seco.","MBM000200","MBM000200",NA,NA,"Southern America",NA,"46557","auto",NA,NA,NA,NA
"27","2020-12-21 16:21:24-03","MBM","MBM","140256","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Krapovickas, A.",NA,NA,NA,"Krapovickas, A.; et al.; et al.","43573","1990","02","05","Brazil","Santa Catarina","Campos Novos","24km E de Campos Novos, Rod. BR-470","-51.2249984741211","-27.4016990661621",NA,NA,NA,NA,NA,"MBM140256","MBM140256",NA,NA,"Southern America",NA,"43319","auto",NA,NA,NA,NA
"28","2020-12-21 16:21:24-03","MBM","MBM","400814","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell",NA,NA,NA,NA,"Ferreira, P.P.A.; Durigon, J.; Welker, C.A.D.; Durigon, J.; Welker, C.A.D.","814","2012","01","10","Brazil","Santa Catarina","Caçador","Rodovia 451","-51.432556","-26.710889","-51.432556","-26.710889",NA,NA,"Prostrada com ápices volúveis, latescente, corola rosa.","MBM400814","MBM400814",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"29","2020-12-21 16:21:24-03","MBM","MBM","414274","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Barboza, E.","2018",NA,NA,"Barboza, E.","4361","2015","12","11","Brazil","Paraná","Curitiba","Parque dos Peladeiros","-49.191667","-25.481944","-49.191667","-25.481944","877","877","Planta volúvel. Flor rosada.; Campo Nativo.","MBM414274","MBM414274",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA
"30","2020-12-21 16:21:24-03","MBM","MBM","329430","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Cordeiro, J.; Barboza, E.","2007",NA,NA,"Juliano Cordeiro","369","2006","12","27","Brazil","Paraná","Guarapuava","Fazenda Atalaia","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"Herbácea decumbente, flores róseas. Área de campo","MBM329430","MBM329430",NA,NA,"Southern America",NA,"53832","auto",NA,NA,NA,NA
"31","2020-12-21 16:21:24-03","MBM","MBM","18284","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Falcão, J.I.",NA,NA,NA,"Hatschbach, G.","26349","1971","02","21","Brazil","Paraná","Marmeleiro","Estrada marmeleiro - Campo Erê","-53.0261001586914","-26.1494007110596",NA,NA,NA,NA,NA,"MBM018284","MBM018284",NA,NA,"Southern America",NA,"27396","auto",NA,NA,NA,NA
"32","2020-12-21 16:21:24-03","MBM","MBM","265876","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Tessmann, G.","2967","1948","02","20","Brazil","Paraná","Ponta Grossa","Fazenda Lagoa Dourada (perto Vila Velha) 21 Km ao sudeste de Ponta Grossa, 830m","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Verde com colorido pardo-carmim, tubo e corola cor de rosa-lilás, interior do tubo mais escuro. No campo, quando em quando não raro. Erva rasteira. Campo limpo.","MBM265876","MBM265876",NA,NA,"Southern America",NA,"46557","auto",NA,NA,NA,NA
"33","2020-12-21 16:21:24-03","MBM","MBM","23576","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","13107","1965","11","08","Brazil","Paraná","Ponta Grossa","Parque Vila Velha","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Reptante, flor lilás-rosado, do campo seco.","MBM023576","MBM023576",NA,NA,"Southern America",NA,"46557","auto",NA,NA,NA,NA
"34","2020-12-21 16:21:24-03","MBM","MBM","7996","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","18042","1967","12","05","Brazil","Paraná","Ponta Grossa","Passo do Pupo","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Reptante, radicante, flor lilás. Campo limpo.","MBM007996","MBM007996",NA,NA,"Southern America",NA,"46557","auto",NA,NA,NA,NA
"35","2020-12-21 16:21:24-03","MBM","MBM","12819","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","23196","1969","12","12","Brazil","Paraná","São José dos Pinhais","Rio Pequeno","-49.2064018249512","-25.5347003936768",NA,NA,NA,NA,"Reptante, flor rosada, campo graminoso (encosta de morro) Alt. 950m s/mar.","MBM012819","MBM012819",NA,NA,"Southern America",NA,"45291","auto",NA,NA,NA,NA
"36","2020-12-21 16:21:24-03","MBM","MBM","7995","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","18713","1968","03","14","Brazil","Paraná","Balsa Nova","Tamanduá","-49.6356010437012","-25.5839004516602",NA,NA,NA,NA,"Reptante, flor lilás. Campo limpo, seco.","MBM007995","MBM007995",NA,NA,"Southern America",NA,"27346","auto",NA,NA,NA,NA
"37","2020-12-21 16:21:24-03","MBM","MBM","23574","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","3674","1953","12","20","Brazil","Paraná","Campo Largo","Rio Papagaios","-49.5283012390137","-25.4585990905762",NA,NA,NA,NA,"Flor lilás, do campo.","MBM023574","MBM023574",NA,NA,"Southern America",NA,"53742","auto",NA,NA,NA,NA
"38","2020-12-21 16:21:24-03","MBM","MBM","25296","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","31728","1973","03","05","Brazil","Paraná","Contenda","Rodovia do Xisto","-49.5346984863281","-25.6756000518799",NA,NA,NA,NA,"Reptante, flor lilás, do campo seco.","MBM025296","MBM025296",NA,NA,"Southern America",NA,"22732","auto",NA,NA,NA,NA
"39","2020-12-21 16:21:24-03","MBM","MBM","329431","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Cordeiro, J.; Barboza, E.","2007",NA,NA,"Juliano Cordeiro","382","2007","01","10","Brazil","Paraná","Guarapuava","Parque Municipal das Araucárias","-51.4580993652344","-25.395299911499",NA,NA,NA,NA,"Herbácea decumbente, flores róseas escuro. Área de campo","MBM329431","MBM329431",NA,NA,"Southern America",NA,"53832","auto",NA,NA,NA,NA
"40","2020-12-21 16:21:24-03","MBM","MBM","225897","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.; Ribas, O.S.; Barboza, E.; Ribas, O.S.; Barboza, E.","67493","1998","01","21","Brazil","Paraná","Inácio Martins","Monte Alto.","-51.0788993835449","-25.5711002349854",NA,NA,NA,NA,"Prostada, flor lilás. Margens da entrada.","MBM225897","MBM225897",NA,NA,"Southern America",NA,"35964","auto",NA,NA,NA,NA
"41","2020-12-21 16:21:24-03","MBM","MBM","7998","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Hatschbach, G.","15447","1966","12","14","Brazil","Paraná","Palmas","Estrada Palmas - Mangueirinha","-51.9906005859375","-26.4841995239258",NA,NA,NA,NA,"Reptante, flor lilás rosado. Campo pedroso","MBM007998","MBM007998",NA,NA,"Southern America",NA,"46666","auto",NA,NA,NA,NA
"42","2020-12-21 16:21:24-03","MBM","MBM","395914","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Barboza, E.","2015","04","14","Engels, M.E.; Lozano, E.D.; Lozano, E.D.","2082","2013","12","10","Brazil","Paraná","Palmeira","Recanto dos Papagaios","-50.0064010620117","-25.4293994903564",NA,NA,NA,NA,"Planta rastejante. Caule castanho. Folhas verdes. Flores rosas.; Floresta Ombrófila Mista. Em campo.","MBM395914","MBM395914",NA,NA,"Southern America",NA,"35166","auto",NA,NA,NA,NA
"43","2020-12-21 16:21:24-03","MBM","MBM","170014","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Imaguire, N.","2687","1972","01","05","Brazil","Paraná","Piraquara","Fazenda Experimental de Agronomia","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Do campo","MBM170014","MBM170014",NA,NA,"Southern America",NA,"12577","auto",NA,NA,NA,NA
"44","2020-12-21 16:21:24-03","MBM","MBM","170013","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Imaguire, N.","2830","1972","02","02","Brazil","Paraná","Piraquara","Fazenda Experimental de Agronomia","-49.0633010864258","-25.4416999816895",NA,NA,NA,NA,"Do campo, corolas roseas","MBM170013","MBM170013",NA,NA,"Southern America",NA,"12577","auto",NA,NA,NA,NA
"45","2020-12-21 16:21:24-03","MBM","MBM","137946","PreservedSpecimen","Plantae","Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donnell","Ferreira, P.P.A.","2008","10","21","Cervi, A.C.; Hatschbach, G.; Cordeiro, J.; Hatschbach, G.; Cordeiro, J.","2920","1989","10","27","Brazil","Paraná","Ponta Grossa","Parque Vila Velha, Vila Velha.","-50.1618995666504","-25.0949993133545",NA,NA,NA,NA,"Reptante do campo limpo, seco. Flores lilás.","MBM137946","MBM137946",NA,NA,"Southern America",NA,"46557","auto",NA,NA,NA,NA
"46","2015-09-04 10:23:19-03","MNHN","RECOLNAT_MNHN_P","P00622213","PreservedSpecimen",NA,"Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell",NA,NA,NA,NA,"Schwarz, G.J.",NA,"1947","11","3","Argentine",NA,NA,"Gob. Misiones, San Ignacio,Santo Pipo",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00622213' target='other'> <mi>dwc_moreinfo</mi></a>","P00622213","P00622213_01",NA,NA,NA,"hb",NA,NA,NA,"isotype","5098",NA
"47","2017-07-21 13:49:38-03","MNHN","RECOLNAT_MNHN_P","P00746449","PreservedSpecimen",NA,"Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Simão-Bianchini",NA,NA,NA,"Saint-Hilaire, A. de",NA,NA,NA,NA,"Brésil","Rio Grande do Sul",NA,"Province de Rio Grande do Sul",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p00746449' target='other'> <mi>dwc_moreinfo</mi></a>","P00746449","P00746449_01",NA,NA,NA,"hb",NA,NA,NA,NA,"C2 2616",NA
"48","2015-10-27 00:58:19-02","MNHN","RECOLNAT_MNHN_P","P03536105","PreservedSpecimen",NA,"Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Simão-Bianchini",NA,NA,NA,"Balansa, B.",NA,"1874","11","11","Paraguay",NA,NA,"Caaguazu, dans les campos",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03536105' target='other'> <mi>dwc_moreinfo</mi></a>","P03536105","P03536105_01",NA,NA,NA,"hb",NA,NA,NA,NA,"1174",NA
"49","2020-02-07 13:50:24-03","MNHN","RECOLNAT_MNHN_P","P03536108","PreservedSpecimen",NA,"Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Simão-Bianchini",NA,NA,NA,"Balansa, B.",NA,"1877","1",NA,"Paraguay",NA,NA,"plaine de Paraguari, dans les terrains argileux",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03536108' target='other'> <mi>dwc_moreinfo</mi></a>","P03536108","P03536108_01",NA,NA,NA,"hb",NA,NA,NA,NA,"1049 a",NA
"50","2015-09-04 12:55:49-03","MNHN","RECOLNAT_MNHN_P","P03547957","PreservedSpecimen",NA,"Convolvulaceae","Ipomoea","acutisepala","Ipomoea acutisepala","O'Donell","Simão-Bianchini",NA,NA,NA,"Balansa, B.",NA,"1876","4",NA,"Paraguay",NA,NA,"plaine de Doña-Juana, près de Villa-Rica",NA,NA,NA,NA,NA,NA,"<a href='http://coldb.mnhn.fr/catalognumber/mnhn/p/p03547957' target='other'> <mi>dwc_moreinfo</mi></a>","P03547957","P03547957_01",NA,NA,NA,"hb",NA,NA,NA,NA,"1049",NA
