"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","barcode","imagecode","phylum","order","typeStatus","continentOcean","minimumElevationInMeters","maximumElevationInMeters","preparationType","yearIdentified","monthIdentified","dayIdentified","class","coordinatePrecision","geoFlag","fieldNumber","individualCount","infraspecificEpithet","previousCatalogNumber"
"11","2020-02-08 10:06:48-03","NBC","NL-BOTANY","L.2527285","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel",NA,"Hatschbach GG",NA,"1961","09","11","Brazil",NA,NA,"Est Parana, Mun Bocaiuva do sul, Tunas.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/L.2527285 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-L2527285","NL-L2527285",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"12","2020-02-08 10:06:48-03","NBC","NL-BOTANY","U.1451294","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel",NA,"Riedel JGF",NA,NA,NA,NA,"Brazil",NA,NA,"Brasilia: Pr. Mugy.",NA,NA,NA,NA,"<a href=https://data.biodiversitydata.nl/naturalis/specimen/U.1451294 target=other class=eLink> <mi>dwc_moreinfo</mi></a>","NL-U1451294","NL-U1451294",NA,"Myrtales",NA,"Southern America",NA,NA,NA,NA,NA,NA,"Magnoliopsidae",NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:14:49-03","ESALQ","ESA","85587","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","Sobral, M.","Mazine, F.F. Lucas, E.; Souza, V.C.; Romão, G.O.; Souza, J. P .","972.0","2003","11","02","Brasil","Paraná","Tunas do Paraná",NA,"-49.0858001708984","-24.9743995666504",NA,NA,NA,"ESA085587",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"41885","auto",NA,NA,NA,NA
"14","2020-11-04 11:14:49-03","ESALQ","ESA","67331","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens",NA,NA,"Krieger, L.","9248.0","1970","09","27","Brasil","Minas Gerais","Serra de Ibitipóca",NA,NA,NA,NA,NA,NA,"ESA067331",NA,"Magnoliophyta",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 10:56:24-03","ESALQ","ESA","143571","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","Souza, V.C.","Souza, V.C. & Colletta, G.D.","42547.0","2019","09","03","Brasil","São Paulo","Itararé","Estrada Velha Itararé - Bom Sucesso de Itararé, ca. 500 m da estrada principal. Fragmento de Floresta Ombrófila Mista bastante degradada.","-49.3400001525879","-24.1100006103516","-49,167,741","-24,274,521","Arvoreta, ca. 4 m alt.; flores creme.","ESA143571",NA,NA,NA,NA,NA,NA,NA,NA,"2019","09","06",NA,"27729","auto",NA,NA,NA,NA
"16","2020-11-19 10:24:27-03","CPAP","CPAP","25282","PreserverdSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand e Kausel","F. C. S. Vieira","Vieira, F. C. S.","2107","2008","08","18","Brasil","SC","Gavura","Serra Quiriri. Morro da Quesnelia, estrada, estrada próximo da estrada para Tijuco Preto, cumeeira, vertente voltada para o sudeste.",NA,NA,NA,NA,"Morro.Casca áspera; 2m; Arbusto ramificado desde a base. Neos.Solo:. Flores brancas e em botão (4). Globo petalífero visível.",NA,NA,NA,NA,NA,NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-08-27 13:31:30-03","IAP","PACA-AGP","8620","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Emrich-Rambo","Rambo, B.",NA,"1942","01","14","Brasil","RS","Bom Jesus","Serra da Rocinha","-50.4166984558105","-28.6678009033203",NA,NA,"SEM MATERIAL. Habitat: in silvula nebulari Fenofase: flor nondum aperto","PACA008620",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,"1957","09","03","Magnoliatae","55856","auto",NA,NA,NA,NA
"18","2019-08-27 13:31:30-03","IAP","PACA-AGP","36787","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Emrich-Rambo","Rambo, B.",NA,"1948","02",NA,"Brasil","RS","Cambará do Sul",NA,"-50.1446990966797","-29.0478000640869",NA,NA,"SEM MATERIAL. Habitat: in araucarieto Fenofase: flor","PACA036787",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,"1957","09","03","Magnoliatae","30776","auto",NA,NA,NA,NA
"19","2019-08-27 13:31:30-03","IAP","PACA-AGP","44918","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Emrich-Rambo","Rambo, B.",NA,"1949","12","18","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,"SEM MATERIAL. Habitat: in araucarieto Fenofase: flor nondum evoluto","PACA044918",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,"1957","09","03","Magnoliatae","76715","auto",NA,NA,NA,NA
"20","2019-08-27 13:31:30-03","IAP","PACA-AGP","45630","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Emrich-Rambo","Rambo, B.",NA,"1950","01","31","Brasil","RS","São Francisco de Paula",NA,"-50.5835990905762","-29.4480991363525",NA,NA,"SEM MATERIAL. Habitat: in araucarieto Fenofase: flor","PACA045630",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,"1957","09","03","Magnoliatae","76715","auto",NA,NA,NA,NA
"21","2019-08-27 13:31:30-03","IAP","PACA-AGP","56301","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Emrich-Rambo","Rambo, B.",NA,"1955","01","02","Brasil","RS","São Francisco de Paula","Faz. Englert","-50.5835990905762","-29.4480991363525",NA,NA,"SEM MATERIAL. Habitat: in araucarieto Fenofase: flor","PACA056301",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,"1957","09","03","Magnoliatae","76715","auto",NA,NA,NA,NA
"22","2019-08-27 13:31:30-03","IAP","PACA-AGP","45503","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Emrich-Rambo","Rambo, B.",NA,"1950","01","30","Brasil","RS","São Francisco de Paula","Taimbezinho","-50.5835990905762","-29.4480991363525",NA,NA,"SEM MATERIAL. Habitat: in araucarieto Fenofase: flor","PACA045503",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,"1957","09","03","Magnoliatae","76715","auto",NA,NA,NA,NA
"23","2019-08-27 13:31:30-03","IAP","PACA-AGP","35184","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D. Legrand & Kausel","Emrich-Rambo","Rambo, B.",NA,"1947","01","14","Brasil","RS","Vacaria","Faz. da Ronda","-50.9338989257812","-28.5121994018555",NA,NA,"SEM MATERIAL. Habitat: in silva campestri Fenofase: flor semievoluto","PACA035184",NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,"1957","09","03","Magnoliatae","63451","auto",NA,NA,NA,NA
"24","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0018742","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel",NA,"E. J. Lucas; F. F. Mazine, N. A. Brummitt, C. P. Caliari, T .B. Flores, L. V. S. Jennings, R. P. M. Souza, V. C. Souza, M. T. G. Lima","469","2006","11","18","Brazil","Sao Paulo",NA,"Mun. Cunha. Distrito de Campos Novos, próximo a Sete.","-44.77278","-22.93472",NA,NA,"Árvore de ca. 8 m de altura, frutos jovens verde.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,"1099",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043457","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","L. R. Landrum","W. Hoehne","1881","1945","10","5","Brazil","Sao Paulo",NA,"Caieiras","-46.740323","-23.364522",NA,NA,"PHOTO-MICH; Arbusto",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0060670","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","L.H. Soares e Silva, 1999.","L.H. Soares e Silva, 1999; F. Chagas, E.M. Francisco","630","1996","9","19","Brazil","Parana",NA,"Estrada Tibagi-Castro.","-50.4","-24.5",NA,NA,"Arvore 7.0m alto; pelos ferrugineos nos botoes florais e flores amarelas.",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0043458","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","L. R. Landrum","G. Hatschbach","8247","1961","9","11","Brazil","Parana",NA,"Tunas (M. Bocaiuva do Sul)","-49.1333","-25.1833",NA,NA,"PHOTO-MICH; Arvore 5m, flor alva",NA,NA,"Magnoliophyta","Myrtales",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2019-11-21 14:40:11-03","UFJF","CESJ","9248","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","M. Sobral","L. Krieger; U.C. Câmara","CESJ9248","1970","09","27","Brasil","Minas Gerais",NA,"Serra de Ibitipoca",NA,NA,NA,NA,NA,"CESJ009248",NA,"Angiosperma",NA,NA,"América do Sul",NA,NA,NA,"1998",NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2019-11-21 14:40:11-03","UFJF","CESJ","70292","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","K. Antunes","J.H.C. Ribeiro","608","2015","07","26","Brasil","MInas Gerais","Baependi","Parque Estadual da Serra do Papagaio, Chapadão","-44.8899993896484","-21.9589004516602",NA,NA,"Árvore, 7m, no interior de floresta nebular.Frutos negros passados. Indivíduo 2165 da fitossociologia.","CESJ070292",NA,"Angiosperma",NA,NA,"América do Sul",NA,NA,NA,"2017",NA,NA,NA,"29865","auto",NA,NA,NA,NA
"30","2019-11-27 13:50:51-03","UFS","ASE","30929","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","Vieira, FCS","Vieira, FCS","2107","2008","08","18","Brasil","Santa Catarina","Garuva",NA,"-48.5117","-26.0136","-48.5117","-26.0136","Arbusto ramificado desde a base. Aproximadamente 2 m de altura. Casca ásprea. Neossolo. Flores brancas e em botão. Globo petalífero visível.","ASE0002400","ASE0002400","Magnoliophyta",NA,NA,"Southern America",NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2019-11-27 13:50:51-03","UFS","ASE","35498","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel",NA,"Vieira, FCS","2099","2008","08","16","Brasil","Santa Catarina","Garuva","Serra Quiriri, Fazenda Quiriri e Moro do bolo, borda de floresta, cambissolo.","-48.9496","-26.0392","-48.9496","-26.0392","Arbusto. ca de 2 m. Flores brancas, e em botões e tricomas ferrugíneos.","ASE0036468","ASE0036468","Magnoliophyta",NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-02-10 17:55:49-03","UNICAMP","UEC","26070","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel","Semir, J","Pereira, SC","1512","1981","12","02","Brazil","Minas Gerais","Poços de Caldas",NA,"-46.564722","-21.838889","-46.564722","-21.838889",NA,"UEC051123","UEC051123","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-01 16:36:31-03","UNICAMP","UEC","31177","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel","Semir, J","Gabrielli, AC; Martins, FR; Shepherd, GJ; Tamashiro, JY","2082","1983","09","06","Brazil","Minas Gerais","Poços de Caldas","Córrego do Meio.","-46.564722","-21.838889","-46.564722","-21.838889","Árvore de 6m, flores brancas.","UEC051122","UEC051122","Magnoliopsida",NA,NA,NA,NA,NA,NA,"1984","05","31",NA,NA,NA,NA,NA,NA,NA
"34","2020-02-10 17:55:49-03","UNICAMP","UEC","158685","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel","Meireles, LD","Yamamoto, LF","1693","2004","12","02","Brazil","Minas Gerais","Extrema","Serra do Lopo","-46.3182983398438","-22.854700088501",NA,NA,NA,"UEC013719","UEC013719","Magnoliopsida",NA,NA,NA,NA,NA,NA,"2013",NA,NA,NA,"15223","auto",NA,NA,NA,NA
"35","2021-03-01 16:36:31-03","UNICAMP","UEC","168172","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel",NA,"Batista, TA; Naves, AR","413","2011","08","04","Brazil","Minas Gerais","Itamonte","Hotel Casa Alpina Estrada subindo para as antenas.","-44.8699989318848","-22.283899307251",NA,NA,"Árvore com 5 m de altura. Folhas discolores com face abaxial mais branca e pilosa. Ritidoma do tipo liso possuindo leves fissuras. Botões florais pilosos, verdes e esbranquiçados.; Beira da estrada subindo para as antenas.","UEC035813","UEC035813","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"26914","auto",NA,NA,NA,NA
"36","2021-03-01 16:36:31-03","UNICAMP","UEC","183441","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel","Landrum, LR","Oliveira, PI","277","1980","10","09","Brazil","Paraná","Balsa Nova","S. Luis do Purunã.","-49.6356010437012","-25.5839004516602",NA,NA,"Arbusto 4m, flor creme.; Na beira do capão.","UEC051121","UEC051121","Magnoliopsida",NA,NA,NA,NA,NA,NA,"1981",NA,NA,NA,"27346","auto",NA,NA,NA,NA
"37","2021-03-01 16:36:31-03","UNICAMP","UEC","50883","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel","Landrum, LR","Hatschbach, G","32319","1973","08","15","Brazil","Paraná","Castro","Volta Grande.","-50.0119018554688","-24.7910995483398",NA,NA,"Arbusto 3m, flor alva, orla de capão.","UEC051124","UEC051124","Magnoliopsida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50779","auto",NA,NA,NA,NA
"38","2021-03-01 16:36:31-03","UNICAMP","UEC","188714","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel","Bernacci, LC","Bernacci, LC; Árbocz, GF; et al.","IAC41027","2001","01","11","Brazil","São Paulo","Cotia","Caucaia do Alto, Fazenda próximo ao Beto Borracheiro, na borda da mata.","-46.9099998474121","-23.6000003814697",NA,NA,"Árvore ca. 8 m de alt. frutos imaturos","UEC126682","UEC126682","Magnoliopsida",NA,NA,NA,NA,NA,NA,"2003","01",NA,NA,"23869","auto",NA,NA,NA,NA
"39","2021-03-01 16:36:31-03","UNICAMP","UEC","188753","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(A.DC.) D.Legrand & Kausel","Souza, GM; Bernacci, LC","Bernacci, LC; Durigan, G","IAC40375","2001","04","26","Brazil","São Paulo","Cotia","Caucaia do Alto, Fragmento da Tereza, próxima a borda da mata.","-46.9099998474121","-23.6000003814697",NA,NA,"Arvoreta, ca. 4 m alt. Frutos fungados.","UEC126697","UEC126697","Magnoliopsida",NA,NA,NA,NA,NA,NA,"2003","10",NA,NA,"23869","auto",NA,NA,NA,NA
"40","2020-12-04 13:19:29-03","UDESC","LUSC","7251","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","Vieira, F.C.S","Vieira, F.C.S","2107","2008","08","18","Brasil","Santa Catarina","Garuva","Serra Quiriri, Morro da Quesnelia, estrada próximo da estrada para Tijuco Preto, cumeeira, vertente voltada para o sudoeste.","-48.8549995422363","-26.0266990661621",NA,NA,NA,"LUSC004913","LUSC004913",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22441","auto",NA,NA,NA,NA
"41","2020-10-14 10:03:31-03","FURB","FURB","44095","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","Vieira, FCS","Vieira, F.C.S.","2104","2008","07","17","Brasil","Santa Catarina","Garuva","serra Quiriri;.","-48.9669445","-26.0216667","-48.9669445","-26.0216667","Tabatinga; porção superior; trilha usada por bovinos; encosta com a vertente voltada para o Sul/Suldeste; casca lisa, marrom/alaranjada nos ramos jovens, áspera no resto Habitat: borda de capão sujo/floresta Habito: arbustiva; flor bra","FURB32733","FURB32733",NA,NA,NA,NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-10-14 10:03:31-03","FURB","FURB","2076","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel","Sobral, M","Hatschbach, G.; Hatschbach, R.",NA,"1995","02","16","Brasil","Santa Catarina","Urubici","Morro da Igreja, próximo ao alto.","-49.5917015075684","-28.0149993896484",NA,NA,NA,"FURB02516","FURB02516",NA,NA,NA,NA,"1750","1750",NA,"1997",NA,NA,NA,"30102","auto",NA,NA,NA,NA
"43","2021-03-16 17:53:57-03","UCS","HUCS","41869","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) Legrand & Kausel","Vieira, F.C.S.","Vieira, F.C.S.","2102","2008","08","17","Brasil","Santa Catarina","Garuva","Serra Quiriri, capão da Onça","-48.966944","-26.025556","-48.966944","-26.025556","Arbusto 1,5m, flores brancas (4). Joinvillea 13600; transição entre o campo sujo e a Floresta",NA,NA,"Angiospermae","Myrtales",NA,NA,NA,NA,NA,"2010",NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2021-03-16 17:53:57-03","UCS","HUCS","38719","PreservedSpecimen","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) Legrand & Kausel","Molz, M.","Mattos, N.","278","1960","10","19","Brasil","São Paulo","Mogi das Cruzes",NA,"-46.1883010864258","-23.5228004455566",NA,NA,"frutos imaturos 2,5m - HAS 76616",NA,NA,"Angiospermae","Myrtales",NA,NA,NA,NA,NA,"2017","08","15",NA,"28666","auto",NA,NA,NA,NA
"45","2014-10-14 15:57:00-03","BS","M","M-0136806","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel",NA,"Martius, C.F.P. von",NA,NA,NA,NA,"Brasil",NA,NA,"Prope Mogy in campis et p. St. Pauli / Brasilia pr. St. Pauli",NA,NA,NA,NA,NA,"M0136806",NA,"Magnoliophyta","Myrtales","NOTATYPE",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA
"46","2014-10-14 15:57:00-03","BS","M","M-0136807","S","Plantae","Myrtaceae","Myrceugenia","rufescens","Myrceugenia rufescens","(DC.) D.Legrand & Kausel",NA,"Martius, C.F.P. von",NA,NA,NA,NA,"Brasil",NA,NA,"Habitat in campis prope S. Pauli Civ. et Mogy das Cruces, Provinciae S. Pauli",NA,NA,NA,NA,NA,"M0136807",NA,"Magnoliophyta","Myrtales","NOTATYPE",NA,NA,NA,NA,NA,NA,NA,"Magnoliopsida",NA,NA,NA,NA,NA,NA
