"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","coordinatePrecision","geoFlag","yearIdentified","monthIdentified","dayIdentified","verbatimLongitude","verbatimLatitude","individualCount","class","infraspecificEpithet"
"11","2020-12-21 16:40:54-03","MBM","MBM","417516","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"Sendulsky, T.","1364","1974","03","01","Southern America","Brazil","São Paulo","Parque Estadual das Fontes do Ipiranga, Reserva biológica",NA,NA,"MBM417516","MBM417516","Valls, J.F.M.; Oliveira, R.C.","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","1999",NA,NA,NA,NA,NA,NA,NA
"12","2020-10-01 14:27:02-03","JBB","HEPH","15986","S","Plantae","Monocotyledon","Poales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Gomes, MJIR","s.n.","1988","06",NA,"Southern America","Brasil","São Paulo","Rio Claro Campus da UNESP SP",NA,NA,NA,NA,"Gomes, MJIR","Rio Claro","-47.560001373291","-22.4099998474121",NA,NA,"21773","auto","1988",NA,NA,NA,NA,NA,NA,NA
"13","2016-08-04 15:38:07-03","JBB","HEPH","15961","S","Plantae","Monocotyledon","Poales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Sendulsky, T","1364","1974","03","01","Southern America","Brasil","São Paulo","Reserva Biológica do Parque Estadual das Fontes do Ipiranga",NA,NA,NA,NA,"Oliveira, RC","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","1974",NA,NA,NA,NA,NA,NA,NA
"14","2018-06-19 14:12:00-03","MO","MOBOT","101051169","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Agnes Chase","Chase 8695","1925","3","1","South America","Brazil","Minas Gerais","Between Sitio and Dr. Sá Fortes, Serra Mantiqueira.",NA,NA,NA,NA,"Agnes Chase",NA,NA,NA,"1200.00000000","1225.00000000",NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"15","2008-05-27 22:02:00-03","MO","MOBOT","1355749","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"William R. Anderson|M.T. Stieber|Joseph H. Kirkbride, Jr.","Anderson 35582","1972","2","6","South America","Brazil","Minas Gerais","Serra do Espinhaco. Ca. 11 km N of Gouveia, Municipio de Datas; km 286 on M.G. 259; sedge meadows and sandy hillocks along stream, and brushy woods above stream",NA,NA,NA,NA,"O. Morrone, 1999 (SI)",NA,NA,NA,"1300.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2008-05-27 22:02:00-03","MO","MOBOT","1355751","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"José E. Montes","Montes 14891","1956","4","12","South America","Argentina","Misiones","Dep. San Ignacio, Pastereo. Habitat abra matorral afuera de la selva, Lugar alto. Escasa",NA,NA,NA,NA,"O. Morrone, 1999 (SI)",NA,NA,NA,"330.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2008-05-27 22:02:00-03","MO","MOBOT","1355765","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"José E. Montes","Montes 27396","1958","4","28","South America","Argentina","Misiones","Dep. Candelaria. Loreto",NA,NA,NA,NA,"O. Morrone, 1999 (SI)",NA,NA,NA,"220.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-01-08 09:36:00-02","MO","MOBOT","211398","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"A. Usteri","Usteri 9763","1907","3","25","South America","Brazil","São Paulo","Near Perus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"19","2019-01-08 09:36:00-02","MO","MOBOT","215524","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"A. Usteri","Usteri 9763","1907","3","25","South America","Brazil","São Paulo","Near Perus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"20","2009-07-31 05:57:00-03","MO","MOBOT","2229971","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"José E. Montes","Montes 15350","1951","4","12","South America","Argentina","Misiones","Campo Grande",NA,NA,NA,NA,"Morrone, O.","Cainguás","-54.98333","-27.23333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2010-04-23 21:34:00-03","MO","MOBOT","2229989","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Osvaldo Morrone|Norma B. Deginani|Diego Giraldo-Cañas","Morrone 1777","1996","10","21","South America","Argentina","Misiones","Ruta Prov. 208, 2 Km S de Cerro Corá camino a Cerro Azul",NA,NA,NA,NA,"Morrone, O., /02/","Candelaria","-55.58333","-27.51666","215.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2009-07-31 05:57:00-03","MO","MOBOT","2229999","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"José E. Montes","Montes 1954","1946","3","1","South America","Argentina","Misiones","Santa Ana",NA,NA,NA,NA,"Morrone, O.","Candelaria","-55.58333","-27.38333",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2018-05-17 05:28:00-03","MO","MOBOT","2252323","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Osvaldo Morrone|Norma B. Deginani|María E. Múlgura","Morrone 2232","1997","4","30","South America","Argentina","Misiones","Ruta Prov. 208, 2 km al S de Cerro Corá, camino a Cerro Azul",NA,NA,NA,NA,"Morrone, O.","Candelaria","-55.58333","-27.51666","270.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2018-05-17 05:28:00-03","MO","MOBOT","2252342","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Osvaldo Morrone|Norma B. Deginani|María E. Múlgura","Morrone 2225","1997","4","30","South America","Argentina","Misiones","Ruta Prov. 3, 8 km de la Ruta Nac. 12, 2 km camino a Cerro Corá",NA,NA,NA,NA,"Zuloaga, F. O. & Morrone, O., /07/","Candelaria","-55.61666","-27.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2012-04-10 05:01:00-03","MO","MOBOT","2342983","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Elena Schwindt","Schwindt 4587","1950","7","28","South America","Argentina","Misiones","Salto Encantado",NA,NA,NA,NA,"Morrone, O.","Libertador General San Martín","-54.9","-27.08333","230.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2018-05-17 05:29:00-03","MO","MOBOT","2406363","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Fernando O. Zuloaga|Osvaldo Morrone|María E. Múlgura","Zuloaga 5695","1996","4","21","South America","Argentina","Misiones","Parque Provincial Teyucuare.",NA,NA,NA,NA,"O. Morrone","San Ignacio","-55.55","-27.26666","200.00000000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2018-05-17 05:29:00-03","MO","MOBOT","2407249","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Fernando O. Zuloaga|Osvaldo Morrone|María E. Múlgura","Zuloaga 5768","1996","4","22","South America","Argentina","Misiones","Ruta Prov. 3, de Ruta Nac. 12 a Cerro Corá, a 2 km de Ruta Nac. 12, campo.",NA,NA,NA,NA,"O. Morrone","Candelaria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2014-11-18 12:22:00-02","MO","MOBOT","2429985","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Fernando O. Zuloaga|Diego Giraldo-Cañas|F. Biganzoli","Zuloaga 6588","1998","3","23","South America","Argentina","Misiones","Parque Provincial Teyucuaré, senda a la Gruta de los Cuervos.",NA,NA,NA,NA,"O. Morrone","San Ignacio","-55.5833333","-27.2833333","150.00000000",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"29","2009-07-31 05:57:00-03","MO","MOBOT","2519348","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"José E. Montes","Montes 16180",NA,NA,NA,"South America","Paraguay","Guairá",NA,NA,NA,NA,NA,"Zuloaga, F. O.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-09-12 05:00:02-03","US","US","1503195","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.","Isotype","A. Usteri","9763","1907","3","25","South America - Neotropics","Brazil","São Paulo","Near Perus.",NA,NA,"US00140356","US00140356_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"31","2020-09-12 05:00:02-03","US","US","2764382","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.","Type fragment","A. Usteri","9763","1907","3","25","South America - Neotropics","Brazil","São Paulo","Near Perus.",NA,NA,"US00140874","US00140874_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae",NA
"32","2020-09-12 05:00:02-03","US","US","2764381","PreservedSpecimen","Plantae",NA,"Cyperales","Poaceae","Paspalum","usteri","Paspalum usteri villosum","Kuhlm.","Type fragment","F. C. Hoehne","6662","1916","1",NA,"South America - Neotropics","Brazil","Minas Gerais","Sabara.",NA,NA,"US00140875","US00140875_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Monocotyledonae","villosum"
"33","2020-09-02 16:37:39-03","Cenargen","CEN","25953","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"Wilson Hoehne","3018","1949","05","09",NA,"Brasil","SP","Via Anhanguera.","Exsicatas","Doação da Universidade de São Paulo - Herbário SPF - 12472.","CEN00025953","CEN00025953","G. H. Rua","SAO PAULO","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","2007","05",NA,NA,NA,"1",NA,NA
"34","2020-09-02 16:37:11-03","Cenargen","CEN","49461","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","cf. usterii","Paspalum cf. usterii","Hack.",NA,"Arnildo Pott","3977","1987","12","10",NA,"Brasil","MS","Fazenda Acurizal, Nabileque, Pantanal.","Unicata","Entre ponto 102 e canto do Bopi com invernada jacaré. Patrocinador(es) da coleta: Projeto 006.86.020-9","CEN00049461","CEN00049461","G. H. Rua","CORUMBA","-57.6533012390137","-19.0091991424561","90","90","295160","auto","2007","05",NA,"-5716667.0","-1963333.0","1",NA,NA
"35","2019-11-13 11:29:01-03","USP","SPF","12472","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"Hoehne, W","3108","1949","05","09",NA,"Brasil","São Paulo","Via Anhanguera, km 30.",NA,NA,"SPF00012472","SPF00012472","Oliveira, RC",NA,NA,NA,NA,NA,NA,NA,"2001","04",NA,NA,NA,NA,NA,NA
"36","2019-11-13 11:29:01-03","USP","SPF","167297","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"Anderson, WR","35582","1972","02","06",NA,"Brasil","Minas Gerais",NA,NA,NA,"SPF00167297","SPF00167297","Morrone, O","Datas","-43.6557998657227","-18.4456005096436","1300","1300","23532","auto","1999",NA,NA,NA,NA,NA,NA,NA
"37","2019-11-13 11:29:01-03","USP","SPF","83288","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.","isotype","Usteri, A","s.n.","1907","03","25",NA,"Brasil","São Paulo","Perus.",NA,NA,"SPF00083288",NA,NA,"São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2019-10-07 09:22:24-03","UEFS","HUEFS","245511","PreservedSpecimen","Plantae","Angiospermae","Poales","Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Sendulsky, T.","1364","1974","03","01",NA,"Brasil","São Paulo","Reserva Biológica, Parque Estadual das Fontes do Ipiranga.",NA,NA,"HUEFS0245511","HUEFS0245511",NA,"São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,"Lilianae",NA
"39","2019-05-06 12:01:44-03","UFU","HUFU","76254","S","Plantae",NA,NA,"Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"Sendulsky, T.","1364","1974","03","01",NA,"Brasil","São Paulo","Parque Estadual das Fontes do Ipiranga",NA,NA,"HUFU00074473","HUFU00074473","Oliveira, R.C.; Valls, J.F.M.","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","1999",NA,NA,NA,NA,NA,NA,NA
"40","2021-03-03 15:27:58-03","MN","R-TIPOS","2044","PreservedSpecimen","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.","Isotypus de Paspalum uesteri var. villosum Kuhlm.","Hoehne, F.C.","6662","1916","01",NA,NA,"Brasil","Minas Gerais",NA,NA,NA,"R000002044","R000002044_001","Morrone, O. & Zuloaga, F.O.","Sabará","-43.8067016601562","-19.8864002227783",NA,NA,"18805","auto",NA,NA,NA,NA,NA,NA,NA,NA
"41","2020-08-20 20:41:41-03","UFSC","FLOR","64483","PreservedSpecimen","Plantae",NA,"Poales","Poaceae","Paspalum","usterii","Paspalum usterii","Hack.",NA,"Sendulsky, T.","1364","1974","03","01",NA,"Brasil","São Paulo","Reserva Biológica, Parque Estadual das Fontes do Ipiranga.",NA,NA,"FLOR0064483","FLOR0064483","Oliveira, R.C.; Valls, J.F.M.","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","1999",NA,NA,NA,NA,NA,NA,NA
"42","2019-11-21 10:16:36-03","IBt","SP","212389","S","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Montes, JE","15350","1951","04","12","Southern America","Argentina","Misiones","Campo Grande.",NA,NA,"SP037147","SP037147",NA,"Cainguás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2019-11-21 10:16:36-03","IBt","SP","212389a","Extra","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Montes, JE","15350","1951","04","12","Southern America","Argentina","Misiones","Campo Grande.",NA,NA,"SP037148","SP037148",NA,"Cainguás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","2019-11-21 10:16:36-03","IBt","SP","22979","S","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Duarte, C","s.n.",NA,NA,NA,NA,"Brasil",NA,NA,NA,NA,"SP037145","SP037145","Zuloaga, FO; Morrone, O",NA,NA,NA,NA,NA,NA,NA,"1996","08",NA,NA,NA,NA,NA,NA
"45","2019-11-21 10:16:36-03","IBt","SP","253327","S","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Krieger, L; Brügger, M","23835","1988","03","21",NA,"Brasil","Minas Gerais","Estrada de Lima Duarte a Caxambú - km 172.",NA,NA,"SP037144","SP037144","Viana, PL",NA,NA,NA,NA,NA,NA,NA,"2008","07",NA,NA,NA,NA,NA,NA
"46","2019-11-21 10:16:36-03","IBt","SP","174494","S","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.",NA,"Sendulsky, T","1364","1974","03","01",NA,"Brasil","São Paulo","Parque Estadual das Fontes do Ipiranga, Reserva Biológica.",NA,NA,"SP037146","SP037146","Valls, JFM; Oliveira, RC","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","1999",NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 10:16:36-03","IBt","SP","9763","S","Plantae",NA,NA,"Poaceae","Paspalum","usteri","Paspalum usteri","Hack.","Isotype","Usteri, A","s.n.","1907","03","25",NA,"Brasil","São Paulo","Perus",NA,NA,"SP003166","SP003166","Oliveira, RC","São Paulo","-46.6300010681152","-23.5400009155273",NA,NA,"53584","auto","1999",NA,NA,NA,NA,NA,NA,NA
