"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","typeStatus","recordedBy","recordNumber","continentOcean","country","stateProvince","locality","preparationType","occurrenceRemarks","barcode","imagecode","identifiedBy","year","month","day","county","decimalLongitude","decimalLatitude","minimumElevationInMeters","maximumElevationInMeters","verbatimLongitude","verbatimLatitude","class","yearIdentified","coordinatePrecision","geoFlag","monthIdentified","dayIdentified","fieldNumber","individualCount","infraspecificEpithet","relatedCatalogItem","previousCatalogNumber","sex"
"11","2020-11-04 11:15:03-03","ESALQ","ESA","62658","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Mazine, F.F. et al.","182.0",NA,"Brasil","Espírito Santo",NA,NA,NA,"ESA062658","ESA062658","Lima, D.F.","1999","10","19","Dores do Rio Preto","-41.8452987670898","-20.6888999938965",NA,NA,NA,NA,NA,"2016","23972","auto",NA,NA,NA,NA,NA,NA,NA,NA
"12","2020-11-04 11:15:03-03","ESALQ","ESA","49978","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Leoni, L.S.","4049.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA049978","ESA049978","Lima, D.F.","1998","10","22","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"13","2020-11-04 11:15:03-03","ESALQ","ESA","49979","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Leoni, L.S.","4069.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA049979","ESA049979","Lima, D.F.","1998","12","01","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"14","2020-11-04 11:14:50-03","ESALQ","ESA","108589","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","cf. subalpestris","Myrcia cf. subalpestris","DC.",NA,"Killeen, T.J.","7818.0",NA,"Bolívia",NA,NA,NA,NA,"ESA108589","ESA108589","Lima, D.F.","1995","11","01","Santa Cruz",NA,NA,NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2020-11-04 11:15:03-03","ESALQ","ESA","23318","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Barreto, K.D.; Fernandes, G.D.; Vitti, F.X.","1565.0",NA,"Brasil","São Paulo","Mata da UNESP. Cerradão.",NA,"Arvoreta, 1,5 m alt.; flores alvas. Borda.","ESA023318",NA,"Lima, R.A.F.","1993","11","10","Corumbataí.","-474.128","-221.428",NA,NA,"-474,128","-221,428",NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2020-11-04 11:15:03-03","ESALQ","ESA","49676","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Leoni, L.S.","3859.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA049676","ESA049676","Lima, D.F.","1998","01","01","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"17","2020-11-04 11:15:03-03","ESALQ","ESA","48817","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","21224.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA048817","ESA048817","Lima, D.F.","1998","09","06","Delfinópolis","-46.8539009094238","-20.343900680542",NA,NA,NA,NA,NA,"1905","41380","auto","07","08",NA,NA,NA,NA,NA,NA
"18","2020-11-04 11:15:03-03","ESALQ","ESA","51395","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Battaglia, B.",NA,NA,"Brasil","São Paulo",NA,NA,NA,"ESA051395","ESA051395","Lima, D.F.","2005","09","17","Itirapina","-47.8199996948242","-22.25",NA,NA,NA,NA,NA,"2016","22843","auto",NA,NA,NA,NA,NA,NA,NA,NA
"19","2020-11-04 11:15:03-03","ESALQ","ESA","62650","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Mazine, F.F. et al.","218.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA062650","ESA062650","Lima, D.F.","1999","10","20","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"20","2020-11-04 11:15:03-03","ESALQ","ESA","48743","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","21150.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA048743",NA,"Lima, D.F.","1998","09","06","Ibiraci","-47.122200012207","-20.4622001647949",NA,NA,NA,NA,NA,"2016","29018","auto",NA,NA,NA,NA,NA,NA,NA,NA
"21","2020-11-04 11:15:03-03","ESALQ","ESA","26405","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Souza, J.P. et al.","226.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA026405",NA,"Lima, R.A.F.","1995","10","14","Itabirito","-43.801399230957","-20.2532997131348",NA,NA,NA,NA,NA,"2016","20553","auto",NA,NA,NA,NA,NA,NA,NA,NA
"22","2020-11-04 11:15:03-03","ESALQ","ESA","106462","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Flores, T.B.","224.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA106462","ESA106462","Lima, D.F.","2007","01","31","Itirapina","-47.8199996948242","-22.25",NA,NA,NA,NA,NA,"2016","22843","auto",NA,NA,NA,NA,NA,NA,NA,NA
"23","2020-11-04 11:15:03-03","ESALQ","ESA","112480","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Colletta, G.D.","369.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA112480","ESA112480","Lima, D.F.",NA,NA,NA,"São Domingos, distrito de Pedra Menina",NA,NA,NA,NA,NA,NA,NA,"2016",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2020-11-04 11:15:03-03","ESALQ","ESA","49975","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Leoni, L.S.","4061.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA049975","ESA049975","Lima, D.F.","1998","11","24","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"25","2020-11-04 11:15:03-03","ESALQ","ESA","112438","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Colletta, G.D.","327.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA112438","ESA112438","Lima, D.F.",NA,NA,NA,"Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"26","2020-11-04 11:15:03-03","ESALQ","ESA","48755","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","21162.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA048755",NA,"Lima, D.F.","1998","09","06","Ibiraci","-47.122200012207","-20.4622001647949",NA,NA,NA,NA,NA,"2016","29018","auto",NA,NA,NA,NA,NA,NA,NA,NA
"27","2020-11-04 10:56:25-03","ESALQ","ESA","126902","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Romão, G.O.","2171.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA126902","ESA126902","Lima, D.F.","2007","09","02","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,"2016","13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"28","2020-11-04 11:15:03-03","ESALQ","ESA","93170","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Mantovani, W.","945.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA093170",NA,"Lima, D.F.","1980","09","15","Mogi Guaçu","-46.9421997070312","-22.372200012207",NA,NA,NA,NA,NA,"2016","39309","auto",NA,NA,NA,NA,NA,NA,NA,NA
"29","2020-11-04 11:15:03-03","ESALQ","ESA","49981","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Leoni, L.S.","4068.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA049981","ESA049981","Lima, D.F.","1998","12","01","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"30","2020-11-04 11:15:03-03","ESALQ","ESA","62653","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Mazine, F.F. et al.","214.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA062653","ESA062653","Lima, D.F.","1999","10","20","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"31","2020-11-04 11:15:03-03","ESALQ","ESA","79390","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Leoni, L.S.","4418.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA079390","ESA079390","Lima, D.F.","2000","04","20","Alto Caparaó","-41.8683013916016","-20.4333000183105",NA,NA,NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-11-04 11:15:03-03","ESALQ","ESA","48795","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Souza, V.C.; Capellari Jr., L.; Souza, J.P.; Mazine, F.F.","21202.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA048795",NA,"Lima, D.F.","1998","09","06","Ibiraci","-47.122200012207","-20.4622001647949",NA,NA,NA,NA,NA,"2016","29018","auto",NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-11-04 11:15:03-03","ESALQ","ESA","76233","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Chaddad Jr., J.","66.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA076233","ESA076233","Lima, D.F.","2001","09","08","Lavras","-44.999698638916","-21.2453002929688",NA,NA,NA,NA,NA,"2016","20044","auto",NA,NA,NA,NA,NA,NA,NA,NA
"34","2020-11-04 11:15:03-03","ESALQ","ESA","14418","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Barreto, K.D. et al.","1383.0",NA,"Brasil","São Paulo",NA,NA,NA,"ESA014418",NA,"Lima, D.F.","1993","10","07","Itirapina","-47.8199996948242","-22.25",NA,NA,NA,NA,NA,"2016","22843","auto",NA,NA,NA,NA,NA,NA,NA,NA
"35","2020-11-04 10:56:25-03","ESALQ","ESA","143405","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Souza, V.C.","42340.0",NA,"Brasil","São Paulo","Estrada em direção a Cachoeira das Emas, 6,5 km de Pirassununga. Cerradão degradado.",NA,"Arbusto, ca. 1 m alt.; frutos imaturos avermelhados.","ESA143405",NA,"Souza, V.C.","2017","11","02","Pirassununga","-47.4199981689453","-21.9899997711182","620","620","-47,385,673","-21,955,941",NA,"2017","24621","auto","11","02",NA,NA,NA,NA,NA,NA
"36","2020-11-04 11:15:03-03","ESALQ","ESA","64775","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"Souza, V.C.; Souza, J.P.; Forster, W.; Mazine, F.F.","23626.0",NA,"Brasil","Minas Gerais","Parque Nacional do Caparaó. Próximo à Tronqueira, na trilha para o Terreirão.",NA,"Arbusto, 3m alt.; frutos imaturos verdes","ESA064775","ESA064775","Lima, D.F.","2000","02","21","Alto Caparaó","-41.8683013916016","-20.4333000183105","1970","1970",NA,NA,NA,"2016","21645","auto",NA,NA,NA,NA,NA,NA,NA,NA
"37","2020-11-04 11:15:03-03","ESALQ","ESA","20577","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O. Berg) Kiaersk.",NA,"Souza, V.C. et al.","7934.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA020577",NA,"Santos, M.F.","1995","03","08","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"38","2020-11-04 11:15:03-03","ESALQ","ESA","52573","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O. Berg) Kiaersk.",NA,"Forzza, R.C. et al.","3655.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA052573","ESA052573","Sobral, M.","2004","11","23","Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,NA,"2006","30417","auto","01","01",NA,NA,NA,NA,NA,NA
"39","2020-11-04 11:15:03-03","ESALQ","ESA","68740","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris",NA,NA,"Oliveira, R.C. et al.","91.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA068740","ESA068740",NA,NA,NA,NA,"Lima Duarte","-43.793098449707","-21.8425006866455",NA,NA,NA,NA,NA,NA,"30417","auto",NA,NA,NA,NA,NA,NA,NA,NA
"40","2020-11-04 11:15:03-03","ESALQ","ESA","126090","PreservedSpecimen","Plantae","Magnoliophyta",NA,"Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris",NA,NA,"Sobral, M.","15031.0",NA,"Brasil","Minas Gerais",NA,NA,NA,"ESA126090",NA,"Sobral, M.","1905","07","04","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,"1905","13809","auto","07","04",NA,NA,NA,NA,NA,NA
"41","2020-12-20 21:18:39-03","UFV","VIC","19550","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O.Berg) & Kiaersk.",NA,"Santos, M.F.; et al.","92",NA,"Brasil","Minas Gerais","Serra de Ouro Branco - Área 2",NA,"Arvoreta de 2,5 m,folhas discolores, face abaxial de pilosidade ocrácea, frutos maduros de rubros a negros","VIC019550","VIC019550",NA,"2006","01","10","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"42","2020-12-20 21:18:39-03","UFV","VIC","19549","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O.Berg) & Kiaersk.",NA,"Santos, M.F.; et al.","85",NA,"Brasil","Minas Gerais","Serra de Ouro Branco - Área 2",NA,"Arvoreta de 1,5 m, caule tortuoso, folhas de face abaxial de pilosidade ocrácea, frutos em maturação rubros a vináceos","VIC019549","VIC019549",NA,"2006","01","09","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"43","2020-12-20 21:18:39-03","UFV","VIC","29640","PreservedSpecimen","Plantae",NA,NA,"Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O.Berg) & Kiaersk.",NA,"de Paula, C.C.; et al.","695",NA,"Brasil","Minas Gerais","Serra de Ouro Branco - Área 2",NA,"Terrestre de campo graminoide, arbusto de 2 m, freguência de 3 individuos em um raio de aproximadamente 5 m, folhas verdes e sépalas vinho, pétalas brancas, floresce e frutifica ao mesmo tempo, frutos vermelhos, caule muito retorcido c","VIC029640","VIC029640",NA,"2003","02","28","Ouro Branco","-43.6918983459473","-20.5207996368408",NA,NA,NA,NA,NA,NA,"13809","auto",NA,NA,NA,NA,NA,NA,NA,NA
"44","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0057405","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O. Berg) Kiaersk.",NA,"R. Forzza; D. Pifano, S. Edwards, D. Zappi","3655",NA,"Brazil","Minas Gerais","Lima Duarte, Parque Estadual da Serra do Ibitipoca, proximidades da Lanchonete.",NA,"Arvoreta 5 m alt., inflorescencia ferrugínea, pétalas e estames crème.",NA,NA,"M. Sobral","2004","11","23",NA,"-43.9","-21.7","1352",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","2018-03-08 09:13:18-03","ASU","ASU-PLANTS","ASU0055697","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Myrtaceae","Myrcia","subverticillaris","Myrcia subverticillaris","(O. Berg) Kiaersk.",NA,"R. B. S. Fonseca","37",NA,"Brazil","Bahia","Palmeiras. Morro da Mae Inacia.",NA,"Arbusto ca. 1 m alt. Folhas coriaceas, discolores, com face adaxial verde, brilhante, glabra e face abaxial pilosa, com indumento albo-amarelado ou ferrugineo.",NA,NA,"L. Funch","2005","3","10",NA,"-41.466667","-12.45","1000","1150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","2019-11-21 14:40:26-03","UFJF","CESJ","61923","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"K. Antunes; J.H.C. Ribeiro; F.R.G. Salimena","381","América do Sul","Brasil","Minas Gerais","Serra Negra, Degredo",NA,"Arbusto 1,5 m alt. Campo quartizítico, próximo ao curso d'água. Densa pilosidade ferrugínea. Pétalas amareladas","CESJ061923",NA,"K. Antunes","2012","12","01","Olaria","-43.937198638916","-21.8607997894287",NA,NA,NA,NA,NA,"2019","15222","auto",NA,NA,NA,NA,NA,NA,NA,NA
"47","2019-11-21 14:40:26-03","UFJF","CESJ","61918","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"K. Antunes; J.H.C. Ribeiro; F.R.G. Salimena","376","América do Sul","Brasil","Minas Gerais","Serra Negra, Degredo",NA,"Arbusto 1,5 m alt. Campo quartizítico. Tricomas ferrugíneos, botões e flores com pétalas amareladas","CESJ061918",NA,"K. Antunes","2012","12","01","Olaria","-43.937198638916","-21.8607997894287",NA,NA,NA,NA,NA,"2019","15222","auto",NA,NA,NA,NA,NA,NA,NA,NA
"48","2019-11-21 14:40:26-03","UFJF","CESJ","61929","PreservedSpecimen","Plantae","Angiosperma",NA,"Myrtaceae","Myrcia","subalpestris","Myrcia subalpestris","DC.",NA,"K. Antunes; J.H.C. Ribeiro; F.R.G. Salimena","387","América do Sul","Brasil","Minas Gerais","Serra Negra, Degredo",NA,"Arbusto 2,o m alt. Campo quartizítico, próximo ao curso d'água. Tricomas ferrugíneos, botões pétalas alvas","CESJ061929",NA,"K. Antunes","2012","12","01","Olaria","-43.937198638916","-21.8607997894287",NA,NA,NA,NA,NA,"2019","15222","auto",NA,NA,NA,NA,NA,NA,NA,NA
