"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","dayIdentified","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","geoFlag","class","order","imagecode","typeStatus","fieldNumber","preparationType","minimumElevationInMeters","verbatimLongitude","verbatimLatitude","maximumElevationInMeters","sex"
"11","2017-09-11 17:08:42-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker",NA,NA,NA,NA,"Regnell, AF","773",NA,NA,NA,"Southern America","Brazil","Minas Gerais",NA,"in prov. Minas Geraes, ad Fazenda do Ferro, prope Uberaba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2017-09-11 17:08:42-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker",NA,NA,NA,NA,"Pohl, JBE","578",NA,NA,NA,"Southern America","Brazil",NA,NA,"Habitat in campis prov. Goyaz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2017-09-11 17:08:42-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker",NA,NA,NA,NA,"Pohl, JBE","578",NA,NA,NA,"Southern America","Brazil","Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2017-09-11 16:26:54-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae",NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker",NA,NA,NA,NA,"Regnell, AF","ser. III773",NA,NA,NA,"Southern America","Brazil","Minas Gerais","Uberaba","Ad Fazenda do Ferro, prope Uberabá.","-47.93","-19.75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"-47.93","-19.75",NA,NA
"15","2019-11-21 09:59:45-03","IBt","SP","259627","S","Plantae",NA,"Asteraceae","Aldama","goyazii","Aldama goyazii","E.E.Schill. & Panero","Magenta, M","2015",NA,NA,"Wanderley, MGL; Kral, R; Cavalcanti, TB","1764","1988","12","01",NA,"Brasil","Goiás","Alto Paraíso de Goiás","Direção a Teresina de Goiás.","-47.5099983215332","-14.1324996948242","44724",NA,"SP032122","auto",NA,NA,"SP032122",NA,NA,NA,NA,NA,NA,NA,NA
"16","2019-11-21 09:59:45-03","IBt","SP","16811","S","Plantae",NA,"Asteraceae","Aldama","goyazii","Aldama goyazii","E.E.Schill. & Panero","Magenta, M","2015",NA,NA,"Edwall, G","s.n.","1904","06",NA,NA,"Brasil","São Paulo","Itirapina","Morro Pelado.","-47.8199996948242","-22.25","22843",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2019-11-21 09:59:45-03","IBt","SP","75378","S","Plantae",NA,"Asteraceae","Aldama","goyazii","Aldama goyazii","E.E.Schill. & Panero","Simão Bianchini, R","2015","04","23","Mattos, JR; Mattos, NF","8534","1960","11","18",NA,"Brasil","São Paulo","Mogi Guaçu","Fazenda Campininha 2km NNW de Padua Sales.","-46.9421997070312","-22.372200012207","39309",NA,NA,"auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2019-11-21 09:59:45-03","IBt","SP","80679","S","Plantae",NA,"Asteraceae","Aldama","goyazii","Aldama goyazii","E.E.Schill. & Panero","Magenta, M","2015",NA,NA,"Kuhlmann, M","3695","1955","10","27",NA,"Brasil","São Paulo","Mogi Guaçu","Fazenda Campininha, Padua Sales.","-46.9421997070312","-22.372200012207","39309",NA,"SP032121","auto",NA,NA,"SP032121",NA,NA,NA,NA,NA,NA,NA,NA
"19","2019-11-21 09:59:45-03","IBt","SP","50424","S","Plantae",NA,"Asteraceae","Aldama","goyazii","Aldama goyazii","E.E.Schill. & Panero","Magenta, M","2015",NA,NA,"Macedo, A","109","1943","12","06",NA,"Brasil","São Paulo","São Vicente",NA,"-46.3899993896484","-23.9599990844727","25482",NA,"SP032123","auto",NA,NA,"SP032123",NA,NA,NA,NA,NA,NA,NA,NA
"20","2010-08-16 16:38:08-03","GH","HU-HERB","GH 00014004","PreservedSpecimen","Plantae",NA,"Asteraceae","Viguiera","hispida","Viguiera hispida","Baker",NA,NA,NA,NA,"J. B. E. Pohl","578",NA,NA,NA,"South America","Brazil",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Type","578","Sheet",NA,NA,NA,NA,"undetermined"
