"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","occurrenceRemarks","class","order","continentOcean","relatedCatalogItem","barcode","imagecode","phylum","yearIdentified","coordinatePrecision","geoFlag","typeStatus","preparationType","monthIdentified","dayIdentified","minimumElevationInMeters","individualCount","maximumElevationInMeters","fieldNumber","relationshipType","infraspecificEpithet"
"11","2011-02-02 12:54:00-02","MO","MOBOT","2193883","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth",NA,"Gustavo Niederlein","Niederlein 1304",NA,NA,NA,"Argentina","Misiones","Candelaria","Santa Ana","-55.58333","-27.38333",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2009-10-14 19:13:00-03","MO","MOBOT","2429922","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Mihai Costea","Maria M. Arbo|Aurelio Schinini|Victor Maruñak|E. Paniagua","Arbo 7973","1998","8","27","Argentina","Corrientes","Mercedes","Macrosistema Iberá, nacimiento del rio Corriente. En el borde del rio.","-58.11666","-28.71666",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2018-02-24 05:31:00-03","MO","MOBOT","2440490","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Sosa, M. M., //","M. M. Sosa","Sosa 80","2001","12","21","Argentina","Corrientes","Capital","Laguna Brava, cercano al control Policial",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2012-04-19 10:36:00-03","MO","MOBOT","2456336","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth",NA,"E.L. Holmberg","Holmberg s.n.5","1900","2","10","Argentina","Misiones","Capital","Posadas","-55.58333","-27.38333",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2018-06-22 05:25:00-03","MO","MOBOT","2459149","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth",NA,"Pe. Raulino Reitz","Reitz 1723","1946","12","17","Brazil","Santa Catarina",NA,"Imaruí",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2010-05-16 08:12:00-03","MO","MOBOT","2489381","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Schinini, A.","Aurelio Schinini","Schinini Cacace 4059","1971",NA,NA,"Paraguay","Central",NA,"Villetas, cercanías del Río Paraguay",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2011-06-08 12:20:00-03","MO","MOBOT","2830975","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Mihai Costea (WLU)","Manuel Rimachi Y.","Rimachi Y. 5655","1981","9","9","Peru","Loreto","Maynas","Iquitos. Río Itaya, en playa a 100 m de al orilla, frente al puerto de Venezia.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"90.00000000","1",NA,NA,NA,NA
"18","2008-05-27 22:02:00-03","MO","MOBOT","3278919","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Mihai Costea (WLU)","Isaac F. Holton","Holton 544","1853","8","26","Colombia",NA,NA,"Flora NeoGranadina. Caucana.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2011-04-03 14:15:00-03","MO","MOBOT","3299677","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Mihai Costea","Aurelio Schinini|Maria M. Arbo|J.M. González|Antonio Ishikawa|Sara G. Tressens","Schinini Cacace 8345","1974","3","8","Argentina","Corrientes","San Miguel","Ruta prov 17, 12 km N de Loreto. Costa de laguna.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2008-11-18 13:34:00-02","MO","MOBOT","3299683","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Mihai Costea","Troels M. Pedersen","Pedersen 9628","1970","1","29","Argentina","Corrientes",NA,"Near San Cosme.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"21","2009-07-10 17:58:00-03","MO","MOBOT","3394158","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth",NA,"Troels M. Pedersen","Pedersen 12026","1977","12","21","Argentina","Corrientes","Concepción","Carambola.",NA,NA,NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2011-06-08 17:18:00-03","MO","MOBOT","431450","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","D.F. Austin","L.B. Holm-Nielsen|et al.","Holm-Nielsen 7240","1973","6","17","Ecuador","Guayas",NA,"Hacienda Piedad, 3 km N of Balzar along Río Daule. Swampy areas with gallery vegetation.","-79.9","-1.33333",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"25.00000000",NA,NA,NA,NA,NA
"23","2008-05-27 22:02:00-03","MO","MOBOT","431458","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Daniel F. Austin","B. Løjtnant|Ulf Molau|Michael T. Madison","Løjtnant 12397","1979","4","6","Ecuador","Carchi",NA,"La Esperanze, 5 km W of El Carmelo on road to Tulcán. Hedgerows and pasture margins.","-77.63333","0.68333",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3000.00000000",NA,"3100.00000000",NA,NA,NA
"24","2016-01-21 11:55:00-02","MO","MOBOT","435183","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Mihai Costea (WLU)","Elsa M. Zardini|R. Velázquez","Zardini 24883","1990","12","7","Paraguay","Central",NA,"Estero del Ypoá, 10 km SW of Nueva Italia, south of Cañada, along coast of Estero.","-57.4666667","-25.3333333",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"497",NA,NA
"25","2008-05-27 22:02:00-03","MO","MOBOT","813817","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Mihai Costea (WLU)","Elsa M. Zardini|Leongino Guerrero","Zardini 39157","1994","3","31","Paraguay","Central",NA,"Estero del Ypoá. Cañada. Lake Yabeby. Gallery forest and inundated savanna.","-57.46666","-25.65",NA,NA,NA,NA,NA,"South America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4",NA,"904",NA,NA
"26","2019-03-29 10:41:18-03","UFSM","HDCF","3254","S","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Marchiori, J. N. C.","Marchiori, J. N. C.",NA,"1987","07","10","Brasil","Rio Grande do Sul","Jaguari",NA,"-54.689998626709","-29.4974994659424",NA,NA,"Parasita",NA,NA,"América",NA,NA,NA,NA,"1987","27649","auto",NA,NA,"07","10",NA,NA,NA,NA,NA,NA
"27","2016-09-06 17:07:03-03","UFSM","HDCF","2022","S","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Marchiori, J. N. C.","Marchiori, J. N. C.","70","1985","12","26","Brasil","Rio Grande do Sul","São Vicente do Sul","Cerro do Loreto","-54.6794013977051","-29.6916999816895",NA,NA,"Campo rupreste. Parasita",NA,NA,"América",NA,NA,NA,NA,"1986","42672","auto",NA,NA,"04","01",NA,NA,NA,NA,NA,NA
"28","2018-04-26 14:53:26-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Pott, VJ","Pott, VJ; Foster, R","371","1998","09","03","Brazil","Mato Grosso do Sul","Aquidauana","Fazenda Rio Negro, Fazenda Rio Negro, Rio Negro, canal novo do rio.","-56.246121","-19.575574","-56.246121","-19.575574","Aquarap98-N18-Conserv. Internac. + Field Museum/Embrapa.; Erva parasita sobre vegetação Flor branca.; Borda úmida de rio, alagável. Solo areno-argiloso. Relevo plano. Ocasional.",NA,NA,"Southern America","CPAP18082","CONV019809",NA,NA,"1998",NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,"voucher",NA
"29","2018-04-26 15:49:12-03","UFRPE","CONVOLVULACEAE_BR",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Pott, VJ","Pott, VJ; Foster, R","371","1998","09","03","Brazil","Mato Grosso do Sul","Aquidauana","Fazenda Rio Negro, Fazenda Rio Negro, Rio Negro, canal novo do rio.","-56.246121","-19.575574","-56.246121","-19.575574","Aquarap98-N18-Conserv. Internac. + Field Museum/Embrapa.; Erva parasita sobre vegetação Flor branca.; Borda úmida de rio, alagável. Solo areno-argiloso. Relevo plano. Ocasional.",NA,NA,"Southern America","CGMS6772","CONV019808,6772",NA,NA,"1998",NA,NA,NA,NA,"09",NA,NA,NA,NA,NA,"voucher",NA
"30","2020-09-12 05:00:02-03","US","US","2670535","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora",NA,NA,"A. T. Hunziker","3964","1943","12","26","Argentina","Buenos Aires",NA,"Arroyo Los Manantiales empalome San Vicente. Provincia de Buenos Aires. Partido de San Vicente.",NA,NA,NA,NA,NA,"Dicotyledonae","Solanales","South America",NA,"US03170601",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA
"31","2020-09-12 05:00:02-03","US","US","1995214","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora",NA,NA,"K. von Sneidern","5596","1946","7","31","Colombia","Cauca",NA,"Departamento de Cauca, Popayán. Cordillera Central. Vertiente occidental.",NA,NA,NA,NA,NA,"Dicotyledonae","Solanales","South America - Neotropics",NA,"US03170600","US03170600_01",NA,NA,NA,NA,NA,NA,NA,NA,"1700","1",NA,NA,NA,NA
"32","2019-11-13 11:18:05-03","USP","SPF","157429","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Sosa, MM","Sosa, MM","80","2001","12","21","Argentina","Corrientes","Corrientes",NA,NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,"SPF00157429","SPF00157429",NA,"2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2020-03-04 18:50:28-03","USP","SPF","116133","PreservedSpecimen","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Silva, SS","Rossi, L","586","1985","04",NA,"Brasil","São Paulo","São Paulo","Viveiro Manequinho Lopes","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,"SPF00116133","SPF00116133",NA,"2020","53584","auto",NA,NA,"01","23",NA,NA,NA,NA,NA,NA
"34","2020-02-20 14:37:12-03","IAC","IAC","22549","S","Plantae","Convolvulaceae-4.Cuscutoideae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","M. Costea","A. Krapovickas & J. Irigoyen","s/nº","1971","01","28","Argentina","Corrientes","Goya","5 km de Ponte San Juan, sobre o Ayo Batelito, estrada 27","-59.25","-29.1667","-59.2500","-29.1667",NA,NA,NA,NA,NA,NA,NA,NA,"2006",NA,NA,NA,NA,"01","28",NA,NA,NA,NA,NA,NA
"35","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora glandulosa","Kunth",NA,"?","s.n.",NA,NA,NA,"USA",NA,NA,"Texas et Americam borealem, in Brasilia nondum inventa. Aliae varietates Novam Hollandiam, Chinam, Indiam orientale, Asiam sept., Europam et Africam merid. incolunt.",NA,NA,NA,NA,NA,NA,NA,"Northern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glandulosa"
"36","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora glandulosa","Kunth",NA,"?","s.n.",NA,NA,NA,"China",NA,NA,"Texas et Americam borealem, in Brasilia nondum inventa. Aliae varietates Novam Hollandiam, Chinam, Indiam orientale, Asiam sept., Europam et Africam merid. incolunt.",NA,NA,NA,NA,"Oreas et Extrabrasil.; HABITAT: Oreas et Extrabrasil.",NA,NA,"Asia-Temperate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glandulosa"
"37","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora glandulosa","Kunth",NA,"Poeppig, EF","s.n.",NA,NA,NA,"Cuba",NA,NA,"Parasitica in Polygonis per Cubam.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"glandulosa"
"38","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"?","s.n.",NA,NA,NA,"Peru",NA,NA,"Extra Brasiliam reporta est in Peruvia, Nova Granata, California.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"39","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"?","s.n.",NA,NA,NA,"Venezuela",NA,NA,"Extra Brasiliam reporta est in Peruvia, Nova Granata, California.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"40","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"Sello, HL","s.n.",NA,NA,NA,"Brazil",NA,NA,"in Brasilia meridionali forte in eadem provincia.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"41","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"Lund, PW","s.n.",NA,NA,NA,"Brazil","São Paulo",NA,"Habitat var.a vera in paludosis flum. Tieté prov. S.Paulo.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"42","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"?","s.n.",NA,NA,NA,"Peru",NA,NA,"Extra Brasiliam reporta est in Peruvia, Nova Granata, California.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"43","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"?","s.n.",NA,NA,NA,"Venezuela",NA,NA,"Extra Brasiliam reporta est in Peruvia, Nova Granata, California.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"44","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"Sello, HL","s.n.",NA,NA,NA,"Brazil",NA,NA,"in Brasilia meridionali forte in eadem provincia.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"45","2017-09-11 17:09:20-03","UnB","HBVIRTFLBRAS",NA,"O","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora vera","Kunth",NA,"Lund, PW","s.n.",NA,NA,NA,"Brazil","São Paulo",NA,"Habitat var.a vera in paludosis flum. Tieté prov. S.Paulo.",NA,NA,NA,NA,NA,NA,NA,"Southern America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"vera"
"46","2019-11-21 10:03:16-03","IBt","SP","19177","S","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Hunziker, AT","Hoehne, FC","s.n.","1945","08","23","Brasil","Minas Gerais","Paraisópolis","Rio Sapucahy","-45.7799987792969","-22.55419921875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1945","23209","auto",NA,NA,"08","23",NA,NA,NA,NA,NA,NA
"47","2019-11-21 10:03:16-03","IBt","SP","29305","S","Plantae","Convolvulaceae","Cuscuta","obtusiflora","Cuscuta obtusiflora","Kunth","Yuncker, TG","Gehrt, A","s.n.","1932","03","25","Brasil","São Paulo","São Paulo","Pinheiros","-46.6300010681152","-23.5400009155273",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53584","auto",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
