"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","phylum","order","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","recordNumber","year","month","day","continentOcean","country","stateProvince","county","locality","decimalLongitude","decimalLatitude","preparationType","occurrenceRemarks","barcode","imagecode","yearIdentified","monthIdentified","typeStatus","coordinatePrecision","geoFlag","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","individualCount","class","dayIdentified"
"11","2021-02-11 17:19:54-03","UFPR","UPCB","64367","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenberg","Caddah, M.K.","Caddah, M.K.","341","2009","03","24",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, nascente do rio São Francisco","-46.3657989501953","-20.2453002929688",NA,"Coleta em sílica..","UPCB0016639","UPCB0016639","2009","06",NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA
"12","2011-03-22 13:42:00-03","MO","MOBOT","1941444","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R. Romero & R. Goldenb.","R. Romero & R. Goldenberg","Rosana Romero|J.N. Nakajima","Romero 3773","1996","11","20","South America","Brazil","Minas Gerais",NA,"Procedencia: Vale de nascente do rio São Francisco, lado das matas, Parque Nacional da Serra da Canastra, São Roque de Minas, Minas Gerais, Brasil.","-46.4433333","-20.2408333",NA,NA,NA,NA,NA,NA,"Holotype",NA,NA,NA,NA,NA,NA,"1",NA,NA
"13","2013-02-28 10:51:00-03","MO","MOBOT","3248591","PreservedSpecimen","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R. Romero & R. Goldenb.","R. Roemro &G.R. Goldenberg(Paratype)","J.N. Nakajima","Nakajima 1509","1995","11","19","South America","Brazil","Minas Gerais",NA,"Nascente do Rio São Francisco, São Roque de Minas.","-46.3569444","-20.2388889",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA
"14","2020-09-12 05:00:02-03","US","US","3377626","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","angelana","Miconia angelana","R. Romero & R. Goldenb.",NA,"R. Romero & J. N. Nakajima","3773","1996","11","26","South America - Neotropics","Brazil","Minas Gerais",NA,"Parque Nacional de Serra da Canastra, Sao Roque de Minas, vale da Nascente do Rio Sao Francisco.",NA,NA,NA,NA,"US00623628","US00623628_01",NA,NA,"Isotype",NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"15","2020-09-12 05:00:02-03","US","US","3327636","PreservedSpecimen","Plantae",NA,"Myrtales","Melastomataceae","Miconia","angelana","Miconia angelana","R. Romero & R. Goldenb.",NA,"J. N. Nakajima & R. Romero","694","1994","12","7","South America - Neotropics","Brazil","Minas Gerais",NA,"Vale da nascente do rio São Francisco, PARNA Serra da Canastra, São Roque de Minas.",NA,NA,NA,NA,"US02936216","US02936216_01",NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","Dicotyledonae",NA
"16","2019-05-06 11:59:38-03","UFU","HUFU","13329","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R.; Goldemberg, R.","Romero, R.; Nakajima, J.N.","3783","1996","11","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Nascente do Rio São Francisco.","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Arvoreta ca. de 2 m. Corola creme e estames creme. Flores com odor desagradável.; Beira de uma vertente.","HUFU00070386",NA,"1999","01","Paratype","57119","auto",NA,NA,NA,NA,NA,NA,NA
"17","2019-05-06 11:59:38-03","UFU","HUFU","23655","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R.; Goldemberg, R.","Romero, R.; Nakajima, J.N.","3773","1996","11","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Vale da nascente do Rio São Francisco, lado das matas.","-46.3657989501953","-20.2453002929688",NA,"Holotype.; Arvoreta, ca. de 2 metros. Corola e estames creme. Flores com odor desagradável.; Beira do córrego.","HUFU00070383",NA,"1999","01","Holotype","57119","auto",NA,NA,NA,NA,NA,NA,NA
"18","2019-05-06 11:59:38-03","UFU","HUFU","7096","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R.; Goldemberg, R.","Nakajima, J.N.; Romero, R.","694","1994","12","07",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Vale do Rio São Francisco.","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Arvoreta, ca. de 2 metros. Frutos imaturos cremes e maduros vinho.; Campo úmido, 2 meses após a queimada.","HUFU00070384",NA,"1994","12","Paratype","57119","auto",NA,NA,NA,NA,NA,NA,"07"
"19","2019-05-06 11:59:38-03","UFU","HUFU","10472","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R.; Goldemberg, R.","Nakajima, J.N.; Romero, R.; Zanini, E. & Simão, D.G.","1509","1995","11","19",NA,"Brasil","Minas Gerais","São Roque de Minas","Nascente do Rio São Francisco.","-46.3657989501953","-20.2453002929688",NA,"Paratype.; Arvoreta ca. de 2 m. Corola e estames cremes. Odoríferas.; Borda de córrego.","HUFU00070385",NA,"1999","01","Paratype","57119","auto",NA,NA,NA,NA,NA,NA,NA
"20","2019-05-06 11:59:38-03","UFU","HUFU","29962","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R.","Nakajima, J.N.; Romero, R.","3263","2002","11","20",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Nascente do rio São Francisco.","-46.3657989501953","-20.2453002929688",NA,"Arvoreta, ca. 2 m. Hipanto, cálice e corola e estames creme. Flores com odor desagradável.; Vertente.","HUFU00037823","HUFU00037823","2002","11",NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA
"21","2019-05-06 11:59:38-03","UFU","HUFU","26134","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Romero, R.","Romero, R.; Nakajima, J.N.","5644","1999","01","08",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Nascente do rio São Francisco. Beira do córrego.","-46.3657989501953","-20.2453002929688",NA,"Arbusto, ca. 1,8 m. Frutos imaturos vermelhos, os maduros nigrescentes; Campo limpo associado a afloramento rochoso.","HUFU00037824","HUFU00037824","1999","01",NA,"57119","auto",NA,NA,NA,NA,NA,NA,"08"
"22","2019-05-06 11:59:38-03","UFU","HUFU","47570","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.",NA,"Rosa, P.O.; Santos, A.P.M. & Hatori, E.K.O.","70","2006","11","23",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Próximo ao curso d'água.","-46.3657989501953","-20.2453002929688",NA,"Campo rupestre.","HUFU00037822","HUFU00037822",NA,NA,NA,"57119","auto",NA,NA,NA,NA,NA,NA,NA
"23","2014-03-27 11:52:37-03","CAS","CAS-BOT","335481","PreservedSpecimen","Plantae","Magnoliophyta","Myrtales","Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","R. Goldenberg","Almeda, Frank; Fritsch, Peter Warren; Filho, J. L. M. Aranha; Belinello, R.","8849","2004","11",NA,"South America","Brazil","Minas Gerais",NA,"Serra do Caraça. Parque do Caraça. Along the trail from the Santuário to the Cascatinha.","-43.4841079712","-20.1020565033",NA,"Shrub 2 m tall. Petals and anthers white. Occasional.",NA,NA,NA,NA,NA,NA,NA,"43°29'2.8W","20°6'7.4S","1240",NA,NA,"Magnoliopsida",NA
"24","2019-11-21 10:10:01-03","IBt","SP","335794","S","Plantae",NA,NA,"Melastomataceae","Miconia","angelana","Miconia angelana","R.Romero & R.Goldenb.","Goldenberg, R; Romero, R","Nakajima, JN; Romero, R","694","1994","12","07",NA,"Brasil","Minas Gerais","São Roque de Minas","Parque Nacional da Serra da Canastra, Vale da nascente do rio São Francisco, Campo úmido, 2 meses após a queimada, borda do rio","-46.3657989501953","-20.2453002929688",NA,"Arvoreta, ca 2m. Frutos imaturos creme, maduro vinho","SP001172","SP001172","1999","01","Paratype","57119","auto",NA,NA,NA,NA,NA,NA,NA
