"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","yearIdentified","monthIdentified","recordedBy","recordNumber","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","coordinatePrecision","occurrenceRemarks","barcode","imagecode","geoFlag","dayIdentified","locality","typeStatus","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","continentOcean","individualCount","fieldNumber"
"22","2011-12-30 13:42:00-02","MO","MOBOT","1212489","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler (SPF)",NA,NA,"OCTAVIO","OCTAVIO s.n.(RB47939)","1943","3","8","Brazil","Rio de Janeiro",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cultivated Jardim Botanica",NA,NA,NA,NA,NA,"South America","1",NA
"23","2011-12-31 16:35:00-02","MO","MOBOT","3050195","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"L. Roth","Roth s.n.","1949","2",NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Juiz de Fora.",NA,NA,NA,NA,NA,"South America","1",NA
"24","2016-02-18 05:27:00-02","MO","MOBOT","3050917","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler (SPF)",NA,NA,"Lúcio de Souza Leoni","Leoni 4905","2002","3","4","Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,NA,NA,"[ ] Parque Estadual do Brigadini. Fazenda Neblina.",NA,NA,NA,"1300.00000000",NA,"South America","1",NA
"25","2012-01-05 12:27:00-02","MO","MOBOT","486381","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","A. Pool",NA,NA,"Alwyn H. Gentry|A. da Silva","Gentry 58711","1987","8","27","Brazil","São Paulo",NA,"-46.0833333","-22.8666667",NA,NA,NA,NA,NA,NA,"Santa Genebra Forest Reserve, Barão Geraldo near Campinas. Disturbed semideciduous forest.",NA,NA,NA,"550.00000000",NA,"South America","1","87-182"
"26","2020-07-08 12:02:00-03","MO","MOBOT","1026365","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C. DC.","M. Kaehler & L. Lohmann",NA,NA,"Anders F. Regnell","Regnell III-44","1847","3","12","Brazil","Minas Gerais",NA,"-46.38333","-21.93333",NA,NA,NA,NA,NA,NA,"Caldas.",NA,NA,NA,NA,NA,"South America","1",NA
"27","2021-03-15 18:26:05-03","USP","SPF","197561","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Kaehler, M","2013",NA,"Labiak, PH","4615","2008","02","14","Brasil","Espírito Santo","Castelo","-41.052732","-20.410109",NA,"Liana. Flores alvas, ápice das pétalas levemente amarelado, cálice castanho; Mata secundária, ås margens da estrada","SPF00197561",NA,NA,NA,"Estrada da Vargem Alta para Br=262, a 2 km de saída para a BR.",NA,"-41.052732","-20.410109","1000","1000",NA,NA,NA
"28","2021-03-15 18:26:05-03","USP","SPF","197541","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Kaehler, M","2013",NA,"Labiak, PH","4956","2008","10","15","Brasil","Espírito Santo","Castelo","-41.121038","-20.532513",NA,"Liana, na borda da floresta. Frutos imaturos verdes; Floresta Ombrófila Densa Altomontana","SPF00197541",NA,NA,NA,"Parque Estadual do Forno GrandeRio Manso",NA,"-41.121038","-20.532513","1200","1250",NA,NA,NA
"29","2021-03-15 18:26:05-03","USP","SPF","213255","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Kaehler, M","2010","10","Fonseca, LHM","155","2010","10","23","Brasil","São Paulo","Itapetininga","-48.131444","-23.765",NA,"Liana. Folhas discolores com face abaxial em tom mais claro. Cálice alvo-esverdeado. Fauce amarela.","SPF00213255",NA,NA,"26","Beira da rodovia Antônio Romano Schincariol (SP-127).",NA,"-48.131444","-23.765","661","661",NA,NA,NA
"30","2021-03-15 18:26:05-03","USP","SPF","98024","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Kaehler, M","2010",NA,"Souza, V","458","1993","03","19","Brasil","Espírito Santo","Ibitirama","-41.667213","-20.541256",NA,"Cipó com flor e botão brancos.; Capoeira","SPF00098024",NA,NA,NA,"Reserva Florestal da C.V.R.DCipó em capoeira",NA,"-41.667213","-20.541256",NA,NA,NA,NA,NA
"31","2021-03-15 18:26:05-03","USP","SPF","195284","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Kaehler, M","2010",NA,"Sousa, V","458","1993","03","19","Brasil","Espírito Santo","Ibitirama","-41.6671981811523","-20.5414009094238","22282","Porte Lenhoso. Trepadeira. Botão e Flor Branco. Exsudação incolor.","SPF00195284",NA,"auto",NA,"À margem esquerda da estrada, lado esquerdo, indo de Ibitirama para StaMarta Ibitirama.",NA,NA,NA,NA,NA,NA,NA,NA
"32","2020-09-22 13:45:58-03","USP","SPFW","6490","PreservedSpecimen","Plantae","Bignoniaceae","Lundia","damazioi","Lundia damazioi","C.DC.","Kaeler, M.",NA,NA,"Pace, M.R.","56",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
