"record_id","modified","institutionCode","collectionCode","catalogNumber","basisOfRecord","kingdom","family","genus","specificEpithet","scientificName","scientificNameAuthorship","identifiedBy","recordedBy","year","month","day","country","stateProvince","county","decimalLongitude","decimalLatitude","verbatimLongitude","verbatimLatitude","minimumElevationInMeters","maximumElevationInMeters","barcode","imagecode","locality","phylum","order","recordNumber","continentOcean","preparationType","occurrenceRemarks","yearIdentified","monthIdentified","dayIdentified","sex","coordinatePrecision","geoFlag","class","relatedCatalogItem","individualCount","fieldNumber","infraspecificEpithet"
"11","2021-03-15 16:37:00-03","NY","NYBG","01476803","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","M. H. Nee","M. H. Nee","1987","08","19","Bolivia","Santa Cruz","Andrés Ibáñez","-63.2","-17.78",NA,NA,"420","420","NY01476803",NA,"W side of Santa Cruz, Avenida Pirai, between 2nd and 3rd Anillos","Magnoliophyta","Fabales","35668","South America","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1744909' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","2016-09-29 21:51:00-03","NY","NYBG","00924343","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"B. A. S. Pereira","E. P. Heringer","1980","09","01","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00924343","NY00924343_01","Bacia do Rio São Bartolomeu.","Magnoliophyta","Fabales","5423","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999252' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","2016-09-29 21:51:00-03","NY","NYBG","00924349","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"B. A. S. Pereira","B. A. S. Pereira","1996","09","13","Brazil","Goiás","Nova Roma","-46.92","-13.92",NA,NA,NA,NA,"NY00924349","NY00924349_01","Km 11 da estrada Nova Roma/Terezina de Goiás","Magnoliophyta","Fabales","3121","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999263' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","2016-09-29 13:01:00-03","NY","NYBG","00408745","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"S. G. Tressens","S. G. Tressens","1992","04","07","Argentina","Corrientes","Santo Tome",NA,NA,NA,NA,NA,NA,"NY00408745","NY00408745_01","Ea. Bertrán (Infrán Cué), 23 km SW de Virasora","Magnoliophyta","Fabales","4003","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436619' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","2021-03-15 16:37:00-03","NY","NYBG","00924347","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","A. L. Mesquita","A. Macedo","1948","09","11","Brazil","Minas Gerais","Ituiutaba","-49.465","-18.9692",NA,NA,NA,NA,"NY00924347","NY00924347_01","Carmo","Magnoliophyta","Fabales","1216","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999261' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","2016-09-26 23:44:00-03","NY","NYBG","00924352","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"G. C. G. Argent","1967","09","12","Brazil","Mato Grosso",NA,"-52.23","-14.63",NA,NA,NA,NA,"NY00924352","NY00924352_01","By Rio das Mortes, just above Ferry, Xavantina","Magnoliophyta","Fabales","6355","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999266' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","2016-09-26 23:50:00-03","NY","NYBG","00924346","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"P. Clausen",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"NY00924346","NY00924346_01","Brésil (Minas-Geraes)","Magnoliophyta","Fabales","970","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999260' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","2016-09-29 21:51:00-03","NY","NYBG","00924344","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"B. A. S. Pereira","E. P. Heringer","1980","09","23","Brazil","Distrito Federal","Brasília","-47.9294","-15.7797",NA,NA,NA,NA,"NY00924344","NY00924344_01","Bacia do Rio São Bartolomeu.","Magnoliophyta","Fabales","5485","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999254' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","2016-09-29 21:51:00-03","NY","NYBG","00924355","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"R. C. Barneby","S. P. Cordovil-Silva","1997","09","11","Brazil","Goiás","Campinaçu","-48.5708","-13.79",NA,NA,NA,NA,"NY00924355","NY00924355_01","Próximo a foz do cor. Palmeiras. Local atingido pelo lago da UHE Serra da Mesa","Magnoliophyta","Fabales","699","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999269' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","2016-09-26 23:53:00-03","NY","NYBG","01419659","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","G. Herter","1925","08",NA,"Uruguay","Montevideo",NA,NA,NA,NA,NA,"25","50","NY01419659","NY01419659_01","Atahualpa.","Magnoliophyta","Fabales","170","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1684518' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","2016-09-29 13:01:00-03","NY","NYBG","00408739","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"A. C. Gabrielli","1981","10","07","Brazil","São Paulo","Campinas","-47.06","-22.9",NA,NA,NA,NA,"NY00408739","NY00408739_01","Bosque dos Alemaes","Magnoliophyta","Fabales","13044","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436626' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","2016-09-30 05:51:00-03","NY","NYBG","01419652","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"S. G. Beck","S. G. Beck","1987","09","16","Bolivia","El Beni","José Ballivián","-66.62","-14.5",NA,NA,"230",NA,"NY01419652","NY01419652_01","Porvenir, Estación Biológical Beni. Isla del monte, al W de Porvenir.","Magnoliophyta","Fabales","16769","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1683881' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","2016-09-27 00:34:00-03","NY","NYBG","01419663","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","P. G. Lorentz",NA,NA,NA,"Argentina","Entre Ríos",NA,NA,NA,NA,NA,NA,NA,"NY01419663","NY01419663_01 NY01419663_02","Paraná","Magnoliophyta","Fabales","416","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1684994' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","2016-09-30 01:15:00-03","NY","NYBG","1144357","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"T. B. Cavalcanti","1995","09","26","Brazil","Goiás","Ipameri","-48.48","-17.72",NA,NA,"480","480","NY01144357","NY01144357_01","Margem esquerda do Rio Corumba. 1 km da ponte Sao Bento","Magnoliophyta","Fabales","1704","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1289580' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","2016-09-29 21:51:00-03","NY","NYBG","00924354","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"B. M. T. Walter","B. M. T. Walter","1997","10","15","Brazil","Goiás","Niquelândia","-49.0272","-14.5853",NA,NA,"430","430","NY00924354","NY00924354_01","Reservatório em formaçao do AHE Serra da Mesa. Regiao do Rio Maranhao próxima ao Rio das Almas","Magnoliophyta","Fabales","3905","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999268' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","2016-09-30 18:43:00-03","NY","NYBG","01874504","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"L. Nusbaumer","2014","04","26","Brazil","Alagoas","Quebrangulo","-36.423123","-9.263878",NA,NA,"510",NA,"NY01874504","NY01874504_01","Reserva Biológica da Pedra Talhada, localité de Quebrangulo.","Magnoliophyta","Fabales","3976","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=2511919' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","2016-09-30 05:51:00-03","NY","NYBG","01419650","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"M. Saldías Paz","M. Saldías Paz","1989","10","09","Bolivia","Santa Cruz","Andrés Ibáñez",NA,NA,NA,NA,"375","375","NY01419650","NY01419650_01","Jardin Botánico de Santa Cruz. 12 km. E del centro de Santa Cruz, sobre la carretera a Cotoca.","Magnoliophyta","Fabales","808","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1683946' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","2016-09-30 05:52:00-03","NY","NYBG","01419696","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"I. G. Vargas Caballero","1992","10","26","Bolivia","Santa Cruz","Guarayos","-62.1","-14.5",NA,NA,"200","200","NY01419696","NY01419696_01","40 km al SW de Río San Martín.","Magnoliophyta","Fabales","1834","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685982' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","2016-09-30 05:52:00-03","NY","NYBG","01419688","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"I. G. Vargas Caballero","1990","04","12","Bolivia","Santa Cruz","Cordillera","-63.23","-19.75",NA,NA,"1100","1100","NY01419688","NY01419688_01","Charagua, 7 km NW del pueblo, orillas del Río Ovai.","Magnoliophyta","Fabales","439","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685525' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","2021-03-15 16:37:00-03","NY","NYBG","00408742","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","L. P. de Queiroz","L. P. de Queiroz","1991","11","05","Brazil","Bahia","Feira de Santana","-38.97","-12.25",NA,NA,NA,NA,"NY00408742","NY00408742_01","Campus da UEFS. Próxima da guarita da entrada do Campus","Magnoliophyta","Fabales","2544","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436614' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","2021-03-15 16:37:00-03","NY","NYBG","00924319","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","G. G. Hatschbach","G. G. Hatschbach","1984","10","16","Brazil","Mato Grosso do Sul","Antônio João","-55.949819","-22.19",NA,NA,NA,NA,"NY00924319","NY00924319_01","Antonio Joao, 5 km O","Magnoliophyta","Fabales","48541","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999246' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","2021-03-15 16:37:00-03","NY","NYBG","01419683","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","A. L. Mesquita","T. Morong","1888","11",NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY01419683","NY01419683_01 NY01419683_02","Asunción","Magnoliophyta","Fabales","241","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685023' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","2021-03-15 16:37:00-03","NY","NYBG","01419654","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","M. H. Nee","M. H. Nee",NA,NA,NA,"Bolivia","Santa Cruz","Andrés Ibáñez","-63.2","-17.78",NA,NA,"420","420","NY01419654","NY01419654_01","W side of city of Santa Cruz.","Magnoliophyta","Fabales","39282","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436607' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","2021-03-15 16:37:00-03","NY","NYBG","01419689","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","R. C. Barneby","P. F. Foster","1995","09","16","Bolivia","Santa Cruz","José Miguel de Velasco","-61.15","-14.7",NA,NA,"220",NA,"NY01419689","NY01419689_01","50 m. en al senda a la bahia, al E del campamento La Toledo.","Magnoliophyta","Fabales","138","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685512' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","2016-09-30 06:31:00-03","NY","NYBG","01476807","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,NA,"E. Hassler",NA,NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY01476807",NA,"In regione Cordillera de Altos.","Magnoliophyta","Fabales","1132","South America","separate fruit","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1744947' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","2021-03-15 16:37:00-03","NY","NYBG","01419673","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong","A. L. Mesquita","T. Morong","1888","11",NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY01419673","NY01419673_01","Asunción","Magnoliophyta","Fabales","241","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685031' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","2016-09-30 05:52:00-03","NY","NYBG","01419695","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"I. G. Vargas Caballero","I. G. Vargas Caballero","1990","11","23","Bolivia","Santa Cruz","Florida","-63.875","-18.2",NA,NA,"1700",NA,"NY01419695","NY01419695_01","Samaipata, ca. 200 m. a N plaza principal; ubicada en carretera Santa Cruz a Vallegrande.","Magnoliophyta","Fabales","828","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685792' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","2016-11-07 10:43:00-02","NY","NYBG","01476805","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"I. G. Vargas Caballero","J. Balcazar","1996","08","04","Bolivia","Santa Cruz","Florida","-63.575","-18.1",NA,NA,"1200","1200","NY01476805","NY01476805_01","Localidad Volcanes, a 10 Km alnorte de Bermejo.","Magnoliophyta","Fabales","968","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1744914' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","2016-09-29 13:01:00-03","NY","NYBG","00408733","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"H. de F. Leitão Filho","H. de F. Leitão Filho","1967","10","10","Brazil","São Paulo","Piracicaba","-47.6397","-22.72",NA,NA,NA,NA,"NY00408733","NY00408733_01","Piracicaba","Magnoliophyta","Fabales","196","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=436606' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","2016-09-29 21:51:00-03","NY","NYBG","00924350","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","P. Clausen",NA,NA,NA,"Brazil","Minas Gerais",NA,NA,NA,NA,NA,NA,NA,"NY00924350","NY00924350_01","Brasil prov. Minas Geraes","Magnoliophyta","Fabales","970","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=999264' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","2016-09-30 05:51:00-03","NY","NYBG","01419670","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"A. L. Mesquita","S. A. Renvoize","1978","11","15","Argentina","Jujuy","Ledesma",NA,NA,NA,NA,"600","600","NY01419670","NY01419670_01","Calilegua","Magnoliophyta","Fabales","3498","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685009' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","2021-03-15 16:37:00-03","NY","NYBG","01419671","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum","(Vell.) Morong",NA,"T. Morong","1888",NA,NA,"Paraguay",NA,NA,NA,NA,NA,NA,NA,NA,"NY01419671","NY01419671_01","Central Paraguay.","Magnoliophyta","Fabales","241","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685018' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","2016-09-30 05:52:00-03","NY","NYBG","01419687","PreservedSpecimen","Plantae","Fabaceae","Enterolobium","contortisiliquum","Enterolobium contortisiliquum",NA,"R. C. Barneby","M. Saldías Paz","1990","11","05","Bolivia","Santa Cruz","Andrés Ibáñez","-63.18","-17.77",NA,NA,"415",NA,"NY01419687","NY01419687_01","Plaza del Cementerio; centro de la ciudad de Santa Cruz.","Magnoliophyta","Fabales","1272","South America","sheet","<a href='http://sweetgum.nybg.org/science/vh/specimen_details.php?irn=1685530' target='other'> <mi>dwc_moreinfo</mi></a>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
